tag,name,nameColor,icon,trophies,rank,club,normalized_trophies,normalized_rank
#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1401,1,Eclipse 🌖,0.9999999999999996,0.0
#2Y92C2Q8V,NOMAD|かーず。❄❄,0xfff9c908,28000119,1399,2,no-team-info,0.9932885906040272,0.005025125628140704
#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1399,3,Fenernazçe 💙💛,0.9932885906040272,0.010050251256281405
#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1309,4,Eclipse 🌖,0.6912751677852351,0.01507537688442211
#RRVVPG2Y,Brosta卡拉,0xff1ba5f5,28000206,1307,5,vMoove,0.6845637583892619,0.020100502512562814
#89UPQJJVV,+BraboX 🎩,0xffa8e132,28000236,1302,6,Ghost Team👻☔,0.6677852348993292,0.025125628140703515
#VYGVV08Q,🍅domates,0xffffffff,28000261,1302,7,no-team-info,0.6677852348993292,0.03015075376884422
#2Y2Y99GQR,VizeZ,0xffffffff,28000230,1302,8,Ex0tic-E-Sport,0.6677852348993292,0.035175879396984924
#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1301,9,<c0>ＬＯＮＥＬＹ★</c>,0.6644295302013421,0.04020100502512563
#2G90YQ9CQ,ʸᵗᴍɪʀᴀɴᴅɪɴʜᴀᵇˢ乡,0xffa8e132,28000174,1301,10,Wᴏʟғ ɢᴀɴɢ 🐾,0.6644295302013421,0.04522613065326633
#9RVPL0Q0P,Arthur🌸,0xfff9c908,28000018,1269,11,Home Of Esports,0.5570469798657718,0.05025125628140704
#8UQ9GQJJ,↝𝑉𝑖𝑝𝑒𝑟⍨꙳,0xff4ddba2,28000272,1262,12,めろんぱん食堂,0.5335570469798658,0.055276381909547735
#298L8YR90,Ameyöu🩶🧬,0xffa2e3fe,28000291,1258,13,<c5>ぽんみちょった</c>,0.5201342281879193,0.06030150753768845
#J8UR8002,SKC | Prozy,0xffa8e132,28000029,1254,14,Emi's bar 🍻,0.5067114093959728,0.06532663316582915
#82PQUPGU0,Ryohei🐬,0xff1ba5f5,28000240,1254,15,数え役満🀄️,0.5067114093959728,0.07035175879396986
#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1254,16,Follow?,0.5067114093959728,0.07537688442211056
#Y29V28JYJ,ナイフを持った天使,0xfff9c908,28000014,1253,17,Brawl King's,0.5033557046979866,0.08040201005025126
#8UGJ82UL2,AoC|Alex🌷,0xff4ddba2,28000310,1252,18,octos,0.49999999999999956,0.08542713567839197
#889R9J9UU,AI2,0xffffffff,28000040,1252,19,数え役満🀄️,0.49999999999999956,0.09045226130653267
#28CVQGURJ,kxrtofvl,0xffffffff,28000061,1252,20,UNDERDOG 🇵🇱,0.49999999999999956,0.09547738693467338
#GV9GRLJJ,Counter,0xffff9727,28000265,1252,21,NA Friends,0.49999999999999956,0.10050251256281408
#9GGU9C9Y,RNT | Trashant,0xff1ba5f5,28000033,1252,22,Imperial,0.49999999999999956,0.10552763819095479
