,Rank,tag,name,badgeId,trophies,memberCount,trophies_normalized,member_count_normalized
1,1,#282RJGGGY,WOLFMX,8000016,1984538,30,1.0,1.0
2,2,#2CLCYL202,Moonlight 🧚🏻,8000052,1833116,30,0.811087808949444,1.0
3,3,#2GU9902G0,家DarkMoon|🖤,8000055,1775840,30,0.7396309885758416,1.0
4,4,#29JRP22G9,HeadShoterZ💣,8000023,1773993,30,0.7373266945045018,1.0
5,5,#C09LG8YL,minuta:3,8000035,1752235,30,0.7101816861643795,1.0
6,6,#2RCQ9CGQQ,STMN Esports,8000015,1697266,29,0.6416030501018657,0.8000000000000007
7,7,#2GURLVQ29,AT|GALAXY XI,8000010,1696536,30,0.6406923112431335,1.0
8,8,#QRVJP92R,Brawl Con Limón,8000039,1670500,30,0.6082101236733468,1.0
9,9,#Q8J09VPQ,AxE Gaming,8000027,1670097,30,0.6077073459198274,1.0
10,10,#2RGV8QCJR,LEGENDARYS,8000029,1668577,29,0.6058110129537009,0.8000000000000007
11,11,#V9JYGLLG,⚠️₣นєгʑαร єℓἷτє,8000029,1651521,29,0.5845321609337941,0.8000000000000007
12,12,#2QQ99Y0LC,Army Of 300,8000023,1637505,30,0.5670459748461414,1.0
13,13,#2GYQG9CJP,Army Of 300 II,8000004,1631906,30,0.5600607325584153,1.0
14,14,#2LURCY8YC,Ghøst Søuls I,8000057,1624024,30,0.5502272480590658,1.0
15,15,#29PR2C9G9,Zoológico NA,8000018,1596507,30,0.5158973834347831,1.0
16,16,#Q892098Y,FWs Club 🌮,8000025,1583672,30,0.4998845981583113,1.0
17,17,#2LLP2Y928,BarbaFantastico,8000035,1578176,29,0.4930278573807898,0.8000000000000007
18,18,#CU80YV9J,México Top♡,8000059,1542293,29,0.4482606759179437,0.8000000000000007
19,19,#20R2GLR,Reyes Aztecas,8000013,1526812,29,0.42894677417543825,0.8000000000000007
20,20,#2GCU2Q0UY,Tᴇᴏᴛɪʜᴜᴀᴄᴀɴ,8000037,1515818,30,0.4152307974454399,1.0
21,21,#2L0J88PCR,Ghost Souls II,8000057,1513478,30,0.4123114427475869,1.0
22,22,#2P9G02Q9Q,GＥＮＥＩRＹＯＤＡＮ🕷️,8000037,1511114,30,0.40936214595026876,1.0
23,23,#PCPGLY80,Team Void,8000039,1508650,30,0.4062880904051789,1.0
24,24,#CPG0YY2Q,Team Legends,8000007,1491938,30,0.38543840847760635,1.0
25,25,#28L9J9YL2,Minuta. inc :3,8000035,1485782,30,0.37775825996479306,1.0
26,26,#29R9YRJPJ,Perro salchicha,8000047,1476222,30,0.3658313236778379,1.0
27,27,#2JUY9UPVJ,MexicanWarriors,8000003,1475723,30,0.3652087775264583,1.0
28,28,#2092UVG8U,MX|MexicanClub,8000059,1474081,30,0.36316023888805016,1.0
29,29,#2JUCQLUGQ,Seals Army’,8000002,1464367,29,0.35104117412952696,0.8000000000000007
30,30,#2JJVQP228,Ghost Souls IV,8000057,1448840,30,0.3316698833630467,1.0
31,31,#22YVU008L,CGS,8000038,1447804,30,0.33037738273613404,1.0
32,32,#2G9CJ0JQ9,TH|Ticks Hawks,8000037,1447186,30,0.3296063736749062,1.0
33,33,#228CGYU82,Tᴇɴᴏᴄʜᴛɪᴛʟᴀɴ,8000021,1441298,30,0.32226057860612034,1.0
34,34,#290CYRYLP,TB|Team Bull,8000037,1432974,29,0.31187566044162107,0.8000000000000007
35,35,#2RUCRQ908,Black Hearts🖤,8000037,1428934,30,0.3068354070316526,1.0
