,tag,name,nameColor,icon,trophies,rank,club
0,#RVLQ0VUR,风暴|kerem🎃,0xffff9727,28000257,1501,1,ᴅᴀɪʟʏ
1,#2YRC2V2U,✞blamix✞,0xffff8afb,28000023,1500,2,💥{SHOW|DOWN}💥
2,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1499,3,Eclipse 🌖
3,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1401,4,Fenernazçe 💙💛
4,#29CR8QPUY,★฿uͥrgͣeͫr★z|🍔,0xfff9c908,28000213,1399,5,LA Global
5,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1399,6,Eclipse 🌖
6,#2P088J29C,Matt,0xffff8afb,28000333,1302,7,<c5>Just Us</c>
7,#8R08UP2G8,🐐Goated♑️,0xffff9727,28000261,1302,8,WOLFMX
8,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1302,9,Follow?
9,#P98UJQUUR,クロナティオ,0xffcb5aff,28000339,1285,10,Showdown & 3vs3
10,#PRQGVULVQ,iAlmaaaazik🥺,0xffffffff,28000135,1255,11,KingdomRush
11,#Y29V28JYJ,ナイフを持った天使,0xfff9c908,28000014,1254,12,Brawl King's
12,#2GPV0LRQC,TTeJIbMeIIIka,0xffff8afb,28000347,1254,13,Quant ESports🐾
13,#9UG08PQUY,xSkywalker🦋ま,0xff1ba5f5,28000135,1254,14,Quant ESports🐾
14,#R2R2JV9C,S4W|Aste❤️‍🔥,0xffff8afb,28000214,1254,15,Spain4Win
15,#JV2L02VV,SíJaauaq,0xffff8afb,28000303,1254,16,
16,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1253,17,<c0>ＬＯＮＥＬＹ★</c>
17,#22992CG0G,元Leobardo™,0xffa8e132,28000129,1252,18,7 Dwarves
18,#2PLVJ0GLV,Sniper🐙,0xffff9727,28000244,1252,19,Brawl Kings
19,#9GVGY29QC,Human核能,0xff1ba5f5,28000272,1252,20,Tribe Turkey
20,#9YGVLRYU,Gɑɓʀiɛʆ🌹,0xff1ba5f5,28000218,1252,21,Kings United
21,#80PC2QJCR,❥Hazzēиs✧,0xff1ba5f5,28000348,1252,22,7 Dwarves
22,#8PJRRG2C,SK|GuilleVGX,0xffa8e132,28000099,1252,23,CONEXIÓN
23,#QRUQQLV0,Code: Nukleo,0xffa8e132,28000186,1252,24,LA Instinct
24,#8R99PJ890,xSkylasz•,0xffff9727,28000321,1252,25,Vitality
25,#PUPQ9JULP,xanerty yoa❤‍🩹,0xffcb5aff,28000158,1251,26,пОдвАл тОпОв
26,#C088PCJ,Felína.,0xff1ba5f5,28000018,1251,27,NHY E-SporTS
27,#9VU9R2LY,Terry!,0xffffffff,28000081,1251,28,✌️✌️✌️
28,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,1251,29,
29,#VYGVV08Q,🍅domates,0xffffffff,28000261,1251,30,
30,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1250,31,help ranks
31,#PQ28JP0P,亲Jσтα,0xffff9727,28000175,1250,32,7 Dwarves
32,#Y0VPJ89Q,Ｓㄚ 么 乙 ツ,0xffffce89,28000237,1250,33,Quant ESports🐾
33,#9L09YYQ8L,⛩️Panda G.m⛩️,0xffcb5aff,28000330,1250,34,HolyGuns
34,#CPYUR8QR,KD|Buff♡,0xfff9c908,28000132,1250,35,Quant ESports🐾
35,#QUYCVC2,STMN | sans,0xffa8e132,28000136,1250,36,STMN Esports
36,#PQPR2GQGJ,MatCha✈️,0xffcb5aff,28000014,1250,37,HK瘋
37,#QG9UUURGU,Натан🐶✨,0xff1ba5f5,28000194,1250,38,はい「s❤️‍🔥World
38,#QR2GC8V,BKB|❄IC£CRØW❄,0xfff9c908,28000348,1250,39,Tribe Turkey
39,#QG8PP9QR,Фриз🐶✨,0xff1ba5f5,28000301,1249,40,
