,tag,name,nameColor,icon,trophies,rank,club
0,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1311,1,help ranks
1,#VYGVV08Q,🍅domates,0xffffffff,28000261,1303,2,
2,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1300,3,Fenernazçe 💙💛
3,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1300,4,Eclipse 🌖
4,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1300,5,Eclipse 🌖
5,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1299,6,Follow?
6,#8UQ9GQJJ,↝𝑉𝑖𝑝𝑒𝑟⍨꙳,0xff4ddba2,28000272,1255,7,めろんぱん食堂
7,#9G0CJPJPY,Taha♛,0xffcb5aff,28000170,1253,8,GOOD BYE TAHA
8,#9Y92PLVQG,Snake,0xffffffff,28000208,1253,9,★the Players★
9,#V2Q080UU,Valembeau💜,0xffcb5aff,28000035,1253,10,A Few Clown Men
10,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1253,11,<c0>ＬＯＮＥＬＹ★</c>
11,#9CQGLG0CV,Świnia🐷,0xfff05637,28000117,1252,12,ŚrednioNaPsa
12,#PLUGLRG28,4SV_MaSTeP,0xffffffff,28000233,1252,13,Quant ESports🐾
13,#8R99PJ890,xSkylasz•,0xffff9727,28000321,1252,14,Vitality
14,#Q9YC0J0G9,Rusya🤍Bloodyハニ,0xfff9c908,28000004,1251,15,KingdomRush
15,#YRURQRPUR,Skibidi Chipz,0xff1ba5f5,28000018,1251,16,Talents
16,#P99QGPLU2,Davex,0xffffce89,28000129,1251,17,Brawl King's
17,#2082JRYUV,GooD•G,0xffcb5aff,28000033,1251,18,<c5>Just Us</c>
18,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,1251,19,
19,#P9YPY9U8J,MeTa | duo♡van,0xff4ddba2,28000262,1250,20,TyM`eSports
20,#9L09YYQ8L,⛩️Panda G.m⛩️,0xffcb5aff,28000330,1250,21,HolyGuns
21,#20L88L2J,FUT | LeNain,0xffff8afb,28000321,1250,22,A Few Good Men
22,#8PJRRG2C,SK|GuilleVGX,0xffa8e132,28000099,1250,23,CONEXIÓN
23,#PQ09LC889,sinaayy🤍kアナー,0xffff8afb,28000196,1250,24,luv sinayy.🤍🪽
24,#2CUYQ8RQC,🥷🏿,0xffffffff,28000272,1250,25,
25,#PYPQUG80,Zava💞Sunfote,0xffff9727,28000195,1250,26,Showdown💔Kings
26,#8Y082R2GG,추카|RapZ ✶,0xffff9727,28000211,1249,27,Beyond Swift
27,#8JV08U8GR,NightMare❤️‍🔥,0xffcb5aff,28000280,1249,28,NHY E-SporTS
28,#GC0QYRJ0P,лИгИндА😡👻,0xff1ba5f5,28000000,1249,29,
29,#22PJGVJYJ,히치Luxito🥀,0xffffffff,28000321,1249,30,No Mercy
30,#YGQYGCR,Portox😡,0xff1ba5f5,28000191,1249,31,Blue Label
31,#20VVC8LU2,Cryzz❦︎,0xffffffff,28000108,1249,32,
32,#PC9LPPYV,Nico❤️Heys,0xff1ba5f5,28000196,1249,33,No Mercy
33,#2UYJV98J2,all 1500🏆,0xffffffff,28000000,1249,34,
34,#2Y2Y99GQR,VizeZ,0xffffffff,28000230,1249,35,Ex0tic-E-Sport
35,#8LQQCCPRG,MyS|Efim👾,0xffa8e132,28000101,1237,36,Quant ESports🐾
36,#2J2PJ0UV,ikarosita,0xffa8e132,28000136,1225,37,Humble Grinders
