,tag,name,nameColor,icon,trophies,rank,club
0,#2Q9PYVQLP,HelloWorld,0xffff8afb,28000096,1499,1,
1,#GVUL2J9V8,𝕴𝖆𝖒𝖐𝖆𝖆𝖆❦,0xffffffff,28000054,1421,2,A Few Good Man
2,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1399,3,Fenernazçe 💙💛
3,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1399,4,Eclipse 🌖
4,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1314,5,Eclipse 🌖
5,#VYGVV08Q,🍅domates,0xffffffff,28000261,1301,6,
6,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1299,7,Follow?
7,#8PJRRG2C,SK|GuilleVGX,0xffa8e132,28000099,1269,8,CONEXIÓN
8,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,1258,9,
9,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1253,10,help ranks
10,#9L9P2PLY0,佐切「静かに、、激しく、、」,0xffffffff,28000303,1252,11,🌺🥀🌸🌼🌷
11,#8UQ9VGY,Pretzel,0xffffce89,28000194,1252,12,STMN Esports
12,#2RQGVLRVG,₹GuilleX,0xffff8afb,28000036,1250,13,No Mercy
13,#9R9899GJ2,差|Stàr💘,0xfff9c908,28000018,1250,14,
14,#JV2L02VV,SíJaauaq,0xffff8afb,28000303,1250,15,
15,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1250,16,<c0>ＬＯＮＥＬＹ★</c>
16,#2J2PJ0UV,ikarosita,0xffa8e132,28000136,1249,17,Humble Grinders
17,#YRURQRPUR,Skibidi Chipz,0xff1ba5f5,28000018,1249,18,Talents
18,#8QJ0YUV8Q,千 | Kai,0xffa8e132,28000018,1249,19,Beyond Swift
19,#CG8R0JJC,⛩️ivͥaͣnͫ 🎋,0xffcb5aff,28000330,1249,20,Blue Star 💙
20,#QGLCPJ2J,Ansel,0xff1ba5f5,28000014,1249,21,CHEESEFOREVAR
21,#P8U8JQLG,感|WarMan⚔️,0xff1ba5f5,28000148,1249,22,OG Mute
22,#VGQ0P2VU,Carry by Georg,0xffffffff,28000123,1249,23,A Few Good Men
23,#99LLQYY9,Joeh,0xfff9c908,28000335,1249,24,👋 🤷‍♂️
24,#2QCVLV2Q,Psychopant💧,0xffff8afb,28000334,1249,25,7 Dwarves
25,#PPG8C2P2,Zimon,0xffffffff,28000184,1245,26,<c5>Just Us</c>
26,#9L09YYQ8L,⛩️Panda G.m⛩️,0xffcb5aff,28000330,1245,27,HolyGuns
27,#2CY898QJ0,єηισ ƒαιχα⁷ 🥋,0xffcb5aff,28000224,1237,28,Candangos do BR
28,#Y0GLYCYVY,Maho❤️🔥,0xff1ba5f5,28000129,1237,29,<c0>ＬＯＮＥＬＹ★</c>
29,#8LQQCCPRG,MyS|Efim👾,0xffa8e132,28000101,1225,30,Quant ESports🐾
30,#YGQYGCR,Portox😡,0xff1ba5f5,28000191,1217,31,Blue Label
31,#20CJVQQYU,[₮₱] ₱ɆⱠ₳Ɖ₳Ø,0xffcb5aff,28000291,1216,32,★the Players★
32,#8LQ9JR82,Code: Eqwaak,0xfff9c908,28000004,1212,33,A Few Good Men
