,tag,name,nameColor,icon,trophies,rank,club
0,#2C9PLLUG8,Efecan|Apple♎🖤,0xffff8afb,28000321,1503,1,<c0>ＬＯＮＥＬＹ★</c>
1,#20L88L2J,FUT | LeNain,0xffff8afb,28000321,1502,2,A Few Good Men
2,#2Q9PYVQLP,HelloWorld,0xffff8afb,28000096,1499,3,
3,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1499,4,Eclipse 🌖
4,#JV2L02VV,SíJaauaq,0xffff8afb,28000303,1453,5,
5,#8RU298020,𝐊𝐚𝐝𝐲 💘,0xffff8afb,28000333,1449,6,Gg|My Clan🥀🖤
6,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1400,7,Eclipse 🌖
7,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1378,8,Fenernazçe 💙💛
8,#YY9PPLQL9,Yume𓅦,0xff4ddba2,28000149,1349,9,Cipher Pol
9,#8LQ9JR82,Code: Eqwaak,0xfff9c908,28000004,1349,10,A Few Good Men
10,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1303,11,<c0>ＬＯＮＥＬＹ★</c>
11,#GRLUYG0R,NiceShøt 🌓,0xffcb5aff,28000347,1302,12,Ex0tic-E-Sport
12,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,1301,13,
13,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1293,14,Follow?
14,#9GRP8LR09,sad💔kekcik,0xffa8e132,28000011,1254,15,
15,#VYGVV08Q,🍅domates,0xffffffff,28000261,1253,16,
16,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1252,17,help ranks
17,#CQLR0Y80,QLS | Tufa,0xffa8e132,28000016,1252,18,Ghost Team👻☔
18,#2UYJR9VL,Corwas,0xffcb5aff,28000349,1252,19,Brawl Kings
19,#90JCYPQU,ZETA | MeOw,0xffffffff,28000074,1252,20,Talents
20,#9VGLJVYGV,iVxexxnera🦋,0xffffffff,28000011,1252,21,
21,#8URCLRY8,球隊|RoUND🌠,0xfff9c908,28000061,1252,22,My social media
22,#Y8YPYLGJP,↑Kei↓,0xffffffff,28000188,1252,23,Magicians
23,#Y9R9JPVPU,Xelium A🩸,0xffffffff,28000029,1252,24,
24,#GPPRCRLQG,sQwiRtl支,0xffffffff,28000156,1252,25,Talents
25,#8LLJ92VQ,あ| 𝓐𝓱𝓶𝓮𝓓🥀,0xff1ba5f5,28000349,1251,26,OG Mute
26,#YGQYGCR,Portox😡,0xff1ba5f5,28000191,1251,27,Blue Label
27,#82LRGLQ02,あ| 𝓕𝓪𝓱𝓪𝓓🥀,0xff1ba5f5,28000283,1251,28,OG Mute
28,#PYPQUG80,Zava💞Sunfote,0xffff9727,28000195,1251,29,Showdown💔Kings
29,#QR2GC8V,BKB|❄IC£CRØW❄,0xfff9c908,28000348,1251,30,Tribe Turkey
30,#9LY0YG9QP,を|Sed🍀,0xffa8e132,28000197,1250,31,DragonArmy
31,#290LJC89U,L1S|Unique❦,0xffa2e3fe,28000035,1250,32,Night Stars
32,#8VP882CR2,♡Mr_ido♡,0xffcb5aff,28000041,1250,33,Tribe Turkey
33,#PQ28JP0P,亲Jσтα,0xffff9727,28000175,1250,34,7 Dwarves
34,#8RYRU28Q0,koji <3,0xff1ba5f5,28000018,1250,35,<c5>Just Us</c>
35,#GCVPVRQY,MyS|Goman,0xff4ddba2,28000137,1250,36,Tribe Turkey
36,#P9YPY9U8J,MeTa | duo♡van,0xff4ddba2,28000262,1250,37,TyM`eSports
37,#QUYCVC2,STMN | sans,0xffa8e132,28000136,1250,38,STMN Esports
