,tag,name,nameColor,icon,trophies,rank,club
0,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1401,1,Fenernazçe 💙💛
1,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1401,2,Eclipse 🌖
2,#8PQ288GUJ,xzives🤍,0xffffffff,28000139,1384,3,devxssted19うぇっ
3,#8PJRRG2C,SK|GuilleVGX,0xffa8e132,28000099,1302,4,CONEXIÓN
4,#GRLUYG0R,NiceShøt 🌓,0xffcb5aff,28000347,1302,5,Ex0tic-E-Sport
5,#PQ09LC889,sinaayy🤍kアナー,0xffff8afb,28000196,1301,6,luv sinayy.🤍🪽
6,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1301,7,Follow?
7,#VYGVV08Q,🍅domates,0xffffffff,28000261,1301,8,
8,#YRURQRPUR,Skibidi Chipz,0xff1ba5f5,28000018,1300,9,Talents
9,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1300,10,Eclipse 🌖
10,#8Y98Q8U,CR | Sitetampo,0xffff8afb,28000014,1299,11,A Few Good Men
11,#PL2P020J8,Núbis Gear 4,0xffffffff,28000317,1299,12,GamePlay D
12,#LJQPG9P0C,AF|Cotoel,0xffff8afb,28000150,1299,13,最後に勝つのは俺らだお！
13,#GRC9RRJR,TQ | Javi,0xfff9c908,28000137,1297,14,A Few Good Men
14,#YYGYYUJJP,볼트❦ⁿᵃᵐᵉ,0xffff8afb,28000065,1256,15,Illusion Gaming
15,#LUJYJUR0L,〇〇マン2号,0xffa2e3fe,28000241,1253,16,Excellent🏆
16,#VULUQUY8,Davoxさなチズ,0xffffffff,28000218,1253,17,TT: niiil_06
17,#RY0GVQ2U,Daisy❦ⁿᵃᵐᵉ,0xff1ba5f5,28000347,1253,18,Illusion Gaming
18,#2PLYGLPPJ,Joel玄,0xffff9727,28000020,1252,19,
19,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1252,20,help ranks
20,#9RV0LQ8L2,Alisonn ✯,0xfff9c908,28000176,1252,21,Moonlight 🧚🏻
21,#QRUQQLV0,Code: Nukleo,0xffa8e132,28000186,1252,22,LA Instinct
22,#82LRGLQ02,あ| 𝓕𝓪𝓱𝓪𝓓🥀,0xff1ba5f5,28000283,1252,23,OG Mute
23,#9U0G8JPU2,mir,0xfff9775d,28000232,1252,24,Talents
24,#8GYJGVYR,thicc❤️basta,0xffff9727,28000233,1252,25,TheBrawlingKiwi
25,#2PG00PG02,Jooja💜Ryo,0xff4ddba2,28000136,1251,26,
26,#8JV08U8GR,NightMare❤️‍🔥,0xffcb5aff,28000280,1251,27,NHY E-SporTS
27,#GCVPVRQY,MyS|Goman,0xff4ddba2,28000137,1251,28,Tribe Turkey
28,#29LVRQV2L,ENVY|LelOP ❦,0xff1ba5f5,28000200,1251,29,Brawl Kings's
29,#88QCRPLJV,Togi☁️,0xffff8afb,28000303,1251,30,7 Dwarves
30,#8LLJ92VQ,あ| 𝓐𝓱𝓶𝓮𝓓🥀,0xff1ba5f5,28000349,1251,31,OG Mute
31,#P99QGPLU2,Davex,0xffffce89,28000129,1251,32,Brawl King's
32,#89JUJUVYL,𝓓𝓸𝓻𝓪👻🐉,0xfff9c908,28000020,1251,33,❅︎Merryの家𓍄𓂃𓈒
33,#2YYL89J8G,psychc🦈,0xffffffff,28000003,1251,34,🌴|<c3>HM</c>
34,#2ULUP8VG9,ぜ|КеКzzz🌖,0xffff9727,28000003,1251,35,ᴅᴀɪʟʏ
35,#8PG2RGGV8,Ｌプリモ,0xfff05637,28000023,1251,36,Venus
36,#YGQYGCR,Portox😡,0xff1ba5f5,28000191,1251,37,Blue Label
37,#Y2CJ0GYRY,wwaasskk1dd👅,0xff4ddba2,28000021,1251,38,
38,#8R99PJ890,xSkylasz•,0xffff9727,28000321,1251,39,Vitality
39,#9CPP2CJQ9,WhyLansik?,0xffff8afb,28000321,1251,40,Tribe Turkey
40,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1251,41,<c0>ＬＯＮＥＬＹ★</c>
41,#2Y2Y99GQR,VizeZ,0xffffffff,28000230,1251,42,Ex0tic-E-Sport
42,#Y0GLYCYVY,Maho❤️🔥,0xff1ba5f5,28000129,1251,43,<c0>ＬＯＮＥＬＹ★</c>
43,#9LY0YG9QP,を|Sed🍀,0xffa8e132,28000197,1250,44,DragonArmy
44,#9G0CJPJPY,Taha♛,0xffcb5aff,28000170,1250,45,GOOD BYE TAHA
45,#PQ28JP0P,亲Jσтα,0xffff9727,28000175,1250,46,7 Dwarves
46,#20CJVQQYU,[₮₱] ₱ɆⱠ₳Ɖ₳Ø,0xffcb5aff,28000291,1250,47,★the Players★
47,#9L09YYQ8L,⛩️Panda G.m⛩️,0xffcb5aff,28000330,1250,48,HolyGuns
48,#QUYCVC2,STMN | sans,0xffa8e132,28000136,1250,49,STMN Esports
49,#8RPPJ8Y8L,Lyoko | DiMii🌽,0xffcb5aff,28000014,1250,50,Wasted🥱
50,#9VU9R2LY,Terry!,0xffffffff,28000081,1250,51,✌️✌️✌️
51,#8RPQV82LR,키리❦ⁿᵃᵐᵉ,0xffcb5aff,28000213,1250,52,Illusion Gaming
52,#PC9LPPYV,Nico❤️Heys,0xff1ba5f5,28000196,1250,53,No Mercy
53,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,1250,54,
54,#2C0LPCJGY,WQ | Maris,0xffcb5aff,28000349,1249,55,コーナーで差をつけろ！
55,#80RQYRPP,Fortizz,0xffffffff,28000018,1249,56,Beyond Champs
56,#C8PLP8VQ,Zaikuu ☘️,0xff4ddba2,28000000,1249,57,EternityCry ✨
57,#82Y2800L0,ᶻChuka🤍ᴿ ͛,0xffffffff,28000349,1249,58,
58,#8Y082R2GG,추카|RapZ ✶,0xffff9727,28000211,1249,59,Beyond Swift
59,#VPGGUU9U,|🌬ŦƤ⋆SsnıɔıuıΛ,0xff1ba5f5,28000243,1249,60,★the Players★
60,#8CVCJVVV9,Եթ Շαɱเℓα ☆*❥⃝*,0xffff9727,28000302,1249,61,★the Players★
61,#289QGVYRQ,TyM|Ârda🦁,0xffff9727,28000014,1249,62,TyM`eSports
62,#VGLY2G88,はRyuji🍢,0xffffce89,28000247,1249,63,
63,#8QY2Y80CG,godikk❤️‍🔥,0xffcb5aff,28000014,1249,64,Ex0tic-E-Sport
64,#90RQYP98U,♡•bestie•♡🧸,0xffa2e3fe,28000221,1249,65,7 Dwarves
65,#2V0L08LU,Lucario,0xffcb5aff,28000335,1249,66,Die Tafelrunde
66,#CPYUR8QR,KD|Buff♡,0xfff9c908,28000132,1249,67,Quant ESports🐾
67,#9UG08PQUY,xSkywalker🦋ま,0xff1ba5f5,28000135,1249,68,Quant ESports🐾
68,#2VQ2V99CC,MMs🌙Nemuo,0xfff9c908,28000190,1249,69,めろんぱん食堂
69,#8QJ0YUV8Q,千 | Kai,0xffa8e132,28000018,1249,70,Beyond Swift
70,#Y008GGQVR,感|𝑶𝒍𝒕𝒚❦,0xffff8afb,28000321,1249,71,Spin Legends
71,#2082JRYUV,GooD•G,0xffcb5aff,28000033,1249,72,<c5>Just Us</c>
72,#2RR2JYYLP,Lone•D•Crissz🥱,0xffffffff,28000254,1249,73,Kings ladder
73,#22PJGVJYJ,히치Luxito🥀,0xffffffff,28000321,1249,74,No Mercy
74,#GCQVYGJU,Netlook#1,0xffff8afb,28000349,1249,75,Las Diablitas🧘
75,#P8U8JQLG,感|WarMan⚔️,0xff1ba5f5,28000148,1249,76,OG Mute
76,#PLCPU928R,ØFFŁÎŃÈ,0xff1ba5f5,28000019,1249,77,.....
77,#9QCJPL20,Golden Kawaii🌕,0xffffce89,28000045,1249,78,Eclipse 🌖
78,#99LLQYY9,Joeh,0xfff9c908,28000335,1249,79,👋 🤷‍♂️
79,#9GUV0PJ8Y,Here's Buzēn 🍭,0xfff9c908,28000108,1249,80,Elite Saiyan🔱
80,#2QCVLV2Q,Psychopant💧,0xffff8afb,28000334,1249,81,7 Dwarves
81,#YY9PPLQL9,Yume𓅦,0xff4ddba2,28000149,1243,82,Cipher Pol
82,#QPJ2VG8C8,Dragon 🐊,0xff1ba5f5,28000014,1237,83,Real Ones
83,#QGLCPJ2J,Ansel,0xff1ba5f5,28000014,1237,84,CHEESEFOREVAR
84,#20YJ9PLLV,ま|Shadows • 💫,0xffffffff,28000041,1233,85,what happened
85,#RRQQJPG2,Rabbithop,0xff1ba5f5,28000349,1225,86,we love rabbits
86,#2LR22JC9V,𝑻𝒐𝒃𝒊😮‍💨❤️,0xffa2e3fe,28000272,1217,87,BMW M5 F90.COMP
87,#VUQV0ULV,𝓚𝔂𝔀𝔂,0xffcb5aff,28000031,1215,88,Beyond Fresh
88,#9GJPJUQGJ,Xorox❤️‍🩹Byrox,0xffcb5aff,28000273,1213,89,Tribe Turkey
89,#GGQ8VJVC,AO | Taikamylly,0xffff8afb,28000339,1209,90,MunkkiHunters
90,#9292CVQR0,Obey_Aria|〆〆,0xffff8afb,28000347,1206,91,牙城
91,#9R9899GJ2,差|Stàr💘,0xfff9c908,28000018,1204,92,
92,#RUGUJPR8,☠ĆØΜβΔŦ€ŇŦ€☠,0xff4ddba2,28000253,1203,93,★the Players★
93,#20JR92CYU,ice🖤sophia,0xffffffff,28000139,1203,94,NGGL
94,#LVRRYPV,STMN | bobby,0xffa8e132,28000136,1203,95,STMN Esports
95,#CPPV2PQG,MeliodasBot🐐,0xffa8e132,28000006,1203,96,No Mercy
96,#9J2JLUR8G,Aspect 🃏,0xffffffff,28000304,1203,97,7 Dwarves
97,#GC280YR0G,Coltiii.<3,0xff1ba5f5,28000100,1203,98,NA|Legends❤️‍🩹
98,#220PGLU02,家|𝑴𝒆𝒎𝒆𝒏ϟ,0xffa8e132,28000163,1203,99,You and me 💜
99,#8URCLRY8,球隊|RoUND🌠,0xfff9c908,28000061,1203,100,My social media
100,#8LQ9JR82,Code: Eqwaak,0xfff9c908,28000004,1203,101,A Few Good Men
101,#220QRRLVV,Nanoxx🍥,0xffffce89,28000014,1203,102,trolling
102,#2CRRRRYJR,моё,0xfff9c908,28000213,1203,103,✌️✌️✌️
103,#28CVQGURJ,kxrtofvl,0xffffffff,28000061,1203,104,UNDERDOG 🇵🇱
104,#PR9U2JL,Juan Carlos,0xffffffff,28000119,1202,105,Humble Grinders
105,#99JQ9PQP,Artem4ic🤍W,0xff4ddba2,28000018,1202,106,
106,#PGV9QVGU,Sq🩵LuRkz,0xffffce89,28000150,1202,107,Demise 🥀
107,#PYPQUG80,Zava💞Sunfote,0xffff9727,28000195,1202,108,Showdown💔Kings
108,#9Q22YCP9Q,Sunwait💞...?,0xffffffff,28000115,1201,109,Only Winners
109,#V8JP99J0,ZKN|Fantas🦊,0xffffce89,28000014,1201,110,Monkey’s Island
110,#G99CYGL,𝒁𝒂𝒊𝒌𝒐❄️,0xff4ddba2,28000194,1201,111,ChillOG
111,#PP8URGQL8,J. Álvarez ⁹🕷️,0xff1ba5f5,28000139,1201,112,Emi's bar 🍻
112,#29UGLJV2G,Lёvi,0xfff9c908,28000244,1201,113,✌️✌️✌️
113,#90V9VYJ8C,しょうけい,0xfff05637,28000242,1201,114,なかよし部
114,#88RGGCVQJ,My heart in AUS,0xff4ddba2,28000092,1200,115,ハナクソタケシ
115,#802VG829,LuRkz🩵Sq,0xffff8afb,28000014,1200,116,Demise 🥀
116,#GRVL8ULV,陰|SuperLab ☯︎,0xff1ba5f5,28000141,1200,117,7 Dwarves
117,#CGQCYJGY,TTV | SnakeThug,0xfff9c908,28000341,1200,118,Deadly Vipers🐍
118,#QR2GC8V,BKB|❄IC£CRØW❄,0xfff9c908,28000348,1200,119,Tribe Turkey
119,#9J9UQ0U9,Harrison022🐹,0xfff9775d,28000203,1199,120,✌️✌️✌️
120,#2J2PJ0UV,ikarosita,0xffa8e132,28000136,1199,121,Humble Grinders
121,#YLV8CL0R,Astaaaa❤️‍🔥😈,0xff4ddba2,28000347,1199,122,Tribe Turkey
122,#22U8CPP8Q,ŁŞƬ|Apurⅴ☘️,0xff1ba5f5,28000230,1199,123,ŁŞƬ☘️
123,#2YVQ98Q8C,DF | Tory,0xff4ddba2,28000166,1199,124,Melody
124,#22LCG2RLJ,ZT|Yősuki̸❦,0xff1ba5f5,28000349,1199,125,weird gamers
125,#290Q2YJ2Y,마마보이,0xffcb5aff,28000155,1199,126,High Ping 😵‍💫
126,#8CULYYLVC,たんじろう🧸,0xffcb5aff,28000014,1199,127,Emi's bar 🍻
127,#LJJ22Y8V,łepkor🌹,0xffffffff,28000331,1199,128,HolyPower
128,#ULCPJJ8,Kat 🍄,0xffcb5aff,28000003,1199,129,Real Ones
129,#9P2CUYJ8P,Scared,0xff4ddba2,28000167,1199,130,
130,#QJ0PRJCU,retired getsent,0xff4ddba2,28000010,1199,131,Beyond Swift
131,#JQC8JJU9,Hardy❦,0xfff9c908,28000302,1199,132,임포스터
132,#299PPJ22L,[MMA]nagibatori,0xffa2e3fe,28000235,1199,133,Showdown💔Kings
133,#JGCCGY80,prostislavv,0xffff9727,28000042,1199,134,BOBR gaming
134,#QRU0L0U,🐬ꜱᴏᴋʀᴀᴍ 🜲,0xff1ba5f5,28000201,1199,135,CONEXIÓN
135,#80UQP9UYR,え𝚟𝚎𝚗𝚘𝚡ツ,0xffffffff,28000139,1199,136,No Mercy
136,#92VJ9V29V,Yannic,0xffa8e132,28000213,1199,137,Brawl Kings's
137,#QPV0R9QUR,Storm ⚘,0xffcb5aff,28000014,1199,138,Novacane🤍
138,#8UPCRR92Y,꒰ঌひまれ໒꒱𓂃𓈒𓂂𓏸,0xff1ba5f5,28000302,1199,139,おぱんちゅみせて
139,#9LY90298P,疲 | Akuma ✘,0xfff9c908,28000061,1199,140,
140,#8C0PLGQRV,Duo♡nubik,0xff4ddba2,28000254,1198,141,Quant ESports🐾
141,#8LC808G,Tuyu,0xff1ba5f5,28000349,1198,142,@Tuyu_Official
142,#9G2JLCL8U,🥀⛩FMC🎋,0xffa2e3fe,28000136,1196,143,🥀Retired💫
143,#J8UR8002,SKC | Prozy,0xffa8e132,28000029,1193,144,Emi's bar 🍻
144,#URV8JPY,ormy🎄,0xffffffff,28000176,1193,145,Havoc Echo
145,#2CUYQ8RQC,🥷🏿,0xffffffff,28000272,1191,146,
146,#GPPRCRLQG,sQwiRtl支,0xffffffff,28000156,1191,147,Talents
147,#8C20RCL9L,POPEYE,0xff1ba5f5,28000352,1189,148,Easy Ltda
148,#YG9LCG82J,The Gizaline,0xff1ba5f5,28000347,1187,149,친추 마스터만 받음
149,#JV2L02VV,SíJaauaq,0xffff8afb,28000303,1184,150,
150,#89JJV992Y,ZL|caldera,0xfff9775d,28000040,1181,151,めろんぱん食堂
151,#8GUPLYY,FG | Jene,0xffff8afb,28000135,1181,152,clover
152,#29L028GQL,Djahsta,0xffff9727,28000306,1175,153,BC*|Family*
153,#20J9PYQUY,S!imy Kazya,0xfff05637,28000110,1175,154,Cipher Pol
154,#RRVVPG2Y,Brosta卡拉,0xff1ba5f5,28000206,1172,155,vMoove
155,#GP2Q0L92Y,다이너 저격수,0xffffce89,28000198,1168,156,ブリリアントぶた劇場
156,#CJP08CU0,Uriel,0xffffffff,28000135,1164,157,Brawl King's
157,#8GJY9G8UQ,Lollo ヤー🥱.,0xffff9727,28000237,1162,158,Celestyn
158,#P9YCRRRVL,Zelephh,0xff1ba5f5,28000123,1161,159,Brawl Kings
159,#L2VPY80L,imply❤️‍🔥,0xff1ba5f5,28000162,1157,160,<c0>PWNZ</c>
160,#2L0909JJU,Pickle🧃,0xffffffff,28000113,1156,161,cheese el pro
161,#R22YP09G,Twinkle🪄みり,0xff1ba5f5,28000112,1153,162,fake ring…♡
162,#J8YPGR,Twitch: Tobi,0xffcb5aff,28000000,1153,163,Brawl King's
163,#2QJ8QPR20,もなᵕ̈*,0xffffffff,28000150,1153,164,たつきすねげ
164,#QR88UL98,DeNova🍷💋,0xffff8afb,28000194,1153,165,CONEXIÓN
165,#Q9YC0J0G9,Rusya🤍Bloodyハニ,0xfff9c908,28000004,1152,166,KingdomRush
166,#Q9VUQ2UG9,позерочек,0xfff9c908,28000132,1151,167,оупи челики
167,#GLUUL2UYG,дрейн фомик💞,0xffffffff,28000111,1151,168,Lost Hell
168,#LGR9V0UL,はるめろでぃ💍,0xffa2e3fe,28000196,1149,169,ぽこ様を守り隊
169,#29YQ0JR2Y,れい｜ray🤷🏻‍♂️,0xffa8e132,28000151,1149,170,ユーロ
170,#8Q80P982R,𝐍𝐓|𝐀𝐚𝐫𝐮,0xffffce89,28000303,1149,171,✌️✌️✌️
