,tag,name,nameColor,icon,trophies,rank,club
0,#8JQ2URG0U,Sad💔Kerambit,0xffcb5aff,28000041,1502,1,анскиллы
1,#U2GY9G9V,ᴳᴼᴰᴍʏᴀ🔱,0xffffffff,28000041,1499,2,
2,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1400,3,Fenernazçe 💙💛
3,#8VP882CR2,♡Mr_ido♡,0xffcb5aff,28000041,1399,4,Tribe Turkey
4,#VGLY2G88,はRyuji🍢,0xffffce89,28000247,1349,5,
5,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1344,6,Follow?
6,#PQVVCJV8U,四葉のくまちゃんぱんつ☘️,0xff4ddba2,28000110,1340,7,「一番よりNo.2」
7,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1318,8,Eclipse 🌖
8,#VYGVV08Q,🍅domates,0xffffffff,28000261,1303,9,
9,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1302,10,Eclipse 🌖
10,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1301,11,<c0>ＬＯＮＥＬＹ★</c>
11,#GCQQPLPU,nellkenss<3,0xffffffff,28000280,1299,12,
12,#GL8V8Y0GL,“うああらあ”,0xffa8e132,28000041,1299,13,ns🌸
13,#8LPYRJLY9,ZR★いっくん🧸,0xff4ddba2,28000110,1264,14,スケバン同好会
14,#2UQYJQJCJ,Yaşámm❤️‍🔥,0xffcb5aff,28000302,1256,15,blessed
15,#28UURPLGU,DL|ℬℯ𝓃𝒹𝓎🀄,0xffff8afb,28000349,1254,16,DrachenLegion
16,#2VV2RCV0P,⚔️やiͥzzͣaͫᴳᵒᵈ⚔️,0xffcb5aff,28000280,1254,17,Jubas Community
17,#89CGJQ08G,Lônély🖤ClârX,0xffcb5aff,28000003,1253,18,LA Global
18,#PUJ8JCU2P,ѕυηѕє∂なさた🥷🤍,0xffff9727,28000337,1253,19,NA|Legends❤️‍🩹
19,#YP28LYR8G,GHS|Phoenix ❦,0xfff9c908,28000213,1253,20,Ghost eSports
