,tag,name,nameColor,icon,trophies,rank,club
0,#JV2L02VV,SíJaauaq,0xffff8afb,28000303,1502,1,
1,#9QCJPL20,Golden Kawaii🌕,0xffffce89,28000045,1402,2,Eclipse 🌖
2,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1307,3,Eclipse 🌖
3,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1303,4,<c0>ＬＯＮＥＬＹ★</c>
4,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1302,5,Eclipse 🌖
5,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1300,6,Fenernazçe 💙💛
6,#VYGVV08Q,🍅domates,0xffffffff,28000261,1300,7,
7,#YPUGQC29,oOoSMaNLıI 🩸,0xffa2e3fe,28000301,1299,8,Ninja Rebels 🥷
8,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1299,9,Follow?
9,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1257,10,help ranks
10,#9QC02VJV8,nyx1k?🤍ニックス,0xffffffff,28000137,1254,11,Lost Hell
11,#L2290P9RP,MyS|🎀ТАЧАЧЦ🎀,0xff1ba5f5,28000014,1254,12,Xyleindre
12,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,1253,13,
13,#2LC9RU2UG,ƇЄƊƦƖƇ🍁,0xffff9727,28000124,1252,14,+12 yaş sew
14,#2GPV0LRQC,TTeJIbMeIIIka,0xffff8afb,28000347,1252,15,Quant ESports🐾
15,#2JGVVPY,Nobody 🕊,0xffff8afb,28000006,1252,16,NA Friends
16,#9GRP8LR09,sad💔kekcik,0xffa8e132,28000011,1252,17,
17,#YRURQRPUR,Skibidi Chipz,0xff1ba5f5,28000018,1251,18,Talents
18,#P9YPY9U8J,MeTa | duo♡van,0xff4ddba2,28000262,1251,19,TyM`eSports
19,#82GC0CU8,XP|beko🦊,0xffff9727,28000223,1251,20,
20,#PQ09LC889,sinaayy🤍kアナー,0xffff8afb,28000196,1251,21,luv sinayy.🤍🪽
21,#YGQYGCR,Portox😡,0xff1ba5f5,28000191,1251,22,Blue Label
22,#GRLUYG0R,NiceShøt 🌓,0xffcb5aff,28000347,1251,23,Ex0tic-E-Sport
23,#8R99PJ890,xSkylasz•,0xffff9727,28000321,1251,24,Vitality
24,#82LRGLQ02,あ| 𝓕𝓪𝓱𝓪𝓓🥀,0xff1ba5f5,28000283,1251,25,OG Mute
25,#PYPQUG80,Zava💞Sunfote,0xffff9727,28000195,1251,26,Showdown💔Kings
26,#Y0VPJ89Q,Ｓㄚ 么 乙 ツ,0xffffce89,28000237,1250,27,Quant ESports🐾
27,#8Y082R2GG,추카|RapZ ✶,0xffff9727,28000211,1250,28,Beyond Swift
28,#99JQ9PQP,Artem4ic🤍W,0xff4ddba2,28000018,1250,29,
29,#8LLJ92VQ,あ| 𝓐𝓱𝓶𝓮𝓓🥀,0xff1ba5f5,28000349,1250,30,OG Mute
30,#9UG08PQUY,xSkywalker🦋ま,0xff1ba5f5,28000135,1250,31,Quant ESports🐾
31,#8PJRRG2C,SK|GuilleVGX,0xffa8e132,28000099,1250,32,CONEXIÓN
32,#JRYLGVYV,QLS|Glory™️,0xffff9727,28000132,1250,33,Ex0tic-E-Sport
33,#P22J8JP8,ZETA | BADBOY,0xffff9727,28000284,1250,34,No Mercy
34,#Y9R9JPVPU,Xelium A🩸,0xffffffff,28000029,1250,35,
35,#JPGRR9UV,Bowserr🥷被,0xff1ba5f5,28000206,1249,36,Brawl King's
36,#2UU2V2L0G,æncore💘,0xff1ba5f5,28000000,1249,37,Revaible 💗
37,#82GPP9LQ,BC*| Tobi🍉,0xff1ba5f5,28000303,1249,38,BC*|Family*
38,#202RGUPUG,☆FrankensteIn☆❤,0xffcb5aff,28000170,1249,39,Quant ESports🐾
39,#289QGVYRQ,TyM|Ârda🦁,0xffff9727,28000014,1249,40,TyM`eSports
40,#YY9PPLQL9,Yume𓅦,0xff4ddba2,28000149,1249,41,Cipher Pol
41,#2UGYQURUG,HeGs:)🇹🇷❤️‍🔥,0xffcb5aff,28000018,1249,42,NHY E-SporTS
42,#20YJ9PLLV,ま|Shadows • 💫,0xffffffff,28000041,1249,43,what happened
43,#8QY2Y80CG,godikk❤️‍🔥,0xffcb5aff,28000014,1249,44,Ex0tic-E-Sport
44,#QPJ2VG8C8,Dragon 🐊,0xff1ba5f5,28000014,1249,45,Real Ones
45,#90RQYP98U,♡•bestie•♡🧸,0xffa2e3fe,28000221,1249,46,7 Dwarves
46,#2082JRYUV,GooD•G,0xffcb5aff,28000033,1249,47,<c5>Just Us</c>
47,#2UCC8202,guti 💙,0xff1ba5f5,28000101,1249,48,Emi's bar 🍻
48,#C2GPV0V,王 | Potassium,0xffff9727,28000348,1249,49,Beyond Swift
49,#8ULJJPYG2,Âtahan🖤Ubéyd,0xffffffff,28000333,1249,50,
50,#20VVC8LU2,Cryzz❦︎,0xffffffff,28000108,1249,51,
51,#92PJVLPC,Sam / سام,0xff1ba5f5,28000135,1249,52,New Community
52,#8LQ9JR82,Code: Eqwaak,0xfff9c908,28000004,1249,53,A Few Good Men
53,#2CUYQ8RQC,🥷🏿,0xffffffff,28000272,1249,54,
54,#9L0UQRPJJ,İRONMAN,0xffcb5aff,28000314,1249,55,₮Ɽ₩`eSports
55,#2UGV0ULQC,MONSTER,0xfff9c908,28000187,1249,56,Жосткие профи
56,#99LLQYY9,Joeh,0xfff9c908,28000335,1249,57,👋 🤷‍♂️
57,#220QRRLVV,Nanoxx🍥,0xffffce89,28000014,1245,58,trolling
58,#2GP8RRLUJ,𝑹𝒆𝒎𝒐𝒎𝒆𝒏☃,0xff1ba5f5,28000339,1241,59,めろんぱん食堂
59,#GYYYP8P9U,бист|Kristina ♡,0xffffffff,28000210,1238,60,
60,#QGLCPJ2J,Ansel,0xff1ba5f5,28000014,1237,61,CHEESEFOREVAR
61,#29UGLJV2G,Lёvi,0xfff9c908,28000244,1224,62,✌️✌️✌️
62,#PYGR8CPJ2,〆ϻɪs͢τɪӄ🩸,0xfff9c908,28000018,1203,63,Spain4Win
63,#CPPV2PQG,MeliodasBot🐐,0xffa8e132,28000006,1203,64,No Mercy
64,#P99QGPLU2,Davex,0xffffce89,28000129,1203,65,Brawl King's
65,#GRCYVRJG,Edgar🤍æ,0xffff9727,28000176,1203,66,7 Dwarves
66,#20P2GP99,Ducky🐝,0xffa8e132,28000136,1203,67,NA Friends
67,#QRUQQLV0,Code: Nukleo,0xffa8e132,28000186,1203,68,LA Instinct
68,#2CRRRRYJR,моё,0xfff9c908,28000213,1203,69,✌️✌️✌️
69,#28CVQGURJ,kxrtofvl,0xffffffff,28000061,1203,70,UNDERDOG 🇵🇱
70,#22LJJCJ2G,Ferhât🦁,0xffff8afb,28000150,1202,71,BS|KoalisyoN
71,#89UPQJJVV,+BraboX 🎩,0xffa8e132,28000236,1200,72,Ghost Team👻☔
72,#2J2PJ0UV,ikarosita,0xffa8e132,28000136,1200,73,Humble Grinders
73,#ULQY2U8U,TTV|BEZSMERTNY,0xffff9727,28000170,1200,74,TTV|BEZSMERTNY
74,#CGQCYJGY,TTV | SnakeThug,0xfff9c908,28000341,1200,75,Deadly Vipers🐍
75,#CPPC8282,@IMBONOX2,0xffcb5aff,28000155,1199,76,임포스터
76,#YRJJYQCRR,Michael,0xffa2e3fe,28000190,1199,77,Stealth Citadel
77,#8JV08U8GR,NightMare❤️‍🔥,0xffcb5aff,28000280,1199,78,NHY E-SporTS
78,#VGLY2G88,はRyuji🍢,0xffffce89,28000247,1199,79,
79,#GRC9RRJR,TQ | Javi,0xfff9c908,28000137,1199,80,A Few Good Men
80,#2VQ2V99CC,MMs🌙Nemuo,0xfff9c908,28000190,1199,81,めろんぱん食堂
81,#YVRLRU9RQ,Koban🐗Wegiᴳᵒᵈ,0xffffffff,28000090,1199,82,HolyPower
82,#ULCPJJ8,Kat 🍄,0xffcb5aff,28000003,1199,83,Real Ones
83,#29L028GQL,Djahsta,0xffff9727,28000306,1199,84,BC*|Family*
84,#JGCCGY80,prostislavv,0xffff9727,28000042,1199,85,BOBR gaming
85,#28C8RQQJ2,を|Wolf🍃,0xffffffff,28000256,1199,86,
