,tag,name,nameColor,icon,trophies,rank,club
0,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1433,1,Eclipse 🌖
1,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1402,2,Fenernazçe 💙💛
2,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1356,3,Eclipse 🌖
3,#8LQQCCPRG,MyS|Efim👾,0xffa8e132,28000101,1334,4,Quant ESports🐾
4,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,1302,5,
5,#VYGVV08Q,🍅domates,0xffffffff,28000261,1301,6,
6,#PUJ8JCU2P,ѕυηѕє∂なさた🥷🤍,0xffff9727,28000337,1299,7,NA|Legends❤️‍🩹
7,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1299,8,help ranks
8,#Y0GLYCYVY,Maho❤️🔥,0xff1ba5f5,28000129,1299,9,<c0>ＬＯＮＥＬＹ★</c>
9,#9UG08PQUY,xSkywalker🦋ま,0xff1ba5f5,28000135,1254,10,Quant ESports🐾
10,#2UQGCL2R0,It's Grind♡,0xffffffff,28000135,1254,11,A Few Kиски
11,#89Q0GQJJG,🍌NaNi BaNaNi🍌,0xffcb5aff,28000299,1253,12,Quant ESports🐾
12,#20CJVQQYU,[₮₱] ₱ɆⱠ₳Ɖ₳Ø,0xffcb5aff,28000291,1253,13,★the Players★
13,#C2CULQP0,❤️‍🔥Mazoex♛,0xff1ba5f5,28000314,1253,14,VV eSport
14,#G800VUQY9,📚不登校🍿ともゆき🎓,0xfff05637,28000205,1253,15,シャシャまると愉快な仲間たち
15,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1253,16,<c0>ＬＯＮＥＬＹ★</c>
16,#290LJC89U,L1S|Unique❦,0xffa2e3fe,28000035,1253,17,Night Stars
17,#80GPQ2RGP,薙| Juice🧃,0xff4ddba2,28000337,1253,18,Tribe Turkey
18,#9G9GYJ9J2,ωнiτєʑiท🤍ネヶマア,0xff1ba5f5,28000071,1253,19,
19,#PJ02GQJ,$HIVAM I$ B+,0xffa8e132,28000151,1253,20,TT: niiil_06
20,#Q9YC0J0G9,Rusya🤍Bloodyハニ,0xfff9c908,28000004,1252,21,KingdomRush
21,#PGL2UL0CR,SS+|Psychokid,0xffffffff,28000164,1252,22,Talents
22,#88RR2LQ8J,Nowly🌗,0xfff9c908,28000207,1252,23,LyNow🌗
23,#2JYGUYUG,AAMIR LORD,0xffffffff,28000207,1252,24,CHEESEFOREVAR
24,#GY0J2GJLV,DESTROY LONELY,0xff4ddba2,28000169,1252,25,оупи челики
25,#JV2L02VV,SíJaauaq,0xffff8afb,28000303,1252,26,
26,#Y9R9JPVPU,Xelium A🩸,0xffffffff,28000029,1252,27,
27,#GPPRCRLQG,sQwiRtl支,0xffffffff,28000156,1252,28,Talents
28,#2L88GQG9P,L1S|Coebin❦,0xffcb5aff,28000293,1252,29,Night Stars
29,#888GJGP2C,-12|Dolphin 🐬♡,0xffffffff,28000140,1252,30,
30,#980GJCYVQ,⭐GG|AMJAD☔☄,0xff4ddba2,28000341,1251,31,OG Mute
31,#2YV98LLCY,"Arc,L🌒",0xfff9c908,28000266,1251,32,★the Players★
