,tag,name,nameColor,icon,trophies,rank,club
0,#2JY2GQC0L,кruсtaлuк🤍1500,0xffffffff,28000210,1499,1,destroyers🦇
1,#Y0GLYCYVY,Maho❤️🔥,0xff1ba5f5,28000129,1449,2,<c0>ＬＯＮＥＬＹ★</c>
2,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,1400,3,
3,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1399,4,Eclipse 🌖
4,#9QRR2LL,BreNaaa💉,0xffffffff,28000136,1399,5,Memories World
5,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1399,6,Fenernazçe 💙💛
6,#GRVL8ULV,陰|SuperLab ☯︎,0xff1ba5f5,28000141,1399,7,7 Dwarves
7,#2PQYVCP8G,COLORIDIN🏳️‍🌈,0xffff8afb,28000196,1399,8,White House🐻‍❄
8,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1371,9,Follow?
9,#9PGYVLY9,M.P.Gamer,0xffff8afb,28000342,1357,10,Amore💘EU
10,#P8UGQ0882,Minterrr🪄,0xffffffff,28000102,1349,11,оупи челики
11,#8UQJPQVY2,CN |🐳Yagami☆,0xff1ba5f5,28000225,1349,12,
12,#2R82G0QY0,Loading...,0xffff8afb,28000098,1321,13,★the Players★
13,#VYGVV08Q,🍅domates,0xffffffff,28000261,1307,14,
14,#88JJLV020,𝑵𝒊𝒏𝒋𝒂☁️,0xffa2e3fe,28000058,1303,15,Apostles Creed
15,#PUJ8JCU2P,ѕυηѕє∂なさた🥷🤍,0xffff9727,28000337,1303,16,NA|Legends❤️‍🩹
16,#P0L99Y092,🎆NINJAGAMER🎆,0xffa2e3fe,28000263,1303,17,OverPowers
17,#YP28LYR8G,GHS|Phoenix ❦,0xfff9c908,28000213,1303,18,Ghost eSports
18,#GRLUYG0R,NiceShøt 🌓,0xffcb5aff,28000347,1302,19,Ex0tic-E-Sport
19,#2VQYL99JL,NA|Diego 🖤,0xffffffff,28000014,1301,20,HeadShoterZ💣
20,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1300,21,<c0>ＬＯＮＥＬＹ★</c>
21,#9LY0YG9QP,を|Sed🍀,0xffa8e132,28000197,1300,22,DragonArmy
22,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1300,23,Eclipse 🌖
23,#VPGGUU9U,|🌬ŦƤ⋆SsnıɔıuıΛ,0xff1ba5f5,28000243,1299,24,★the Players★
24,#8JQGCVRG2,"m.ghost👻/""♪",0xfff05637,28000151,1299,25,
25,#2PU920U9C,₮Ɽ₩|VorteX❤🔥,0xffffffff,28000138,1299,26,Showdown💔Kings
26,#8LGVG0P88,Sunfote💞Zava,0xffcb5aff,28000333,1299,27,Showdown💘Kings
27,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1299,28,help ranks
28,#8888G9JG9,🥀𝐢𝐭𝐚𝐜𝐡𝐢☔,0xffff9727,28000349,1299,29,YT|CRESTALE🔥⚡
29,#8QJ0YUV8Q,千 | Kai,0xffa8e132,28000018,1299,30,Beyond Swift
30,#YVG2LJG,SN|scattered,0xff1ba5f5,28000285,1294,31,Talents
31,#R9RC9Q9,QLS 楤 Fubuкi 🐺,0xffffffff,28000305,1290,32,Brawlers Brasil
32,#2C9PLLUG8,Efecan|Apple♎🖤,0xffff8afb,28000321,1283,33,<c0>ＬＯＮＥＬＹ★</c>
33,#8PJRRG2C,SK|GuilleVGX,0xffa8e132,28000099,1282,34,CONEXIÓN
34,#L8UPY2RCL,rr,0xfff9775d,28000050,1280,35,Z드래곤볼Z
35,#Q9YC0J0G9,Rusya🤍Bloodyハニ,0xfff9c908,28000004,1276,36,KingdomRush
