,tag,name,nameColor,icon,trophies,rank,club
0,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1499,1,Eclipse 🌖
1,#Q2JVVRJVJ,tengo novia🥰,0xffffffff,28000075,1403,2,
2,#20L88L2J,FUT | LeNain,0xffff8afb,28000321,1387,3,A Few Good Men
3,#P8RQ90UY9,FMG | Vitorᴷⁱⁿᴳ,0xffffce89,28000349,1349,4,Ex0tic-E-Sport
4,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1349,5,help ranks
5,#VYGVV08Q,🍅domates,0xffffffff,28000261,1337,6,
6,#C2CULQP0,❤️‍🔥Mazoex♛,0xff1ba5f5,28000314,1303,7,VV eSport
7,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1302,8,<c0>ＬＯＮＥＬＹ★</c>
8,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1302,9,Follow?
9,#9GJPJUQGJ,Xorox❤️‍🩹Byrox,0xffcb5aff,28000273,1301,10,Tribe Turkey
10,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1266,11,Eclipse 🌖
11,#92C08YG00,愛~Not HumanZ❖,0xffff9727,28000033,1253,12,HeadShoterZ💣
12,#RVLQ0VUR,风暴|kerem🎃,0xffff9727,28000257,1253,13,ᴅᴀɪʟʏ
13,#8289PG99Q,愛~ZartyZ❖,0xff4ddba2,28000140,1253,14,艾~ℰ𝓈𝓅ℴ𝓇𝓉
14,#9GCCJJLYU,Slayer❤️‍🔥,0xffffffff,28000014,1253,15,🧀MUSSARELOS✨
15,#JC20PGQG,愛•τσiʑʑi ↯,0xffff8afb,28000129,1253,16,🧀MUSSARELOS 2✨
16,#GJV90V22Q,киска эль примо,0xffffffff,28000229,1252,17,
17,#99RRC99LP,farm😼кαдєiн,0xffffffff,28000122,1252,18,Masterpiece❤‍🩹
18,#R2R2JV9C,S4W|Aste❤️‍🔥,0xffff8afb,28000214,1252,19,Spain4Win
19,#9RUJLQYJ0,🎭𝒟𝑒𝒶𝓉𝒽🎭,0xffffce89,28000148,1252,20,
20,#2VCR08Q92,シ︎𝕊𝕖𝕣𝕣𝕒⌫☯︎,0xffff8afb,28000291,1251,21,IG|Guiserrabs
21,#PUJ8JCU2P,ѕυηѕє∂なさた🥷🤍,0xffff9727,28000337,1251,22,NA|Legends❤️‍🩹
22,#889VRC0QJ,🦅|Matheo>.<,0xffffffff,28000197,1251,23,
23,#8LJR900GU,Murât♛,0xffcb5aff,28000191,1251,24,ᴅᴀɪʟʏ
24,#99UJVQV08,Yunus❤️🔥,0xff1ba5f5,28000175,1251,25,
25,#QR2GC8V,BKB|❄IC£CRØW❄,0xfff9c908,28000348,1251,26,Tribe Turkey
26,#8YJ2L0QQ8,🥶|Seraph❄️,0xffff8afb,28000129,1250,27,PIG HUNTERS
27,#9UG08PQUY,xSkywalker🦋ま,0xff1ba5f5,28000135,1250,28,Quant ESports🐾
28,#2ULUP8VG9,ぜ|КеКzzz🌖,0xffff9727,28000003,1250,29,ᴅᴀɪʟʏ
29,#YGQYGCR,Portox😡,0xff1ba5f5,28000191,1250,30,Blue Label
30,#9P080U9L,riptideyls🔪,0xff1ba5f5,28000244,1250,31,Illusion Gaming
31,#2CUYQ8RQC,🥷🏿,0xffffffff,28000272,1250,32,
32,#JV2L02VV,SíJaauaq,0xffff8afb,28000303,1250,33,
33,#PYPQUG80,Zava💞Sunfote,0xffff9727,28000195,1250,34,Showdown💔Kings
34,#8JV08U8GR,NightMare❤️‍🔥,0xffcb5aff,28000280,1250,35,NHY E-SporTS
35,#QUYCVC2,STMN | sans,0xffa8e132,28000136,1250,36,STMN Esports
36,#82GC0CU8,XP|beko🦊,0xffff9727,28000223,1250,37,
37,#QRUQQLV0,Code: Nukleo,0xffa8e132,28000186,1250,38,LA Instinct
38,#89UPQJJVV,+BraboX 🎩,0xffa8e132,28000236,1249,39,Ghost Team👻☔
39,#80UP02L9G,wiz🧛🏼‍♀️,0xffff8afb,28000097,1249,40,Ash's Club
40,#J8UR8002,SKC | Prozy,0xffa8e132,28000029,1249,41,Emi's bar 🍻
41,#82PQUPGU0,Ryohei🐬,0xff1ba5f5,28000240,1249,42,数え役満🀄️
42,#PGL2UL0CR,SS+|Psychokid,0xffffffff,28000164,1249,43,Talents
43,#2YYL89J8G,psychc🦈,0xffffffff,28000003,1249,44,🌴|<c3>HM</c>
44,#GRC8GRQUY,XP|Ali🦊,0xffcb5aff,28000352,1249,45,Future Talents
45,#90JCCGPGL,Georgeッ,0xffff8afb,28000081,1249,46,AFGM GENESIS
46,#PQQRJUPY,FMG| 𝕭єℓℓσ🍄,0xffffce89,28000349,1249,47,Ex0tic-E-Sport
47,#GJJQPYC9,Storm🪐,0xffcb5aff,28000345,1249,48,GAMEOVER
48,#8VP882CR2,♡Mr_ido♡,0xffcb5aff,28000041,1249,49,Tribe Turkey
49,#P8QVC0UP,あNеох🖤,0xffcb5aff,28000010,1249,50,We❤️‍🩹Showdown
50,#9QUURV02U,kuraiiiiiiii,0xfff9c908,28000175,1249,51,Team Alpha
51,#2Q2JQURJR,あSerhâtt❤️‍🔥,0xff1ba5f5,28000297,1249,52,NHY E-SporTS
52,#GVJ82JR8,Kazumi,0xffcb5aff,28000291,1249,53,Ex0tic-E-Sport
53,#GYJVPU8V,𝓯𝓶𝟐𝟏𝟎,0xffffffff,28000125,1249,54,gloria🎈
54,#PC9LPPYV,Nico❤️Heys,0xff1ba5f5,28000196,1249,55,No Mercy
55,#8LQPUQ8GU,◇gøđ◇Ąňūb¡§◇,0xfff9c908,28000109,1249,56,The PoTaToes
56,#9L0UQRPJJ,İRONMAN,0xffcb5aff,28000314,1249,57,₮Ɽ₩`eSports
57,#8YJ222982,Lil Explosive ツ,0xffff9727,28000242,1249,58,Allied Exiles
58,#Y0GLYCYVY,Maho❤️🔥,0xff1ba5f5,28000129,1249,59,<c0>ＬＯＮＥＬＹ★</c>
59,#RRQQJPG2,Rabbithop,0xff1ba5f5,28000349,1241,60,we love rabbits
60,#QGLCPJ2J,Ansel,0xff1ba5f5,28000014,1238,61,CHEESEFOREVAR
61,#J8YPGR,Twitch: Tobi,0xffcb5aff,28000000,1237,62,Brawl King's
62,#98QJC2YPU,LUCİ😈,0xffcb5aff,28000194,1235,63,Tribe Turkey
63,#8LQ9JR82,Code: Eqwaak,0xfff9c908,28000004,1221,64,A Few Good Men
64,#202RGUPUG,☆FrankensteIn☆❤,0xffcb5aff,28000170,1220,65,Quant ESports🐾
65,#GRCYVRJG,Edgar🤍æ,0xffff9727,28000176,1212,66,7 Dwarves
66,#8PJRRG2C,SK|GuilleVGX,0xffa8e132,28000099,1211,67,CONEXIÓN
67,#PUUYYQPG,★彡ShaKa🌹頹,0xff1ba5f5,28000238,1207,68,🧀MUSSARELOS✨
68,#GV00QCYL,ɆⱠĐł₦™×͜×,0xfff9c908,28000019,1205,69,🧀MUSSARELOS✨
69,#P2R9VG2Q0,Shadow❤🩹Xorox,0xff1ba5f5,28000167,1204,70,
70,#YV8LLGV2,ϲʊʈɛ Ƥɩɳɛ >.<,0xffffffff,28000321,1204,71,TT: niiil_06
71,#889V8GQUV,•ʀɢ|ᵒᵖᴡᴇᴀᴢᴢʏ♛,0xfff05637,28000097,1204,72,𝙳𝚊𝚛𝚔🥀
72,#PJG9C8RLG,Yusuf❤️‍🔥,0xffff8afb,28000321,1204,73,GARLOŞ
73,#P8U8JQLG,感|WarMan⚔️,0xff1ba5f5,28000148,1204,74,OG Mute
74,#9VU9R2LY,Terry!,0xffffffff,28000081,1203,75,✌️✌️✌️
75,#2CY898QJ0,єηισ ƒαιχα⁷ 🥋,0xffcb5aff,28000224,1203,76,Candangos do BR
76,#P99QGPLU2,Davex,0xffffce89,28000129,1203,77,Brawl King's
77,#9UYUY9Y0C,在樹上澆水的芽芽王,0xffffffff,28000120,1202,78,一生只愛滴答2
78,#CGQCYJGY,TTV | SnakeThug,0xfff9c908,28000341,1202,79,Deadly Vipers🐍
79,#CPPV2PQG,MeliodasBot🐐,0xffa8e132,28000006,1201,80,No Mercy
80,#8R99PJ890,xSkylasz•,0xffff9727,28000321,1201,81,Vitality
81,#8P8VPQQR9,Dxarkie😈,0xffffffff,28000174,1200,82,TeamHard
82,#2C2CVCG0,•Adriel🪬,0xfff9775d,28000302,1200,83,Elite Latina
83,#P28J9J8QP,🌴HM| Pacify ツ,0xfff9c908,28000272,1200,84,🌴|<c3>HM</c>
84,#2LJ9QCCL,tedd💞💞,0xffffffff,28000112,1200,85,
