,tag,name,nameColor,icon,trophies,rank,club
0,#GRLUYG0R,NiceShøt 🌓,0xffcb5aff,28000347,1502,1,Ex0tic-E-Sport
1,#2UVUU28L8,Dede 最高の,0xffffffff,28000156,1502,2,Brawl King's
2,#GGUQCG0G,KaioDog,0xffff8afb,28000349,1499,3,
3,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1499,4,Eclipse 🌖
4,#28GR908QJ,P4S|MasTeR,0xffff9727,28000014,1491,5,P4SSANGERS
5,#20L88L2J,FUT | LeNain,0xffff8afb,28000321,1449,6,A Few Good Men
6,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1449,7,Fenernazçe 💙💛
7,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1402,8,Follow?
8,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1399,9,help ranks
9,#8LQ9JR82,Code: Eqwaak,0xfff9c908,28000004,1399,10,A Few Good Men
10,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1396,11,Eclipse 🌖
11,#Q2JVVRJVJ,tengo novia🥰,0xffffffff,28000075,1351,12,
12,#YV8U29VLY,Oh My Bibi🥵,0xffcb5aff,28000129,1327,13,❤️‍🩹
13,#2C9PLLUG8,Efecan|Apple♎🖤,0xffff8afb,28000321,1313,14,<c0>ＬＯＮＥＬＹ★</c>
14,#8JLRVYRU,- NOZÉ -,0xffa8e132,28000194,1303,15,★the Players★
15,#LPJP9PLLL,i dont feel,0xffffffff,28000129,1302,16,
16,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1301,17,<c0>ＬＯＮＥＬＹ★</c>
17,#VYGVV08Q,🍅domates,0xffffffff,28000261,1301,18,
18,#9GJPJUQGJ,Xorox❤️‍🩹Byrox,0xffcb5aff,28000273,1301,19,Tribe Turkey
19,#YY9RR2L2P,♛해왕 포세이돈｜별💫,0xfff9c908,28000139,1301,20,REX💫
20,#29JUPYJ0G,𝙐𝙣𝙝𝙤𝙡𝙮🩸,0xffff8afb,28000304,1300,21,HeadShoterZ💣
21,#88GQ0JQLP,NightArcher55,0xffff9727,28000286,1300,22,Twisted Ballz
22,#P9GRC09,히치Lucky🥀,0xffffffff,28000185,1299,23,No Mercy
23,#82GC0CU8,XP|beko🦊,0xffff9727,28000223,1299,24,
24,#P22J8JP8,ZETA | BADBOY,0xffff9727,28000284,1299,25,No Mercy
25,#8RYRU28Q0,koji <3,0xff1ba5f5,28000018,1295,26,<c5>Just Us</c>
26,#2PL8RUGR,⍣Aquarius27,0xffff9727,28000244,1293,27,HeadShoterZ💣
27,#209G0UUGY,Ylli🐬,0xffff8afb,28000321,1287,28,Tribe Gaming NA
28,#CJP08CU0,Uriel,0xffffffff,28000135,1282,29,Brawl King's
29,#8YQJVQG0G,かわいい✨️,0xffffce89,28000006,1278,30,스튜
30,#2ULUP8VG9,ぜ|КеКzzz🌖,0xffff9727,28000003,1265,31,ᴅᴀɪʟʏ
31,#8GLV92P8V,ノッツィン🖤,0xffffffff,28000195,1264,32,NGGL
32,#RL0QYR89,Giaaco💘,0xffffce89,28000321,1258,33,GoatLife
33,#99PGGLL8J,🎋TT|Fresh⛓️,0xfff05637,28000018,1257,34,TT-freshmanchik
34,#GJV90V22Q,киска эль примо,0xffffffff,28000229,1257,35,
35,#L9RRP8QQP,pro players,0xff1ba5f5,28000221,1255,36,あてぃしのこと好きすぎ―！❤️
36,#89VL8Y90G,BG|Mozart🖤🔥,0xff1ba5f5,28000233,1255,37,LA Global
37,#9P0QYJ98L,確朝〆ワンコ,0xffa2e3fe,28000349,1255,38,ぽこ様を守り隊
38,#8U0LQYGCY,yoshimaru🩸,0xffff9727,28000047,1254,39,One Question?
39,#2GPV0LRQC,TTeJIbMeIIIka,0xffff8afb,28000347,1254,40,Quant ESports🐾
40,#2LL8JYYVJ,алхимик38,0xffff9727,28000160,1254,41,анскиллы
41,#99RRC99LP,farm😼кαдєiн,0xffffffff,28000122,1254,42,Masterpiece❤‍🩹
42,#U9GC8G02,CMG | R B M,0xffffffff,28000058,1254,43,ChasmacGaming
43,#QP92PQV8V,Stanyslawes,0xffcb5aff,28000304,1254,44,mlpzaq
44,#Y0GLR9JG2,🥊Fᴏʀɪᴜs乂,0xffcb5aff,28000135,1253,45,
45,#2PLYGLPPJ,Joel玄,0xffff9727,28000020,1253,46,
46,#L82U9CVPQ,ᴼᵖɳe̷żu̷ҟσ🥀×᷼×,0xffff9727,28000213,1253,47,🧀MUSSARELOS✨
47,#PL09VC89J,xMehmet🤍,0xffcb5aff,28000125,1253,48,LA Global
48,#8C0PLGQRV,Duo♡nubik,0xff4ddba2,28000254,1253,49,Quant ESports🐾
49,#8GYCL8RR8,Yura🤍Lオナー,0xffff8afb,28000321,1253,50,Ѕℓυѕнιє
50,#28YCUGPJC,Niki♡JoJo,0xffff8afb,28000044,1253,51,Showdown💔Kings
51,#22LYCRGLL,✨Zar-D🎴,0xff1ba5f5,28000000,1253,52,Mumei Brawl YT
52,#80GPQ2RGP,薙| Juice🧃,0xff4ddba2,28000337,1253,53,Tribe Turkey
53,#CUUCQRQ9,A-B-N-SYRIA,0xff1ba5f5,28000168,1253,54,BC*|Family*
54,#289QGVYRQ,TyM|Ârda🦁,0xffff9727,28000014,1253,55,TyM`eSports
55,#PQ0Q0G0CC,𝑨𝒊𝒛𝒆𝒏💜星,0xffcb5aff,28000347,1253,56,Anteiku☕
56,#9CVGVGGJY,「KaoS」EﾌĐe尺ツ,0xffff9727,28000018,1253,57,ᴅᴀɪʟʏ
57,#Q2U0Y099,𝐀𝐋𝐄𝐗𝑰𝑺♡,0xffff9727,28000259,1253,58,Ꝉҽʂ ҠìӀӀҽɾʂ™²💣
58,#8QY2Y80CG,godikk❤️‍🔥,0xffcb5aff,28000014,1253,59,Ex0tic-E-Sport
59,#9PR980V2L,joni👅スランチャー,0xffcb5aff,28000346,1253,60,NA|Legends❤️‍🩹
60,#98YYRURL0,¡정신집중!§ETA〽️,0xffcb5aff,28000297,1253,61,
61,#2JCVYJRRJ,Yozöra:)🩵,0xffcb5aff,28000334,1253,62,レインボーの風船
62,#2JRPYGU0L,₮Ɽ₩|Kaan❤️🔥,0xfff9c908,28000261,1253,63,₮Ɽ₩`eSports
63,#LQ8Y2PQC,MMs🌙Nemuo,0xfff9775d,28000221,1253,64,コーナーで差をつけろ！
64,#98QJC2YPU,LUCİ😈,0xffcb5aff,28000194,1253,65,Tribe Turkey
65,#9QG89UV0Y,『𝕽𝖆𝖚𝖑❦︎』,0xffcb5aff,28000014,1253,66,TT: niiil_06
66,#80Y9J0800,BM | Justinᴷᶤˡˡ,0xffffffff,28000023,1253,67,🏝️•BlackMarket
67,#2GYY989GU,あ|Nouggetシ🦋,0xffa8e132,28000075,1253,68,VV eSport
68,#8R9VJLGLP,Blâex♛,0xffffffff,28000014,1253,69,YT: Murat Onat
69,#9LGYG2PLY,🖤爱sͥa̷↳tͣyͫ〆🐣,0xffffffff,28000167,1253,70,<c5>❤Quitt❤</c>
70,#22C0GV9CR,NoCrow,0xff1ba5f5,28000207,1253,71,HeroWarriorsTR
71,#GUGG2URG2,会|тιԍᴇʀ❦,0xff1ba5f5,28000352,1253,72,NA|Legends❤️‍🩹
72,#PQJVG9LG2,REX Kai💫🥀,0xff1ba5f5,28000110,1253,73,REX💫
73,#2PV2CQCVJ,ᴘᴇᴅʀᴏ ッ,0xffa8e132,28000197,1253,74,Ghost eSports
74,#2VQYL99JL,NA|Diego 🖤,0xffffffff,28000014,1253,75,HeadShoterZ💣
75,#2C0GUY8UY,愛~SpookyZ❖ 🧸,0xffffffff,28000345,1253,76,HeadShoterZ💣
76,#8RCYQCV2L,𝔭𝔩𝔶𝔤𝔪𝔰|戈,0xff1ba5f5,28000048,1253,77,Spike lovers 💚
77,#Y0GLYCYVY,Maho❤️🔥,0xff1ba5f5,28000129,1253,78,<c0>ＬＯＮＥＬＹ★</c>
78,#PVPRC0V0Y,As✞ex🩸,0xffffffff,28000137,1253,79,4ekanaia moneta
79,#Q9YC0J0G9,Rusya🤍Bloodyハニ,0xfff9c908,28000004,1252,80,KingdomRush
80,#JPGRR9UV,Bowserr🥷被,0xff1ba5f5,28000206,1252,81,Brawl King's
81,#22RLC0JU0,YT | BALA🍬,0xff1ba5f5,28000166,1252,82,WOLVES HUNGRY
82,#P0GCYJY20,ＮＴ| ᴹᵃʲᵒʳ❃,0xffcb5aff,28000198,1252,83,HolyPower
83,#90PVJ98YC,fahrradsattel,0xffa2e3fe,28000076,1252,84,
84,#VULUQUY8,Davoxさなチズ,0xffffffff,28000218,1252,85,TT: niiil_06
85,#8CGGQVJ2J,FE | mocha,0xfff9775d,28000175,1252,86,Tocxa
86,#2RQ02UV99,DJ SMOKE,0xff1ba5f5,28000019,1252,87,
87,#92L2GYQUQ,krolikk💖tans👅,0xff4ddba2,28000140,1252,88,HolyPower
88,#QUPU8GPUY,t1rehs🦖,0xffa8e132,28000136,1252,89,Dysphoria
89,#P9YCRRRVL,Zelephh,0xff1ba5f5,28000123,1252,90,Brawl Kings
90,#R2R2JV9C,S4W|Aste❤️‍🔥,0xffff8afb,28000214,1252,91,Spain4Win
91,#9UGRU00Q0,DB|Treqyz🧛,0xff4ddba2,28000140,1252,92,HolyPower
92,#82PQUPGU0,Ryohei🐬,0xff1ba5f5,28000240,1252,93,数え役満🀄️
93,#29UGLJV2G,Lёvi,0xfff9c908,28000244,1252,94,✌️✌️✌️
94,#982YQLPJL,valik🦥,0xffffffff,28000135,1252,95,はい「s❤️‍🔥World
95,#C2GY0YU,Peter|GG🌴,0xffffce89,28000233,1252,96,WOLFMX
96,#80Y88YLVP,メ•𝑳𝒆𝑛𝑛𝘺🤍,0xffcb5aff,28000196,1252,97,VV eSport
97,#8R99PJ890,xSkylasz•,0xffff9727,28000321,1252,98,Vitality
98,#82LRGLQ02,あ| 𝓕𝓪𝓱𝓪𝓓🥀,0xff1ba5f5,28000283,1252,99,OG Mute
99,#2CRRRRYJR,моё,0xfff9c908,28000213,1252,100,✌️✌️✌️
100,#PYPQUG80,Zava💞Sunfote,0xffff9727,28000195,1252,101,Showdown💔Kings
101,#8UQ9GQJJ,↝𝑉𝑖𝑝𝑒𝑟⍨꙳,0xff4ddba2,28000272,1252,102,めろんぱん食堂
102,#2LC0LQCRP,Evaツんﾌﾒ,0xff1ba5f5,28000241,1252,103,Brawl King's
103,#GPPRCRLQG,sQwiRtl支,0xffffffff,28000156,1252,104,Talents
104,#8L08R28GG,『Shad🖤⁵⁷』,0xffcb5aff,28000291,1252,105,Polish League
105,#8C9PPY0QG,Anouar ㄠ,0xffff8afb,28000044,1252,106,RealDutch
106,#9G0CJPJPY,Taha♛,0xffcb5aff,28000170,1251,107,GOOD BYE TAHA
107,#VLRRYV0V,ᴼᴾClown♡,0xffffffff,28000193,1251,108,TRIBUNVL
108,#8L88UVUJ0,✨Mr Larbin✨,0xff1ba5f5,28000167,1251,109,
109,#89Q0GQJJG,🍌NaNi BaNaNi🍌,0xffcb5aff,28000299,1251,110,Quant ESports🐾
110,#88RGGCVQJ,My heart in AUS,0xff4ddba2,28000092,1251,111,ハナクソタケシ
111,#889VRC0QJ,🦅|Matheo>.<,0xffffffff,28000197,1251,112,
112,#20CJVQQYU,[₮₱] ₱ɆⱠ₳Ɖ₳Ø,0xffcb5aff,28000291,1251,113,★the Players★
113,#VPGGUU9U,|🌬ŦƤ⋆SsnıɔıuıΛ,0xff1ba5f5,28000243,1251,114,★the Players★
114,#8JV08U8GR,NightMare❤️‍🔥,0xffcb5aff,28000280,1251,115,NHY E-SporTS
115,#LULRJJ2,❡ℍ𝕒𝕠ℚ𝕚𝕒𝕟☾,0xff1ba5f5,28000348,1251,116,<c7>T0</c>
116,#2UGYQURUG,HeGs:)🇹🇷❤️‍🔥,0xffcb5aff,28000018,1251,117,NHY E-SporTS
117,#88QVPU00U,TT | CONTENDERS,0xfff05637,28000290,1251,118,RK Esport
118,#8PCJV2Y8U,M♂️SS♀️L|SAZO🔥,0xffff9727,28000011,1251,119,Illusion Gaming
119,#P9YPY9U8J,MeTa | duo♡van,0xff4ddba2,28000262,1251,120,TyM`eSports
120,#C2CULQP0,❤️‍🔥Mazoex♛,0xff1ba5f5,28000314,1251,121,VV eSport
