,tag,name,nameColor,icon,trophies,rank,club
0,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1499,1,help ranks
1,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1401,2,Eclipse 🌖
2,#8LQQCCPRG,MyS|Efim👾,0xffa8e132,28000101,1399,3,Quant ESports🐾
3,#99PL0LCJG,☬IRON._.MIR☬,0xffffffff,28000067,1350,4,<c0>★DARK★</c>
4,#2C9PLLUG8,Efecan|Apple♎🖤,0xffff8afb,28000321,1349,5,<c0>ＬＯＮＥＬＹ★</c>
5,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1324,6,Fenernazçe 💙💛
6,#88LULYLR,༄JokerParc💫,0xfff9775d,28000239,1301,7,Beyond Swift
7,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1300,8,Follow?
8,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,1299,9,
9,#2CY0CVU80,~Vi♡tal🪐,0xffffffff,28000297,1299,10,Импрессив
10,#P8VRPYP02,MyS|kreiz❤️бист,0xffffffff,28000234,1263,11,アリーナ ♡︎ で
11,#88QVPU00U,TT | CONTENDERS,0xfff05637,28000290,1259,12,RK Esport
12,#PQGRRLU0,ѳℓ | ʝαყ ᴶᵒ❅,0xffff8afb,28000261,1255,13,⚡ Olimpo🌿
13,#Y8JQLUC09,♚Charlot・anan♚,0xffffce89,28000281,1255,14,ラーメン好きなルー🍜
14,#PYPQUG80,Zava💞Sunfote,0xffff9727,28000195,1254,15,Showdown💔Kings
15,#QPLCYLQP,R3B-F_15,0xffffffff,28000281,1254,16,THE NEW RULERS
16,#2G9RCVRJ,Mo̷⚡M̷A̷r̷k̷o̷,0xffffffff,28000135,1253,17,D_FOX
17,#8VQ08LVLU,❤️🌑SHIVAM🌕💛,0xffa8e132,28000003,1253,18,DEMONS PARADISE
18,#20CJVQQYU,[₮₱] ₱ɆⱠ₳Ɖ₳Ø,0xffcb5aff,28000291,1253,19,★the Players★
19,#YG2QP288P,Ñîćoなさた🥷🤍,0xffff9727,28000340,1253,20,LA Global
20,#8JLRVYRU,- NOZÉ -,0xffa8e132,28000194,1253,21,★the Players★
21,#QGC9JGLVY,〆𝓝𝓾𝓫𝓪𝔁🎈,0xffff9727,28000343,1253,22,TikTok : nubaxx
22,#290LJC89U,L1S|Unique❦,0xffa2e3fe,28000035,1253,23,Night Stars
23,#9QG89UV0Y,『𝕽𝖆𝖚𝖑❦︎』,0xffcb5aff,28000014,1253,24,TT: niiil_06
24,#90VVVLQQ,¡정신분열!Ãcīd:°〽️,0xffffce89,28000230,1253,25,
25,#PYQJ008GU,愛~AGM🤍,0xffa2e3fe,28000335,1253,26,Spike lovers 💚
26,#90R2J0YG0,pozithrt 가ㅢㅡ,0xffffce89,28000150,1253,27,whys in life 😕
27,#Y2CJ0GYRY,wwaasskk1dd👅,0xff4ddba2,28000021,1253,28,
28,#V2CLUQY2,PrJ|HeyBrother,0xffcb5aff,28000305,1253,29,Ultra Showdown
29,#QG990QQJ,MyS|Donatik,0xfff05637,28000322,1253,30,LA Global
30,#9GRP8LR09,sad💔kekcik,0xffa8e132,28000011,1252,31,
31,#JV2L02VV,SíJaauaq,0xffff8afb,28000303,1252,32,
32,#99RRC99LP,farm😼кαдєiн,0xffffffff,28000122,1252,33,Masterpiece❤‍🩹
33,#GJR0Q9099,Ed1l𝕨𝕖𝕚𝕤𝕤,0xffcb5aff,28000352,1252,34,
34,#9UY8JYGU2,SNICKERS,0xffcb5aff,28000265,1252,35,anomaly
