,tag,name,nameColor,icon,trophies,rank,club
0,#2G9P0CGVG,Sk| ×DtZ×ッ,0xffcb5aff,28000135,1515,1,OLS|CLUB
1,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1402,2,Fenernazçe 💙💛
2,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1302,3,Eclipse 🌖
3,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1301,4,Eclipse 🌖
4,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1290,5,Follow?
5,#889VRC0QJ,🦅|Matheo>.<,0xffffffff,28000197,1253,6,
6,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,1253,7,
7,#PYPQUG80,Zava💞Sunfote,0xffff9727,28000195,1253,8,Showdown💔Kings
8,#P99QGPLU2,Davex,0xffffce89,28000129,1252,9,Brawl King's
9,#QR2GC8V,BKB|❄IC£CRØW❄,0xfff9c908,28000348,1252,10,Tribe Turkey
10,#9LY0YG9QP,を|Sed🍀,0xffa8e132,28000197,1251,11,DragonArmy
11,#YRURQRPUR,Skibidi Chipz,0xff1ba5f5,28000018,1251,12,Talents
12,#LVQLJLPRU,GreenDAY🦠💚,0xffa8e132,28000323,1251,13,ずっと昼間でいいのに
13,#RY0GVQ2U,Daisy❦ⁿᵃᵐᵉ,0xff1ba5f5,28000347,1251,14,Illusion Gaming
14,#82LRGLQ02,あ| 𝓕𝓪𝓱𝓪𝓓🥀,0xff1ba5f5,28000283,1251,15,OG Mute
15,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1250,16,help ranks
16,#P9YPY9U8J,MeTa | duo♡van,0xff4ddba2,28000262,1250,17,TyM`eSports
17,#8LLJ92VQ,あ| 𝓐𝓱𝓶𝓮𝓓🥀,0xff1ba5f5,28000349,1250,18,OG Mute
18,#QUYCVC2,STMN | sans,0xffa8e132,28000136,1250,19,STMN Esports
19,#PUJ8JCU2P,ѕυηѕє∂なさた🥷🤍,0xffff9727,28000337,1250,20,NA|Legends❤️‍🩹
20,#8PJRRG2C,SK|GuilleVGX,0xffa8e132,28000099,1250,21,CONEXIÓN
21,#22C0GV9CR,NoCrow,0xff1ba5f5,28000207,1250,22,HeroWarriorsTR
22,#8R99PJ890,xSkylasz•,0xffff9727,28000321,1250,23,Vitality
23,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1250,24,<c0>ＬＯＮＥＬＹ★</c>
24,#Y0GLYCYVY,Maho❤️🔥,0xff1ba5f5,28000129,1250,25,<c0>ＬＯＮＥＬＹ★</c>
25,#2P02RRRYL,唯我独尊 それでも花は咲き誇る,0xffffce89,28000104,1249,26,Map↯︎e🍁
26,#VPGGUU9U,|🌬ŦƤ⋆SsnıɔıuıΛ,0xff1ba5f5,28000243,1249,27,★the Players★
