,tag,name,nameColor,icon,trophies,rank,club
0,#QGC9JGLVY,〆𝓝𝓾𝓫𝓪𝔁🎈,0xffff9727,28000343,1503,1,TikTok : nubaxx
1,#2C9PLLUG8,Efecan|Apple♎🖤,0xffff8afb,28000321,1501,2,<c0>ＬＯＮＥＬＹ★</c>
2,#PV9U8PU8Q,Raul Clash,0xffffffff,28000200,1499,3,🌴<c5>|HM</c>
3,#2Q9PYVQLP,HelloWorld,0xffff8afb,28000096,1499,4,
4,#P08899RJG,Runávoys:),0xffff9727,28000044,1499,5,rainy︎ ︎☂︎
5,#LP2LVRRU,THALES💙BIEL,0xffffffff,28000021,1449,6,Good Game
6,#QCY9J9Y88,Brawler,0xffffffff,28000122,1449,7,ISeeYouRey 👀⛏️
7,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1402,8,Fenernazçe 💙💛
8,#L9RRP8QQP,pro players,0xff1ba5f5,28000221,1397,9,あてぃしのこと好きすぎ―！❤️
9,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1349,10,help ranks
10,#2YYJRQCRV,ちぃんかわ❤️,0xff4ddba2,28000122,1346,11,さなさんのファン集まれ😃👍
11,#JRLQRL8,🌴HM|Noc ❀,0xff4ddba2,28000218,1343,12,🌴|<c3>HM</c>
12,#P0L99Y092,🎆NINJAGAMER🎆,0xffa2e3fe,28000263,1305,13,OverPowers
13,#YY9RR2L2P,♛해왕 포세이돈｜별💫,0xfff9c908,28000139,1305,14,REX💫
14,#920PC9CVC,AlOnE_DaRk,0xffff9727,28000348,1303,15,NHY E-SporTS
15,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1303,16,<c0>ＬＯＮＥＬＹ★</c>
16,#VYGVV08Q,🍅domates,0xffffffff,28000261,1303,17,
17,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1302,18,Eclipse 🌖
18,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1302,19,Eclipse 🌖
19,#YP28LYR8G,GHS|Phoenix ❦,0xfff9c908,28000213,1301,20,Ghost eSports
20,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1300,21,Follow?
21,#2G2RC9CUC,Legend✨コウ,0xffcb5aff,28000305,1299,22,エメハン大学
22,#Q2JVVRJVJ,tengo novia🥰,0xffffffff,28000075,1299,23,
23,#PP9CYV8GG,4K VINI,0xfff05637,28000213,1299,24,Amazones1
24,#YGCVPR8U8,Swifty | 戈,0xff1ba5f5,28000122,1299,25,Rapid Q
25,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,1299,26,
26,#RR0VLV9G,오뎅🙆‍♂️,0xff1ba5f5,28000122,1287,27,✦Brawl Stars✦
27,#22C0GV9CR,NoCrow,0xff1ba5f5,28000207,1258,28,HeroWarriorsTR
28,#80P9LJLV,愛~ScoobZ❖,0xffffffff,28000122,1257,29,Showdown🤍
29,#Y02QUURQL,style дезик<3,0xffcb5aff,28000045,1255,30,
30,#9QC02VJV8,nyx1k?🤍ニックス,0xffffffff,28000137,1254,31,Lost Hell
31,#9ULULVPG,Xabi☄️ᴴᴬᵀᴱᵧₒᵤ,0xff1ba5f5,28000218,1254,32,
32,#290LJC89U,L1S|Unique❦,0xffa2e3fe,28000035,1253,33,Night Stars
33,#8C0PLGQRV,Duo♡nubik,0xff4ddba2,28000254,1253,34,Quant ESports🐾
34,#80GPQ2RGP,薙| Juice🧃,0xff4ddba2,28000337,1253,35,Tribe Turkey
35,#20CJVQQYU,[₮₱] ₱ɆⱠ₳Ɖ₳Ø,0xffcb5aff,28000291,1253,36,★the Players★
36,#PYPYRPGJV,𝑱𝒖𝒔𝒕 𝑴𝒆🥀,0xffffce89,28000347,1253,37,★the Players★
37,#PPG8PC8C0,Crazy|КоhаКч🌈,0xffffffff,28000196,1253,38,Crazy op🫠
38,#99JQ9PQP,Artem4ic🤍W,0xff4ddba2,28000018,1253,39,
39,#29RQJY8Q8,@𝓡𝓮𝓿_Mew🧡,0xffff9727,28000337,1253,40,といママふぁんくらぶ🤱
40,#99LCC28V,vivek,0xffffce89,28000090,1253,41,NO<c7>MERCY</c>
