,tag,name,nameColor,icon,trophies,rank,club
0,#UY280J89,𝐒𝐞𝐧𝐲❃,0xffffce89,28000020,1552,1,<c5>ぽんみちょった</c>
1,#8PJRRG2C,SK|GuilleVGX,0xffa8e132,28000099,1502,2,CONEXIÓN
2,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1502,3,Eclipse 🌖
3,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1502,4,Eclipse 🌖
4,#GRLUYG0R,NiceShøt 🌓,0xffcb5aff,28000347,1501,5,Ex0tic-E-Sport
5,#JQ8L0YYL,RNG | Cauebr,0xfff9c908,28000314,1500,6,Ghost Team👻☔
6,#2JUCGCR9L,ÜMÂ.유마❦,0xff1ba5f5,28000125,1403,7,Relax❦
7,#2VYYGUUJQ,𝕓𝕠𝕠𝕤𝕥,0xffff9727,28000215,1363,8,Bibi Elite💜
8,#28CVQGURJ,kxrtofvl,0xffffffff,28000061,1358,9,UNDERDOG 🇵🇱
9,#2Y2Y99GQR,VizeZ,0xffffffff,28000230,1352,10,Ex0tic-E-Sport
10,#92U0C8RGU,M前平❕,0xffffffff,28000000,1349,11,美しい彼エターナル
11,#QUYCVC2,STMN | sans,0xffa8e132,28000136,1325,12,STMN Esports
12,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1307,13,help ranks
13,#LUP0QRC8,L1S|D4NTE❦,0xffff9727,28000129,1305,14,Mini Me’s
14,#82PPQ2Y0R,S4nd 🐣💛,0xfff9c908,28000217,1304,15,🚀💫ATS💫🚀
15,#90VUCY2PL,MyS|nassim,0xffff9727,28000308,1303,16,
16,#LQJC9QL2,HJK┃アチャ,0xffffffff,28000000,1302,17,豚骨ラーメンファンキー
17,#8L9JUCY0G,Sigma Male,0xffffffff,28000009,1302,18,Demise 🥀
18,#2JYGUYUG,AAMIR LORD,0xffffffff,28000207,1302,19,CHEESEFOREVAR
19,#22Q0J0P2P,LUCKRASS,0xffa8e132,28000210,1302,20,BC*|Family*
20,#9P2CUYJ8P,Scared,0xff4ddba2,28000167,1302,21,
21,#99VLVGRJG,BootyBaptizer69,0xffffce89,28000000,1302,22,Humble Grinders
22,#2G0GR9,꧁༺Eend༻꧂,0xffffffff,28000014,1302,23,<c5>Just Us</c>
23,#2PJJQV92,V3|Flamen🤍,0xffffce89,28000230,1302,24,CONEXIÓN
24,#8GULV80RP,wortekz,0xfff9c908,28000345,1302,25,Brawl King's
25,#99LP2PUQ9,jxbkofvl,0xffff9727,28000303,1301,26,ŚrednioNaPsa
26,#20CJVQQYU,[₮₱] ₱ɆⱠ₳Ɖ₳Ø,0xffcb5aff,28000291,1301,27,★the Players★
27,#CGQCYJGY,TTV | SnakeThug,0xfff9c908,28000341,1301,28,Deadly Vipers🐍
28,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1301,29,<c0>ＬＯＮＥＬＹ★</c>
29,#2CJQYCUR9,starheim🩸,0xffffffff,28000305,1301,30,
30,#Y29V28JYJ,ナイフを持った天使,0xfff9c908,28000014,1300,31,Brawl King's
31,#89UPQJJVV,+BraboX 🎩,0xffa8e132,28000236,1300,32,Ghost Team👻☔
32,#VYGVV08Q,🍅domates,0xffffffff,28000261,1300,33,
33,#PYJLL2QQL,たか/みく推し🎧❄️,0xff1ba5f5,28000334,1300,34,めろんぱん食堂
34,#VJ82J8GG,웅기❦ⁿᵃᵐᵉ,0xff1ba5f5,28000322,1300,35,Illusion Gaming
35,#PQ98LVPQ,Math ↯,0xffcb5aff,28000280,1299,36,Ash's Club
36,#2P088J29C,Matt,0xffff8afb,28000333,1299,37,<c5>Just Us</c>
37,#9LJ0G22RL,QLS|MITO,0xffa8e132,28000347,1283,38,🧀MUSSARELOS✨
38,#29L028GQL,Djahsta,0xffff9727,28000306,1280,39,BC*|Family*
39,#CVG9VGCG,Eddy🌖,0xffa8e132,28000148,1276,40,NHY E-SporTS
40,#80LJG2PR9,Zed | Kaijinn🌹,0xff1ba5f5,28000296,1275,41,マカロンのお菓子
41,#99JRGQ0C9,King⚡️,0xffcb5aff,28000135,1275,42,Affective.
42,#90R9Q2UP,@stardragonOP,0xffff9727,28000209,1270,43,SpenLC Youtube
43,#CQLR0Y80,QLS | Tufa,0xffa8e132,28000016,1270,44,Ghost Team👻☔
44,#GRC9RRJR,TQ | Javi,0xfff9c908,28000137,1270,45,A Few Good Men
45,#C282RY8C,Fiwlipp,0xffff8afb,28000014,1269,46,<c5>Just Us</c>
46,#QR8RU922,Karmaa,0xfff9c908,28000047,1268,47,Brawl King's
47,#GJQLPLQ8P,WinterZzz🤍A,0xff4ddba2,28000233,1267,48,Хижина Снайпов
48,#GPPRCRLQG,sQwiRtl支,0xffffffff,28000156,1267,49,Talents
49,#89V2LPJR2,Seipan,0xfff9c908,28000006,1267,50,✌️✌️✌️
50,#J9V89VU0,Dαvi🎲,0xffcb5aff,28000335,1267,51,BC*|Family*
51,#QRUQQLV0,Code: Nukleo,0xffa8e132,28000186,1266,52,LA Instinct
52,#YY9RR2L2P,♛해왕 포세이돈｜별💫,0xfff9c908,28000139,1264,53,REX💫
53,#2UPQR2J,m1key,0xfff05637,28000247,1264,54,Bunny Hole 🐰
54,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1263,55,Follow?
55,#GRQ82UJV,AQO | Toodyxz,0xffcb5aff,28000156,1263,56,United Stars ✨
56,#289LVCLY,Eva Owns Me,0xffff8afb,28000075,1263,57,Havoc Echo
57,#VGQ0P2VU,Carry by Georg,0xffffffff,28000123,1263,58,A Few Good Men
58,#2VG02RU0,ThorN3X,0xffcb5aff,28000018,1261,59,Brawl King's
59,#2JQ80QPQU,Hisoka❤️‍🩹Arky,0xffff9727,28000273,1261,60,LA Global
60,#88P0P28RR,はげどっぐ🐶🩵,0xff1ba5f5,28000136,1261,61,ホネルトンズ
61,#2GRJ0Q9UC,DEW│Luismen🤍,0xff1ba5f5,28000125,1260,62,めろんぱん食堂
62,#V2Q080UU,Valembeau💜,0xffcb5aff,28000035,1260,63,A Few Clown Men
63,#20QUGCVQ9,Mirrox 🐺,0xffffffff,28000345,1258,64,HolyPower
64,#Q2LCJV9Q,ぴょんまる〜♫おぅおぅ⤴︎,0xffffce89,28000035,1258,65,Uchronia
65,#2JU2QYG00,꧁KL❦ 𝒵ℰ𝓇𝑜☻™,0xffff8afb,28000095,1258,66,🔥Blaze Soul🔥
66,#PQPR2GQGJ,MatCha✈️,0xffcb5aff,28000014,1258,67,HK瘋
67,#VCPJQQ,Jealous🤍Y,0xffffce89,28000196,1257,68,люблю даню<3💓
68,#YUGUVGYL,edson v2 🪐,0xffcb5aff,28000176,1257,69,You and me 💜
69,#29UGLJV2G,Lёvi,0xfff9c908,28000244,1257,70,✌️✌️✌️
70,#P8RPRLJVQ,Кексик❤️‍🔥ソロリグ,0xffcb5aff,28000331,1257,71,Lose?
71,#8QR9Q9V2V,BobusIsMyDog👿,0xffcb5aff,28000023,1256,72,ŚrednioNaPsa
72,#GCJC0U22P,Zeyrox my life.,0xffa2e3fe,28000347,1256,73,HeroWarriorsTR
