,tag,name,nameColor,icon,trophies,rank,club
0,#2UYJV98J2,all 1500🏆,0xffffffff,28000000,1499,1,
1,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1402,2,Fenernazçe 💙💛
2,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1302,3,Eclipse 🌖
3,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1302,4,<c0>ＬＯＮＥＬＹ★</c>
4,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1300,5,Eclipse 🌖
5,#VYGVV08Q,🍅domates,0xffffffff,28000261,1300,6,
6,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1252,7,help ranks
7,#R2R2JV9C,S4W|Aste❤️‍🔥,0xffff8afb,28000214,1252,8,Spain4Win
8,#8Y2Y0GYYG,与田祐希𓃵,0xfff9c908,28000240,1252,9,Cipher Pol
9,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,1252,10,
10,#9LY0YG9QP,を|Sed🍀,0xffa8e132,28000197,1251,11,DragonArmy
11,#8VP882CR2,♡Mr_ido♡,0xffcb5aff,28000041,1251,12,Tribe Turkey
12,#20CJVQQYU,[₮₱] ₱ɆⱠ₳Ɖ₳Ø,0xffcb5aff,28000291,1251,13,★the Players★
13,#P9YPY9U8J,MeTa | duo♡van,0xff4ddba2,28000262,1251,14,TyM`eSports
14,#8LLJ92VQ,あ| 𝓐𝓱𝓶𝓮𝓓🥀,0xff1ba5f5,28000349,1251,15,OG Mute
15,#2ULUP8VG9,ぜ|КеКzzz🌖,0xffff9727,28000003,1251,16,ᴅᴀɪʟʏ
16,#PYPQUG80,Zava💞Sunfote,0xffff9727,28000195,1251,17,Showdown💔Kings
17,#QR2GC8V,BKB|❄IC£CRØW❄,0xfff9c908,28000348,1251,18,Tribe Turkey
18,#8JV08U8GR,NightMare❤️‍🔥,0xffcb5aff,28000280,1250,19,NHY E-SporTS
19,#9L09YYQ8L,⛩️Panda G.m⛩️,0xffcb5aff,28000330,1250,20,HolyGuns
20,#9UG08PQUY,xSkywalker🦋ま,0xff1ba5f5,28000135,1250,21,Quant ESports🐾
21,#JV2L02VV,SíJaauaq,0xffff8afb,28000303,1250,22,
22,#YQUQUUG,Ferlol,0xff1ba5f5,28000294,1249,23,minuta:3
