,tag,name,nameColor,icon,trophies,rank,club
0,#P8GGRVCL,MiroshkaClass ❤,0xfff05637,28000068,1451,1,Brawl Birds🐤⚔️
1,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1350,2,Eclipse 🌖
2,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1301,3,Fenernazçe 💙💛
3,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1300,4,<c0>ＬＯＮＥＬＹ★</c>
4,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1298,5,help ranks
5,#P99QGPLU2,Davex,0xffffce89,28000129,1267,6,Brawl King's
6,#QLYJ2RGJ,ɢʀᴏᴍᶜʰᵃᵈง'̀-'́ง,0xfff05637,28000218,1263,7,AE Cosmic
7,#28CVQGURJ,kxrtofvl,0xffffffff,28000061,1259,8,UNDERDOG 🇵🇱
8,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1258,9,Eclipse 🌖
9,#RVLQ0VUR,风暴|kerem🎃,0xffff9727,28000257,1257,10,ᴅᴀɪʟʏ
10,#89JJV992Y,ZL|caldera,0xfff9775d,28000040,1254,11,めろんぱん食堂
11,#2UL9QGVVQ,⚔️ᴡikͥτoͣrͫro,0xff4ddba2,28000349,1254,12,Waffle House 🏠
12,#20L88L2J,FUT | LeNain,0xffff8afb,28000321,1252,13,A Few Good Men
13,#CGQCYJGY,TTV | SnakeThug,0xfff9c908,28000341,1252,14,Deadly Vipers🐍
14,#Y2VLVGC88,MSP|Nayt あ,0xff1ba5f5,28000262,1252,15,MSP TEAM
15,#JV2L02VV,SíJaauaq,0xffff8afb,28000303,1252,16,
16,#9L0UQRPJJ,İRONMAN,0xffcb5aff,28000314,1252,17,₮Ɽ₩`eSports
17,#2CRRRRYJR,моё,0xfff9c908,28000213,1252,18,✌️✌️✌️
18,#PYPQUG80,Zava💞Sunfote,0xffff9727,28000195,1252,19,Showdown💔Kings
19,#C2CP8YG,∅∅∅∅∅∅∅,0xffffffff,28000038,1252,20,a<c
20,#9GQP82R0Q,다원이,0xff1ba5f5,28000305,1252,21,NX엔엑스
21,#Y29V28JYJ,ナイフを持った天使,0xfff9c908,28000014,1251,22,Brawl King's
22,#29UGLJV2G,Lёvi,0xfff9c908,28000244,1251,23,✌️✌️✌️
23,#9VU9R2LY,Terry!,0xffffffff,28000081,1251,24,✌️✌️✌️
24,#99VLVGRJG,BootyBaptizer69,0xffffce89,28000000,1251,25,Humble Grinders
25,#8PJRRG2C,SK|GuilleVGX,0xffa8e132,28000099,1251,26,CONEXIÓN
26,#82LRGLQ02,あ| 𝓕𝓪𝓱𝓪𝓓🥀,0xff1ba5f5,28000283,1251,27,OG Mute
27,#LQJC9QL2,HJK┃アチャ,0xffffffff,28000000,1250,28,豚骨ラーメンファンキー
28,#P8U8JQLG,感|WarMan⚔️,0xff1ba5f5,28000148,1250,29,OG Mute
29,#LUGQ9UPC,guesti,0xfff9775d,28000018,1250,30,<c5>Just Us</c>
30,#989L0928Q,L1S|Sufiyan❦,0xff1ba5f5,28000033,1249,31,IMMORTAL SOULS
31,#VYPQ8JP,Yde,0xfff9c908,28000321,1249,32,Brawl Kings
32,#2VPCUG92R,烈火戰神,0xfff05637,28000345,1249,33,<c0>IX Zeus</c>
33,#J8YPGR,Twitch: Tobi,0xffcb5aff,28000000,1249,34,Brawl King's
34,#98P92U0UU,ARX|Numan,0xfff9c908,28000047,1249,35,
35,#2VV02GQ2C,RNT | Prime,0xff1ba5f5,28000044,1249,36,Imperial
36,#2UVPC8V,Mago21 🖤,0xffa8e132,28000340,1249,37,Talents
37,#8VJYGP2R8,+＋爽凛❇︎SOURIN＋+,0xff1ba5f5,28000267,1249,38,Uchronia
38,#8LQ9JR82,Code: Eqwaak,0xfff9c908,28000004,1249,39,A Few Good Men
39,#990LVLJGV,Q3artex Bs qert,0xffffffff,28000106,1249,40,Brawl Fight
40,#UYUUQQ8Q,대왕❦(光),0xffcb5aff,28000115,1249,41,<c1>BBOBBY</c>
41,#LV8YGJQCJ,鄭珈欣♥️,0xffcb5aff,28000184,1249,42,<c7>ʚÜɞ</c>
42,#VGQ0P2VU,Carry by Georg,0xffffffff,28000123,1249,43,A Few Good Men
43,#LUP0QRC8,L1S|D4NTE❦,0xffff9727,28000129,1249,44,Mini Me’s
44,#2QCVLV2Q,Psychopant💧,0xffff8afb,28000334,1249,45,7 Dwarves
45,#829LJ28CU,toxicgenie🃏,0xffcb5aff,28000286,1237,46,Real Ones
