,tag,name,nameColor,icon,trophies,rank,club
0,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1402,1,Fenernazçe 💙💛
1,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1400,2,Eclipse 🌖
2,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1399,3,Follow?
3,#2YP88Y8RG,xKapix,0xffffffff,28000210,1359,4,UNDERDOG 🇵🇱
4,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1303,5,Eclipse 🌖
5,#8RGPGP9LV,сапфирчик,0xffa8e132,28000150,1302,6,оупи челики
6,#QL0UYQU0P,星野 アイ,0xffff8afb,28000210,1302,7,美しい彼エターナル
7,#VYGVV08Q,🍅domates,0xffffffff,28000261,1301,8,
8,#2082JRYUV,GooD•G,0xffcb5aff,28000033,1281,9,<c5>Just Us</c>
9,#GRLUYG0R,NiceShøt 🌓,0xffcb5aff,28000347,1273,10,Ex0tic-E-Sport
10,#2LY99YGP8,HJK┃エネ↯,0xffcb5aff,28000338,1263,11,<c2>エホヤキム</c>
11,#LUJYJUR0L,〇〇マン2号,0xffa2e3fe,28000241,1254,12,Excellent🏆
12,#YG8V8QCJ8,일상,0xff1ba5f5,28000175,1254,13,Freedom
13,#Y9R9JPVPU,Xelium A🩸,0xffffffff,28000029,1254,14,
14,#98QJC2YPU,LUCİ😈,0xffcb5aff,28000194,1253,15,Tribe Turkey
15,#8RCQLG0RQ,Duo♡Zey4ik,0xff1ba5f5,28000210,1253,16,Quant ESports🐾
16,#9GJPJUQGJ,Xorox❤️‍🩹Byrox,0xffcb5aff,28000273,1253,17,Tribe Turkey
17,#Y0882Y08P,転生どんぱっち🙈,0xffffffff,28000210,1252,18,深い川は静かに流れる
18,#9QC02VJV8,nyx1k?🤍ニックス,0xffffffff,28000137,1252,19,Lost Hell
19,#202RGUPUG,☆FrankensteIn☆❤,0xffcb5aff,28000170,1252,20,Quant ESports🐾
20,#808JYV089,본우❦(本),0xff1ba5f5,28000019,1252,21,홀릿군단
21,#PYUJGV290,🪃在profikk🏔️,0xffcb5aff,28000207,1252,22,Ladder Warriors
22,#22Q0J0P2P,LUCKRASS,0xffa8e132,28000210,1252,23,BC*|Family*
23,#90JCYPQU,ZETA | MeOw,0xffffffff,28000074,1252,24,Talents
24,#99VLVGRJG,BootyBaptizer69,0xffffce89,28000000,1252,25,Humble Grinders
25,#8PJRRG2C,SK|GuilleVGX,0xffa8e132,28000099,1252,26,CONEXIÓN
26,#2QUQQUCL,Bīlúūùx 便便饼,0xffa8e132,28000136,1252,27,Allez Laaa
27,#R0PCVR2J,Honë❦,0xfff9c908,28000176,1252,28,<c3>ÉLITE</c>
28,#82LRGLQ02,あ| 𝓕𝓪𝓱𝓪𝓓🥀,0xff1ba5f5,28000283,1252,29,OG Mute
29,#G98VUYYR,鼓俄涩特丝挌麻,0xffffffff,28000139,1252,30,ecco2k
30,#PYL98Y0UG,Tirxedd,0xff1ba5f5,28000062,1251,31,UNDERDOG 🇵🇱
31,#89VL8Y90G,BG|Mozart🖤🔥,0xff1ba5f5,28000233,1251,32,LA Global
32,#PQ28JP0P,亲Jσтα,0xffff9727,28000175,1251,33,7 Dwarves
33,#2GPV0LRQC,TTeJIbMeIIIka,0xffff8afb,28000347,1251,34,Quant ESports🐾
34,#2GC2R8C0R,GSL❄️Smoke☔,0xffffce89,28000054,1251,35,
35,#G0LYU9JY,YNS|CAmPErr🌃,0xffa8e132,28000262,1251,36,<c0>PWNZ</c>
36,#PJYUUCCPC,でぃあぴの‪ღ,0xffcb5aff,28000210,1251,37,Excellent🏆
37,#P99QGPLU2,Davex,0xffffce89,28000129,1251,38,Brawl King's
38,#9VU9R2LY,Terry!,0xffffffff,28000081,1251,39,✌️✌️✌️
39,#9CQGLG0CV,Świnia🐷,0xfff05637,28000117,1251,40,ŚrednioNaPsa
40,#YGQYGCR,Portox😡,0xff1ba5f5,28000191,1251,41,Blue Label
41,#22GURLG00,NoRvie 〆,0xffff8afb,28000054,1251,42,
42,#V888YPGU,IME|Minepro,0xfff9c908,28000164,1251,43,Invincible
43,#2Y2Y99GQR,VizeZ,0xffffffff,28000230,1251,44,Ex0tic-E-Sport
44,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1250,45,help ranks
45,#8RYRU28Q0,koji <3,0xff1ba5f5,28000018,1250,46,<c5>Just Us</c>
46,#RVLQ0VUR,风暴|kerem🎃,0xffff9727,28000257,1250,47,ᴅᴀɪʟʏ
