,tag,name,nameColor,icon,trophies,rank,club
0,#LRLGLP9GJ,『weakness🌪』,0xffff8afb,28000256,1502,1,Revaible 💗
1,#2Q9PYVQLP,HelloWorld,0xffff8afb,28000096,1499,2,
2,#9YUJP2QGP,FC | Reverse🌑,0xffff9727,28000341,1499,3,Fora da Curva®
3,#VYGVV08Q,🍅domates,0xffffffff,28000261,1403,4,
4,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1401,5,Fenernazçe 💙💛
5,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1400,6,Eclipse 🌖
6,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,1400,7,
7,#80G89YPQL,令Fellings💨,0xffffffff,28000207,1389,8,Magics🐉
8,#C8PLP8VQ,Zaikuu ☘️,0xff4ddba2,28000000,1349,9,EternityCry ✨
9,#2C9PLLUG8,Efecan|Apple♎🖤,0xffff8afb,28000321,1310,10,<c0>ＬＯＮＥＬＹ★</c>
10,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1303,11,help ranks
11,#JQ8L0YYL,RNG | Cauebr,0xfff9c908,28000314,1301,12,Ghost Team👻☔
12,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1301,13,Eclipse 🌖
13,#2VJLRR9GC,MySpâce🥺💔,0xffcb5aff,28000004,1300,14,
14,#8L9JUCY0G,Sigma Male,0xffffffff,28000009,1299,15,Demise 🥀
15,#299V2LJLU,lucas 2,0xffffffff,28000219,1299,16,Canal DougNando
16,#PU2QUGJJL,Mr_ido,0xfff9c908,28000262,1299,17,
17,#GJJQPYC9,Storm🪐,0xffcb5aff,28000345,1299,18,GAMEOVER
18,#8G29G92,MyS|Beast❤️Devi,0xff4ddba2,28000067,1299,19,I Feel Like God
19,#8PV9808R8,Ⱡ҉Ⓜ₲|❤尺ส๓λ Ʀξ๘❄,0xffa8e132,28000129,1299,20,LA milanga
20,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1278,21,Follow?
21,#222C2LU2L,⎲𝙂𝙧𝙞𝙕,0xffcb5aff,28000302,1272,22,Beyond Kratos
22,#PQ0PYYV9C,𝓐𝓻𝔁𝓮𝓷𝓽💫,0xfff9c908,28000062,1262,23,
23,#2LC9RU2UG,ƇЄƊƦƖƇ🍁,0xffff9727,28000124,1260,24,+12 yaş sew
