,tag,name,nameColor,icon,trophies,rank,club
0,#2C9PLLUG8,Efecan|Apple♎🖤,0xffff8afb,28000321,1507,1,<c0>ＬＯＮＥＬＹ★</c>
1,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1500,2,Eclipse 🌖
2,#89UPQJJVV,+BraboX 🎩,0xffa8e132,28000236,1499,3,Ghost Team👻☔
3,#20L88L2J,FUT | LeNain,0xffff8afb,28000321,1499,4,A Few Good Men
4,#9JPJQGCU2,Agent｜takayuki,0xffffffff,28000183,1449,5,DEEMO
5,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1416,6,Eclipse 🌖
6,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1399,7,Follow?
7,#CGC0RYJC,爱|𝓴𝓲𝓷𝓰💙,0xff1ba5f5,28000061,1399,8,Vitrious Legacy
8,#2GRQ00L0G,Dario,0xffffffff,28000150,1388,9,EvilFreedom ™
9,#9QVYUJQ,JoKi,0xffffffff,28000010,1376,10,
10,#LRLQPU09,Quantic 🌵,0xffa8e132,28000284,1353,11,LA Global
11,#R2LR2QLG,NOUN | Mohtep,0xffffffff,28000243,1352,12,A Few Good Men
12,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,1349,13,
13,#GRLUYG0R,NiceShøt 🌓,0xffcb5aff,28000347,1305,14,Ex0tic-E-Sport
14,#C2L2V0CY,YT|SameerBS,0xff4ddba2,28000290,1303,15,TT: niiil_06
15,#VYGVV08Q,🍅domates,0xffffffff,28000261,1301,16,
16,#Y2CJ0GYRY,wwaasskk1dd👅,0xff4ddba2,28000021,1301,17,
17,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1300,18,<c0>ＬＯＮＥＬＹ★</c>
18,#22CL00PG0,ZETA | Nowy297,0xffffffff,28000164,1299,19,A Few Good Men
19,#80LJG2PR9,Zed | Kaijinn🌹,0xff1ba5f5,28000296,1299,20,マカロンのお菓子
20,#8YGLC9JVU,𝘎𝘭𝘰𝘣𝘢𝘭𝘪♡,0xffcb5aff,28000281,1299,21,
21,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1299,22,help ranks
22,#20VVC8LU2,Cryzz❦︎,0xffffffff,28000108,1299,23,
23,#LCP2Y2Q,Lachkid,0xff1ba5f5,28000014,1299,24,Brawl Kings
24,#28YJ0880V,AQM_BTATA_200,0xffa2e3fe,28000203,1287,25,Ghost eSports
25,#8CCCQ8RLV,ѕσƒ|Diego🥀,0xffffce89,28000256,1273,26,B T H Alfa
26,#PPG8C2P2,Zimon,0xffffffff,28000184,1264,27,<c5>Just Us</c>
27,#2YV98LLCY,"Arc,L🌒",0xfff9c908,28000266,1261,28,★the Players★
28,#28YCUGPJC,Niki♡JoJo,0xffff8afb,28000044,1261,29,Showdown💔Kings
29,#2PJLL2RL2,ᵁⁿⁱᶜᵒʳⁿ🦄,0xffffffff,28000054,1259,30,Quack🦆
30,#8Y98Q8U,CR | Sitetampo,0xffff8afb,28000014,1257,31,A Few Good Men
31,#2Q028GQQP,MTM | Zeus,0xfff9c908,28000018,1255,32,NA Friends
32,#8R0GQ292R,真|Jelly🥀,0xffffffff,28000000,1254,33,HeadShoterZ💣
33,#8UUJVVJGQ,jonh,0xfff9c908,28000053,1254,34,BS LEGENDS
34,#2YUUC88LP,Matrox♡,0xffcb5aff,28000302,1254,35,Brigada 1 Mai
35,#P8U8JQLG,感|WarMan⚔️,0xff1ba5f5,28000148,1254,36,OG Mute
36,#8G982C80L,HL|GONI✨,0xffcb5aff,28000220,1254,37,홀릿군단
37,#PPQQJQPQU,愛Astrø 🖤,0xffffffff,28000018,1253,38,🧀MUSSARELOS✨
38,#8VQ08LVLU,❤️🌑SHIVAM🌕💛,0xffa8e132,28000003,1253,39,DEMONS PARADISE
39,#8JLRVYRU,- NOZÉ -,0xffa8e132,28000194,1253,40,★the Players★
40,#P2V2GGLJY,NM | Quinx™♊,0xffff8afb,28000111,1253,41,Quinx Academy
41,#2JUGUQ2GR,Solo♡︎Smoke,0xffcb5aff,28000058,1253,42,LA Temis
42,#22LJJCJ2G,Ferhât🦁,0xffff8afb,28000150,1253,43,BS|KoalisyoN
43,#9GG2L0L8V,を| کѳɱвяα💜,0xff4ddba2,28000352,1253,44,🧀MUSSARELOS 2✨
44,#YP28LYR8G,GHS|Phoenix ❦,0xfff9c908,28000213,1253,45,Ghost eSports
45,#2C0GUY8UY,愛~SpookyZ❖ 🧸,0xffffffff,28000345,1253,46,HeadShoterZ💣
46,#PJ02GQJ,$HIVAM I$ B+,0xffa8e132,28000151,1253,47,TT: niiil_06
47,#9GJPJUQGJ,Xorox❤️‍🩹Byrox,0xffcb5aff,28000273,1253,48,Tribe Turkey
48,#989L0928Q,L1S|Sufiyan❦,0xff1ba5f5,28000033,1252,49,IMMORTAL SOULS
49,#Q9YC0J0G9,Rusya🤍Bloodyハニ,0xfff9c908,28000004,1252,50,KingdomRush
50,#99LP2PUQ9,jxbkofvl,0xffff9727,28000303,1252,51,ŚrednioNaPsa
51,#LRJ9YYQL,☞Տӈᴀ⚜ᴅᴏΧ๛,0xffffce89,28000014,1252,52,CONEXIÓN
52,#9QPUYYCVY,XP|WASHINGTON🖤,0xffff8afb,28000295,1252,53,PUBLO
53,#8PJRRG2C,SK|GuilleVGX,0xffa8e132,28000099,1252,54,CONEXIÓN
54,#9ULULVPG,Xabi☄️ᴴᴬᵀᴱᵧₒᵤ,0xff1ba5f5,28000218,1252,55,
55,#8RYQQJYUU,𝐋𝐚𝐜𝐨𝐬𝐭々,0xff1ba5f5,28000134,1252,56,ToxicRush
56,#8GYJGVYR,thicc❤️basta,0xffff9727,28000233,1252,57,TheBrawlingKiwi
57,#YG9LCG82J,The Gizaline,0xff1ba5f5,28000347,1252,58,친추 마스터만 받음
58,#GJR0Q9099,Ed1l𝕨𝕖𝕚𝕤𝕤,0xffcb5aff,28000352,1252,59,
59,#P99QGPLU2,Davex,0xffffce89,28000129,1252,60,Brawl King's
60,#2JGVVPY,Nobody 🕊,0xffff8afb,28000006,1252,61,NA Friends
61,#CG8R0JJC,⛩️ivͥaͣnͫ 🎋,0xffcb5aff,28000330,1252,62,Blue Star 💙
62,#2PJJQV92,V3|Flamen🤍,0xffffce89,28000230,1252,63,CONEXIÓN
63,#2028QGJ99,AUV|Noob玄,0xffffce89,28000345,1252,64,Brawl King's
64,#2G9RCVRJ,Mo̷⚡M̷A̷r̷k̷o̷,0xffffffff,28000135,1251,65,D_FOX
65,#20CJVQQYU,[₮₱] ₱ɆⱠ₳Ɖ₳Ø,0xffcb5aff,28000291,1251,66,★the Players★
66,#289QGVYRQ,TyM|Ârda🦁,0xffff9727,28000014,1251,67,TyM`eSports
67,#C2CULQP0,❤️‍🔥Mazoex♛,0xff1ba5f5,28000314,1251,68,VV eSport
68,#8G0P89RL9,Dragos🐙,0xffcb5aff,28000138,1251,69,Mizmiripsis🛐
69,#98QJC2YPU,LUCİ😈,0xffcb5aff,28000194,1251,70,Tribe Turkey
70,#PUJ8JCU2P,ѕυηѕє∂なさた🥷🤍,0xffff9727,28000337,1251,71,NA|Legends❤️‍🩹
71,#PQJVG9LG2,REX Kai💫🥀,0xff1ba5f5,28000110,1251,72,REX💫
72,#P2RPRR9GP,Massoud シ ☔️,0xffcb5aff,28000286,1251,73,BN|Family💘
73,#80808J2QV,🪐ᴳᵒᵈνϟcᴛᴏʀ 🜲,0xff4ddba2,28000140,1251,74,Tribe Turkey
74,#9GRP8LR09,sad💔kekcik,0xffa8e132,28000011,1251,75,
75,#902YQPYYC,PSG|HİLECİ❦,0xff1ba5f5,28000194,1251,76,LA Global
76,#8Q9U9J8LJ,聪|Roy🏝️,0xff1ba5f5,28000286,1251,77,Beyond Lettuce
77,#8LQQCCPRG,MyS|Efim👾,0xffa8e132,28000101,1251,78,Quant ESports🐾
78,#LP8QV80Q,CM|Fly🖤,0xffcb5aff,28000137,1251,79,Showdown💔Kings
79,#JV2L02VV,SíJaauaq,0xffff8afb,28000303,1251,80,
80,#PYPQUG80,Zava💞Sunfote,0xffff9727,28000195,1251,81,Showdown💔Kings
81,#GV9GRLJJ,Counter,0xffff9727,28000265,1251,82,NA Friends
82,#8Q2GVCC90,THF | Ray,0xff1ba5f5,28000129,1251,83,KiwiKings
83,#YY9RR2L2P,♛해왕 포세이돈｜별💫,0xfff9c908,28000139,1251,84,REX💫
84,#9LY0YG9QP,を|Sed🍀,0xffa8e132,28000197,1251,85,DragonArmy
85,#290LJC89U,L1S|Unique❦,0xffa2e3fe,28000035,1251,86,Night Stars
86,#8Y082R2GG,추카|RapZ ✶,0xffff9727,28000211,1251,87,Beyond Swift
87,#80GPQ2RGP,薙| Juice🧃,0xff4ddba2,28000337,1251,88,Tribe Turkey
88,#9G9GYJ9J2,ωнiτєʑiท🤍ネヶマア,0xff1ba5f5,28000071,1251,89,
89,#2GJ0P08VQ,xXMasterProXx,0xfff9c908,28000348,1251,90,
90,#2Q2JQURJR,あSerhâtt❤️‍🔥,0xff1ba5f5,28000297,1251,91,NHY E-SporTS
91,#9CG8LJU8,『ᴵ ᵃᵐⱧ₳₥Ⱬ₳🎭🥀』,0xffcb5aff,28000293,1251,92,Tribe Turkey
92,#JP9P0LJG,Byrox❤️‍🩹Xorox,0xff1ba5f5,28000302,1251,93,ᴅᴀɪʟʏ
93,#2LR22JC9V,𝑻𝒐𝒃𝒊😮‍💨❤️,0xffa2e3fe,28000272,1251,94,BMW M5 F90.COMP
94,#22GURLG00,NoRvie 〆,0xffff8afb,28000054,1251,95,
95,#PQGRRLU0,ѳℓ | ʝαყ ᴶᵒ❅,0xffff8afb,28000261,1251,96,⚡ Olimpo🌿
96,#8R99PJ890,xSkylasz•,0xffff9727,28000321,1251,97,Vitality
97,#9CPP2CJQ9,WhyLansik?,0xffff8afb,28000321,1251,98,Tribe Turkey
98,#QR2GC8V,BKB|❄IC£CRØW❄,0xfff9c908,28000348,1251,99,Tribe Turkey
99,#Y0GLYCYVY,Maho❤️🔥,0xff1ba5f5,28000129,1251,100,<c0>ＬＯＮＥＬＹ★</c>
100,#9YPGPJR99,あ|MauryX🖤,0xffff9727,28000175,1251,101,Family Barza
101,#9L09YYQ8L,⛩️Panda G.m⛩️,0xffcb5aff,28000330,1250,102,HolyGuns
102,#82PQUPGU0,Ryohei🐬,0xff1ba5f5,28000240,1250,103,数え役満🀄️
