,tag,name,nameColor,icon,trophies,rank,club
0,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1400,1,Fenernazçe 💙💛
1,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1399,2,Follow?
2,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1362,3,Eclipse 🌖
3,#20VVC8LU2,Cryzz❦︎,0xffffffff,28000108,1349,4,
4,#VYGVV08Q,🍅domates,0xffffffff,28000261,1303,5,
5,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,1301,6,
6,#RPVU2L29,ᴼᵖɱa̷ṡ†e̷ꭆ🥀×᷼×,0xffff8afb,28000097,1301,7,🧀MUSSARELOS 2✨
7,#209G0UUGY,Ylli🐬,0xffff8afb,28000321,1299,8,Tribe Gaming NA
8,#9GJPJUQGJ,Xorox❤️‍🩹Byrox,0xffcb5aff,28000273,1267,9,Tribe Turkey
9,#2C9PLLUG8,Efecan|Apple♎🖤,0xffff8afb,28000321,1255,10,<c0>ＬＯＮＥＬＹ★</c>
10,#20CJVQQYU,[₮₱] ₱ɆⱠ₳Ɖ₳Ø,0xffcb5aff,28000291,1253,11,★the Players★
11,#2UGYQURUG,HeGs:)🇹🇷❤️‍🔥,0xffcb5aff,28000018,1253,12,NHY E-SporTS
12,#Q9YC0J0G9,Rusya🤍Bloodyハニ,0xfff9c908,28000004,1252,13,KingdomRush
13,#89UPQJJVV,+BraboX 🎩,0xffa8e132,28000236,1252,14,Ghost Team👻☔
14,#2UJQQ0YL,TOC,0xfff9c908,28000212,1252,15,anyway🤷🏻‍♂️
15,#QR2GC8V,BKB|❄IC£CRØW❄,0xfff9c908,28000348,1252,16,Tribe Turkey
16,#8PJRRG2C,SK|GuilleVGX,0xffa8e132,28000099,1251,17,CONEXIÓN
17,#2QJJ2CPG,Elvis,0xfff05637,28000203,1251,18,MegaPigEnjoyers
18,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1251,19,<c0>ＬＯＮＥＬＹ★</c>
19,#80GPQ2RGP,薙| Juice🧃,0xff4ddba2,28000337,1251,20,Tribe Turkey
20,#9R9899GJ2,差|Stàr💘,0xfff9c908,28000018,1251,21,
21,#9L09YYQ8L,⛩️Panda G.m⛩️,0xffcb5aff,28000330,1250,22,HolyGuns
22,#ULQY2U8U,TTV|BEZSMERTNY,0xffff9727,28000170,1250,23,TTV|BEZSMERTNY
23,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1250,24,help ranks
24,#8LLJ92VQ,あ| 𝓐𝓱𝓶𝓮𝓓🥀,0xff1ba5f5,28000349,1250,25,OG Mute
25,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1250,26,Eclipse 🌖
26,#VPGGUU9U,|🌬ŦƤ⋆SsnıɔıuıΛ,0xff1ba5f5,28000243,1249,27,★the Players★
27,#YRURQRPUR,Skibidi Chipz,0xff1ba5f5,28000018,1249,28,Talents
28,#8JQGCVRG2,"m.ghost👻/""♪",0xfff05637,28000151,1249,29,
29,#GUQRJ0CL9,🥕,0xffcb5aff,28000017,1249,30,
30,#9VU9R2LY,Terry!,0xffffffff,28000081,1249,31,✌️✌️✌️
31,#PQJVG9LG2,REX Kai💫🥀,0xff1ba5f5,28000110,1249,32,REX💫
32,#2UYJV98J2,all 1500🏆,0xffffffff,28000000,1249,33,
33,#8R0QQPR99,♛︎해왕 포세이돈|바라🥀,0xffff8afb,28000108,1249,34,🔥Blaze Soul🔥
