,tag,name,nameColor,icon,trophies,rank,club
0,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1377,1,Fenernazçe 💙💛
1,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1374,2,Eclipse 🌖
2,#VYGVV08Q,🍅domates,0xffffffff,28000261,1302,3,
3,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1253,4,help ranks
4,#JV2L02VV,SíJaauaq,0xffff8afb,28000303,1252,5,
5,#2CRRRRYJR,моё,0xfff9c908,28000213,1252,6,✌️✌️✌️
6,#PLUGLRG28,4SV_MaSTeP,0xffffffff,28000233,1251,7,Quant ESports🐾
7,#82LRGLQ02,あ| 𝓕𝓪𝓱𝓪𝓓🥀,0xff1ba5f5,28000283,1251,8,OG Mute
8,#PYPQUG80,Zava💞Sunfote,0xffff9727,28000195,1251,9,Showdown💔Kings
9,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1251,10,Eclipse 🌖
10,#9L09YYQ8L,⛩️Panda G.m⛩️,0xffcb5aff,28000330,1250,11,HolyGuns
11,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1250,12,<c0>ＬＯＮＥＬＹ★</c>
12,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,1250,13,
13,#QUYCVC2,STMN | sans,0xffa8e132,28000136,1250,14,STMN Esports
14,#YGQYGCR,Portox😡,0xff1ba5f5,28000191,1249,15,Blue Label
15,#8JV08U8GR,NightMare❤️‍🔥,0xffcb5aff,28000280,1249,16,NHY E-SporTS
16,#QGLCPJ2J,Ansel,0xff1ba5f5,28000014,1249,17,CHEESEFOREVAR
17,#YRJUL0GG,BOH|Wolf❤️Diego,0xff4ddba2,28000349,1249,18,Unión Soviética
18,#90RQYP98U,♡•bestie•♡🧸,0xffa2e3fe,28000221,1221,19,7 Dwarves
19,#8R99PJ890,xSkylasz•,0xffff9727,28000321,1209,20,Vitality
20,#28CVQGURJ,kxrtofvl,0xffffffff,28000061,1203,21,UNDERDOG 🇵🇱
21,#P99QGPLU2,Davex,0xffffce89,28000129,1203,22,Brawl King's
22,#QRUQQLV0,Code: Nukleo,0xffa8e132,28000186,1203,23,LA Instinct
23,#PC9LPPYV,Nico❤️Heys,0xff1ba5f5,28000196,1203,24,No Mercy
24,#8PJRRG2C,SK|GuilleVGX,0xffa8e132,28000099,1202,25,CONEXIÓN
25,#CGQCYJGY,TTV | SnakeThug,0xfff9c908,28000341,1200,26,Deadly Vipers🐍
26,#PR9U2JL,Juan Carlos,0xffffffff,28000119,1200,27,Humble Grinders
27,#PRP9UGU9Q,ZL|Chaser!,0xffcb5aff,28000297,1199,28,✌️✌️✌️
28,#UVQVJP0,Tribe | Lipe╰☆╮,0xffff8afb,28000333,1199,29,The Crias🐉
29,#80PC2QJCR,❥Hazzēиs✧,0xff1ba5f5,28000348,1199,30,7 Dwarves
30,#2LJ2JJY0Y,Ye,0xffffffff,28000207,1199,31,Havoc Echo
31,#P9LCG2VYP,호의❦ⁿᵃᵐᵉ,0xffffffff,28000243,1199,32,THE BAD RANDOMS
32,#2Q2LQC2P,ΗΥDЯΑΞΚΗΔΥΔττ,0xff1ba5f5,28000053,1199,33,HYDRA ESPORTS
33,#20P2GP99,Ducky🐝,0xffa8e132,28000136,1199,34,NA Friends
34,#2RU0JLVCY,Abacaxi💘,0xffffffff,28000000,1199,35,★the Players★
35,#JGCCGY80,prostislavv,0xffff9727,28000042,1199,36,BOBR gaming
36,#8LQ9JR82,Code: Eqwaak,0xfff9c908,28000004,1199,37,A Few Good Men
37,#QJ0PRJCU,retired getsent,0xff4ddba2,28000010,1189,38,Beyond Swift
38,#UYUUQQ8Q,대왕❦(光),0xffcb5aff,28000115,1173,39,<c1>BBOBBY</c>
39,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1171,40,Follow?
40,#8CG8Y8LQC,TAKKY,0xffffffff,28000336,1164,41,だから私は族
41,#CCVC28GP,パフパフ群,0xffffffff,28000039,1157,42,数え役満🀄️
42,#2VG02RU0,ThorN3X,0xffcb5aff,28000018,1153,43,Brawl King's
43,#802VG829,LuRkz🩵Sq,0xffff8afb,28000014,1153,44,Demise 🥀
44,#2JJRQ0LCP,Mvp ぎ,0xffff9727,28000175,1149,45,The Crias🐉
45,#CPPV2PQG,MeliodasBot🐐,0xffa8e132,28000006,1138,46,No Mercy
46,#V2Q080UU,Valembeau💜,0xffcb5aff,28000035,1137,47,A Few Clown Men
47,#2QCVLV2Q,Psychopant💧,0xffff8afb,28000334,1130,48,7 Dwarves
48,#2UYJV98J2,all 1500🏆,0xffffffff,28000000,1125,49,
49,#2Q028GQQP,MTM | Zeus,0xfff9c908,28000018,1114,50,NA Friends
50,#Q9YC0J0G9,Rusya🤍Bloodyハニ,0xfff9c908,28000004,1112,51,KingdomRush
51,#YLV8CL0R,Astaaaa❤️‍🔥😈,0xff4ddba2,28000347,1112,52,Tribe Turkey
52,#29L028GQL,Djahsta,0xffff9727,28000306,1110,53,BC*|Family*
53,#2P088J29C,Matt,0xffff8afb,28000333,1107,54,<c5>Just Us</c>
54,#J8YPGR,Twitch: Tobi,0xffcb5aff,28000000,1105,55,Brawl King's
55,#P9YPY9U8J,MeTa | duo♡van,0xff4ddba2,28000262,1105,56,TyM`eSports
56,#8LC808G,Tuyu,0xff1ba5f5,28000349,1105,57,@Tuyu_Official
57,#PGY9ULY,PollitoMan,0xffffffff,28000348,1104,58,7 Dwarves
58,#8Y98Q8U,CR | Sitetampo,0xffff8afb,28000014,1104,59,A Few Good Men
59,#2RQGVLRVG,₹GuilleX,0xffff8afb,28000036,1104,60,No Mercy
60,#20CQLYP2C,TBEjason,0xffff8afb,28000336,1104,61,Brawl King's
61,#28YCQ9809,why so clown?🤡,0xffffffff,28000330,1104,62,Tribe Turkey
62,#90R9Q2UP,@stardragonOP,0xffff9727,28000209,1104,63,SpenLC Youtube
63,#JGUYRYQ,Nathan🩵,0xffff8afb,28000041,1104,64,NA Friends
64,#20C80QUY9,GuGu 🌙,0xffcb5aff,28000212,1104,65,Brawl Kings
65,#2RJ0UJCU0,FMG|LuisOMGᴷⁱⁿᴳ,0xfff9c908,28000139,1104,66,ZETA|DIVISION'S
66,#8YQV9UPRL,AvalSElguu🌫️,0xffffffff,28000331,1104,67,MEGATROLL
67,#QR8RU922,Karmaa,0xfff9c908,28000047,1104,68,Brawl King's
68,#989L0928Q,L1S|Sufiyan❦,0xff1ba5f5,28000033,1103,69,IMMORTAL SOULS
69,#9LV0Q00YV,영원한감동,0xff4ddba2,28000082,1103,70,새싹
70,#220PGLU02,家|𝑴𝒆𝒎𝒆𝒏ϟ,0xffa8e132,28000163,1103,71,You and me 💜
71,#9P2CUYJ8P,Scared,0xff4ddba2,28000167,1103,72,
72,#CJP08CU0,Uriel,0xffffffff,28000135,1103,73,Brawl King's
73,#29CVP0V9U,Almighty Push💐,0xffcb5aff,28000335,1103,74,Beyond Champs
74,#8GUPLYY,FG | Jene,0xffff8afb,28000135,1103,75,clover
75,#QR90UY9L,Lipe❤️Pandora,0xffff9727,28000203,1103,76,Revenge Gaming
76,#89JJV992Y,ZL|caldera,0xfff9775d,28000040,1102,77,めろんぱん食堂
77,#8UYQRLQQV,Cwowお,0xffa8e132,28000331,1102,78,InTeamRasur
78,#9UG08PQUY,xSkywalker🦋ま,0xff1ba5f5,28000135,1102,79,Quant ESports🐾
79,#9VU9R2LY,Terry!,0xffffffff,28000081,1102,80,✌️✌️✌️
80,#9G0CJPJPY,Taha♛,0xffcb5aff,28000170,1102,81,GOOD BYE TAHA
81,#RRVVPG2Y,Brosta卡拉,0xff1ba5f5,28000206,1102,82,vMoove
82,#2PLVJ0GLV,Sniper🐙,0xffff9727,28000244,1102,83,Brawl Kings
83,#2LGRP0UUG,Hawks🎴,0xffa8e132,28000136,1102,84,7 Dwarves
84,#9YCVC8RQL,Hahn🧸❤️‍🔥,0xffffce89,28000272,1101,85,Dog Walkers
85,#VCPJQQ,Jealous🤍Y,0xffffce89,28000196,1101,86,люблю даню<3💓
86,#G99CYGL,𝒁𝒂𝒊𝒌𝒐❄️,0xff4ddba2,28000194,1101,87,ChillOG
87,#PVYYPVRGP,Liam🤭,0xffffffff,28000259,1101,88,Cuties🤭
88,#2RG0LV02,STMN | Scofield,0xff4ddba2,28000136,1101,89,vMoove
89,#829LJ28CU,toxicgenie🃏,0xffcb5aff,28000286,1101,90,Real Ones
90,#280RJ92JC,ExP |BloocK,0xfff9c908,28000242,1101,91,CONEXIÓN
91,#YPP02G9L,Mxrf 🐝,0xff1ba5f5,28000291,1101,92,Beyond Washed
92,#29Q0GJR,Gene♆,0xff1ba5f5,28000122,1100,93,Real Ones
93,#298JUYR29,Chase-Itz,0xffcb5aff,28000156,1100,94,Beyond Kratos
94,#88RGGCVQJ,My heart in AUS,0xff4ddba2,28000092,1100,95,ハナクソタケシ
95,#2J2PJ0UV,ikarosita,0xffa8e132,28000136,1100,96,Humble Grinders
96,#8LQQCCPRG,MyS|Efim👾,0xffa8e132,28000101,1100,97,Quant ESports🐾
97,#82GPP9LQ,BC*| Tobi🍉,0xff1ba5f5,28000303,1100,98,BC*|Family*
98,#2RL8LGV9Q,🐼iBearQu❦︎,0xfff05637,28000352,1100,99,High Quality
99,#22Q0J0P2P,LUCKRASS,0xffa8e132,28000210,1100,100,BC*|Family*
100,#CPYUR8QR,KD|Buff♡,0xfff9c908,28000132,1100,101,Quant ESports🐾
101,#29UGLJV2G,Lёvi,0xfff9c908,28000244,1100,102,✌️✌️✌️
102,#PQPR2GQGJ,MatCha✈️,0xffcb5aff,28000014,1100,103,HK瘋
103,#2YCR9RLCJ,Tris🍃,0xffcb5aff,28000095,1100,104,
104,#8LJ9UG2CY,울프(孜),0xff1ba5f5,28000337,1100,105,BlackLight
105,#QJULVGU,QLS | Edinho,0xff1ba5f5,28000194,1100,106,Ghost Team👻☔
106,#QR2GC8V,BKB|❄IC£CRØW❄,0xfff9c908,28000348,1100,107,Tribe Turkey
107,#20JYLU8JU,でんじゃらすトミーさん邪！♨️,0xffff8afb,28000320,1099,108,オーシャンズビュー
108,#GG8RL2CP,Kevin❤️‍🔥,0xffffffff,28000135,1099,109,……
109,#8GCYC9029,ふりちゃん‼︎,0xffff8afb,28000053,1099,110,Uchronia
110,#22JGLCURJ,Mr. RadiuS,0xff4ddba2,28000280,1099,111,Süleyman YTB
111,#Y9YY2VRCL,Scrappy,0xffff8afb,28000053,1099,112,
112,#2P0V0CQQ2,FG | Naipishu,0xffff8afb,28000034,1099,113,clover
113,#808YCJQ0,Shafin,0xffffce89,28000339,1099,114,Mini Me’s
114,#2CY898QJ0,єηισ ƒαιχα⁷ 🥋,0xffcb5aff,28000224,1099,115,Candangos do BR
115,#90JCCGPGL,Georgeッ,0xffff8afb,28000081,1099,116,AFGM GENESIS
116,#2L80JP00L,Hillen,0xffff8afb,28000335,1099,117,Ex0tic-E-Sport
117,#82920G2LC,L1S|DR4KE❦,0xffffffff,28000283,1099,118,
118,#9PY9V2UG2,TM|Bax✨,0xffffffff,28000196,1099,119,Eternal Esports
119,#UCP822P9,rash rider,0xffa8e132,28000291,1099,120,IMMORTAL SOULS
120,#GL0JYQ8LU,Disabled♿️,0xffcb5aff,28000191,1099,121,Watch This
121,#LRVJ0JPY2,ACG | Sodaa,0xffff9727,28000348,1099,122,Chicken Farm🐣
122,#99YL0PV9V,𝐍𝐓|𝐋𝐮𝐢𝐬𝐮,0xffffce89,28000349,1099,123,✌️✌️✌️
123,#8URCLRY8,球隊|RoUND🌠,0xfff9c908,28000061,1091,124,My social media
124,#YUYYLVJ,Perry💜Lukie,0xfff9c908,28000213,1088,125,NA Friends
125,#8CJJCUY,Awa De Piña ツ,0xffa2e3fe,28000046,1088,126,WOLFMX
126,#QGG2UUV0,P4S|Kurumi,0xffcb5aff,28000014,1088,127,Real Ones
127,#PPG8C2P2,Zimon,0xffffffff,28000184,1085,128,<c5>Just Us</c>
128,#90V9VYJ8C,しょうけい,0xfff05637,28000242,1083,129,なかよし部
129,#9VP2R0P9,ToxicZan,0xff1ba5f5,28000352,1082,130,Real Ones
130,#89UPQJJVV,+BraboX 🎩,0xffa8e132,28000236,1078,131,Ghost Team👻☔
131,#CJV2PJ0R,SK | Yoshi,0xffcb5aff,28000135,1076,132,Yoshi Fans
132,#C2GPV0V,王 | Potassium,0xffff9727,28000348,1075,133,Beyond Swift
133,#QLVP829R,Gas,0xff1ba5f5,28000122,1073,134,A Few Good Men
134,#2L892GP,YAPIMARU_YT,0xffffffff,28000186,1070,135,Cipher Pol
135,#JV8YLQ0G,[H]|CheSi,0xffcb5aff,28000265,1070,136,
136,#LQJC9QL2,HJK┃アチャ,0xffffffff,28000000,1069,137,豚骨ラーメンファンキー
137,#VGLY2G88,はRyuji🍢,0xffffce89,28000247,1067,138,
138,#9QLL2UYPR,❄️Pika❄️,0xff1ba5f5,28000010,1065,139,Real Ones
139,#VJUQ0Y,LG | Chino,0xff1ba5f5,28000322,1063,140,Havoc Echo
140,#8Y2Y0GYYG,与田祐希𓃵,0xfff9c908,28000240,1063,141,Cipher Pol
141,#CG0YQP2C,Bavioツんﾌﾒ,0xffffffff,28000014,1063,142,Arab Empire
142,#GV9GRLJJ,Counter,0xffff9727,28000265,1063,143,NA Friends
143,#2LYVL89YC,真黒〆藤FUJI,0xfff05637,28000267,1059,144,にっこり調査隊
144,#9J2JLUR8G,Aspect 🃏,0xffffffff,28000304,1058,145,7 Dwarves
145,#GUCUP9GR,ShwageeXO ♚,0xffff8afb,28000108,1058,146,STMN Esports
146,#PJGGV2Q80,LG | charlz,0xffff8afb,28000244,1056,147,Dog Walkers
147,#8UL0U08V,winq ☃️🤍,0xffff8afb,28000175,1056,148,Havoc Echo
148,#80G89U99R,Chibro,0xffcb5aff,28000018,1056,149,ETERNAL FLAME
149,#8QY2Y80CG,godikk❤️‍🔥,0xffcb5aff,28000014,1055,150,Ex0tic-E-Sport
150,#J8UR8002,SKC | Prozy,0xffa8e132,28000029,1055,151,Emi's bar 🍻
151,#22992CG0G,元Leobardo™,0xffa8e132,28000129,1054,152,7 Dwarves
152,#8CRC9QUY9,팀원 버스타는Daye🤱,0xfff9c908,28000124,1054,153,<c1>BBOBBY</c>
153,#2P2URUV8G,Foncho,0xffcb5aff,28000209,1054,154,Dragon Chileno
154,#Y22RU8YQ2,Seis,0xffcb5aff,28000159,1054,155,Brawl King's
155,#289YVRL0Y,ж Mєℓєє ж,0xff1ba5f5,28000004,1053,156,B T H Alfa
156,#80808J2QV,🪐ᴳᵒᵈνϟcᴛᴏʀ 🜲,0xff4ddba2,28000140,1053,157,Tribe Turkey
157,#ULCPJJ8,Kat 🍄,0xffcb5aff,28000003,1053,158,Real Ones
158,#28QCGCU28,🦀,0xfff9c908,28000242,1053,159,McDonald's
159,#90LPVYVUP,Yusuf♛,0xffffffff,28000112,1053,160,SALDİM
160,#20CJVQQYU,[₮₱] ₱ɆⱠ₳Ɖ₳Ø,0xffcb5aff,28000291,1052,161,★the Players★
161,#20QUGCVQ9,Mirrox 🐺,0xffffffff,28000345,1052,162,HolyPower
162,#VPQY2JUJ,LucasNew,0xffffffff,28000023,1052,163,<c5>Just Us</c>
163,#28LYUL8JP,𝙲𝚘𝚍𝚎ˢˣ❥𝙹en,0xffcb5aff,28000337,1052,164,🧀MUSSARELOS✨
164,#PJ9JCYLCQ,猿|Epic🐒,0xff1ba5f5,28000069,1051,165,Ex0tic-E-Sport
165,#2GP8GJUQ2,TNT|Silver 🍂,0xff1ba5f5,28000129,1051,166,Arab Empire
166,#8Q80P982R,𝐍𝐓|𝐀𝐚𝐫𝐮,0xffffce89,28000303,1050,167,✌️✌️✌️
167,#92C08YG00,愛~Not HumanZ❖,0xffff9727,28000033,1050,168,HeadShoterZ💣
168,#GCQVYGJU,Netlook#1,0xffff8afb,28000349,1050,169,Las Diablitas🧘
169,#Q000VYV,⭐️Μr_XροριχX⭐️,0xff4ddba2,28000234,1050,170,Unión Soviética
170,#L99892JJ,要|мeɢα♕❤️‍🔥,0xfff05637,28000349,1050,171,BC*|Family*
171,#2P08V02Q,⛩|žwřq🥀,0xff1ba5f5,28000134,1050,172,𝑶𝓜|𝓐𝑹𝑨𝑷🥀
172,#2JUUJQCGQ,Gregor❤️Nassin,0xffffffff,28000348,1050,173,BC*|Family*
173,#R2Y0U0PC,💕Ado好きです໒꒱ ˚.*,0xff1ba5f5,28000150,1050,174,♥Meow♥
174,#PC0PL9RC9,K.S.A,0xffff8afb,28000130,1050,175,OG Mute
175,#JQCV9PCV,ЯvG★Complex,0xffffffff,28000135,1050,176,Revenge Gaming
176,#YY0UPQCYL,팀원 버스타는Hino🤱,0xfff9c908,28000124,1049,177,<c1>BBOBBY</c>
177,#RLJ2299Y,cutiekai >.<,0xffcb5aff,28000112,1049,178,DeathWatch
178,#8VLJ2YGGG,ChrisDaLobster,0xffff9727,28000244,1049,179,Beyond Kratos
179,#PYGL8JLLJ,tmt,0xffa8e132,28000152,1049,180,ラーメン好きなルー🍜
180,#LVRRYPV,STMN | bobby,0xffa8e132,28000136,1049,181,STMN Esports
181,#9JJ2PUCQ8,DEEP🥀DORADØ💔,0xffffffff,28000125,1049,182,DoradøNeedsSlep
182,#9Y92PLVQG,Snake,0xffffffff,28000208,1049,183,★the Players★
183,#2VG8U2900,HMB|Extrigotin,0xff4ddba2,28000140,1049,184,TTV Kingsebi26
184,#2CRJC0UCL,BŘ'PŘØᴳᴳĐĀŘŘ¥Ľ™,0xffa8e132,28000032,1049,185,Imperium Z
185,#8089VYY,•Kāfāøtıs⁴🍣,0xffcb5aff,28000201,1049,186,GoatLife
186,#2RP0U2CUV,BERAT❤️ELA,0xfff05637,28000244,1049,187,₮Ɽ₩`eSports
187,#9UVJR0PGQ,ᴹᴱᴳᴬ✎⁖℘,0xfff05637,28000023,1049,188,کافه براول
188,#2P2VY2U99,Chen,0xffa8e132,28000135,1049,189,In My Mind
189,#VGPLRCVQ,VNeS | Buzko,0xffff8afb,28000346,1049,190,Talents
190,#8RPUQQPGR,Croaky,0xffa8e132,28000136,1049,191,👋 🤷‍♂️
191,#2P89R0GP0,🖤SK|BW Ander🖤,0xff1ba5f5,28000170,1049,192,Family Barza
192,#2PGRYULC0,◆Janđrø■,0xff1ba5f5,28000259,1049,193,No Mercy
193,#9Q9C9JU0,Lavastoviglie™️,0xff1ba5f5,28000069,1049,194,F/A India
194,#YRURQRPUR,Skibidi Chipz,0xff1ba5f5,28000018,1046,195,Talents
195,#QRU0L0U,🐬ꜱᴏᴋʀᴀᴍ 🜲,0xff1ba5f5,28000201,1038,196,CONEXIÓN
196,#PYGR8CPJ2,〆ϻɪs͢τɪӄ🩸,0xfff9c908,28000018,1038,197,Spain4Win
197,#UP29Q9C9,.Chūky.,0xffff9727,28000350,1038,198,Aubs Crew
198,#LRYCL0QV,Baby Kyric,0xfff9c908,28000303,1038,199,7 Dwarves
199,#CP02LG,Barajasf,0xff1ba5f5,28000195,1037,200,Brawl Masters✨️
