,tag,name,nameColor,icon,trophies,rank,club
0,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1303,1,Eclipse 🌖
1,#GY0J2GJLV,DESTROY LONELY,0xff4ddba2,28000169,1257,2,оупи челики
2,#20UY9JYGL,Hᴇᴀʀᴛ Bʀᴏᴋᴇɴ,0xffcb5aff,28000090,1255,3,Next side
3,#PC0PL9RC9,K.S.A,0xffff8afb,28000130,1254,4,OG Mute
4,#22C0GV9CR,NoCrow,0xff1ba5f5,28000207,1253,5,HeroWarriorsTR
5,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1253,6,<c0>ＬＯＮＥＬＹ★</c>
6,#80PC2QJCR,❥Hazzēиs✧,0xff1ba5f5,28000348,1252,7,7 Dwarves
7,#JV2L02VV,SíJaauaq,0xffff8afb,28000303,1252,8,
8,#2CRRRRYJR,моё,0xfff9c908,28000213,1252,9,✌️✌️✌️
9,#PYPQUG80,Zava💞Sunfote,0xffff9727,28000195,1252,10,Showdown💔Kings
10,#8LC2GVGGV,🌸Ｇａｍｅ_Ｏｖｅｒ🖤,0xffff8afb,28000321,1251,11,Ojos De Tara XS
11,#20L88L2J,FUT | LeNain,0xffff8afb,28000321,1251,12,A Few Good Men
12,#JP92YUJL,ϚĦ͢Ʌ|★₳Ɽ₳₴ツ,0xffff9727,28000334,1251,13,<c7>ＣＨＡ</c>ＯＳ⭐
13,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1251,14,Eclipse 🌖
14,#VYGVV08Q,🍅domates,0xffffffff,28000261,1251,15,
15,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1250,16,help ranks
16,#2VQ2L8P0,crawfy,0xffffce89,28000336,1250,17,Kiwithatgame
17,#C2CULQP0,❤️‍🔥Mazoex♛,0xff1ba5f5,28000314,1250,18,VV eSport
18,#8LLJ92VQ,あ| 𝓐𝓱𝓶𝓮𝓓🥀,0xff1ba5f5,28000349,1250,19,OG Mute
19,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1250,20,Fenernazçe 💙💛
20,#LUGQ9UPC,guesti,0xfff9775d,28000018,1250,21,<c5>Just Us</c>
21,#9G0CJPJPY,Taha♛,0xffcb5aff,28000170,1249,22,GOOD BYE TAHA
22,#8RU298020,𝐊𝐚𝐝𝐲 💘,0xffff8afb,28000333,1249,23,Gg|My Clan🥀🖤
23,#289QGVYRQ,TyM|Ârda🦁,0xffff9727,28000014,1249,24,TyM`eSports
24,#20YJ9PLLV,ま|Shadows • 💫,0xffffffff,28000041,1249,25,what happened
25,#P8U8JQLG,感|WarMan⚔️,0xff1ba5f5,28000148,1249,26,OG Mute
26,#2PYCJVL0,カフェイン中毒ゆーちぃ☕️,0xff1ba5f5,28000284,1249,27,Cipher Pol
27,#PUUGRULPU,Marquinho brawl,0xfff9c908,28000304,1249,28,Imperium Z
28,#29UC8UV98,🔥Mma Ukr🔥,0xfff05637,28000263,1249,29,Brawl King's
29,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1245,30,Follow?
30,#P8GGRVCL,MiroshkaClass ❤,0xfff05637,28000068,1216,31,Brawl Birds🐤⚔️
31,#LRLGLP9GJ,『weakness🌪』,0xffff8afb,28000256,1205,32,Revaible 💗
32,#8QY2Y80CG,godikk❤️‍🔥,0xffcb5aff,28000014,1202,33,Ex0tic-E-Sport
33,#8PJRRG2C,SK|GuilleVGX,0xffa8e132,28000099,1202,34,CONEXIÓN
34,#CGQCYJGY,TTV | SnakeThug,0xfff9c908,28000341,1201,35,Deadly Vipers🐍
35,#QRUQQLV0,Code: Nukleo,0xffa8e132,28000186,1200,36,LA Instinct
36,#99088JQ8Q,ᴋᴄ|ʟᴜɪͩᴄͤɪͣᴛͩᴏ临,0xff1ba5f5,28000349,1199,37,No Mercy
37,#QJ0PRJCU,retired getsent,0xff4ddba2,28000010,1199,38,Beyond Swift
38,#8LQ9JR82,Code: Eqwaak,0xfff9c908,28000004,1199,39,A Few Good Men
39,#8L08R28GG,『Shad🖤⁵⁷』,0xffcb5aff,28000291,1199,40,Polish League
40,#20CJVQQYU,[₮₱] ₱ɆⱠ₳Ɖ₳Ø,0xffcb5aff,28000291,1195,41,★the Players★
41,#PLGJJJC2Q,L7L7,0xffffffff,28000048,1184,42,معتزل
42,#PLUGLRG28,4SV_MaSTeP,0xffffffff,28000233,1182,43,Quant ESports🐾
43,#YJQ0Q2V8V,Cry |RainbowSix,0xff1ba5f5,28000243,1165,44,
44,#2008RLPYC,ChrisG,0xff1ba5f5,28000081,1161,45,Hadel•Va•
45,#2CY0CVU80,~Vi♡tal🪐,0xffffffff,28000297,1160,46,Импрессив
46,#QYQL9QPJ,山Waterマ🪐,0xffffce89,28000100,1158,47,Home of SKILL
47,#902YQPYYC,PSG|HİLECİ❦,0xff1ba5f5,28000194,1153,48,LA Global
48,#80QUGYC,DaddyCrying,0xff4ddba2,28000186,1150,49,乱世佳人-盛世
49,#P9GYVL,Waseem,0xffffffff,28000186,1149,50,Tribe Waseem
50,#Y989VP,『Tiziano™』,0xff1ba5f5,28000348,1149,51,Wasted🥱
51,#8JU9GVVJJ,Marko Pintarič,0xff1ba5f5,28000140,1149,52,100k
52,#82RGU8PR,TTM | Maury,0xff4ddba2,28000140,1149,53,A Few Good Men
53,#PUJ8JCU2P,ѕυηѕє∂なさた🥷🤍,0xffff9727,28000337,1149,54,NA|Legends❤️‍🩹
54,#28C9LCPY8,DaigoMR,0xff4ddba2,28000052,1149,55,Perro salchicha
55,#2RU0JLVCY,Abacaxi💘,0xffffffff,28000000,1149,56,★the Players★
56,#C2RPQLRQ,Tatsuki.★ᯤ,0xffa8e132,28000284,1149,57,たつきすねげ
57,#2UVUVJYQV,ZeRo♡,0xffffffff,28000233,1149,58,
58,#989GJRYLR,Indù🐝,0xffcb5aff,28000349,1149,59,Wasted🥱
59,#QUYCVC2,STMN | sans,0xffa8e132,28000136,1147,60,STMN Esports
60,#9L09YYQ8L,⛩️Panda G.m⛩️,0xffcb5aff,28000330,1141,61,HolyGuns
61,#G99CYGL,𝒁𝒂𝒊𝒌𝒐❄️,0xff4ddba2,28000194,1135,62,ChillOG
62,#GGQ8VJVC,AO | Taikamylly,0xffff8afb,28000339,1131,63,MunkkiHunters
63,#802VG829,LuRkz🩵Sq,0xffff8afb,28000014,1128,64,Demise 🥀
64,#YGQYGCR,Portox😡,0xff1ba5f5,28000191,1114,65,Blue Label
65,#22Q0J0P2P,LUCKRASS,0xffa8e132,28000210,1113,66,BC*|Family*
66,#9J2JLUR8G,Aspect 🃏,0xffffffff,28000304,1113,67,7 Dwarves
67,#CPYUR8QR,KD|Buff♡,0xfff9c908,28000132,1109,68,Quant ESports🐾
68,#U9LR90YL,CCM|Ryuu.,0xffcb5aff,28000290,1109,69,Metamorphosis⚔️
69,#QGLCPJ2J,Ansel,0xff1ba5f5,28000014,1107,70,CHEESEFOREVAR
70,#28LYUL8JP,𝙲𝚘𝚍𝚎ˢˣ❥𝙹en,0xffcb5aff,28000337,1104,71,🧀MUSSARELOS✨
71,#9JQYQL2Q2,𝐳Celi𝐚𝐱𝐱🤍,0xffcb5aff,28000150,1104,72,EternityCry ✨
72,#989L0928Q,L1S|Sufiyan❦,0xff1ba5f5,28000033,1103,73,IMMORTAL SOULS
73,#LRJ9YYQL,☞Տӈᴀ⚜ᴅᴏΧ๛,0xffffce89,28000014,1103,74,CONEXIÓN
74,#GJ9PLGPL,ReSn|Snake🐍,0xff4ddba2,28000101,1103,75,Lose?
75,#QR2GC8V,BKB|❄IC£CRØW❄,0xfff9c908,28000348,1103,76,Tribe Turkey
76,#89JJV992Y,ZL|caldera,0xfff9775d,28000040,1102,77,めろんぱん食堂
77,#80GPQ2RGP,薙| Juice🧃,0xff4ddba2,28000337,1102,78,Tribe Turkey
78,#298JUYR29,Chase-Itz,0xffcb5aff,28000156,1101,79,Beyond Kratos
79,#88RGGCVQJ,My heart in AUS,0xff4ddba2,28000092,1101,80,ハナクソタケシ
80,#P0Y9VPGLY,Sky ˡᵒᵛᵉʸᵒᵘ,0xffffffff,28000003,1101,81,
81,#829LJ28CU,toxicgenie🃏,0xffcb5aff,28000286,1101,82,Real Ones
