,tag,name,nameColor,icon,trophies,rank,club
0,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1501,1,Eclipse 🌖
1,#89UPQJJVV,+BraboX 🎩,0xffa8e132,28000236,1449,2,Ghost Team👻☔
2,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1422,3,Eclipse 🌖
3,#LR08G9C8,BC*| Kubaba♡,0xffff8afb,28000008,1336,4,BC*|Family*
4,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1317,5,Follow?
5,#RPVU2L29,ᴼᵖɱa̷ṡ†e̷ꭆ🥀×᷼×,0xffff8afb,28000097,1303,6,🧀MUSSARELOS 2✨
6,#VYGVV08Q,🍅domates,0xffffffff,28000261,1301,7,
7,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1300,8,<c0>ＬＯＮＥＬＹ★</c>
8,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1300,9,Fenernazçe 💙💛
9,#L0P9R8LL,snoiy❤️yukino,0xffffffff,28000183,1299,10,Real Ones
10,#GJJQPYC9,Storm🪐,0xffcb5aff,28000345,1299,11,GAMEOVER
11,#Y0GLYCYVY,Maho❤️🔥,0xff1ba5f5,28000129,1299,12,<c0>ＬＯＮＥＬＹ★</c>
12,#L2Q0CUVGU,One Trick Dyna,0xffffffff,28000008,1282,13,dynamike gaming
13,#2YP88Y8RG,xKapix,0xffffffff,28000210,1274,14,UNDERDOG 🇵🇱
14,#JQ8L0YYL,RNG | Cauebr,0xfff9c908,28000314,1255,15,Ghost Team👻☔
15,#9GJPJUQGJ,Xorox❤️‍🩹Byrox,0xffcb5aff,28000273,1255,16,Tribe Turkey
16,#PRQGVULVQ,iAlmaaaazik🥺,0xffffffff,28000135,1253,17,KingdomRush
17,#RUGUJPR8,☠ĆØΜβΔŦ€ŇŦ€☠,0xff4ddba2,28000253,1253,18,★the Players★
18,#989L0928Q,L1S|Sufiyan❦,0xff1ba5f5,28000033,1252,19,IMMORTAL SOULS
19,#90JCYPQU,ZETA | MeOw,0xffffffff,28000074,1252,20,Talents
20,#8PJRRG2C,SK|GuilleVGX,0xffa8e132,28000099,1252,21,CONEXIÓN
21,#920PC9CVC,AlOnE_DaRk,0xffff9727,28000348,1252,22,NHY E-SporTS
22,#29UGLJV2G,Lёvi,0xfff9c908,28000244,1252,23,✌️✌️✌️
23,#YRUYY8JV8,Oyu♨︎,0xffcb5aff,28000095,1252,24,Hueco Mundo
24,#PQ28JP0P,亲Jσтα,0xffff9727,28000175,1251,25,7 Dwarves
25,#8Y98Q8U,CR | Sitetampo,0xffff8afb,28000014,1251,26,A Few Good Men
26,#8UGJ82UL2,AoC|Alex🌷,0xff4ddba2,28000310,1251,27,octos
27,#8Q2JCGP00,きゃんでぃ,0xff1ba5f5,28000014,1251,28,キングダム乱
28,#GP2Q0L92Y,다이너 저격수,0xffffce89,28000198,1251,29,ブリリアントぶた劇場
29,#82LRGLQ02,あ| 𝓕𝓪𝓱𝓪𝓓🥀,0xff1ba5f5,28000283,1251,30,OG Mute
30,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,1251,31,
31,#G98VUYYR,鼓俄涩特丝挌麻,0xffffffff,28000139,1251,32,ecco2k
32,#PYPQUG80,Zava💞Sunfote,0xffff9727,28000195,1251,33,Showdown💔Kings
33,#RVLQ0VUR,风暴|kerem🎃,0xffff9727,28000257,1251,34,ᴅᴀɪʟʏ
34,#GYR0L0JG,Alexis💘,0xff1ba5f5,28000018,1251,35,Tribe Gaming NA
35,#8J9PPC880,𝐁𝐫𝐞𝐞𝐳𝐲❦,0xffcb5aff,28000218,1250,36,🧀MUSSARELOS✨
36,#20CJVQQYU,[₮₱] ₱ɆⱠ₳Ɖ₳Ø,0xffcb5aff,28000291,1250,37,★the Players★
37,#GCVPVRQY,MyS|Goman,0xff4ddba2,28000137,1250,38,Tribe Turkey
38,#YRURQRPUR,Skibidi Chipz,0xff1ba5f5,28000018,1250,39,Talents
39,#809R8JV8Q,Tizzou❤Clzs,0xffff8afb,28000166,1250,40,Allez Laaa
