,tag,name,nameColor,icon,trophies,rank,club
0,#L8GVLRPVV,시라*おず,0xffffffff,28000210,1502,1,<c5>Angel🤍</c>
1,#8J0LUV9QQ,ZETA | TvorojOK,0xffff8afb,28000058,1499,2,Showdown💔Kings
2,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1338,3,Follow?
3,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1308,4,Eclipse 🌖
4,#8RGPGP9LV,сапфирчик,0xffa8e132,28000150,1304,5,оупи челики
5,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1301,6,Eclipse 🌖
6,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1300,7,Fenernazçe 💙💛
7,#22Q0J0P2P,LUCKRASS,0xffa8e132,28000210,1261,8,BC*|Family*
8,#2Q88L2JJV,GrimReaper,0xffcb5aff,28000132,1253,9,東方project
9,#GRLUYG0R,NiceShøt 🌓,0xffcb5aff,28000347,1252,10,Ex0tic-E-Sport
10,#PYPQUG80,Zava💞Sunfote,0xffff9727,28000195,1252,11,Showdown💔Kings
11,#QUUGLJGQC,ᴡɪɴᴄʜᴇsᴛᴇʀ♡,0xffcb5aff,28000014,1251,12,Lost Hell
12,#82LRGLQ02,あ| 𝓕𝓪𝓱𝓪𝓓🥀,0xff1ba5f5,28000283,1251,13,OG Mute
13,#GCVPVRQY,MyS|Goman,0xff4ddba2,28000137,1250,14,Tribe Turkey
14,#C2CULQP0,❤️‍🔥Mazoex♛,0xff1ba5f5,28000314,1250,15,VV eSport
15,#Q9VUQ2UG9,позерочек,0xfff9c908,28000132,1250,16,оупи челики
16,#28YCQ9809,why so clown?🤡,0xffffffff,28000330,1250,17,Tribe Turkey
17,#JV2L02VV,SíJaauaq,0xffff8afb,28000303,1250,18,
18,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1250,19,<c0>ＬＯＮＥＬＹ★</c>
19,#9G0CJPJPY,Taha♛,0xffcb5aff,28000170,1250,20,GOOD BYE TAHA
20,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1250,21,help ranks
21,#8R99PJ890,xSkylasz•,0xffff9727,28000321,1250,22,Vitality
22,#LCCU9J2C,﷽ʆοʀɢɛ⅂Ο⅂❦ֆօʟօ,0xffcb5aff,28000014,1249,23,Showdown💔Kings
23,#2CUYQ8RQC,🥷🏿,0xffffffff,28000272,1249,24,
24,#99LLQYY9,Joeh,0xfff9c908,28000335,1249,25,👋 🤷‍♂️
25,#20YJ9PLLV,ま|Shadows • 💫,0xffffffff,28000041,1249,26,what happened
26,#90RQYP98U,♡•bestie•♡🧸,0xffa2e3fe,28000221,1249,27,7 Dwarves
27,#PQJCVQ8,TRB | Cori,0xffcb5aff,28000213,1249,28,Cori’s Crew
28,#QGLCPJ2J,Ansel,0xff1ba5f5,28000014,1249,29,CHEESEFOREVAR
29,#P8U8JQLG,感|WarMan⚔️,0xff1ba5f5,28000148,1249,30,OG Mute
30,#Y0GLYCYVY,Maho❤️🔥,0xff1ba5f5,28000129,1249,31,<c0>ＬＯＮＥＬＹ★</c>
31,#22LCG2RLJ,ZT|Yősuki̸❦,0xff1ba5f5,28000349,1203,32,weird gamers
32,#YGQYGCR,Portox😡,0xff1ba5f5,28000191,1203,33,Blue Label
33,#28CVQGURJ,kxrtofvl,0xffffffff,28000061,1203,34,UNDERDOG 🇵🇱
34,#VYGVV08Q,🍅domates,0xffffffff,28000261,1201,35,
35,#8PJRRG2C,SK|GuilleVGX,0xffa8e132,28000099,1200,36,CONEXIÓN
36,#CGQCYJGY,TTV | SnakeThug,0xfff9c908,28000341,1200,37,Deadly Vipers🐍
37,#Y0VPJ89Q,Ｓㄚ 么 乙 ツ,0xffffce89,28000237,1200,38,Quant ESports🐾
38,#URVJVRRQ,愛野美奈子💛✨,0xffff8afb,28000018,1199,39,してたんぽ
39,#J8URCRCJ,vxdka :p,0xffff9727,28000095,1199,40,No Mercy
40,#8PQYUJ29G,𝚏𝚒𝚗𝚎𝚜𝚝❦︎,0xfff9c908,28000132,1199,41,Хижина Снайпов
41,#GUVPPPGR,키키,0xffff9727,28000176,1199,42,<c0>BUSLINE</c>
42,#2PVCG892,Chicken🖤Axe,0xffff9727,28000098,1199,43,ChasmacGaming
43,#9UVJR0PGQ,ᴹᴱᴳᴬ✎⁖℘,0xfff05637,28000023,1199,44,کافه براول
44,#QJ0PRJCU,retired getsent,0xff4ddba2,28000010,1199,45,Beyond Swift
