,tag,name,nameColor,icon,trophies,rank,club
0,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1500,1,Eclipse 🌖
1,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1390,2,Fenernazçe 💙💛
2,#VYGVV08Q,🍅domates,0xffffffff,28000261,1301,3,
3,#PVP8899PJ,Primo KING👑,0xfff9c908,28000116,1301,4,Primo Kingdom👑
4,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1300,5,<c0>ＬＯＮＥＬＹ★</c>
5,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1300,6,Follow?
6,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1299,7,help ranks
7,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1255,8,Eclipse 🌖
8,#28UURPLGU,DL|ℬℯ𝓃𝒹𝓎🀄,0xffff8afb,28000349,1254,9,DrachenLegion
9,#PRUCG288Y,•☆Fynn冬,0xffff8afb,28000317,1254,10,BC*|Family*
10,#QUC9PLL2,SaVaG | 1 v 3💣,0xffffffff,28000348,1254,11,꧁🎆𝟑𝐞𝐯𝐞👾꧂
11,#CJVP02C8,(-Smash-),0xfff9c908,28000280,1252,12,🎖️STAR|PARK⭐
12,#8089VYY,•Kāfāøtıs⁴🍣,0xffcb5aff,28000201,1252,13,GoatLife
13,#GJV90V22Q,киска эль примо,0xffffffff,28000229,1252,14,
14,#8VR9LJV8Q,👌جون سينا👌,0xff1ba5f5,28000009,1251,15,Payzen looks up
15,#8UYL0VP88,DL|Iron Man🐙,0xffff9727,28000061,1251,16,DrachenLegion
16,#YGQYGCR,Portox😡,0xff1ba5f5,28000191,1251,17,Blue Label
17,#JV2L02VV,SíJaauaq,0xffff8afb,28000303,1251,18,
18,#PYPQUG80,Zava💞Sunfote,0xffff9727,28000195,1251,19,Showdown💔Kings
19,#8LJR900GU,Murât♛,0xffcb5aff,28000191,1251,20,ᴅᴀɪʟʏ
20,#LLUQ0PRR,BZ_❄️the joker,0xff4ddba2,28000021,1251,21,🎖️STAR|PARK⭐
21,#CJP08CU0,Uriel,0xffffffff,28000135,1251,22,Brawl King's
22,#GCVPVRQY,MyS|Goman,0xff4ddba2,28000137,1250,23,Tribe Turkey
23,#9L09YYQ8L,⛩️Panda G.m⛩️,0xffcb5aff,28000330,1250,24,HolyGuns
24,#RVLQ0VUR,风暴|kerem🎃,0xffff9727,28000257,1250,25,ᴅᴀɪʟʏ
25,#8GV809UUV,D€AL WÏTH ĪT,0xffff9727,28000020,1250,26,ROL | Serenity
26,#2RQ02UV99,DJ SMOKE,0xff1ba5f5,28000019,1250,27,
27,#289QGVYRQ,TyM|Ârda🦁,0xffff9727,28000014,1249,28,TyM`eSports
28,#GVR2Y2GC,ャ-ßɾɏαɳ🍁,0xffcb5aff,28000273,1249,29,ÑañisLovers
29,#2YYL89J8G,psychc🦈,0xffffffff,28000003,1249,30,🌴|<c3>HM</c>
30,#LP8QV80Q,CM|Fly🖤,0xffcb5aff,28000137,1249,31,Showdown💔Kings
31,#9G0CJPJPY,Taha♛,0xffcb5aff,28000170,1249,32,GOOD BYE TAHA
32,#2082JRYUV,GooD•G,0xffcb5aff,28000033,1249,33,<c5>Just Us</c>
33,#2YP9CPPY8,Sɪᴅᴇᴄʜɪᴄᴋ♛,0xffcb5aff,28000335,1249,34,Lesch0x Army
34,#PRV2URCVV,HMZ〆,0xfff9c908,28000299,1249,35,𝑶𝓜|𝓐𝑹𝑨𝑷🥀
35,#PC9LPPYV,Nico❤️Heys,0xff1ba5f5,28000196,1249,36,No Mercy
