,tag,name,nameColor,icon,trophies,rank,club
0,#9QCJPL20,Golden Kawaii🌕,0xffffce89,28000045,1502,1,Eclipse 🌖
1,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1501,2,<c0>ＬＯＮＥＬＹ★</c>
2,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1480,3,Eclipse 🌖
3,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1402,4,Fenernazçe 💙💛
4,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1401,5,Eclipse 🌖
5,#8QY2Y80CG,godikk❤️‍🔥,0xffcb5aff,28000014,1399,6,Ex0tic-E-Sport
6,#Y02QUURQL,style дезик<3,0xffcb5aff,28000045,1353,7,
7,#P0Y9VPGLY,Sky ˡᵒᵛᵉʸᵒᵘ,0xffffffff,28000003,1349,8,
8,#20VVC8LU2,Cryzz❦︎,0xffffffff,28000108,1349,9,
9,#8LQQCCPRG,MyS|Efim👾,0xffa8e132,28000101,1304,10,Quant ESports🐾
10,#8J8G9CJVJ,CᴀʟʟMᴇ𝓩artis🦍,0xffffffff,28000150,1303,11,RK Esport
11,#VYGVV08Q,🍅domates,0xffffffff,28000261,1301,12,
12,#29LVRQV2L,ENVY|LelOP ❦,0xff1ba5f5,28000200,1299,13,Brawl Kings's
13,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1296,14,Follow?
14,#GRLUYG0R,NiceShøt 🌓,0xffcb5aff,28000347,1291,15,Ex0tic-E-Sport
15,#2C9PLLUG8,Efecan|Apple♎🖤,0xffff8afb,28000321,1272,16,<c0>ＬＯＮＥＬＹ★</c>
16,#2GYY989GU,あ|Nouggetシ🦋,0xffa8e132,28000075,1257,17,VV eSport
17,#JQ8L0YYL,RNG | Cauebr,0xfff9c908,28000314,1255,18,Ghost Team👻☔
18,#8LJR900GU,Murât♛,0xffcb5aff,28000191,1254,19,ᴅᴀɪʟʏ
19,#99JRGQ0C9,King⚡️,0xffcb5aff,28000135,1254,20,Affective.
20,#9G0CJPJPY,Taha♛,0xffcb5aff,28000170,1253,21,GOOD BYE TAHA
21,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1253,22,help ranks
22,#80GPQ2RGP,薙| Juice🧃,0xff4ddba2,28000337,1253,23,Tribe Turkey
23,#28LYUL8JP,𝙲𝚘𝚍𝚎ˢˣ❥𝙹en,0xffcb5aff,28000337,1253,24,🧀MUSSARELOS✨
24,#9UCUJ29C,king faheem,0xff1ba5f5,28000046,1253,25,The Revengers
25,#UR02VU99,TwG | Minato,0xff1ba5f5,28000335,1252,26,Twig Elite
26,#92ULCUY99,THF|Codes,0xff1ba5f5,28000201,1252,27,Kiwithatgame
27,#8R99PJ890,xSkylasz•,0xffff9727,28000321,1252,28,Vitality
28,#Y0GLYCYVY,Maho❤️🔥,0xff1ba5f5,28000129,1252,29,<c0>ＬＯＮＥＬＹ★</c>
29,#CGRJ08GJ,Xothicc🍑,0xffcb5aff,28000075,1251,30,Nova aus D
30,#8PJRRG2C,SK|GuilleVGX,0xffa8e132,28000099,1251,31,CONEXIÓN
31,#9LC9VP8QR,笑っちゃう男,0xffffce89,28000203,1251,32,レインボーの風船
32,#8L0PJ0R0V,Kryzz❦,0xffff9727,28000265,1251,33,🌴|<c3>HM</c>
33,#8LLJ92VQ,あ| 𝓐𝓱𝓶𝓮𝓓🥀,0xff1ba5f5,28000349,1251,34,OG Mute
34,#P99QGPLU2,Davex,0xffffce89,28000129,1251,35,Brawl King's
35,#P0L9Y2P8,在地上爬的小小蟲011,0xffffffff,28000000,1250,36,<c7>幹嘛偷看我個資</c>
36,#82LRGLQ02,あ| 𝓕𝓪𝓱𝓪𝓓🥀,0xff1ba5f5,28000283,1250,37,OG Mute
37,#PYPQUG80,Zava💞Sunfote,0xffff9727,28000195,1250,38,Showdown💔Kings
38,#8VP882CR2,♡Mr_ido♡,0xffcb5aff,28000041,1250,39,Tribe Turkey
39,#9PJ2YJGQ,ᴊᴇꜱᴜꜱ😡,0xfff9c908,28000018,1250,40,TT: niiil_06
40,#P9YPY9U8J,MeTa | duo♡van,0xff4ddba2,28000262,1250,41,TyM`eSports
41,#QUYCVC2,STMN | sans,0xffa8e132,28000136,1250,42,STMN Esports
42,#P8RJLJ2VG,Nightfall.♡︎,0xffffffff,28000333,1250,43,AFGM дагестан
43,#989L0928Q,L1S|Sufiyan❦,0xff1ba5f5,28000033,1249,44,IMMORTAL SOULS
44,#2J2PJ0UV,ikarosita,0xffa8e132,28000136,1249,45,Humble Grinders
45,#20CJVQQYU,[₮₱] ₱ɆⱠ₳Ɖ₳Ø,0xffcb5aff,28000291,1249,46,★the Players★
46,#289QGVYRQ,TyM|Ârda🦁,0xffff9727,28000014,1249,47,TyM`eSports
47,#2P022YC0U,bat9 ваня,0xffffffff,28000058,1249,48,Quant ESports🐾
48,#G92Y9JL00,Arrow☆verse支,0xffcb5aff,28000349,1249,49,Talents
49,#YUQYVR9QQ,たけりーな♪,0xff1ba5f5,28000047,1249,50,〜悪魔と愉快な仲間たち〜
50,#P8RQ90UY9,FMG | Vitorᴷⁱⁿᴳ,0xffffce89,28000349,1249,51,Ex0tic-E-Sport
51,#V9QPG880,陰|Adriano ☪️,0xfff05637,28000065,1249,52,FWs Club 🌮
52,#YGQYGCR,Portox😡,0xff1ba5f5,28000191,1249,53,Blue Label
53,#2RUVRJYJ2,SY|Faͥbͣuͫᴳᵒᵈ☔,0xff1ba5f5,28000061,1249,54,Ex0tic-E-Sport
54,#89YRUQ9YC,✞SสID24♡,0xffcb5aff,28000291,1249,55,Lose?
55,#V8JP99J0,ZKN|Fantas🦊,0xffffce89,28000014,1249,56,Monkey’s Island
56,#2CUVC2L9U,たこ焼き,0xffff9727,28000122,1249,57,Venus
57,#90RQYP98U,♡•bestie•♡🧸,0xffa2e3fe,28000221,1249,58,7 Dwarves
58,#28GR908QJ,P4S|MasTeR,0xffff9727,28000014,1249,59,P4SSANGERS
59,#8QJ0YUV8Q,千 | Kai,0xffa8e132,28000018,1249,60,Beyond Swift
60,#2RR2JYYLP,Lone•D•Crissz🥱,0xffffffff,28000254,1249,61,Kings ladder
61,#GRCYVRJG,Edgar🤍æ,0xffff9727,28000176,1249,62,7 Dwarves
62,#CG8R0JJC,⛩️ivͥaͣnͫ 🎋,0xffcb5aff,28000330,1249,63,Blue Star 💙
63,#QGLCPJ2J,Ansel,0xff1ba5f5,28000014,1249,64,CHEESEFOREVAR
64,#2GLVR9RRQ,who asked? hoyl,0xfff9c908,28000014,1249,65,HolyPower
65,#8992Q8Y99,Paradox🖤?,0xffff8afb,28000335,1249,66,Game House
66,#P0YJ82P2C,Elude🩸,0xff1ba5f5,28000094,1249,67,
67,#90LPVYVUP,Yusuf♛,0xffffffff,28000112,1249,68,SALDİM
68,#2LJ9QCCL,tedd💞💞,0xffffffff,28000112,1249,69,
69,#9U0G8JPU2,mir,0xfff9775d,28000232,1249,70,Talents
70,#PRQP99QJY,tilted aura🤍,0xffffffff,28000167,1249,71,
71,#8JGPPVY8G,L1S|ITACHI❦,0xfff9c908,28000132,1237,72,Katze 🐱🐈
72,#9L09YYQ8L,⛩️Panda G.m⛩️,0xffcb5aff,28000330,1229,73,HolyGuns
73,#882GQJCV9,Moxier🐍❤️🐀,0xffffffff,28000065,1227,74,YT:Bilek Gücü
74,#2082JRYUV,GooD•G,0xffcb5aff,28000033,1225,75,<c5>Just Us</c>
75,#YQCCG9C8V,MyS|JeTeAlexa✈️,0xffff8afb,28000352,1225,76,Monin
76,#80GQJ9YYP,Fynxboy,0xffff8afb,28000349,1221,77,DPB | ⚡Esport⚡
77,#QRUQQLV0,Code: Nukleo,0xffa8e132,28000186,1219,78,LA Instinct
78,#90JRVYU0R,Remus:(,0xffa2e3fe,28000044,1218,79,Kiwithatgame
79,#P8PPR8PG9,Mono♥️W,0xffa8e132,28000013,1213,80,Ø Randoms
80,#8J9PPC880,𝐁𝐫𝐞𝐞𝐳𝐲❦,0xffcb5aff,28000218,1204,81,🧀MUSSARELOS✨
81,#99LP2PUQ9,jxbkofvl,0xffff9727,28000303,1203,82,ŚrednioNaPsa
82,#8CVCJVVV9,Եթ Շαɱเℓα ☆*❥⃝*,0xffff9727,28000302,1203,83,★the Players★
83,#CPPV2PQG,MeliodasBot🐐,0xffa8e132,28000006,1203,84,No Mercy
84,#8Y2Y0GYYG,与田祐希𓃵,0xfff9c908,28000240,1203,85,Cipher Pol
85,#2P088J29C,Matt,0xffff8afb,28000333,1203,86,<c5>Just Us</c>
86,#29UGLJV2G,Lёvi,0xfff9c908,28000244,1203,87,✌️✌️✌️
87,#PC9LPPYV,Nico❤️Heys,0xff1ba5f5,28000196,1203,88,No Mercy
88,#2CRRRRYJR,моё,0xfff9c908,28000213,1203,89,✌️✌️✌️
89,#2UGYQURUG,HeGs:)🇹🇷❤️‍🔥,0xffcb5aff,28000018,1202,90,NHY E-SporTS
90,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,1202,91,
91,#99LLQYY9,Joeh,0xfff9c908,28000335,1201,92,👋 🤷‍♂️
92,#PP8GYPRGP,WhyTrttt?,0xffffffff,28000212,1201,93,
93,#2YPC2LL02,RV|kakawo,0xfff9c908,28000300,1201,94,RV
94,#2CY0CVU80,~Vi♡tal🪐,0xffffffff,28000297,1201,95,Импрессив
95,#VPGGUU9U,|🌬ŦƤ⋆SsnıɔıuıΛ,0xff1ba5f5,28000243,1200,96,★the Players★
96,#YRURQRPUR,Skibidi Chipz,0xff1ba5f5,28000018,1200,97,Talents
97,#CGQCYJGY,TTV | SnakeThug,0xfff9c908,28000341,1200,98,Deadly Vipers🐍
98,#PR9U2JL,Juan Carlos,0xffffffff,28000119,1200,99,Humble Grinders
99,#PRC8P8989,↯︎Vertex | 地和↯︎,0xffffffff,28000071,1200,100,キングダム乱
100,#9J2JLUR8G,Aspect 🃏,0xffffffff,28000304,1199,101,7 Dwarves
101,#2CC9QLGYY,我|Scripter 🔥,0xff1ba5f5,28000231,1199,102,TL|Team Luzou
102,#29L028GQL,Djahsta,0xffff9727,28000306,1199,103,BC*|Family*
103,#2802QGCRG,YUSUF♛™,0xff1ba5f5,28000348,1199,104,NHY E-SporTS
104,#YYJUVRG8Q,❦︎TIGER❥︎SA,0xffa8e132,28000096,1199,105,Italy❤️‍🩹DUO👿
105,#8URCLRY8,球隊|RoUND🌠,0xfff9c908,28000061,1199,106,My social media
106,#RPQUY9VQ,Lamine🍜,0xffffffff,28000278,1199,107,<c7>幹嘛偷看我個資</c>
107,#202RGUPUG,☆FrankensteIn☆❤,0xffcb5aff,28000170,1199,108,Quant ESports🐾
108,#22U8CPP8Q,ŁŞƬ|Apurⅴ☘️,0xff1ba5f5,28000230,1199,109,ŁŞƬ☘️
109,#8Y29YVV2C,れもん,0xffcb5aff,28000112,1199,110,おぱんちゅみせて
110,#2Y92C2Q8V,NOMAD|かーず。❄❄,0xfff9c908,28000119,1199,111,
111,#2VQ2V99CC,MMs🌙Nemuo,0xfff9c908,28000190,1199,112,めろんぱん食堂
112,#QJ0PRJCU,retired getsent,0xff4ddba2,28000010,1199,113,Beyond Swift
113,#2892LY0QL,メ|ζ͜ʀᴇʟᴀx🥀,0xffcb5aff,28000259,1199,114,
114,#29V0GUG8,BATATINHA,0xff1ba5f5,28000156,1199,115,
115,#JGCCGY80,prostislavv,0xffff9727,28000042,1199,116,BOBR gaming
116,#U2PRPLP,OU鸥,0xffffffff,28000341,1199,117,anyway🤷🏻‍♂️
117,#8ULJJPYG2,Âtahan🖤Ubéyd,0xffffffff,28000333,1199,118,
118,#9GJPJUQGJ,Xorox❤️‍🩹Byrox,0xffcb5aff,28000273,1199,119,Tribe Turkey
119,#8LQ9JR82,Code: Eqwaak,0xfff9c908,28000004,1193,120,A Few Good Men
120,#88RGGCVQJ,My heart in AUS,0xff4ddba2,28000092,1192,121,ハナクソタケシ
121,#YY9PPLQL9,Yume𓅦,0xff4ddba2,28000149,1184,122,Cipher Pol
122,#8UGJ82UL2,AoC|Alex🌷,0xff4ddba2,28000310,1171,123,octos
123,#89JJV992Y,ZL|caldera,0xfff9775d,28000040,1168,124,めろんぱん食堂
124,#LP8QV80Q,CM|Fly🖤,0xffcb5aff,28000137,1168,125,Showdown💔Kings
125,#28CVQGURJ,kxrtofvl,0xffffffff,28000061,1165,126,UNDERDOG 🇵🇱
126,#82GC0CU8,XP|beko🦊,0xffff9727,28000223,1162,127,
127,#9CC0RCYR,diego💙hahnsky,0xffff8afb,28000037,1161,128,
128,#LRYCL0QV,Baby Kyric,0xfff9c908,28000303,1157,129,7 Dwarves
129,#PC92L9PYU,Jad'll kill u🖤,0xffcb5aff,28000094,1157,130,
130,#P90RJQ8C,Sizuku🐬,0xff1ba5f5,28000044,1156,131,数え役満🀄️
131,#2PYR2LY0,lemoncbon 🍋,0xfff9c908,28000136,1156,132,vMoove
132,#UJ9QQUU,Ojita🍃,0xfff9c908,28000176,1156,133,Moonlight 🧚🏻
133,#8LC808G,Tuyu,0xff1ba5f5,28000349,1156,134,@Tuyu_Official
134,#8QPQUJUPU,Sacrifício,0xfff05637,28000014,1153,135,[™BLIND™]
135,#220PGLU02,家|𝑴𝒆𝒎𝒆𝒏ϟ,0xffa8e132,28000163,1153,136,You and me 💜
136,#8LQ882GRC,Jefry Daniel,0xffcb5aff,28000228,1152,137,•Nobility•
137,#YPP02G9L,Mxrf 🐝,0xff1ba5f5,28000291,1152,138,Beyond Washed
