,tag,name,nameColor,icon,trophies,rank,club
0,#PRUCG288Y,•☆Fynn冬,0xffff8afb,28000317,1503,1,BC*|Family*
1,#PPQQJQPQU,愛Astrø 🖤,0xffffffff,28000018,1503,2,🧀MUSSARELOS✨
2,#GGCPV9J9L,★฿uͥrgͣeͫr★z|🍔,0xffffffff,28000092,1502,3,Sneax💞Short🐍
3,#PC92L9PYU,Jad'll kill u🖤,0xffcb5aff,28000094,1501,4,
4,#2Q2LQC2P,ΗΥDЯΑΞΚΗΔΥΔττ,0xff1ba5f5,28000053,1499,5,HYDRA ESPORTS
5,#9QVYUJQ,JoKi,0xffffffff,28000010,1499,6,
6,#2YYL89J8G,psychc🦈,0xffffffff,28000003,1451,7,🌴|<c3>HM</c>
7,#PLCPU928R,ØFFŁÎŃÈ,0xff1ba5f5,28000019,1449,8,.....
8,#2C92PYV2R,uriel,0xff1ba5f5,28000108,1423,9,HeadShoterZ💣
9,#9YPGPJR99,あ|MauryX🖤,0xffff9727,28000175,1420,10,Family Barza
10,#VYGVV08Q,🍅domates,0xffffffff,28000261,1402,11,
11,#P2V2GGLJY,NM | Quinx™♊,0xffff8afb,28000111,1401,12,Quinx Academy
12,#2CCJU0P9C,SQUEAK|瀰漫の煙💫,0xffffffff,28000280,1399,13,<c7>幹嘛偷看我個資</c>
13,#2RU0JLVCY,Abacaxi💘,0xffffffff,28000000,1390,14,★the Players★
14,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1365,15,Eclipse 🌖
15,#80GPQ2RGP,薙| Juice🧃,0xff4ddba2,28000337,1354,16,Tribe Turkey
16,#8JGP9PGLC,初心者のマシュマロ,0xffcb5aff,28000238,1354,17,ぴーなっつと愉快な仲間達
17,#PQ0PYYV9C,𝓐𝓻𝔁𝓮𝓷𝓽💫,0xfff9c908,28000062,1353,18,
18,#PGYPYJGCC,gezin🤍relts YT,0xffffffff,28000135,1351,19,
19,#90UGPCJPL,‼️xᝣ𝖾ท𝚘‼️,0xffff9727,28000291,1350,20,ATM☔️|Team🔥⚡️
20,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1349,21,help ranks
21,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1306,22,Follow?
22,#P2U2GRQLG,野なKira 🎈,0xfff05637,28000138,1304,23,Showdown💔Kings
23,#9YLCYJ2C,₮₱|Ɍϟ|Mᴀᴛ💜Jᴀᴅ,0xfff9c908,28000277,1303,24,★the Players★
24,#9GJGLCVYG,TRX|神|PHANTOM,0xfff05637,28000000,1303,25,<c0>RETIRED</c>
25,#YP28LYR8G,GHS|Phoenix ❦,0xfff9c908,28000213,1303,26,Ghost eSports
26,#8CUGG9CG2,GreamReaper,0xffffffff,28000150,1303,27,Anteiku☕
27,#PJ02GQJ,$HIVAM I$ B+,0xffa8e132,28000151,1303,28,TT: niiil_06
28,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,1303,29,
29,#RVLQ0VUR,风暴|kerem🎃,0xffff9727,28000257,1301,30,ᴅᴀɪʟʏ
30,#QGC9JGLVY,〆𝓝𝓾𝓫𝓪𝔁🎈,0xffff9727,28000343,1301,31,TikTok : nubaxx
