,tag,name,nameColor,icon,trophies,rank,club
0,#2C9PLLUG8,Efecan|Apple♎🖤,0xffff8afb,28000321,1503,1,<c0>ＬＯＮＥＬＹ★</c>
1,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1499,2,Eclipse 🌖
2,#89UPQJJVV,+BraboX 🎩,0xffa8e132,28000236,1399,3,Ghost Team👻☔
3,#PUJ8JCU2P,ѕυηѕє∂なさた🥷🤍,0xffff9727,28000337,1399,4,NA|Legends❤️‍🩹
4,#99PRPGQYC,ᴳᵒᵈD̷y̷n̷a̷🎋,0xffff9727,28000346,1399,5,🗡️| Impossible
5,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1399,6,Follow?
6,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1399,7,help ranks
7,#20L88L2J,FUT | LeNain,0xffff8afb,28000321,1399,8,A Few Good Men
8,#YV8U29VLY,Oh My Bibi🥵,0xffcb5aff,28000129,1399,9,❤️‍🩹
9,#22CL00PG0,ZETA | Nowy297,0xffffffff,28000164,1349,10,A Few Good Men
10,#2Q9PYVQLP,HelloWorld,0xffff8afb,28000096,1349,11,
11,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1323,12,Eclipse 🌖
12,#LRLQPU09,Quantic 🌵,0xffa8e132,28000284,1303,13,LA Global
13,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1303,14,<c0>ＬＯＮＥＬＹ★</c>
14,#V2CLUQY2,PrJ|HeyBrother,0xffcb5aff,28000305,1303,15,Ultra Showdown
15,#GRLUYG0R,NiceShøt 🌓,0xffcb5aff,28000347,1302,16,Ex0tic-E-Sport
16,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,1302,17,
17,#9VJG9LPGR,Plague 🐊,0xffff8afb,28000252,1281,18,a<c
18,#PQ09LC889,sinaayy🤍kアナー,0xffff8afb,28000196,1263,19,luv sinayy.🤍🪽
19,#VYGVV08Q,🍅domates,0xffffffff,28000261,1258,20,
20,#PYPQUG80,Zava💞Sunfote,0xffff9727,28000195,1254,21,Showdown💔Kings
21,#G0LYU9JY,YNS|CAmPErr🌃,0xffa8e132,28000262,1254,22,<c0>PWNZ</c>
22,#999P028G,影|ｱཞꫀˢ𝓢ʰ₳𝐃øω❦,0xffcb5aff,28000347,1254,23,The Lions
23,#89CGJQ08G,Lônély🖤ClârX,0xffcb5aff,28000003,1253,24,LA Global
24,#QUUGLJGQC,ᴡɪɴᴄʜᴇsᴛᴇʀ♡,0xffcb5aff,28000014,1253,25,Lost Hell
25,#Y8082RLP,ł̇₵Ɇ ₥ØⱤ₮ł₴,0xfff9c908,28000262,1253,26,
26,#9GCCJJLYU,Slayer❤️‍🔥,0xffffffff,28000014,1253,27,🧀MUSSARELOS✨
27,#8CRLCCRRR,SPY,0xffff9727,28000233,1253,28,weird gamers
28,#Y0GLYCYVY,Maho❤️🔥,0xff1ba5f5,28000129,1253,29,<c0>ＬＯＮＥＬＹ★</c>
29,#29UCYY00J,THF|Reaper,0xffa2e3fe,28000196,1252,30,Kiwithatgame
30,#90JCYPQU,ZETA | MeOw,0xffffffff,28000074,1252,31,Talents
