,tag,name,nameColor,icon,trophies,rank,club
0,#G8P8J90J2,MeTa | duo♡van,0xffffffff,28000298,1499,1,оупи челики
1,#2RPVPYGPY,JuiceTheKidd🏴,0xffffffff,28000191,1399,2,Dictatorship
2,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1302,3,Fenernazçe 💙💛
3,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1301,4,Eclipse 🌖
4,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1274,5,Follow?
5,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1254,6,<c0>ＬＯＮＥＬＹ★</c>
6,#2CRRRRYJR,моё,0xfff9c908,28000213,1252,7,✌️✌️✌️
7,#8PJRRG2C,SK|GuilleVGX,0xffa8e132,28000099,1251,8,CONEXIÓN
8,#YGQYGCR,Portox😡,0xff1ba5f5,28000191,1251,9,Blue Label
9,#PYPQUG80,Zava💞Sunfote,0xffff9727,28000195,1251,10,Showdown💔Kings
10,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1251,11,help ranks
11,#P9YPY9U8J,MeTa | duo♡van,0xff4ddba2,28000262,1251,12,TyM`eSports
12,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1251,13,Eclipse 🌖
13,#QR2GC8V,BKB|❄IC£CRØW❄,0xfff9c908,28000348,1251,14,Tribe Turkey
14,#GCVPVRQY,MyS|Goman,0xff4ddba2,28000137,1250,15,Tribe Turkey
15,#9L09YYQ8L,⛩️Panda G.m⛩️,0xffcb5aff,28000330,1250,16,HolyGuns
16,#G9C9VJ2GL,Vá♡neèk🪐,0xffff8afb,28000303,1249,17,<c0>PWNZ</c>
17,#9UY0V22GG,MyS|Wintrader🤡,0xff4ddba2,28000067,1249,18,Showdown💔Kings
18,#2CUYQ8RQC,🥷🏿,0xffffffff,28000272,1249,19,
19,#QGLCPJ2J,Ansel,0xff1ba5f5,28000014,1249,20,CHEESEFOREVAR
20,#2P0CUQ9Q0,rojdar❥,0xffffffff,28000000,1249,21,Showdown💘
21,#9QVG9QQC,Solo❦Maga,0xff1ba5f5,28000175,1249,22,<c0>★DARK★</c>
22,#22U90C8J,Tevi11,0xffcb5aff,28000036,1249,23,Havoc Echo
23,#PLUGLRG28,4SV_MaSTeP,0xffffffff,28000233,1228,24,Quant ESports🐾
24,#8PQYUJ29G,𝚏𝚒𝚗𝚎𝚜𝚝❦︎,0xfff9c908,28000132,1225,25,Хижина Снайпов
25,#JV2L02VV,SíJaauaq,0xffff8afb,28000303,1204,26,
26,#2UYJV98J2,all 1500🏆,0xffffffff,28000000,1203,27,
27,#VYGVV08Q,🍅domates,0xffffffff,28000261,1200,28,
28,#QRUQQLV0,Code: Nukleo,0xffa8e132,28000186,1200,29,LA Instinct
29,#29L028GQL,Djahsta,0xffff9727,28000306,1199,30,BC*|Family*
30,#ULCPJJ8,Kat 🍄,0xffcb5aff,28000003,1199,31,Real Ones
31,#8LQ9JR82,Code: Eqwaak,0xfff9c908,28000004,1199,32,A Few Good Men
32,#QPV0R9QUR,Storm ⚘,0xffcb5aff,28000014,1199,33,Novacane🤍
33,#9P8G82UGV,Fern£,0xffffffff,28000130,1199,34,Bandopolis
34,#J08LR9R,Cheese🩵anime,0xffa2e3fe,28000278,1199,35,Himalaya
35,#YRURQRPUR,Skibidi Chipz,0xff1ba5f5,28000018,1195,36,Talents
36,#9GJLVLYYU,Sad💔HOBi,0xfff05637,28000332,1189,37,destroyers🦇
37,#88RGGCVQJ,My heart in AUS,0xff4ddba2,28000092,1157,38,ハナクソタケシ
38,#8QPQUJUPU,Sacrifício,0xfff05637,28000014,1149,39,[™BLIND™]
39,#2GJQ99LRL,agusise :p,0xffcb5aff,28000222,1149,40,No Mercy
40,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,1146,41,
41,#2UGV0ULQC,MONSTER,0xfff9c908,28000187,1146,42,Жосткие профи
42,#YG080VLQL,ゼルドリス「凶星雲」,0xffffffff,28000322,1142,43,プロメガピッカーズ
43,#8LC808G,Tuyu,0xff1ba5f5,28000349,1136,44,@Tuyu_Official
44,#QUYCVC2,STMN | sans,0xffa8e132,28000136,1135,45,STMN Esports
45,#PQL2G2LL9,Yakup❤️🔥,0xfff05637,28000261,1122,46,YT:Bilek Gücü
46,#PR9U2JL,Juan Carlos,0xffffffff,28000119,1120,47,Humble Grinders
47,#8GUPLYY,FG | Jene,0xffff8afb,28000135,1120,48,clover
48,#YPP02G9L,Mxrf 🐝,0xff1ba5f5,28000291,1118,49,Beyond Washed
49,#8R99PJ890,xSkylasz•,0xffff9727,28000321,1116,50,Vitality
50,#9Y2JQRVUU,Gocha❤むぎったん,0xffffffff,28000000,1113,51,Good bye
51,#20V0UPCV8,the punisher,0xff1ba5f5,28000352,1111,52,Gg|My Clan🥀🖤
52,#8URCLRY8,球隊|RoUND🌠,0xfff9c908,28000061,1110,53,My social media
53,#PLQ0QRVQL,FMG | Flashᴷⁱⁿᴳ,0xffffffff,28000139,1110,54,ZETA|DIVISION'S
54,#9VU9R2LY,Terry!,0xffffffff,28000081,1108,55,✌️✌️✌️
55,#22U8CPP8Q,ŁŞƬ|Apurⅴ☘️,0xff1ba5f5,28000230,1108,56,ŁŞƬ☘️
