,tag,name,nameColor,icon,trophies,rank,club
0,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1402,1,Fenernazçe 💙💛
1,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1399,2,Follow?
2,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1350,3,Eclipse 🌖
3,#VYGVV08Q,🍅domates,0xffffffff,28000261,1303,4,
4,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1302,5,Eclipse 🌖
5,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,1254,6,
6,#PYPQUG80,Zava💞Sunfote,0xffff9727,28000195,1254,7,Showdown💔Kings
7,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1253,8,help ranks
8,#G0LYU9JY,YNS|CAmPErr🌃,0xffa8e132,28000262,1253,9,<c0>PWNZ</c>
9,#9GJPJUQGJ,Xorox❤️‍🩹Byrox,0xffcb5aff,28000273,1253,10,Tribe Turkey
10,#88RGGCVQJ,My heart in AUS,0xff4ddba2,28000092,1251,11,ハナクソタケシ
11,#2GPV0LRQC,TTeJIbMeIIIka,0xffff8afb,28000347,1251,12,Quant ESports🐾
12,#99JQ9PQP,Artem4ic🤍W,0xff4ddba2,28000018,1251,13,
13,#U0UQUVGU,Crux✨,0xff1ba5f5,28000300,1251,14,Meow
14,#JV2L02VV,SíJaauaq,0xffff8afb,28000303,1251,15,
15,#8R99PJ890,xSkylasz•,0xffff9727,28000321,1251,16,Vitality
16,#Y02L2GGC,Weeeeisit🍒,0xffff8afb,28000073,1250,17,Showdown💔Kings
17,#99RRC99LP,farm😼кαдєiн,0xffffffff,28000122,1250,18,Masterpiece❤‍🩹
18,#9UG08PQUY,xSkywalker🦋ま,0xff1ba5f5,28000135,1250,19,Quant ESports🐾
19,#9VU9R2LY,Terry!,0xffffffff,28000081,1250,20,✌️✌️✌️
20,#P0L9Y2P8,在地上爬的小小蟲011,0xffffffff,28000000,1250,21,<c7>幹嘛偷看我個資</c>
21,#82LRGLQ02,あ| 𝓕𝓪𝓱𝓪𝓓🥀,0xff1ba5f5,28000283,1250,22,OG Mute
22,#9G0CJPJPY,Taha♛,0xffcb5aff,28000170,1249,23,GOOD BYE TAHA
23,#YQUQUUG,Ferlol,0xff1ba5f5,28000294,1249,24,minuta:3
24,#289QGVYRQ,TyM|Ârda🦁,0xffff9727,28000014,1249,25,TyM`eSports
25,#2LL8JYYVJ,алхимик38,0xffff9727,28000160,1249,26,анскиллы
26,#U2PRPLP,OU鸥,0xffffffff,28000341,1249,27,anyway🤷🏻‍♂️
27,#Y0GLYCYVY,Maho❤️🔥,0xff1ba5f5,28000129,1249,28,<c0>ＬＯＮＥＬＹ★</c>
28,#PYUJGV290,🪃在profikk🏔️,0xffcb5aff,28000207,1241,29,Ladder Warriors
29,#PLUGLRG28,4SV_MaSTeP,0xffffffff,28000233,1236,30,Quant ESports🐾
30,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1230,31,<c0>ＬＯＮＥＬＹ★</c>
31,#PC9LPPYV,Nico❤️Heys,0xff1ba5f5,28000196,1226,32,No Mercy
32,#8PJRRG2C,SK|GuilleVGX,0xffa8e132,28000099,1205,33,CONEXIÓN
33,#802VG829,LuRkz🩵Sq,0xffff8afb,28000014,1203,34,Demise 🥀
34,#QRUQQLV0,Code: Nukleo,0xffa8e132,28000186,1203,35,LA Instinct
35,#CGQCYJGY,TTV | SnakeThug,0xfff9c908,28000341,1203,36,Deadly Vipers🐍
36,#GV9GRLJJ,Counter,0xffff9727,28000265,1203,37,NA Friends
37,#PR9U2JL,Juan Carlos,0xffffffff,28000119,1202,38,Humble Grinders
38,#90RQYP98U,♡•bestie•♡🧸,0xffa2e3fe,28000221,1202,39,7 Dwarves
39,#2P088J29C,Matt,0xffff8afb,28000333,1202,40,<c5>Just Us</c>
40,#8J2L92QY,FS|Vanya❤️,0xfff05637,28000334,1202,41,<c8>Lafkkお</c>
41,#9J2JLUR8G,Aspect 🃏,0xffffffff,28000304,1201,42,7 Dwarves
42,#YRURQRPUR,Skibidi Chipz,0xff1ba5f5,28000018,1200,43,Talents
43,#QR2GC8V,BKB|❄IC£CRØW❄,0xfff9c908,28000348,1200,44,Tribe Turkey
44,#CUUCQRQ9,A-B-N-SYRIA,0xff1ba5f5,28000168,1199,45,BC*|Family*
45,#LVVCQJR8Y,MyS l boosty,0xffff8afb,28000301,1199,46,
46,#G99CYGL,𝒁𝒂𝒊𝒌𝒐❄️,0xff4ddba2,28000194,1199,47,ChillOG
47,#Y99G8VPL0,BIG | ARTIN🦁,0xff1ba5f5,28000199,1199,48,YT | Nigena
48,#PL2P020J8,Núbis Gear 4,0xffffffff,28000317,1199,49,GamePlay D
49,#JGCCGY80,prostislavv,0xffff9727,28000042,1199,50,BOBR gaming
50,#8LC808G,Tuyu,0xff1ba5f5,28000349,1199,51,@Tuyu_Official
51,#8LQ9JR82,Code: Eqwaak,0xfff9c908,28000004,1199,52,A Few Good Men
52,#GYYYP8P9U,бист|Kristina ♡,0xffffffff,28000210,1199,53,
53,#2J2PJ0UV,ikarosita,0xffa8e132,28000136,1198,54,Humble Grinders
54,#YGQYGCR,Portox😡,0xff1ba5f5,28000191,1195,55,Blue Label
55,#P99QGPLU2,Davex,0xffffce89,28000129,1188,56,Brawl King's
56,#2CUYQ8RQC,🥷🏿,0xffffffff,28000272,1168,57,
57,#PUJ8JCU2P,ѕυηѕє∂なさた🥷🤍,0xffff9727,28000337,1167,58,NA|Legends❤️‍🩹
58,#8GGQC0UP,SHW|Tattier,0xff1ba5f5,28000138,1165,59,MegaPigEnjoyers
59,#8URCLRY8,球隊|RoUND🌠,0xfff9c908,28000061,1160,60,My social media
60,#RRVVPG2Y,Brosta卡拉,0xff1ba5f5,28000206,1159,61,vMoove
61,#YQ9JVYV,ToniMxf.💘,0xffcb5aff,28000272,1156,62,ChillOG
