,tag,name,nameColor,icon,trophies,rank,club
0,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1399,1,Follow?
1,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1302,2,Fenernazçe 💙💛
2,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1301,3,Eclipse 🌖
3,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1300,4,Eclipse 🌖
4,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1300,5,<c0>ＬＯＮＥＬＹ★</c>
5,#2C9PLLUG8,Efecan|Apple♎🖤,0xffff8afb,28000321,1261,6,<c0>ＬＯＮＥＬＹ★</c>
6,#YP28LYR8G,GHS|Phoenix ❦,0xfff9c908,28000213,1253,7,Ghost eSports
7,#PJ02GQJ,$HIVAM I$ B+,0xffa8e132,28000151,1253,8,TT: niiil_06
8,#8PJRRG2C,SK|GuilleVGX,0xffa8e132,28000099,1252,9,CONEXIÓN
9,#QGLCPJ2J,Ansel,0xff1ba5f5,28000014,1252,10,CHEESEFOREVAR
10,#9G0CJPJPY,Taha♛,0xffcb5aff,28000170,1251,11,GOOD BYE TAHA
11,#PQ98LVPQ,Math ↯,0xffcb5aff,28000280,1251,12,Ash's Club
12,#2LC9RU2UG,ƇЄƊƦƖƇ🍁,0xffff9727,28000124,1251,13,+12 yaş sew
13,#88G92UUJQ,Laampa💘,0xffff9727,28000198,1251,14,GoatLife
14,#P9YPY9U8J,MeTa | duo♡van,0xff4ddba2,28000262,1251,15,TyM`eSports
15,#C2CULQP0,❤️‍🔥Mazoex♛,0xff1ba5f5,28000314,1251,16,VV eSport
16,#GU220LGG,GHS|PatricK👻,0xffff8afb,28000211,1251,17,Ghost eSports
17,#9LY0YG9QP,を|Sed🍀,0xffa8e132,28000197,1250,18,DragonArmy
18,#PQ28JP0P,亲Jσтα,0xffff9727,28000175,1250,19,7 Dwarves
19,#8Y082R2GG,추카|RapZ ✶,0xffff9727,28000211,1250,20,Beyond Swift
20,#GCVPVRQY,MyS|Goman,0xff4ddba2,28000137,1250,21,Tribe Turkey
21,#2G02V00YC,🇦🇱 TP | Regi,0xfff05637,28000223,1250,22,THE PERFECT 🏆
22,#9GR2V20LV,🐉|qwarty🔮,0xffffffff,28000259,1250,23,Lose?
23,#P99QGPLU2,Davex,0xffffce89,28000129,1250,24,Brawl King's
24,#PQPR2GQGJ,MatCha✈️,0xffcb5aff,28000014,1250,25,HK瘋
25,#82LRGLQ02,あ| 𝓕𝓪𝓱𝓪𝓓🥀,0xff1ba5f5,28000283,1250,26,OG Mute
26,#VYGVV08Q,🍅domates,0xffffffff,28000261,1250,27,
27,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1249,28,help ranks
28,#PGY9ULY,PollitoMan,0xffffffff,28000348,1249,29,7 Dwarves
29,#YVPGY0JCP,紫宮るな☪️🐾「ばかめぇ〜」,0xffcb5aff,28000175,1249,30,infinite
30,#289QGVYRQ,TyM|Ârda🦁,0xffff9727,28000014,1249,31,TyM`eSports
31,#YRURQRPUR,Skibidi Chipz,0xff1ba5f5,28000018,1249,32,Talents
