,tag,name,nameColor,icon,trophies,rank,club
0,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1500,1,Eclipse 🌖
1,#2YYL89J8G,psychc🦈,0xffffffff,28000003,1399,2,🌴|<c3>HM</c>
2,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1394,3,Fenernazçe 💙💛
3,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,1391,4,
4,#VYGVV08Q,🍅domates,0xffffffff,28000261,1306,5,
5,#Q2JVVRJVJ,tengo novia🥰,0xffffffff,28000075,1303,6,
6,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1302,7,Eclipse 🌖
7,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1301,8,<c0>ＬＯＮＥＬＹ★</c>
8,#89UPQJJVV,+BraboX 🎩,0xffa8e132,28000236,1299,9,Ghost Team👻☔
9,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1284,10,Follow?
10,#2C9PLLUG8,Efecan|Apple♎🖤,0xffff8afb,28000321,1271,11,<c0>ＬＯＮＥＬＹ★</c>
11,#8UQ9GQJJ,↝𝑉𝑖𝑝𝑒𝑟⍨꙳,0xff4ddba2,28000272,1261,12,めろんぱん食堂
12,#82UCLY9C8,Kronos🇧🇷,0xffff8afb,28000029,1260,13,Brawl King's
13,#9JPJQGCU2,Agent｜takayuki,0xffffffff,28000183,1254,14,DEEMO
14,#2UVCQGQ8,らな「もぐもぐ❁だっちゃ」,0xfff9c908,28000050,1253,15,Grace↯House
15,#290LJC89U,L1S|Unique❦,0xffa2e3fe,28000035,1253,16,Night Stars
16,#GJPVYUQG,👑Joaco09J👑,0xffff9727,28000139,1253,17,Diablitas Team
17,#RVLQ0VUR,风暴|kerem🎃,0xffff9727,28000257,1253,18,ᴅᴀɪʟʏ
18,#C2CULQP0,❤️‍🔥Mazoex♛,0xff1ba5f5,28000314,1253,19,VV eSport
19,#LPGYQ9CCV,Йeo:)🩵,0xff1ba5f5,28000134,1253,20,レインボーの風船
20,#PJYUUCCPC,でぃあぴの‪ღ,0xffcb5aff,28000210,1253,21,Excellent🏆
21,#2G9RC8U2R,西田まさなり,0xffffffff,28000272,1253,22,REX💫
22,#2GYY989GU,あ|Nouggetシ🦋,0xffa8e132,28000075,1253,23,VV eSport
23,#PQJVG9LG2,REX Kai💫🥀,0xff1ba5f5,28000110,1253,24,REX💫
24,#9GJPJUQGJ,Xorox❤️‍🩹Byrox,0xffcb5aff,28000273,1253,25,Tribe Turkey
25,#989L0928Q,L1S|Sufiyan❦,0xff1ba5f5,28000033,1252,26,IMMORTAL SOULS
26,#82GPP9LQ,BC*| Tobi🍉,0xff1ba5f5,28000303,1252,27,BC*|Family*
27,#CPPV2PQG,MeliodasBot🐐,0xffa8e132,28000006,1252,28,No Mercy
28,#LRJU2JU92,yabottiponyal?,0xffcb5aff,28000330,1252,29,Малиновая лада
29,#P99QGPLU2,Davex,0xffffce89,28000129,1252,30,Brawl King's
30,#CJP08CU0,Uriel,0xffffffff,28000135,1252,31,Brawl King's
31,#8QJ8G08PU,𝓀𝒾𝓁𝓁ℯ𝓇叶🥷,0xffffce89,28000006,1252,32,𝓀𝒾𝓁𝓁ℯ𝓇
32,#YGQYGCR,Portox😡,0xff1ba5f5,28000191,1252,33,Blue Label
33,#82LRGLQ02,あ| 𝓕𝓪𝓱𝓪𝓓🥀,0xff1ba5f5,28000283,1252,34,OG Mute
34,#Y9R9JPVPU,Xelium A🩸,0xffffffff,28000029,1252,35,
35,#PYPQUG80,Zava💞Sunfote,0xffff9727,28000195,1252,36,Showdown💔Kings
36,#QR2GC8V,BKB|❄IC£CRØW❄,0xfff9c908,28000348,1252,37,Tribe Turkey
37,#8GYJGVYR,thicc❤️basta,0xffff9727,28000233,1252,38,TheBrawlingKiwi
38,#RUGUJPR8,☠ĆØΜβΔŦ€ŇŦ€☠,0xff4ddba2,28000253,1251,39,★the Players★
39,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1251,40,help ranks
