,tag,name,nameColor,icon,trophies,rank,club
0,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1499,1,Eclipse 🌖
1,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1402,2,Fenernazçe 💙💛
2,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1380,3,Eclipse 🌖
3,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1300,4,Follow?
4,#VYGVV08Q,🍅domates,0xffffffff,28000261,1300,5,
5,#PLUJG0Y0R,愛dizocserib🤍e•,0xffff8afb,28000204,1254,6,Revaible 💗
6,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1253,7,help ranks
7,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1253,8,<c0>ＬＯＮＥＬＹ★</c>
8,#Y0GLYCYVY,Maho❤️🔥,0xff1ba5f5,28000129,1253,9,<c0>ＬＯＮＥＬＹ★</c>
9,#9G0CJPJPY,Taha♛,0xffcb5aff,28000170,1252,10,GOOD BYE TAHA
10,#Y02L2GGC,Weeeeisit🍒,0xffff8afb,28000073,1252,11,Showdown💔Kings
11,#8R99PJ890,xSkylasz•,0xffff9727,28000321,1252,12,Vitality
12,#9L9P2PLY0,佐切「静かに、、激しく、、」,0xffffffff,28000303,1251,13,🌺🥀🌸🌼🌷
13,#8PJRRG2C,SK|GuilleVGX,0xffa8e132,28000099,1251,14,CONEXIÓN
14,#8Q2JCGP00,きゃんでぃ,0xff1ba5f5,28000014,1251,15,キングダム乱
15,#JV2L02VV,SíJaauaq,0xffff8afb,28000303,1251,16,
16,#8Y082R2GG,추카|RapZ ✶,0xffff9727,28000211,1250,17,Beyond Swift
17,#99JQ9PQP,Artem4ic🤍W,0xff4ddba2,28000018,1250,18,
18,#J8UR8002,SKC | Prozy,0xffa8e132,28000029,1250,19,Emi's bar 🍻
19,#2CUYQ8RQC,🥷🏿,0xffffffff,28000272,1250,20,
20,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,1250,21,
21,#PYPQUG80,Zava💞Sunfote,0xffff9727,28000195,1250,22,Showdown💔Kings
22,#9UG08PQUY,xSkywalker🦋ま,0xff1ba5f5,28000135,1249,23,Quant ESports🐾
23,#Y9R9JPVPU,Xelium A🩸,0xffffffff,28000029,1249,24,
24,#QRUQQLV0,Code: Nukleo,0xffa8e132,28000186,1215,25,LA Instinct
25,#YGQYGCR,Portox😡,0xff1ba5f5,28000191,1206,26,Blue Label
26,#VGLY2G88,はRyuji🍢,0xffffce89,28000247,1205,27,
27,#2YPC2LL02,RV|kakawo,0xfff9c908,28000300,1205,28,RV
28,#2P088J29C,Matt,0xffff8afb,28000333,1204,29,<c5>Just Us</c>
29,#PR9U2JL,Juan Carlos,0xffffffff,28000119,1202,30,Humble Grinders
30,#8GUPLYY,FG | Jene,0xffff8afb,28000135,1201,31,clover
31,#2J2PJ0UV,ikarosita,0xffa8e132,28000136,1200,32,Humble Grinders
32,#G99CYGL,𝒁𝒂𝒊𝒌𝒐❄️,0xff4ddba2,28000194,1200,33,ChillOG
33,#CGQCYJGY,TTV | SnakeThug,0xfff9c908,28000341,1200,34,Deadly Vipers🐍
34,#2CRRRRYJR,моё,0xfff9c908,28000213,1200,35,✌️✌️✌️
35,#88RGGCVQJ,My heart in AUS,0xff4ddba2,28000092,1199,36,ハナクソタケシ
36,#8YUVLQQLG,TEM | Gluttonyʕ,0xff1ba5f5,28000088,1199,37,おなかすいたよ🍖🍔🍟🍕
37,#9J2JLUR8G,Aspect 🃏,0xffffffff,28000304,1199,38,7 Dwarves
38,#YQ9JVYV,ToniMxf.💘,0xffcb5aff,28000272,1199,39,ChillOG
39,#29L028GQL,Djahsta,0xffff9727,28000306,1199,40,BC*|Family*
40,#QJ0PRJCU,retired getsent,0xff4ddba2,28000010,1199,41,Beyond Swift
41,#299PPJ22L,[MMA]nagibatori,0xffa2e3fe,28000235,1199,42,Showdown💔Kings
42,#JGCCGY80,prostislavv,0xffff9727,28000042,1199,43,BOBR gaming
43,#QJULVGU,QLS | Edinho,0xff1ba5f5,28000194,1199,44,Ghost Team👻☔
44,#8LQ9JR82,Code: Eqwaak,0xfff9c908,28000004,1199,45,A Few Good Men
45,#GJJQPYC9,Storm🪐,0xffcb5aff,28000345,1199,46,GAMEOVER
46,#82PQUPGU0,Ryohei🐬,0xff1ba5f5,28000240,1195,47,数え役満🀄️
47,#9GJLVLYYU,Sad💔HOBi,0xfff05637,28000332,1195,48,destroyers🦇
48,#P99QGPLU2,Davex,0xffffce89,28000129,1190,49,Brawl King's
49,#20CJVQQYU,[₮₱] ₱ɆⱠ₳Ɖ₳Ø,0xffcb5aff,28000291,1182,50,★the Players★
50,#GLUPGRVUP,Kotuk🐱,0xffff8afb,28000299,1177,51,Masterpiece❤‍🩹
51,#8URCLRY8,球隊|RoUND🌠,0xfff9c908,28000061,1172,52,My social media
52,#CPYUR8QR,KD|Buff♡,0xfff9c908,28000132,1171,53,Quant ESports🐾
53,#2LYQ99RQL,Ryu,0xff1ba5f5,28000150,1165,54,たつきすねげ
54,#PC9LPPYV,Nico❤️Heys,0xff1ba5f5,28000196,1163,55,No Mercy
55,#GVQUYG90,Shattered ⟡,0xffffffff,28000000,1158,56,7 Dwarves
56,#YRURQRPUR,Skibidi Chipz,0xff1ba5f5,28000018,1152,57,Talents
57,#90V9VYJ8C,しょうけい,0xfff05637,28000242,1151,58,なかよし部
58,#2UR2YPGCJ,♡Buenos_dias♡,0xffff8afb,28000021,1151,59,Quant ESports🐾
59,#8GGVRU992,💔ŜŦĄŁĶĚŖᵗᵗ💔,0xffa2e3fe,28000201,1149,60,
60,#QQ2R89P29,Wasted,0xffa2e3fe,28000158,1149,61,Schach
61,#99YL0PV9V,𝐍𝐓|𝐋𝐮𝐢𝐬𝐮,0xffffce89,28000349,1149,62,✌️✌️✌️
62,#QUYCVC2,STMN | sans,0xffa8e132,28000136,1148,63,STMN Esports
63,#J8YPGR,Twitch: Tobi,0xffcb5aff,28000000,1146,64,Brawl King's
64,#29UGLJV2G,Lёvi,0xfff9c908,28000244,1145,65,✌️✌️✌️
65,#2LY99YGP8,HJK┃エネ↯,0xffcb5aff,28000338,1140,66,<c2>エホヤキム</c>
66,#20CQLYP2C,TBEjason,0xffff8afb,28000336,1137,67,Brawl King's
67,#989L0928Q,L1S|Sufiyan❦,0xff1ba5f5,28000033,1136,68,IMMORTAL SOULS
68,#202QJ9V8,⚘Polar🌕,0xffffce89,28000175,1129,69,United Stars ✨
69,#89JJV992Y,ZL|caldera,0xfff9775d,28000040,1125,70,めろんぱん食堂
70,#2CY0CVU80,~Vi♡tal🪐,0xffffffff,28000297,1124,71,Импрессив
71,#220PGLU02,家|𝑴𝒆𝒎𝒆𝒏ϟ,0xffa8e132,28000163,1122,72,You and me 💜
72,#PLQ0QRVQL,FMG | Flashᴷⁱⁿᴳ,0xffffffff,28000139,1118,73,ZETA|DIVISION'S
73,#2QCVLV2Q,Psychopant💧,0xffff8afb,28000334,1118,74,7 Dwarves
74,#9V9GQJG8,hobbit,0xffa8e132,28000005,1115,75,
75,#QR2GC8V,BKB|❄IC£CRØW❄,0xfff9c908,28000348,1115,76,Tribe Turkey
76,#GRLUYG0R,NiceShøt 🌓,0xffcb5aff,28000347,1112,77,Ex0tic-E-Sport
77,#Q9L9PQG0R,Яainvoys:),0xff1ba5f5,28000322,1110,78,<c5>Angel🤍</c>
78,#2RQGVLRVG,₹GuilleX,0xffff8afb,28000036,1109,79,No Mercy
79,#2UYJV98J2,all 1500🏆,0xffffffff,28000000,1109,80,
80,#PGY9ULY,PollitoMan,0xffffffff,28000348,1107,81,7 Dwarves
81,#U2PRPLP,OU鸥,0xffffffff,28000341,1107,82,anyway🤷🏻‍♂️
82,#9VU9R2LY,Terry!,0xffffffff,28000081,1106,83,✌️✌️✌️
83,#YQUQUUG,Ferlol,0xff1ba5f5,28000294,1104,84,minuta:3
84,#9VP2R0P9,ToxicZan,0xff1ba5f5,28000352,1104,85,Real Ones
85,#8Y98Q8U,CR | Sitetampo,0xffff8afb,28000014,1104,86,A Few Good Men
86,#9L09YYQ8L,⛩️Panda G.m⛩️,0xffcb5aff,28000330,1104,87,HolyGuns
