,tag,name,nameColor,icon,trophies,rank,club
0,#GRVL8ULV,陰|SuperLab ☯︎,0xff1ba5f5,28000141,1449,1,7 Dwarves
1,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1400,2,Eclipse 🌖
2,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1314,3,Eclipse 🌖
3,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1302,4,Fenernazçe 💙💛
4,#2J2PJ0UV,ikarosita,0xffa8e132,28000136,1299,5,Humble Grinders
5,#2JCURGC2C,Sin ヤギ,0xffffffff,28000339,1299,6,
6,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,1299,7,
7,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1299,8,Follow?
8,#VYGVV08Q,🍅domates,0xffffffff,28000261,1260,9,
9,#2J9GQL9P2,Matth 🧸,0xffffce89,28000299,1255,10,🧀MUSSARELOS 3✨
10,#PJ9882U,Egnity|Ama🥀,0xffcb5aff,28000023,1255,11,ゆかいな仲間たち
11,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1253,12,<c0>ＬＯＮＥＬＹ★</c>
12,#2LY99YGP8,HJK┃エネ↯,0xffcb5aff,28000338,1252,13,<c2>エホヤキム</c>
13,#P99QGPLU2,Davex,0xffffce89,28000129,1252,14,Brawl King's
14,#LRLQPU09,Quantic 🌵,0xffa8e132,28000284,1252,15,LA Global
15,#YUCVV0P02,GogetaX50,0xffa8e132,28000101,1252,16,<c2>Phoenix</c>
16,#QGLCPJ2J,Ansel,0xff1ba5f5,28000014,1252,17,CHEESEFOREVAR
17,#QR2GC8V,BKB|❄IC£CRØW❄,0xfff9c908,28000348,1252,18,Tribe Turkey
18,#20CJVQQYU,[₮₱] ₱ɆⱠ₳Ɖ₳Ø,0xffcb5aff,28000291,1251,19,★the Players★
19,#PV9U8PU8Q,Raul Clash,0xffffffff,28000200,1251,20,🌴<c5>|HM</c>
20,#P9YPY9U8J,MeTa | duo♡van,0xff4ddba2,28000262,1251,21,TyM`eSports
21,#QRUQQLV0,Code: Nukleo,0xffa8e132,28000186,1251,22,LA Instinct
22,#8JLRVYRU,- NOZÉ -,0xffa8e132,28000194,1251,23,★the Players★
23,#UG2JJ89,Redziin🫀,0xfff05637,28000272,1251,24,Ghost Team👻☔
24,#2R82G0QY0,Loading...,0xffff8afb,28000098,1251,25,★the Players★
25,#82LRGLQ02,あ| 𝓕𝓪𝓱𝓪𝓓🥀,0xff1ba5f5,28000283,1251,26,OG Mute
26,#PQ28JP0P,亲Jσтα,0xffff9727,28000175,1250,27,7 Dwarves
27,#8Y082R2GG,추카|RapZ ✶,0xffff9727,28000211,1250,28,Beyond Swift
28,#8LLJ92VQ,あ| 𝓐𝓱𝓶𝓮𝓓🥀,0xff1ba5f5,28000349,1250,29,OG Mute
29,#8RPPJ8Y8L,Lyoko | DiMii🌽,0xffcb5aff,28000014,1250,30,Wasted🥱
30,#8R99PJ890,xSkylasz•,0xffff9727,28000321,1250,31,Vitality
31,#808R0GCGC,kra,0xffffffff,28000231,1250,32,Nasty Angle
32,#2RJ0UJCU0,FMG|LuisOMGᴷⁱⁿᴳ,0xfff9c908,28000139,1250,33,ZETA|DIVISION'S
33,#L82U9CVPQ,ᴼᵖɳe̷żu̷ҟσ🥀×᷼×,0xffff9727,28000213,1249,34,🧀MUSSARELOS✨
34,#PJ9JCYLCQ,猿|Epic🐒,0xff1ba5f5,28000069,1249,35,Ex0tic-E-Sport
35,#9YYV2RRGV,ripcho#1,0xff1ba5f5,28000167,1249,36,BulgarianR
36,#VPGGUU9U,|🌬ŦƤ⋆SsnıɔıuıΛ,0xff1ba5f5,28000243,1249,37,★the Players★
37,#8CVCJVVV9,Եթ Շαɱเℓα ☆*❥⃝*,0xffff9727,28000302,1249,38,★the Players★
38,#8L0PJ0R0V,Kryzz❦,0xffff9727,28000265,1249,39,🌴|<c3>HM</c>
39,#20YJ9PLLV,ま|Shadows • 💫,0xffffffff,28000041,1249,40,what happened
40,#90RQYP98U,♡•bestie•♡🧸,0xffa2e3fe,28000221,1249,41,7 Dwarves
41,#80VJGCL0P,tubarao-kaique,0xfff05637,28000279,1249,42,🧀MUSSARELOS✨
42,#89YL8VC,|🌬тρ⋆SsoɔɹɐW彡,0xffff9727,28000349,1249,43,★the Players★
43,#L8UPY2RCL,rr,0xfff9775d,28000050,1249,44,Z드래곤볼Z
44,#J8YPGR,Twitch: Tobi,0xffcb5aff,28000000,1249,45,Brawl King's
45,#89L889CJC,Golden Aqua💛,0xffa2e3fe,28000109,1249,46,Ex0tic-E-Sport
46,#CG8R0JJC,⛩️ivͥaͣnͫ 🎋,0xffcb5aff,28000330,1249,47,Blue Star 💙
47,#2P088J29C,Matt,0xffff8afb,28000333,1249,48,<c5>Just Us</c>
48,#9U0P9CYJJ,Venom🕊️,0xffcb5aff,28000328,1249,49,Real Ones
49,#99VLVGRJG,BootyBaptizer69,0xffffce89,28000000,1249,50,Humble Grinders
50,#2VV02GQ2C,RNT | Prime,0xff1ba5f5,28000044,1249,51,Imperial
51,#9UG8YY0Q0,WP ME żurawinka,0xffffffff,28000175,1249,52,
52,#P8U8JQLG,感|WarMan⚔️,0xff1ba5f5,28000148,1249,53,OG Mute
53,#2PUY2QRCV,Kσαԋ,0xffffffff,28000183,1249,54,Nҽɯ Sƚαɠҽ🎖️
54,#YGQYGCR,Portox😡,0xff1ba5f5,28000191,1249,55,Blue Label
55,#2UP82YLQ,alex 🫧,0xffcb5aff,28000024,1249,56,RicoLover06 ☔️
56,#QLCJGQUP,BOH|Diego💚Wolf,0xff4ddba2,28000320,1249,57,7 Dwarves
57,#2LJ9QCCL,tedd💞💞,0xffffffff,28000112,1249,58,
58,#QGQU29UQC,DN Senketsu,0xffff8afb,28000168,1249,59,<c9> DN</c>
59,#8JGPPVY8G,L1S|ITACHI❦,0xfff9c908,28000132,1249,60,Katze 🐱🐈
60,#Y0GLYCYVY,Maho❤️🔥,0xff1ba5f5,28000129,1249,61,<c0>ＬＯＮＥＬＹ★</c>
61,#V0C9CPVP,Juma🍉,0xffffffff,28000297,1237,62,Nova Aus
62,#2CY898QJ0,єηισ ƒαιχα⁷ 🥋,0xffcb5aff,28000224,1236,63,Candangos do BR
