,tag,name,nameColor,icon,trophies,rank,club
0,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1501,1,<c0>ＬＯＮＥＬＹ★</c>
1,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1499,2,help ranks
2,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1306,3,Fenernazçe 💙💛
3,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1305,4,Eclipse 🌖
4,#PQ09LC889,sinaayy🤍kアナー,0xffff8afb,28000196,1303,5,luv sinayy.🤍🪽
5,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,1301,6,
6,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1300,7,Eclipse 🌖
7,#JV2L02VV,SíJaauaq,0xffff8afb,28000303,1300,8,
8,#22VUV8VJ9,ˢᴸᴳ᭄Nสt๏x,0xffcb5aff,28000139,1253,9,YT : ELCANGRI
9,#Y02L2GGC,Weeeeisit🍒,0xffff8afb,28000073,1252,10,Showdown💔Kings
10,#9QC02VJV8,nyx1k?🤍ニックス,0xffffffff,28000137,1252,11,Lost Hell
11,#QGLCPJ2J,Ansel,0xff1ba5f5,28000014,1252,12,CHEESEFOREVAR
12,#Q9YC0J0G9,Rusya🤍Bloodyハニ,0xfff9c908,28000004,1251,13,KingdomRush
13,#YY9PPLQL9,Yume𓅦,0xff4ddba2,28000149,1251,14,Cipher Pol
14,#C2CULQP0,❤️‍🔥Mazoex♛,0xff1ba5f5,28000314,1251,15,VV eSport
15,#8R99PJ890,xSkylasz•,0xffff9727,28000321,1251,16,Vitality
16,#82LRGLQ02,あ| 𝓕𝓪𝓱𝓪𝓓🥀,0xff1ba5f5,28000283,1251,17,OG Mute
17,#PYPQUG80,Zava💞Sunfote,0xffff9727,28000195,1251,18,Showdown💔Kings
18,#VYGVV08Q,🍅domates,0xffffffff,28000261,1251,19,
19,#9G0CJPJPY,Taha♛,0xffcb5aff,28000170,1250,20,GOOD BYE TAHA
20,#89CGJQ08G,Lônély🖤ClârX,0xffcb5aff,28000003,1250,21,LA Global
21,#8LLJ92VQ,あ| 𝓐𝓱𝓶𝓮𝓓🥀,0xff1ba5f5,28000349,1250,22,OG Mute
22,#9UG08PQUY,xSkywalker🦋ま,0xff1ba5f5,28000135,1250,23,Quant ESports🐾
23,#QUYCVC2,STMN | sans,0xffa8e132,28000136,1250,24,STMN Esports
24,#9VU9R2LY,Terry!,0xffffffff,28000081,1250,25,✌️✌️✌️
25,#JRYLGVYV,QLS|Glory™️,0xffff9727,28000132,1250,26,Ex0tic-E-Sport
26,#QRUQQLV0,Code: Nukleo,0xffa8e132,28000186,1250,27,LA Instinct
27,#2CUYQ8RQC,🥷🏿,0xffffffff,28000272,1250,28,
28,#88RGGCVQJ,My heart in AUS,0xff4ddba2,28000092,1249,29,ハナクソタケシ
29,#PJ9JCYLCQ,猿|Epic🐒,0xff1ba5f5,28000069,1249,30,Ex0tic-E-Sport
30,#202RGUPUG,☆FrankensteIn☆❤,0xffcb5aff,28000170,1249,31,Quant ESports🐾
31,#8Y082R2GG,추카|RapZ ✶,0xffff9727,28000211,1249,32,Beyond Swift
32,#29YQ0JR2Y,れい｜ray🤷🏻‍♂️,0xffa8e132,28000151,1249,33,ユーロ
33,#8JV08U8GR,NightMare❤️‍🔥,0xffcb5aff,28000280,1249,34,NHY E-SporTS
34,#YRURQRPUR,Skibidi Chipz,0xff1ba5f5,28000018,1249,35,Talents
35,#2P022YC0U,bat9 ваня,0xffffffff,28000058,1249,36,Quant ESports🐾
36,#8L0PJ0R0V,Kryzz❦,0xffff9727,28000265,1249,37,🌴|<c3>HM</c>
37,#20YJ9PLLV,ま|Shadows • 💫,0xffffffff,28000041,1249,38,what happened
38,#VUQV0ULV,𝓚𝔂𝔀𝔂,0xffcb5aff,28000031,1249,39,Beyond Fresh
39,#9L09YYQ8L,⛩️Panda G.m⛩️,0xffcb5aff,28000330,1249,40,HolyGuns
40,#22LCG2RLJ,ZT|Yősuki̸❦,0xff1ba5f5,28000349,1249,41,weird gamers
41,#89YL8VC,|🌬тρ⋆SsoɔɹɐW彡,0xffff9727,28000349,1249,42,★the Players★
42,#CPYUR8QR,KD|Buff♡,0xfff9c908,28000132,1249,43,Quant ESports🐾
43,#2082JRYUV,GooD•G,0xffcb5aff,28000033,1249,44,<c5>Just Us</c>
44,#YV8U29VLY,Oh My Bibi🥵,0xffcb5aff,28000129,1249,45,❤️‍🩹
45,#82YJJYLUC,IL | STAMEʕ¨ʔ,0xffffffff,28000000,1249,46,
46,#JGGCYJ2J,🩵🪼Jellyfish🫧,0xff1ba5f5,28000275,1249,47,𝓀𝒾𝓁𝓁ℯ𝓇
47,#Q8U0UCGC,Slaya,0xffffce89,28000272,1249,48,Imperial
48,#2G9P0CGVG,Sk| ×DtZ×ッ,0xffcb5aff,28000135,1249,49,OLS|CLUB
49,#20VVC8LU2,Cryzz❦︎,0xffffffff,28000108,1249,50,
50,#90LPVYVUP,Yusuf♛,0xffffffff,28000112,1249,51,SALDİM
51,#PC9LPPYV,Nico❤️Heys,0xff1ba5f5,28000196,1249,52,No Mercy
52,#88L2RGG9U,v3nus🎄,0xffffffff,28000176,1249,53,Havoc Echo
53,#2Y2Y99GQR,VizeZ,0xffffffff,28000230,1249,54,Ex0tic-E-Sport
54,#YGPQ9QGJJ,❦ZeRo💫ひーき🍌,0xffffce89,28000196,1249,55,💫Starry Sky⛈️
55,#P8UGQ0882,Minterrr🪄,0xffffffff,28000102,1249,56,оупи челики
56,#99LLQYY9,Joeh,0xfff9c908,28000335,1249,57,👋 🤷‍♂️
57,#8QJ0YUV8Q,千 | Kai,0xffa8e132,28000018,1243,58,Beyond Swift
58,#PLUGLRG28,4SV_MaSTeP,0xffffffff,28000233,1243,59,Quant ESports🐾
59,#8QY2Y80CG,godikk❤️‍🔥,0xffcb5aff,28000014,1238,60,Ex0tic-E-Sport
60,#Y0GLYCYVY,Maho❤️🔥,0xff1ba5f5,28000129,1235,61,<c0>ＬＯＮＥＬＹ★</c>
61,#2J2PJ0UV,ikarosita,0xffa8e132,28000136,1233,62,Humble Grinders
62,#9CPP2CJQ9,WhyLansik?,0xffff8afb,28000321,1221,63,Tribe Turkey
63,#Y2CJ0GYRY,wwaasskk1dd👅,0xff4ddba2,28000021,1211,64,
64,#GRLUYG0R,NiceShøt 🌓,0xffcb5aff,28000347,1204,65,Ex0tic-E-Sport
65,#2G0U0P88U,Hoopy•さニヤ🧛‍♂️,0xffffffff,28000150,1204,66,geo kacebi
66,#QPJ2VG8C8,Dragon 🐊,0xff1ba5f5,28000014,1203,67,Real Ones
67,#802VG829,LuRkz🩵Sq,0xffff8afb,28000014,1203,68,Demise 🥀
68,#9J2JLUR8G,Aspect 🃏,0xffffffff,28000304,1203,69,7 Dwarves
69,#P99QGPLU2,Davex,0xffffce89,28000129,1203,70,Brawl King's
70,#V2Q080UU,Valembeau💜,0xffcb5aff,28000035,1203,71,A Few Clown Men
71,#2J00V98R9,𝐿𝑖𝑎𝑚𝑜𝑜〆,0xff4ddba2,28000136,1203,72,Violence Alpha
72,#GRVL8ULV,陰|SuperLab ☯︎,0xff1ba5f5,28000141,1203,73,7 Dwarves
73,#8PJRRG2C,SK|GuilleVGX,0xffa8e132,28000099,1203,74,CONEXIÓN
74,#8QJ8G08PU,𝓀𝒾𝓁𝓁ℯ𝓇叶🥷,0xffffce89,28000006,1203,75,𝓀𝒾𝓁𝓁ℯ𝓇
75,#PQJVG9LG2,REX Kai💫🥀,0xff1ba5f5,28000110,1203,76,REX💫
76,#8VRPJPLU2,Moon🤍アーセン,0xffffffff,28000000,1203,77,devxssted19うぇっ
77,#YGQYGCR,Portox😡,0xff1ba5f5,28000191,1203,78,Blue Label
78,#PCLQQ0Q2L,Yunooo.<3,0xffffffff,28000175,1203,79,JeTeMangeArmy
79,#VPGGUU9U,|🌬ŦƤ⋆SsnıɔıuıΛ,0xff1ba5f5,28000243,1202,80,★the Players★
80,#G99CYGL,𝒁𝒂𝒊𝒌𝒐❄️,0xff4ddba2,28000194,1201,81,ChillOG
81,#90V9VYJ8C,しょうけい,0xfff05637,28000242,1201,82,なかよし部
82,#8GVRY2Y0C,Dep100r,0xff1ba5f5,28000347,1201,83,Revaible 💗
83,#CGQCYJGY,TTV | SnakeThug,0xfff9c908,28000341,1201,84,Deadly Vipers🐍
84,#8LQ9JR82,Code: Eqwaak,0xfff9c908,28000004,1200,85,A Few Good Men
85,#QR2GC8V,BKB|❄IC£CRØW❄,0xfff9c908,28000348,1200,86,Tribe Turkey
86,#999JCRY2Y,savchukk<3.,0xffffce89,28000139,1199,87,Havos Echo
87,#UUYCRQ82,Princesito,0xfff9c908,28000340,1199,88,Brawl King's
88,#809ULJU2,KLIMtm,0xffffffff,28000151,1199,89,take a break.
89,#PGPUR0YG,Tal,0xffffce89,28000066,1199,90,OG Mute
90,#8UYQRLQQV,Cwowお,0xffa8e132,28000331,1199,91,InTeamRasur
91,#2VQ2V99CC,MMs🌙Nemuo,0xfff9c908,28000190,1199,92,めろんぱん食堂
92,#ULCPJJ8,Kat 🍄,0xffcb5aff,28000003,1199,93,Real Ones
93,#29L028GQL,Djahsta,0xffff9727,28000306,1199,94,BC*|Family*
94,#J8YPGR,Twitch: Tobi,0xffcb5aff,28000000,1199,95,Brawl King's
95,#90Y9GU8J0,MTJ|☠️,0xfff9c908,28000136,1199,96,Arab Empire
96,#Y2QGGY29,Born to Live♡,0xffffffff,28000254,1199,97,LaWs Controll
97,#P08899RJG,Runávoys:),0xffff9727,28000044,1199,98,rainy︎ ︎☂︎
98,#URV8JPY,ormy🎄,0xffffffff,28000176,1199,99,Havoc Echo
99,#8UJC08UYL,ᴼᵖᵭҟe̷🥀×᷼×,0xffcb5aff,28000330,1199,100,🧀MUSSARELOS✨
100,#22C0GV9CR,NoCrow,0xff1ba5f5,28000207,1199,101,HeroWarriorsTR
101,#JGCCGY80,prostislavv,0xffff9727,28000042,1199,102,BOBR gaming
102,#2CY898QJ0,єηισ ƒαιχα⁷ 🥋,0xffcb5aff,28000224,1199,103,Candangos do BR
103,#Q2P99R0Y2,Diper👑,0xfff9c908,28000234,1199,104,Dysphoria
104,#8J8U8L9YG,VN|A🤍,0xffff8afb,28000317,1199,105,<c5>Just Us</c>
105,#90R2J0YG0,pozithrt 가ㅢㅡ,0xffffce89,28000150,1199,106,whys in life 😕
106,#8LC808G,Tuyu,0xff1ba5f5,28000349,1199,107,@Tuyu_Official
107,#8QVGJQGGC,ᴀsᴛʀᴏ >.< 🖤,0xffff9727,28000272,1199,108,Kings United II
108,#82YLCR8LR,언월❦(刀),0xff1ba5f5,28000267,1199,109,<c1>BBOBBY</c>
109,#LGG9UY02C,を|Terrox🌺,0xff1ba5f5,28000305,1199,110,House Greyjoy
110,#9LY90298P,疲 | Akuma ✘,0xfff9c908,28000061,1199,111,
111,#2QCVLV2Q,Psychopant💧,0xffff8afb,28000334,1199,112,7 Dwarves
112,#82PQUPGU0,Ryohei🐬,0xff1ba5f5,28000240,1195,113,数え役満🀄️
113,#9P2CUYJ8P,Scared,0xff4ddba2,28000167,1189,114,
114,#QRU0L0U,🐬ꜱᴏᴋʀᴀᴍ 🜲,0xff1ba5f5,28000201,1187,115,CONEXIÓN
115,#2UGV0ULQC,MONSTER,0xfff9c908,28000187,1180,116,Жосткие профи
116,#220PGLU02,家|𝑴𝒆𝒎𝒆𝒏ϟ,0xffa8e132,28000163,1175,117,You and me 💜
117,#2RUVRJYJ2,SY|Faͥbͣuͫᴳᵒᵈ☔,0xff1ba5f5,28000061,1172,118,Ex0tic-E-Sport
118,#8CLC2YCYQ,M1xa🏓,0xffffffff,28000139,1172,119,A Few Kиски
119,#2JUCGCR9L,ÜMÂ.유마❦,0xff1ba5f5,28000125,1169,120,Relax❦
120,#99V2PQCV0,杠｢もう一人でいい…｣,0xffff8afb,28000280,1166,121,🌺🥀🌸🌼🌷
121,#90RQYP98U,♡•bestie•♡🧸,0xffa2e3fe,28000221,1165,122,7 Dwarves
122,#989L0928Q,L1S|Sufiyan❦,0xff1ba5f5,28000033,1162,123,IMMORTAL SOULS
123,#8GUPLYY,FG | Jene,0xffff8afb,28000135,1160,124,clover
124,#2RQGVLRVG,₹GuilleX,0xffff8afb,28000036,1157,125,No Mercy
125,#29RP882G8,Zyroラ,0xffffffff,28000129,1157,126,TT: niiil_06
126,#2G9RC8U2R,西田まさなり,0xffffffff,28000272,1156,127,REX💫
127,#Q2VCGV8YR,Ăℽkas ❦,0xffffce89,28000217,1154,128,Duo Players💖
128,#2PJJQV92,V3|Flamen🤍,0xffffce89,28000230,1153,129,CONEXIÓN
129,#YL2RP82G9,ゼータmayb1kk🌙,0xffff8afb,28000302,1153,130,<c0>Last</c>Wis
130,#2C9PLLUG8,Efecan|Apple♎🖤,0xffff8afb,28000321,1152,131,<c0>ＬＯＮＥＬＹ★</c>
131,#CP99QPCQ,Joe🗿,0xffffffff,28000243,1152,132,
132,#PJCPQUGQ,𝚏𝚒𝚛𝚎𝚜𝚝♡,0xffcb5aff,28000232,1152,133,One Question?
133,#2LR22JC9V,𝑻𝒐𝒃𝒊😮‍💨❤️,0xffa2e3fe,28000272,1152,134,BMW M5 F90.COMP
134,#89Y080YYQ,MyS|Xenord🤍вн$,0xffffffff,28000243,1151,135,La Piraterie🏴‍
135,#2220JVU8Y,WhyFlshhh?,0xffffffff,28000234,1150,136,
136,#2PLVJ0GLV,Sniper🐙,0xffff9727,28000244,1150,137,Brawl Kings
137,#8PRC9029Y,гуль тиграа<3,0xffffffff,28000000,1150,138,A Few Kиски
138,#Y0UL8VPG,meli :p,0xffff9727,28000095,1149,139,No Mercy
139,#8CJLU9GVR,DatKill,0xffcb5aff,28000335,1149,140,Showdown💔Kings
140,#9UY0V22GG,MyS|Wintrader🤡,0xff4ddba2,28000067,1149,141,Showdown💔Kings
141,#2JR9YJL28,戈| Leͥgeͣnͫd™🃏,0xff1ba5f5,28000150,1149,142,ᴅᴀɪʟʏ
142,#J8UQ2UUG,SEKAI NO SHOUPI,0xffa8e132,28000140,1149,143,Cipher Pol
