,tag,name,nameColor,icon,trophies,rank,club
0,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1402,1,Eclipse 🌖
1,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1319,2,Fenernazçe 💙💛
2,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1300,3,Eclipse 🌖
3,#9LYQR9QC,Stas.,0xffff8afb,28000321,1269,4,Affective.
4,#L9RRP8QQP,pro players,0xff1ba5f5,28000221,1255,5,あてぃしのこと好きすぎ―！❤️
5,#J9UQLY9P,NenNe❦,0xffffffff,28000139,1255,6,Magicians
6,#PLUGLRG28,4SV_MaSTeP,0xffffffff,28000233,1253,7,Quant ESports🐾
7,#PYPQUG80,Zava💞Sunfote,0xffff9727,28000195,1253,8,Showdown💔Kings
8,#2CRRRRYJR,моё,0xfff9c908,28000213,1252,9,✌️✌️✌️
9,#RVLQ0VUR,风暴|kerem🎃,0xffff9727,28000257,1251,10,ᴅᴀɪʟʏ
10,#8PJRRG2C,SK|GuilleVGX,0xffa8e132,28000099,1251,11,CONEXIÓN
11,#9CG8LJU8,『ᴵ ᵃᵐⱧ₳₥Ⱬ₳🎭🥀』,0xffcb5aff,28000293,1251,12,Tribe Turkey
12,#8LQQCCPRG,MyS|Efim👾,0xffa8e132,28000101,1251,13,Quant ESports🐾
13,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1251,14,<c0>ＬＯＮＥＬＹ★</c>
14,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1251,15,Follow?
15,#QR2GC8V,BKB|❄IC£CRØW❄,0xfff9c908,28000348,1251,16,Tribe Turkey
16,#2CQ9008JV,けちまる〜♬おぅおぅ⤴︎,0xffffce89,28000035,1250,17,Uchronia
17,#P9YPY9U8J,MeTa | duo♡van,0xff4ddba2,28000262,1250,18,TyM`eSports
18,#YGQYGCR,Portox😡,0xff1ba5f5,28000191,1250,19,Blue Label
19,#JV2L02VV,SíJaauaq,0xffff8afb,28000303,1250,20,
20,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1249,21,help ranks
21,#8VP882CR2,♡Mr_ido♡,0xffcb5aff,28000041,1249,22,Tribe Turkey
22,#20CJVQQYU,[₮₱] ₱ɆⱠ₳Ɖ₳Ø,0xffcb5aff,28000291,1249,23,★the Players★
23,#P9GRC09,히치Lucky🥀,0xffffffff,28000185,1249,24,No Mercy
24,#22LCG2RLJ,ZT|Yősuki̸❦,0xff1ba5f5,28000349,1249,25,weird gamers
25,#2082JRYUV,GooD•G,0xffcb5aff,28000033,1249,26,<c5>Just Us</c>
26,#82PQUPGU0,Ryohei🐬,0xff1ba5f5,28000240,1249,27,数え役満🀄️
27,#89L889CJC,Golden Aqua💛,0xffa2e3fe,28000109,1249,28,Ex0tic-E-Sport
28,#889V9VJV0,ℤ𝒆𝕕z𝕚𝔵,0xffffffff,28000139,1249,29,Katze 🐱🐈
29,#GRVL8ULV,陰|SuperLab ☯︎,0xff1ba5f5,28000141,1249,30,7 Dwarves
30,#80CYRQU8J,Washed Jinx,0xffffffff,28000250,1249,31,Demise 🥀
31,#299PPJ22L,[MMA]nagibatori,0xffa2e3fe,28000235,1249,32,Showdown💔Kings
32,#2CUYQ8RQC,🥷🏿,0xffffffff,28000272,1249,33,
33,#Y0GLYCYVY,Maho❤️🔥,0xff1ba5f5,28000129,1249,34,<c0>ＬＯＮＥＬＹ★</c>
34,#RRQQJPG2,Rabbithop,0xff1ba5f5,28000349,1245,35,we love rabbits
35,#9L09YYQ8L,⛩️Panda G.m⛩️,0xffcb5aff,28000330,1237,36,HolyGuns
36,#2P088J29C,Matt,0xffff8afb,28000333,1237,37,<c5>Just Us</c>
37,#2JYGUYUG,AAMIR LORD,0xffffffff,28000207,1210,38,CHEESEFOREVAR
38,#URV8JPY,ormy🎄,0xffffffff,28000176,1210,39,Havoc Echo
39,#VPGGUU9U,|🌬ŦƤ⋆SsnıɔıuıΛ,0xff1ba5f5,28000243,1206,40,★the Players★
40,#90LPVYVUP,Yusuf♛,0xffffffff,28000112,1204,41,SALDİM
41,#9LC9VP8QR,笑っちゃう男,0xffffce89,28000203,1204,42,レインボーの風船
42,#YQ9JVYV,ToniMxf.💘,0xffcb5aff,28000272,1203,43,ChillOG
43,#QRUQQLV0,Code: Nukleo,0xffa8e132,28000186,1203,44,LA Instinct
44,#CGQCYJGY,TTV | SnakeThug,0xfff9c908,28000341,1203,45,Deadly Vipers🐍
45,#LRLGLP9GJ,『weakness🌪』,0xffff8afb,28000256,1203,46,Revaible 💗
46,#2UYJV98J2,all 1500🏆,0xffffffff,28000000,1203,47,
47,#VYGVV08Q,🍅domates,0xffffffff,28000261,1200,48,
48,#82GPP9LQ,BC*| Tobi🍉,0xff1ba5f5,28000303,1199,49,BC*|Family*
49,#8Q80P982R,𝐍𝐓|𝐀𝐚𝐫𝐮,0xffffce89,28000303,1199,50,✌️✌️✌️
50,#G99CYGL,𝒁𝒂𝒊𝒌𝒐❄️,0xff4ddba2,28000194,1199,51,ChillOG
51,#V9L9Y89R,Stealth🌴,0xffffffff,28000075,1199,52,Real Ones
52,#2VQ2V99CC,MMs🌙Nemuo,0xfff9c908,28000190,1199,53,めろんぱん食堂
53,#J9LLVJCC,＃BENI＿￣NAOTO🧐,0xffcb5aff,28000256,1199,54,ＢＥＮＩ
54,#28C9LCPY8,DaigoMR,0xff4ddba2,28000052,1199,55,Perro salchicha
55,#8UQJPQVY2,CN |🐳Yagami☆,0xff1ba5f5,28000225,1199,56,
56,#29V0GUG8,BATATINHA,0xff1ba5f5,28000156,1199,57,
57,#2CY898QJ0,єηισ ƒαιχα⁷ 🥋,0xffcb5aff,28000224,1199,58,Candangos do BR
58,#PLQ0QRVQL,FMG | Flashᴷⁱⁿᴳ,0xffffffff,28000139,1199,59,ZETA|DIVISION'S
59,#UYUUQQ8Q,대왕❦(光),0xffcb5aff,28000115,1199,60,<c1>BBOBBY</c>
60,#JGUYRYQ,Nathan🩵,0xffff8afb,28000041,1199,61,NA Friends
61,#989GVG0UR,陰|₦Ї₦ℑ₳™👑,0xffa8e132,28000305,1189,62,Good Players 💫
62,#2PV9R9Q28,Melty297,0xffff9727,28000256,1188,63,<c5>ぷらねたりうむ</c>
63,#PGY9ULY,PollitoMan,0xffffffff,28000348,1187,64,7 Dwarves
64,#8LQ9JR82,Code: Eqwaak,0xfff9c908,28000004,1179,65,A Few Good Men
65,#9VU9R2LY,Terry!,0xffffffff,28000081,1164,66,✌️✌️✌️
66,#2LR22JC9V,𝑻𝒐𝒃𝒊😮‍💨❤️,0xffa2e3fe,28000272,1154,67,BMW M5 F90.COMP
67,#8QY08JUVC,♛해왕포세이돈｜고스트👻,0xffcb5aff,28000330,1153,68,じゃんHOUSE
68,#88JJLV020,𝑵𝒊𝒏𝒋𝒂☁️,0xffa2e3fe,28000058,1153,69,Apostles Creed
69,#8GVRY2Y0C,Dep100r,0xff1ba5f5,28000347,1153,70,Revaible 💗
70,#829LJ28CU,toxicgenie🃏,0xffcb5aff,28000286,1153,71,Real Ones
71,#GJ0JGCUV,PowerTech YT,0xffffffff,28000334,1150,72,<c7>幹嘛偷看我個資</c>
72,#8UUJVVJGQ,jonh,0xfff9c908,28000053,1149,73,BS LEGENDS
73,#R9G9YJYJ,園Ecsed🍃,0xffffffff,28000323,1149,74,DulcedeLeche
74,#PYJ0GRYPV,PoliCeS,0xfff05637,28000117,1149,75,Blazing Light⚡️
75,#PUUYYQPG,★彡ShaKa🌹頹,0xff1ba5f5,28000238,1149,76,🧀MUSSARELOS✨
76,#8J0JR80PC,AfizCZ,0xffff8afb,28000317,1149,77,KingdomRush
77,#Y989VP,『Tiziano™』,0xff1ba5f5,28000348,1149,78,Wasted🥱
78,#8JU9GVVJJ,Marko Pintarič,0xff1ba5f5,28000140,1149,79,100k
