,tag,name,nameColor,icon,trophies,rank,club
0,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1401,1,Eclipse 🌖
1,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1401,2,Eclipse 🌖
2,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1400,3,Fenernazçe 💙💛
3,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1335,4,Follow?
4,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1302,5,<c0>ＬＯＮＥＬＹ★</c>
5,#VYGVV08Q,🍅domates,0xffffffff,28000261,1302,6,
6,#PY2P0V8,RCN | Raymo®,0xff4ddba2,28000175,1263,7,RCN|Esports X
7,#CJP08CU0,Uriel,0xffffffff,28000135,1256,8,Brawl King's
8,#QUGYJQLQ0,벤저사랑아이ᴬᵖᵉˣ,0xffffffff,28000124,1255,9,아니라고 봐
9,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1254,10,help ranks
10,#GGQ8VJVC,AO | Taikamylly,0xffff8afb,28000339,1253,11,MunkkiHunters
11,#JC20PGQG,愛•τσiʑʑi ↯,0xffff8afb,28000129,1253,12,🧀MUSSARELOS 2✨
12,#PYPQUG80,Zava💞Sunfote,0xffff9727,28000195,1253,13,Showdown💔Kings
13,#8C0PLGQRV,Duo♡nubik,0xff4ddba2,28000254,1252,14,Quant ESports🐾
14,#LRJ9YYQL,☞Տӈᴀ⚜ᴅᴏΧ๛,0xffffce89,28000014,1252,15,CONEXIÓN
15,#9LCP08UPY,Murât😡,0xffff8afb,28000014,1252,16,Pelchrzim
16,#P99QGPLU2,Davex,0xffffce89,28000129,1252,17,Brawl King's
17,#99LV82UCL,ÇRÆŽŸ’S SLAVE🐒,0xffff8afb,28000008,1252,18,Beyond Alpha
18,#28GLLQYRQ,4N0|M a n u🦋,0xfff05637,28000014,1252,19,TyM`eSports
19,#8R99PJ890,xSkylasz•,0xffff9727,28000321,1252,20,Vitality
20,#2CRRRRYJR,моё,0xfff9c908,28000213,1252,21,✌️✌️✌️
21,#80GPQ2RGP,薙| Juice🧃,0xff4ddba2,28000337,1251,22,Tribe Turkey
22,#8089VYY,•Kāfāøtıs⁴🍣,0xffcb5aff,28000201,1251,23,GoatLife
23,#9G0CJPJPY,Taha♛,0xffcb5aff,28000170,1250,24,GOOD BYE TAHA
24,#2LC9RU2UG,ƇЄƊƦƖƇ🍁,0xffff9727,28000124,1250,25,+12 yaş sew
25,#20CJVQQYU,[₮₱] ₱ɆⱠ₳Ɖ₳Ø,0xffcb5aff,28000291,1250,26,★the Players★
26,#8LLJ92VQ,あ| 𝓐𝓱𝓶𝓮𝓓🥀,0xff1ba5f5,28000349,1250,27,OG Mute
27,#QUYCVC2,STMN | sans,0xffa8e132,28000136,1250,28,STMN Esports
28,#YGQYGCR,Portox😡,0xff1ba5f5,28000191,1250,29,Blue Label
29,#2LJ9QCCL,tedd💞💞,0xffffffff,28000112,1250,30,
30,#9L0UQRPJJ,İRONMAN,0xffcb5aff,28000314,1250,31,₮Ɽ₩`eSports
31,#82LRGLQ02,あ| 𝓕𝓪𝓱𝓪𝓓🥀,0xff1ba5f5,28000283,1250,32,OG Mute
32,#9GJPJUQGJ,Xorox❤️‍🩹Byrox,0xffcb5aff,28000273,1250,33,Tribe Turkey
33,#L82U9CVPQ,ᴼᵖɳe̷żu̷ҟσ🥀×᷼×,0xffff9727,28000213,1249,34,🧀MUSSARELOS✨
34,#89JJV992Y,ZL|caldera,0xfff9775d,28000040,1249,35,めろんぱん食堂
35,#8J9PPC880,𝐁𝐫𝐞𝐞𝐳𝐲❦,0xffcb5aff,28000218,1249,36,🧀MUSSARELOS✨
36,#8JV08U8GR,NightMare❤️‍🔥,0xffcb5aff,28000280,1249,37,NHY E-SporTS
37,#8J98RQJY0,HowToLive🕊️,0xffffffff,28000341,1249,38,Lord dragon
38,#80UP02L9G,wiz🧛🏼‍♀️,0xffff8afb,28000097,1249,39,Ash's Club
39,#20YJ9PLLV,ま|Shadows • 💫,0xffffffff,28000041,1249,40,what happened
40,#8QY2Y80CG,godikk❤️‍🔥,0xffcb5aff,28000014,1249,41,Ex0tic-E-Sport
41,#90RQYP98U,♡•bestie•♡🧸,0xffa2e3fe,28000221,1249,42,7 Dwarves
42,#8QJ0YUV8Q,千 | Kai,0xffa8e132,28000018,1249,43,Beyond Swift
43,#2082JRYUV,GooD•G,0xffcb5aff,28000033,1249,44,<c5>Just Us</c>
44,#QGLCPJ2J,Ansel,0xff1ba5f5,28000014,1249,45,CHEESEFOREVAR
45,#2P0CUQ9Q0,rojdar❥,0xffffffff,28000000,1249,46,Showdown💘
46,#URV8JPY,ormy🎄,0xffffffff,28000176,1249,47,Havoc Echo
47,#90JCCGPGL,Georgeッ,0xffff8afb,28000081,1249,48,AFGM GENESIS
48,#90LPVYVUP,Yusuf♛,0xffffffff,28000112,1249,49,SALDİM
49,#PLCPU928R,ØFFŁÎŃÈ,0xff1ba5f5,28000019,1249,50,.....
50,#8LQQCCPRG,MyS|Efim👾,0xffa8e132,28000101,1249,51,Quant ESports🐾
51,#PC9LPPYV,Nico❤️Heys,0xff1ba5f5,28000196,1249,52,No Mercy
52,#UYUUQQ8Q,대왕❦(光),0xffcb5aff,28000115,1249,53,<c1>BBOBBY</c>
53,#J20R9CUQ,CYB |PercyYT❄️,0xffff9727,28000233,1249,54,HK瘋
54,#99LLQYY9,Joeh,0xfff9c908,28000335,1249,55,👋 🤷‍♂️
55,#2QCVLV2Q,Psychopant💧,0xffff8afb,28000334,1249,56,7 Dwarves
56,#9L09YYQ8L,⛩️Panda G.m⛩️,0xffcb5aff,28000330,1245,57,HolyGuns
57,#Y0GLYCYVY,Maho❤️🔥,0xff1ba5f5,28000129,1237,58,<c0>ＬＯＮＥＬＹ★</c>
58,#C2CULQP0,❤️‍🔥Mazoex♛,0xff1ba5f5,28000314,1229,59,VV eSport
59,#8PJRRG2C,SK|GuilleVGX,0xffa8e132,28000099,1218,60,CONEXIÓN
60,#29UGLJV2G,Lёvi,0xfff9c908,28000244,1215,61,✌️✌️✌️
61,#9VU9R2LY,Terry!,0xffffffff,28000081,1215,62,✌️✌️✌️
62,#U0UQUVGU,Crux✨,0xff1ba5f5,28000300,1215,63,Meow
63,#2GPQGLP,兔 | bubby🐇,0xff1ba5f5,28000114,1212,64,Beyond Reality
64,#URYL2JU2,ᶜᵗ|♡︎20/04♡︎シ︎,0xffa8e132,28000179,1208,65,Nҽɯ Sƚαɠҽ🎖️
