,tag,name,nameColor,icon,trophies,rank,club
0,#JV2L02VV,SíJaauaq,0xffff8afb,28000303,1502,1,
1,#8VP882CR2,♡Mr_ido♡,0xffcb5aff,28000041,1449,2,Tribe Turkey
2,#VYGVV08Q,🍅domates,0xffffffff,28000261,1323,3,
3,#80GPQ2RGP,薙| Juice🧃,0xff4ddba2,28000337,1309,4,Tribe Turkey
4,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1305,5,Eclipse 🌖
5,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1302,6,Eclipse 🌖
6,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1301,7,Follow?
7,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1300,8,Fenernazçe 💙💛
8,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1300,9,<c0>ＬＯＮＥＬＹ★</c>
9,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1299,10,help ranks
10,#2CY0CVU80,~Vi♡tal🪐,0xffffffff,28000297,1299,11,Импрессив
11,#2V9CL9PJP,城練❤️‍🔥Darkusya,0xffcb5aff,28000280,1254,12,Хижина Снайпов
12,#8VRPJPLU2,Moon🤍アーセン,0xffffffff,28000000,1254,13,devxssted19うぇっ
13,#800Q2YRLP,MyS|JeTeMange✈️,0xffffffff,28000299,1253,14,JeTeMangeArmy
14,#9G9GYJ9J2,ωнiτєʑiท🤍ネヶマア,0xff1ba5f5,28000071,1253,15,
15,#JPV0PQGR,ғ¡яεʑiท🖤ネヶマア,0xffcb5aff,28000281,1253,16,Magics🐉
16,#GU220LGG,GHS|PatricK👻,0xffff8afb,28000211,1253,17,Ghost eSports
17,#80YC09JL9,•xCävęîrå•>|BR~,0xfff9c908,28000215,1253,18,Kings United II
18,#PC92L9PYU,Jad'll kill u🖤,0xffcb5aff,28000094,1253,19,
19,#2GPV0LRQC,TTeJIbMeIIIka,0xffff8afb,28000347,1252,20,Quant ESports🐾
