,tag,name,nameColor,icon,trophies,rank,club
0,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1401,1,Eclipse 🌖
1,#2Y92C2Q8V,NOMAD|かーず。❄❄,0xfff9c908,28000119,1399,2,
2,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1399,3,Fenernazçe 💙💛
3,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1309,4,Eclipse 🌖
4,#RRVVPG2Y,Brosta卡拉,0xff1ba5f5,28000206,1307,5,vMoove
5,#89UPQJJVV,+BraboX 🎩,0xffa8e132,28000236,1302,6,Ghost Team👻☔
6,#VYGVV08Q,🍅domates,0xffffffff,28000261,1302,7,
7,#2Y2Y99GQR,VizeZ,0xffffffff,28000230,1302,8,Ex0tic-E-Sport
8,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1301,9,<c0>ＬＯＮＥＬＹ★</c>
9,#2G90YQ9CQ,ʸᵗᴍɪʀᴀɴᴅɪɴʜᴀᵇˢ乡,0xffa8e132,28000174,1301,10,Wᴏʟғ ɢᴀɴɢ 🐾
10,#9RVPL0Q0P,Arthur🌸,0xfff9c908,28000018,1269,11,Home Of Esports
11,#8UQ9GQJJ,↝𝑉𝑖𝑝𝑒𝑟⍨꙳,0xff4ddba2,28000272,1262,12,めろんぱん食堂
12,#298L8YR90,Ameyöu🩶🧬,0xffa2e3fe,28000291,1258,13,<c5>ぽんみちょった</c>
13,#J8UR8002,SKC | Prozy,0xffa8e132,28000029,1254,14,Emi's bar 🍻
14,#82PQUPGU0,Ryohei🐬,0xff1ba5f5,28000240,1254,15,数え役満🀄️
15,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1254,16,Follow?
16,#Y29V28JYJ,ナイフを持った天使,0xfff9c908,28000014,1253,17,Brawl King's
17,#8UGJ82UL2,AoC|Alex🌷,0xff4ddba2,28000310,1252,18,octos
18,#889R9J9UU,AI2,0xffffffff,28000040,1252,19,数え役満🀄️
19,#28CVQGURJ,kxrtofvl,0xffffffff,28000061,1252,20,UNDERDOG 🇵🇱
20,#GV9GRLJJ,Counter,0xffff9727,28000265,1252,21,NA Friends
21,#9GGU9C9Y,RNT | Trashant,0xff1ba5f5,28000033,1252,22,Imperial
22,#9QCJPL20,Golden Kawaii🌕,0xffffce89,28000045,1252,23,Eclipse 🌖
23,#2CQ9008JV,けちまる〜♬おぅおぅ⤴︎,0xffffce89,28000035,1251,24,Uchronia
24,#GUQY9VGP,Joah 🍪,0xffffce89,28000108,1251,25,NA Friends
25,#URV8JPY,ormy🎄,0xffffffff,28000176,1251,26,Havoc Echo
26,#YGQYGCR,Portox😡,0xff1ba5f5,28000191,1251,27,Blue Label
27,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1251,28,help ranks
28,#9P2CUYJ8P,Scared,0xff4ddba2,28000167,1251,29,
