,tag,name,nameColor,icon,trophies,rank,club
0,#L8GVLRPVV,시라*おず,0xffffffff,28000210,1475,1,<c5>Angel🤍</c>
1,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1406,2,Fenernazçe 💙💛
2,#28YJ0880V,AQM_BTATA_200,0xffa2e3fe,28000203,1327,3,Ghost eSports
3,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1304,4,Eclipse 🌖
4,#8PJRRG2C,SK|GuilleVGX,0xffa8e132,28000099,1302,5,CONEXIÓN
5,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1301,6,Eclipse 🌖
6,#VYGVV08Q,🍅domates,0xffffffff,28000261,1300,7,
7,#RQQ08UV,XD|KENDAᵖʳᵒ💜😈,0xffcb5aff,28000014,1299,8,
8,#2RCL2JP9J,루일❦ⁿᵃᵐᵉ,0xffa2e3fe,28000037,1259,9,블렉 𝓓𝓸𝓰
9,#2LVJYG9U2,友Drako🐥,0xffff9727,28000345,1254,10,LA Temis
10,#PPQQJQPQU,愛Astrø 🖤,0xffffffff,28000018,1253,11,🧀MUSSARELOS✨
11,#PYPQUG80,Zava💞Sunfote,0xffff9727,28000195,1253,12,Showdown💔Kings
12,#9G0CJPJPY,Taha♛,0xffcb5aff,28000170,1253,13,GOOD BYE TAHA
13,#P8JL0LQC2,EX|Aluᵀʳᵘᵉツ,0xfff9c908,28000345,1253,14,MYBRAWL ACADEMY
14,#9QJRGLU8Q,❦Ƭρ/ทigђƬ_ખѳℓԲ❦,0xfff9c908,28000345,1253,15,★the Players★
15,#R08R8V2QR,Marco🖤Atahan,0xffffffff,28000009,1253,16,
16,#2UJQQ0YL,TOC,0xfff9c908,28000212,1252,17,anyway🤷🏻‍♂️
17,#2JYGUYUG,AAMIR LORD,0xffffffff,28000207,1252,18,CHEESEFOREVAR
18,#82LRGLQ02,あ| 𝓕𝓪𝓱𝓪𝓓🥀,0xff1ba5f5,28000283,1252,19,OG Mute
19,#PRQGVULVQ,iAlmaaaazik🥺,0xffffffff,28000135,1252,20,KingdomRush
20,#80GPQ2RGP,薙| Juice🧃,0xff4ddba2,28000337,1252,21,Tribe Turkey
21,#PLUJG0Y0R,愛dizocserib🤍e•,0xffff8afb,28000204,1252,22,Revaible 💗
22,#YRUP8VJ,あ|ADITYA 🥀,0xffff9727,28000151,1251,23,PAK CHAMPS
23,#2YYL89J8G,psychc🦈,0xffffffff,28000003,1251,24,🌴|<c3>HM</c>
24,#YGQYGCR,Portox😡,0xff1ba5f5,28000191,1251,25,Blue Label
25,#LJPQ9QCPV,Lukas🤍Thays,0xffffffff,28000014,1251,26,Noob Gang
26,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1251,27,help ranks
27,#GV00QCYL,ɆⱠĐł₦™×͜×,0xfff9c908,28000019,1251,28,🧀MUSSARELOS✨
28,#2L92L9Y2V,TS|℟℞1̷4̷4̷6̷,0xff1ba5f5,28000052,1250,29,Arab Empire
29,#VPGGUU9U,|🌬ŦƤ⋆SsnıɔıuıΛ,0xff1ba5f5,28000243,1250,30,★the Players★
30,#8Y082R2GG,추카|RapZ ✶,0xffff9727,28000211,1250,31,Beyond Swift
31,#Q2JVVRJVJ,tengo novia🥰,0xffffffff,28000075,1250,32,
32,#2082JRYUV,GooD•G,0xffcb5aff,28000033,1250,33,<c5>Just Us</c>
33,#88RGGCVQJ,My heart in AUS,0xff4ddba2,28000092,1249,34,ハナクソタケシ
34,#8CVCJVVV9,Եթ Շαɱเℓα ☆*❥⃝*,0xffff9727,28000302,1249,35,★the Players★
35,#289QGVYRQ,TyM|Ârda🦁,0xffff9727,28000014,1249,36,TyM`eSports
36,#8JQGCVRG2,"m.ghost👻/""♪",0xfff05637,28000151,1249,37,
37,#VUQV0ULV,𝓚𝔂𝔀𝔂,0xffcb5aff,28000031,1249,38,Beyond Fresh
38,#P22J8JP8,ZETA | BADBOY,0xffff9727,28000284,1249,39,No Mercy
39,#2CUYQ8RQC,🥷🏿,0xffffffff,28000272,1249,40,
40,#20YJ9PLLV,ま|Shadows • 💫,0xffffffff,28000041,1249,41,what happened
41,#2RLLG9CUG,ITR|Cђe๏թs💘,0xffcb5aff,28000280,1249,42,InTeamRasur
42,#82YJJYLUC,IL | STAMEʕ¨ʔ,0xffffffff,28000000,1249,43,
43,#RL9RU2GQ,Maceøø.<3,0xffff8afb,28000023,1249,44,Showdown💕
44,#G8G8Q0Q0,🌴HM|Nicolas,0xfff9c908,28000335,1249,45,HAKUNA MATATA😁
45,#8LQ9JR82,Code: Eqwaak,0xfff9c908,28000004,1249,46,A Few Good Men
46,#PC9LPPYV,Nico❤️Heys,0xff1ba5f5,28000196,1249,47,No Mercy
47,#8R99PJ890,xSkylasz•,0xffff9727,28000321,1249,48,Vitality
48,#LVJP8U9L,愛FᴀɴDᴏAʟᴘʜᴀᴼᵖ❤️,0xffffffff,28000279,1249,49,
49,#9L0UQRPJJ,İRONMAN,0xffcb5aff,28000314,1249,50,₮Ɽ₩`eSports
50,#Y0GLYCYVY,Maho❤️🔥,0xff1ba5f5,28000129,1249,51,<c0>ＬＯＮＥＬＹ★</c>
51,#QURRQP0JY,ϟWaskøv々™,0xffffffff,28000004,1248,52,
52,#9L09YYQ8L,⛩️Panda G.m⛩️,0xffcb5aff,28000330,1245,53,HolyGuns
53,#22LCG2RLJ,ZT|Yősuki̸❦,0xff1ba5f5,28000349,1243,54,weird gamers
54,#2ULUP8VG9,ぜ|КеКzzz🌖,0xffff9727,28000003,1241,55,ᴅᴀɪʟʏ
55,#YY9PPLQL9,Yume𓅦,0xff4ddba2,28000149,1237,56,Cipher Pol
56,#Y8082RLP,ł̇₵Ɇ ₥ØⱤ₮ł₴,0xfff9c908,28000262,1234,57,
57,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1225,58,Follow?
58,#GRLJCV0Y,AN d_r_o_i_d,0xffffce89,28000203,1218,59,<c5>ice</c>
59,#8LJR900GU,Murât♛,0xffcb5aff,28000191,1215,60,ᴅᴀɪʟʏ
60,#Q9YC0J0G9,Rusya🤍Bloodyハニ,0xfff9c908,28000004,1213,61,KingdomRush
61,#QGLCPJ2J,Ansel,0xff1ba5f5,28000014,1213,62,CHEESEFOREVAR
62,#89CGJQ08G,Lônély🖤ClârX,0xffcb5aff,28000003,1209,63,LA Global
63,#2J9GQL9P2,Matth 🧸,0xffffce89,28000299,1208,64,🧀MUSSARELOS 3✨
64,#99LLQYY9,Joeh,0xfff9c908,28000335,1204,65,👋 🤷‍♂️
65,#90RQYP98U,♡•bestie•♡🧸,0xffa2e3fe,28000221,1204,66,7 Dwarves
66,#YQLY9CYVY,nath,0xff1ba5f5,28000228,1203,67,vMoove
67,#8UYC8JGUC,✨Carlosˢᵃᵈツ✨,0xffa2e3fe,28000203,1202,68,🧀MUSSARELOS 3✨
68,#QRUQQLV0,Code: Nukleo,0xffa8e132,28000186,1201,69,LA Instinct
69,#802VG829,LuRkz🩵Sq,0xffff8afb,28000014,1200,70,Demise 🥀
70,#9P2CUYJ8P,Scared,0xff4ddba2,28000167,1200,71,
