,tag,name,nameColor,icon,trophies,rank,club
0,#2GYY989GU,あ|Nouggetシ🦋,0xffa8e132,28000075,1499,1,VV eSport
1,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1402,2,Fenernazçe 💙💛
2,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1303,3,help ranks
3,#2C9PLLUG8,Efecan|Apple♎🖤,0xffff8afb,28000321,1303,4,<c0>ＬＯＮＥＬＹ★</c>
4,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1302,5,Eclipse 🌖
5,#VYGVV08Q,🍅domates,0xffffffff,28000261,1302,6,
6,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1301,7,<c0>ＬＯＮＥＬＹ★</c>
7,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1300,8,Follow?
8,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,1299,9,
9,#2RJLYQQ8C,紜💛,0xffa2e3fe,28000062,1287,10,🌴<c5>|HM</c>
10,#9QC02VJV8,nyx1k?🤍ニックス,0xffffffff,28000137,1254,11,Lost Hell
11,#P99QGPLU2,Davex,0xffffce89,28000129,1254,12,Brawl King's
12,#8VRPJPLU2,Moon🤍アーセン,0xffffffff,28000000,1254,13,devxssted19うぇっ
13,#2LC9RU2UG,ƇЄƊƦƖƇ🍁,0xffff9727,28000124,1253,14,+12 yaş sew
14,#YR2RY9Y2L,あ | 𝓐𝓻𝔀𝓪🥀,0xffcb5aff,28000224,1253,15,weird gamers
15,#9R9899GJ2,差|Stàr💘,0xfff9c908,28000018,1253,16,
16,#Q9YC0J0G9,Rusya🤍Bloodyハニ,0xfff9c908,28000004,1252,17,KingdomRush
17,#22LJJCJ2G,Ferhât🦁,0xffff8afb,28000150,1252,18,BS|KoalisyoN
18,#2PLVJ0GLV,Sniper🐙,0xffff9727,28000244,1252,19,Brawl Kings
19,#URYL2JU2,ᶜᵗ|♡︎20/04♡︎シ︎,0xffa8e132,28000179,1252,20,Nҽɯ Sƚαɠҽ🎖️
20,#2RUVRJYJ2,SY|Faͥbͣuͫᴳᵒᵈ☔,0xff1ba5f5,28000061,1252,21,Ex0tic-E-Sport
21,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1252,22,Eclipse 🌖
22,#9LY0YG9QP,を|Sed🍀,0xffa8e132,28000197,1251,23,DragonArmy
23,#8VP882CR2,♡Mr_ido♡,0xffcb5aff,28000041,1251,24,Tribe Turkey
24,#VUQV0ULV,𝓚𝔂𝔀𝔂,0xffcb5aff,28000031,1251,25,Beyond Fresh
25,#9UG08PQUY,xSkywalker🦋ま,0xff1ba5f5,28000135,1251,26,Quant ESports🐾
26,#9P2CUYJ8P,Scared,0xff4ddba2,28000167,1251,27,
27,#82PQUPGU0,Ryohei🐬,0xff1ba5f5,28000240,1251,28,数え役満🀄️
28,#LLQVJYPCQ,チネミDropizZz💞,0xffcb5aff,28000303,1251,29,JeTeMangeArmy
29,#2ULUP8VG9,ぜ|КеКzzz🌖,0xffff9727,28000003,1251,30,ᴅᴀɪʟʏ
30,#QRUQQLV0,Code: Nukleo,0xffa8e132,28000186,1251,31,LA Instinct
31,#YGQYGCR,Portox😡,0xff1ba5f5,28000191,1251,32,Blue Label
32,#8QJU2CCY,Fearless,0xffff9727,28000017,1251,33,WOLFMX
33,#82LRGLQ02,あ| 𝓕𝓪𝓱𝓪𝓓🥀,0xff1ba5f5,28000283,1251,34,OG Mute
34,#88LULYLR,༄JokerParc💫,0xfff9775d,28000239,1251,35,Beyond Swift
35,#9G0CJPJPY,Taha♛,0xffcb5aff,28000170,1250,36,GOOD BYE TAHA
36,#VPGGUU9U,|🌬ŦƤ⋆SsnıɔıuıΛ,0xff1ba5f5,28000243,1250,37,★the Players★
37,#8LLJ92VQ,あ| 𝓐𝓱𝓶𝓮𝓓🥀,0xff1ba5f5,28000349,1250,38,OG Mute
38,#9CY99GQLC,Calc.,0xff4ddba2,28000320,1250,39,Uchronia
39,#2CUYQ8RQC,🥷🏿,0xffffffff,28000272,1250,40,
40,#PYPQUG80,Zava💞Sunfote,0xffff9727,28000195,1250,41,Showdown💔Kings
41,#29Q0899,ごめん。,0xffffffff,28000286,1249,42,キングダム乱
42,#8Y082R2GG,추카|RapZ ✶,0xffff9727,28000211,1249,43,Beyond Swift
43,#YLV8CL0R,Astaaaa❤️‍🔥😈,0xff4ddba2,28000347,1249,44,Tribe Turkey
44,#8CVCJVVV9,Եթ Շαɱเℓα ☆*❥⃝*,0xffff9727,28000302,1249,45,★the Players★
45,#8JV08U8GR,NightMare❤️‍🔥,0xffcb5aff,28000280,1249,46,NHY E-SporTS
46,#8888G9JG9,🥀𝐢𝐭𝐚𝐜𝐡𝐢☔,0xffff9727,28000349,1249,47,YT|CRESTALE🔥⚡
47,#2RQGVLRVG,₹GuilleX,0xffff8afb,28000036,1249,48,No Mercy
48,#LVVCQJR8Y,MyS l boosty,0xffff8afb,28000301,1249,49,
49,#YRURQRPUR,Skibidi Chipz,0xff1ba5f5,28000018,1249,50,Talents
