,tag,name,nameColor,icon,trophies,rank,club
0,#89UPQJJVV,+BraboX 🎩,0xffa8e132,28000236,1499,1,Ghost Team👻☔
1,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1499,2,Eclipse 🌖
2,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1499,3,Eclipse 🌖
3,#GRLUYG0R,NiceShøt 🌓,0xffcb5aff,28000347,1480,4,Ex0tic-E-Sport
4,#9GRP8LR09,sad💔kekcik,0xffa8e132,28000011,1449,5,
5,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1399,6,help ranks
6,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1399,7,Follow?
7,#2Y2Y99GQR,VizeZ,0xffffffff,28000230,1352,8,Ex0tic-E-Sport
8,#9G0CJPJPY,Taha♛,0xffcb5aff,28000170,1303,9,GOOD BYE TAHA
9,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1303,10,<c0>ＬＯＮＥＬＹ★</c>
10,#R2R2JV9C,S4W|Aste❤️‍🔥,0xffff8afb,28000214,1302,11,Spain4Win
11,#QR2GC8V,BKB|❄IC£CRØW❄,0xfff9c908,28000348,1302,12,Tribe Turkey
12,#ULQY2U8U,TTV|BEZSMERTNY,0xffff9727,28000170,1300,13,TTV|BEZSMERTNY
13,#8QY2Y80CG,godikk❤️‍🔥,0xffcb5aff,28000014,1299,14,Ex0tic-E-Sport
14,#9QCJPL20,Golden Kawaii🌕,0xffffce89,28000045,1299,15,Eclipse 🌖
15,#GJJQPYC9,Storm🪐,0xffcb5aff,28000345,1299,16,GAMEOVER
16,#8GULV80RP,wortekz,0xfff9c908,28000345,1284,17,Brawl King's
17,#L0U8RJY0,Code : Fluxxy,0xff4ddba2,28000186,1269,18,GoldHunters
18,#98QJC2YPU,LUCİ😈,0xffcb5aff,28000194,1267,19,Tribe Turkey
19,#2098RP8RJ,crayola,0xffff8afb,28000224,1266,20,amphibianman
20,#889VRC0QJ,🦅|Matheo>.<,0xffffffff,28000197,1261,21,
21,#80R0VQ8QP,xwy♕︎,0xffff9727,28000044,1260,22,Dysphoria
22,#98VG9809Q,𝐏ʀαᴅ❥𝐍ᴅ,0xffffffff,28000241,1256,23,Mini Me’s
23,#8GPG9V0GU,Sunex玄,0xffffffff,28000125,1255,24,TT: niiil_06
24,#G9C9VJ2GL,Vá♡neèk🪐,0xffff8afb,28000303,1254,25,<c0>PWNZ</c>
25,#2C99VVCJ8,Magu is OP..🖤,0xffffffff,28000241,1254,26,Miracle
26,#8LQQCCPRG,MyS|Efim👾,0xffa8e132,28000101,1254,27,Quant ESports🐾
27,#22LQGCYUP,Pumm,0xffffffff,28000118,1253,28,Quinx Academy
28,#9QG89UV0Y,『𝕽𝖆𝖚𝖑❦︎』,0xffcb5aff,28000014,1253,29,TT: niiil_06
29,#LRLGLP9GJ,『weakness🌪』,0xffff8afb,28000256,1253,30,Revaible 💗
30,#2LYCGYJQ8,いとをかし。,0xffff9727,28000349,1253,31,だから私は族
31,#Y0GLYCYVY,Maho❤️🔥,0xff1ba5f5,28000129,1253,32,<c0>ＬＯＮＥＬＹ★</c>
32,#Y02L2GGC,Weeeeisit🍒,0xffff8afb,28000073,1252,33,Showdown💔Kings
33,#29Y989PY8,𝘼𝙣𝙙𝙧𝙚𝙚',0xff1ba5f5,28000348,1252,34,B T H Alfa
34,#LUJYJUR0L,〇〇マン2号,0xffa2e3fe,28000241,1252,35,Excellent🏆
35,#UR02VU99,TwG | Minato,0xff1ba5f5,28000335,1252,36,Twig Elite
36,#2PLVJ0GLV,Sniper🐙,0xffff9727,28000244,1252,37,Brawl Kings
37,#P99QGPLU2,Davex,0xffffce89,28000129,1252,38,Brawl King's
38,#99JRGQ0C9,King⚡️,0xffcb5aff,28000135,1252,39,Affective.
39,#2RY2090YR,ГарденГном🦇✨,0xffff9727,28000103,1252,40,Rio de Janeiro
40,#8Q2JCGP00,きゃんでぃ,0xff1ba5f5,28000014,1252,41,キングダム乱
41,#8992Q8Y99,Paradox🖤?,0xffff8afb,28000335,1252,42,Game House
42,#92VRUP8PY,Instinct🖤,0xff1ba5f5,28000090,1252,43,Brawl King's
43,#2PJJQV92,V3|Flamen🤍,0xffffce89,28000230,1252,44,CONEXIÓN
44,#2CYJ0Q99Q,tostadas,0xffffffff,28000046,1252,45,STMN Esports
45,#Y2VLVGC88,MSP|Nayt あ,0xff1ba5f5,28000262,1252,46,MSP TEAM
46,#2UP82YLQ,alex 🫧,0xffcb5aff,28000024,1252,47,RicoLover06 ☔️
47,#PLG29URQV,MyS|W1ar4ik♡ᵈᵘᵒ,0xffffffff,28000349,1252,48,Рабы W1ar4ik'a
48,#RUGUJPR8,☠ĆØΜβΔŦ€ŇŦ€☠,0xff4ddba2,28000253,1251,49,★the Players★
49,#Q9YC0J0G9,Rusya🤍Bloodyハニ,0xfff9c908,28000004,1251,50,KingdomRush
50,#PCJV8PCP2,SEKHON SAN,0xffff8afb,28000224,1251,51,<c0>IMPACT</c>
51,#29V8PC0LQ,діловий дімасік,0xfff9c908,28000302,1251,52,Memories World
52,#2RQGVLRVG,₹GuilleX,0xffff8afb,28000036,1251,53,No Mercy
53,#88QCRPLJV,Togi☁️,0xffff8afb,28000303,1251,54,7 Dwarves
54,#2PYR2LY0,lemoncbon 🍋,0xfff9c908,28000136,1251,55,vMoove
55,#GY0J2GJLV,DESTROY LONELY,0xff4ddba2,28000169,1251,56,оупи челики
56,#2YYL89J8G,psychc🦈,0xffffffff,28000003,1251,57,🌴|<c3>HM</c>
57,#9V9GQJG8,hobbit,0xffa8e132,28000005,1251,58,
58,#2ULUP8VG9,ぜ|КеКzzz🌖,0xffff9727,28000003,1251,59,ᴅᴀɪʟʏ
59,#8GP2VGGGL,swear🦋,0xffffce89,28000226,1251,60,One Question?
60,#22C0GV9CR,NoCrow,0xff1ba5f5,28000207,1251,61,HeroWarriorsTR
61,#VLLY990Y,アンパンマンのでし,0xffffffff,28000056,1251,62,🔥Blaze Soul🔥
62,#JC20PGQG,愛•τσiʑʑi ↯,0xffff8afb,28000129,1251,63,🧀MUSSARELOS 2✨
63,#82LRGLQ02,あ| 𝓕𝓪𝓱𝓪𝓓🥀,0xff1ba5f5,28000283,1251,64,OG Mute
64,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,1251,65,
65,#PQ28JP0P,亲Jσтα,0xffff9727,28000175,1250,66,7 Dwarves
66,#PP8GYPRGP,WhyTrttt?,0xffffffff,28000212,1250,67,
67,#PYGR8CPJ2,〆ϻɪs͢τɪӄ🩸,0xfff9c908,28000018,1250,68,Spain4Win
68,#8UGJ82UL2,AoC|Alex🌷,0xff4ddba2,28000310,1250,69,octos
69,#9GGU9C9Y,RNT | Trashant,0xff1ba5f5,28000033,1250,70,Imperial
