,tag,name,nameColor,icon,trophies,rank,club
0,#2C9PLLUG8,Efecan|Apple♎🖤,0xffff8afb,28000321,1503,1,<c0>ＬＯＮＥＬＹ★</c>
1,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1501,2,<c0>ＬＯＮＥＬＹ★</c>
2,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1500,3,Eclipse 🌖
3,#20L88L2J,FUT | LeNain,0xffff8afb,28000321,1499,4,A Few Good Men
4,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1499,5,Eclipse 🌖
5,#R2LR2QLG,NOUN | Mohtep,0xffffffff,28000243,1452,6,A Few Good Men
6,#VYGVV08Q,🍅domates,0xffffffff,28000261,1431,7,
7,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1399,8,Follow?
8,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1399,9,help ranks
9,#8LYQPLP29,🖤MKZ🖤,0xffffffff,28000032,1399,10,ᴅᴀɪʟʏ
10,#GRRGLVVJV,Bleaff🍁,0xffff8afb,28000321,1354,11,
11,#9LJJ8QQPY,гамi💘,0xffffffff,28000000,1349,12,
12,#88QVPU00U,TT | CONTENDERS,0xfff05637,28000290,1316,13,RK Esport
13,#22LQGCYUP,Pumm,0xffffffff,28000118,1309,14,Quinx Academy
14,#Q2JVVRJVJ,tengo novia🥰,0xffffffff,28000075,1303,15,
15,#20QUGCVQ9,Mirrox 🐺,0xffffffff,28000345,1302,16,HolyPower
16,#200VQUPRP,TQ | Blaksxy⛧,0xffffffff,28000018,1300,17,A Few Good Men
17,#PQPR2GQGJ,MatCha✈️,0xffcb5aff,28000014,1300,18,HK瘋
18,#8VGPQLG98,⛩️|MedoMark64🥀,0xffffffff,28000163,1299,19,LA Global
19,#2P088J29C,Matt,0xffff8afb,28000333,1299,20,<c5>Just Us</c>
20,#8LQ9JR82,Code: Eqwaak,0xfff9c908,28000004,1299,21,A Few Good Men
21,#JRYLGVYV,QLS|Glory™️,0xffff9727,28000132,1297,22,Ex0tic-E-Sport
22,#2JGPCL0RU,d'y,0xffff8afb,28000008,1278,23,clover
23,#28GR908QJ,P4S|MasTeR,0xffff9727,28000014,1265,24,P4SSANGERS
24,#8JU922PJ8,Deniz❤️🔥,0xffffffff,28000321,1256,25,
25,#YV8U29VLY,Oh My Bibi🥵,0xffcb5aff,28000129,1255,26,❤️‍🩹
26,#8C0PLGQRV,Duo♡nubik,0xff4ddba2,28000254,1254,27,Quant ESports🐾
27,#PYUJGV290,🪃在profikk🏔️,0xffcb5aff,28000207,1254,28,Ladder Warriors
28,#8CJLU9GVR,DatKill,0xffcb5aff,28000335,1254,29,Showdown💔Kings
29,#8PRC9029Y,гуль тиграа<3,0xffffffff,28000000,1254,30,A Few Kиски
30,#889VRC0QJ,🦅|Matheo>.<,0xffffffff,28000197,1254,31,
31,#99JQ9PQP,Artem4ic🤍W,0xff4ddba2,28000018,1254,32,
32,#CPYUR8QR,KD|Buff♡,0xfff9c908,28000132,1254,33,Quant ESports🐾
33,#PLLRJC2V,Wesley534,0xff1ba5f5,28000210,1254,34,Ghost Team👻☔
34,#8GULV80RP,wortekz,0xfff9c908,28000345,1254,35,Brawl King's
35,#80Y88YLVP,メ•𝑳𝒆𝑛𝑛𝘺🤍,0xffcb5aff,28000196,1254,36,VV eSport
36,#PL09VC89J,xMehmet🤍,0xffcb5aff,28000125,1253,37,LA Global
37,#2GYY989GU,あ|Nouggetシ🦋,0xffa8e132,28000075,1253,38,VV eSport
38,#2ULUP8VG9,ぜ|КеКzzz🌖,0xffff9727,28000003,1253,39,ᴅᴀɪʟʏ
39,#P88G9CGYV,KY,0xffff9727,28000267,1253,40,<c5>ぽんみちょった</c>
40,#9G0CJPJPY,Taha♛,0xffcb5aff,28000170,1253,41,GOOD BYE TAHA
41,#RPQUY9VQ,Lamine🍜,0xffffffff,28000278,1253,42,<c7>幹嘛偷看我個資</c>
42,#22LJJCJ2G,Ferhât🦁,0xffff8afb,28000150,1253,43,BS|KoalisyoN
43,#UYUUQQ8Q,대왕❦(光),0xffcb5aff,28000115,1253,44,<c1>BBOBBY</c>
44,#22VUV8VJ9,ˢᴸᴳ᭄Nสt๏x,0xffcb5aff,28000139,1253,45,YT : ELCANGRI
45,#PJ9882U,Egnity|Ama🥀,0xffcb5aff,28000023,1253,46,ゆかいな仲間たち
46,#Q9YC0J0G9,Rusya🤍Bloodyハニ,0xfff9c908,28000004,1252,47,KingdomRush
47,#LQJC9QL2,HJK┃アチャ,0xffffffff,28000000,1252,48,豚骨ラーメンファンキー
48,#802VG829,LuRkz🩵Sq,0xffff8afb,28000014,1252,49,Demise 🥀
49,#8LJPGJ2JL,❤️Like_섭이💙,0xffff8afb,28000244,1252,50,홀릿군단
50,#YGQYGCR,Portox😡,0xff1ba5f5,28000191,1252,51,Blue Label
51,#82UCLY9C8,Kronos🇧🇷,0xffff8afb,28000029,1252,52,Brawl King's
52,#8LQQCCPRG,MyS|Efim👾,0xffa8e132,28000101,1252,53,Quant ESports🐾
53,#GPPRCRLQG,sQwiRtl支,0xffffffff,28000156,1252,54,Talents
54,#2PLYGLPPJ,Joel玄,0xffff9727,28000020,1252,55,
55,#2UYJR9VL,Corwas,0xffcb5aff,28000349,1252,56,Brawl Kings
56,#P99QGPLU2,Davex,0xffffce89,28000129,1252,57,Brawl King's
57,#2UQCRP90,ばくいけまめちゃんふぉん6,0xfff9c908,28000149,1252,58,数え役満🀄️
58,#PVLQR8Y2L,Sam 🔪,0xffffffff,28000322,1252,59,anomaly
59,#29UGLJV2G,Lёvi,0xfff9c908,28000244,1252,60,✌️✌️✌️
60,#U0UQUVGU,Crux✨,0xff1ba5f5,28000300,1252,61,Meow
61,#2PJJQV92,V3|Flamen🤍,0xffffce89,28000230,1252,62,CONEXIÓN
62,#QRUQQLV0,Code: Nukleo,0xffa8e132,28000186,1252,63,LA Instinct
63,#2Y2Y99GQR,VizeZ,0xffffffff,28000230,1252,64,Ex0tic-E-Sport
64,#2028QGJ99,AUV|Noob玄,0xffffce89,28000345,1252,65,Brawl King's
65,#QR2GC8V,BKB|❄IC£CRØW❄,0xfff9c908,28000348,1252,66,Tribe Turkey
66,#PCJV8PCP2,SEKHON SAN,0xffff8afb,28000224,1251,67,<c0>IMPACT</c>
67,#2YCRJQJJU,『ⁱ ᵃᵐ₣₳฿ł₳₦🎭🥀,0xfff9c908,28000091,1251,68,NHY E-SporTS
68,#C2CULQP0,❤️‍🔥Mazoex♛,0xff1ba5f5,28000314,1251,69,VV eSport
69,#88QCRPLJV,Togi☁️,0xffff8afb,28000303,1251,70,7 Dwarves
70,#CJUL0RYJ,BLZ|ᵒᵖKozmo ♛,0xff1ba5f5,28000129,1251,71,Tribe Turkey
71,#9UG08PQUY,xSkywalker🦋ま,0xff1ba5f5,28000135,1251,72,Quant ESports🐾
72,#LRLQPU09,Quantic 🌵,0xffa8e132,28000284,1251,73,LA Global
73,#PUJ8JCU2P,ѕυηѕє∂なさた🥷🤍,0xffff9727,28000337,1251,74,NA|Legends❤️‍🩹
74,#9VU9R2LY,Terry!,0xffffffff,28000081,1251,75,✌️✌️✌️
75,#YG2QP288P,Ñîćoなさた🥷🤍,0xffff9727,28000340,1251,76,LA Global
76,#8VJYGP2R8,+＋爽凛❇︎SOURIN＋+,0xff1ba5f5,28000267,1251,77,Uchronia
77,#80CJRRVJ8,MommyM7D🍎🦖,0xffff8afb,28000314,1251,78,<c0>IMPACT</c>
78,#PYPQUG80,Zava💞Sunfote,0xffff9727,28000195,1251,79,Showdown💔Kings
79,#8VP882CR2,♡Mr_ido♡,0xffcb5aff,28000041,1251,80,Tribe Turkey
80,#CYUVPCUV,Yusuf19,0xffcb5aff,28000003,1251,81,NHY E-SporTS
81,#PR9U2JL,Juan Carlos,0xffffffff,28000119,1251,82,Humble Grinders
82,#20VGJ98U,❦ ɴᴇꜰᴇʀᴘɪᴛᴏᴜ ❦,0xfff9c908,28000244,1251,83,FEROZ FORCE⚔️
83,#80GPQ2RGP,薙| Juice🧃,0xff4ddba2,28000337,1251,84,Tribe Turkey
