,tag,name,nameColor,icon,trophies,rank,club
0,#Q92PG0RG8,Dilara💗,0xffcb5aff,28000135,1403,1,Washed
1,#YRURQRPUR,Skibidi Chipz,0xff1ba5f5,28000018,1302,2,Talents
2,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1302,3,Fenernazçe 💙💛
3,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1302,4,Eclipse 🌖
4,#VYGVV08Q,🍅domates,0xffffffff,28000261,1301,5,
5,#8CCRG9P99,ɪɴᴄᴏɢɴɪᴛᴏ,0xffff9727,28000284,1299,6,DarkUnWanted👾
6,#8UQY02U29,少年A,0xffffce89,28000071,1299,7,小野ハゲを助け隊
7,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1280,8,Eclipse 🌖
8,#L8RGRURG,lapaPsa,0xffffce89,28000244,1275,9,true religion🫀
9,#CJP08CU0,Uriel,0xffffffff,28000135,1267,10,Brawl King's
10,#PLQ0QRVQL,FMG | Flashᴷⁱⁿᴳ,0xffffffff,28000139,1257,11,ZETA|DIVISION'S
11,#PLUGLRG28,4SV_MaSTeP,0xffffffff,28000233,1254,12,Quant ESports🐾
12,#2LC0LQCRP,Evaツんﾌﾒ,0xff1ba5f5,28000241,1254,13,Brawl King's
13,#2LC9RU2UG,ƇЄƊƦƖƇ🍁,0xffff9727,28000124,1253,14,+12 yaş sew
14,#8ULJJPYG2,Âtahan🖤Ubéyd,0xffffffff,28000333,1253,15,
15,#CPPV2PQG,MeliodasBot🐐,0xffa8e132,28000006,1252,16,No Mercy
16,#2LY99YGP8,HJK┃エネ↯,0xffcb5aff,28000338,1252,17,<c2>エホヤキム</c>
17,#P99QGPLU2,Davex,0xffffce89,28000129,1252,18,Brawl King's
18,#8CULYYLVC,たんじろう🧸,0xffcb5aff,28000014,1252,19,Emi's bar 🍻
19,#PYJLL2QQL,たか/みく推し🎧❄️,0xff1ba5f5,28000334,1252,20,めろんぱん食堂
20,#9G89LGUJP,CELAVIE,0xffff8afb,28000303,1252,21,Easy Ltda
21,#9JJYPJVVG,BigBosss.<3,0xfff9775d,28000244,1252,22,BigBoss Army
22,#P2G8CUUPU,August🥷,0xffffffff,28000241,1252,23,BC*|Family*
23,#80PC2QJCR,❥Hazzēиs✧,0xff1ba5f5,28000348,1252,24,7 Dwarves
24,#9VU9R2LY,Terry!,0xffffffff,28000081,1252,25,✌️✌️✌️
25,#YGQYGCR,Portox😡,0xff1ba5f5,28000191,1252,26,Blue Label
26,#UCVGRLL8,Kon☪︎,0xffffffff,28000338,1252,27,Trophy
27,#8GYJGVYR,thicc❤️basta,0xffff9727,28000233,1252,28,TheBrawlingKiwi
28,#28CVQGURJ,kxrtofvl,0xffffffff,28000061,1252,29,UNDERDOG 🇵🇱
29,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1251,30,help ranks
30,#8R99QVPYQ,YT|Gunnar BS,0xffffffff,28000334,1251,31,Ash's Club
31,#9RRQYPY8Q,𝑷𝒐𝒕𝒆𝒎𝒆𝒏☃,0xff1ba5f5,28000339,1251,32,めろんぱん食堂
32,#GV00QCYL,ɆⱠĐł₦™×͜×,0xfff9c908,28000019,1251,33,🧀MUSSARELOS✨
33,#P8RQ90UY9,FMG | Vitorᴷⁱⁿᴳ,0xffffce89,28000349,1251,34,Ex0tic-E-Sport
34,#GRJY0J0R,SKC | Lukitas,0xfff9c908,28000244,1251,35,Emi's bar 🍻
35,#29UGLJV2G,Lёvi,0xfff9c908,28000244,1251,36,✌️✌️✌️
