,tag,name,nameColor,icon,trophies,rank,club
0,#JV2L02VV,SíJaauaq,0xffff8afb,28000303,1503,1,
1,#29RQQQ88R,Cheeks,0xffff8afb,28000322,1499,2,Apostles Creed
2,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1499,3,Eclipse 🌖
3,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,1433,4,
4,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1399,5,Fenernazçe 💙💛
5,#PRC8PV98Q,𝐕𝐞𝐧𝐮𝐬𝐬♡Н,0xffffce89,28000307,1349,6,Saint Devils
6,#VYGVV08Q,🍅domates,0xffffffff,28000261,1301,7,
7,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1300,8,Eclipse 🌖
8,#20L88L2J,FUT | LeNain,0xffff8afb,28000321,1299,9,A Few Good Men
9,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1299,10,Follow?
10,#L9RRP8QQP,pro players,0xff1ba5f5,28000221,1255,11,あてぃしのこと好きすぎ―！❤️
11,#9QC02VJV8,nyx1k?🤍ニックス,0xffffffff,28000137,1254,12,Lost Hell
12,#2C9PLLUG8,Efecan|Apple♎🖤,0xffff8afb,28000321,1253,13,<c0>ＬＯＮＥＬＹ★</c>
13,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1253,14,<c0>ＬＯＮＥＬＹ★</c>
14,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1252,15,help ranks
15,#CQLR0Y80,QLS | Tufa,0xffa8e132,28000016,1252,16,Ghost Team👻☔
16,#Y02L2GGC,Weeeeisit🍒,0xffff8afb,28000073,1252,17,Showdown💔Kings
17,#2UJQQ0YL,TOC,0xfff9c908,28000212,1252,18,anyway🤷🏻‍♂️
18,#888GJGP2C,-12|Dolphin 🐬♡,0xffffffff,28000140,1252,19,
19,#8VRPJPLU2,Moon🤍アーセン,0xffffffff,28000000,1252,20,devxssted19うぇっ
20,#GRLUYG0R,NiceShøt 🌓,0xffcb5aff,28000347,1252,21,Ex0tic-E-Sport
