,tag,name,nameColor,icon,trophies,rank,club
0,#PYPQUG80,Zava💞Sunfote,0xffff9727,28000195,1499,1,Showdown💔Kings
1,#CG8R0JJC,⛩️ivͥaͣnͫ 🎋,0xffcb5aff,28000330,1453,2,Blue Star 💙
2,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1449,3,help ranks
3,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1402,4,Fenernazçe 💙💛
4,#2JY2GQC0L,кruсtaлuк🤍1500,0xffffffff,28000210,1399,5,destroyers🦇
5,#PUQ892PJ2,Ruben💞Solo,0xffff8afb,28000118,1374,6,NA|Legends❤️‍🩹
6,#2C9PLLUG8,Efecan|Apple♎🖤,0xffff8afb,28000321,1369,7,<c0>ＬＯＮＥＬＹ★</c>
7,#P2U2GRQLG,野なKira 🎈,0xfff05637,28000138,1352,8,Showdown💔Kings
8,#PGLL8Y0RV,あ| playpower 🐉,0xffcb5aff,28000018,1345,9,La Piraterie🏴‍
9,#8GCV08Q8L,MAHz⌘ M1ya,0xfff9c908,28000047,1310,10,ONCE
10,#VYGVV08Q,🍅domates,0xffffffff,28000261,1304,11,
11,#LQ8Q928G2,𝑫𝒙𝒓𝒌😮‍💨❤️,0xff4ddba2,28000238,1303,12,
12,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1302,13,Eclipse 🌖
13,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1300,14,<c0>ＬＯＮＥＬＹ★</c>
14,#YV8U29VLY,Oh My Bibi🥵,0xffcb5aff,28000129,1299,15,❤️‍🩹
15,#Y0GLYCYVY,Maho❤️🔥,0xff1ba5f5,28000129,1299,16,<c0>ＬＯＮＥＬＹ★</c>
16,#88Y9URR0,MyS|m1ndi❤️‍🔥,0xffcb5aff,28000038,1277,17,Хижина Минди❤
17,#9QUCYUQC0,又小二人kseeway🩸,0xffcb5aff,28000224,1272,18,Lost Hell
18,#YG2QP288P,Ñîćoなさた🥷🤍,0xffff9727,28000340,1267,19,LA Global
19,#82G82LVGQ,メRatoZ🤍,0xff1ba5f5,28000160,1267,20,La Piraterie🏴‍
20,#2PLYGLPPJ,Joel玄,0xffff9727,28000020,1261,21,
21,#20RQ80PJ0,Aͥleͣxͫ シ,0xffff8afb,28000348,1259,22,LA Global
22,#PLR90Y80R,SANS 7,0xffff9727,28000306,1257,23,UNITED ESPORTS
23,#9LGYG2PLY,🖤爱sͥa̷↳tͣyͫ〆🐣,0xffffffff,28000167,1257,24,<c5>❤Quitt❤</c>
24,#8RV80LUC,§ø§/☆Axel☆,0xffffffff,28000000,1256,25,
25,#PRUCG288Y,•☆Fynn冬,0xffff8afb,28000317,1254,26,BC*|Family*
26,#QPPLJC8,Sᴀʏғғ❤️‍🔥,0xffff9727,28000263,1254,27,FUT ESPORTS
27,#9JPJQGCU2,Agent｜takayuki,0xffffffff,28000183,1254,28,DEEMO
28,#8J98J9J88,꧁⪻★多ȴācⲕ多ơx★⪼꧂,0xfff9775d,28000278,1254,29,Relics
29,#JPJ2Q09L,MyS|JeTeNebel✈️,0xffffffff,28000208,1254,30,Brawl Birds🐤⚔️
30,#VQY2090Y,Cocoあをさ🏚️🤍,0xffff9727,28000230,1254,31,Showdown🤍
31,#2RY2090YR,ГарденГном🦇✨,0xffff9727,28000103,1254,32,Rio de Janeiro
32,#2JLGRVGGG,·𝘛𝘺𝘳↯💯🖤,0xffffffff,28000070,1254,33,The Real World
33,#C2GPV0V,王 | Potassium,0xffff9727,28000348,1254,34,Beyond Swift
34,#88UYYQPPU,ClaYnxスヤ🤍👅,0xff1ba5f5,28000349,1254,35,Next side
35,#V8V0YYPQ,timmy𓃟,0xffffffff,28000000,1253,36,
36,#89CGJQ08G,Lônély🖤ClârX,0xffcb5aff,28000003,1253,37,LA Global
37,#QJCRLQ9Q,ζ͜͡Enéss🦋,0xfff05637,28000256,1253,38,MasterOfWar
38,#22LJJCJ2G,Ferhât🦁,0xffff8afb,28000150,1253,39,BS|KoalisyoN
39,#9UY82PG00,❤ABNNoor❤,0xffffce89,28000221,1253,40,THE NEW RULERS
40,#98QJC2YPU,LUCİ😈,0xffcb5aff,28000194,1253,41,Tribe Turkey
41,#2CUVQVGQ,𝓢𝓟❦𝕹𝖔̈𝖎𝖗,0xffff9727,28000230,1253,42,Excellent🏆
42,#9QG89UV0Y,『𝕽𝖆𝖚𝖑❦︎』,0xffcb5aff,28000014,1253,43,TT: niiil_06
43,#9R8RU92JY,★฿eͥnaisͣsͫa★z|,0xffffffff,28000067,1253,44,La Piraterie🏴‍
44,#PRPGQ8UGC,❥Angel¨̮♡,0xffcb5aff,28000302,1253,45,𝓘𝐥𝐨𝐧ଈ𝓜𝐚𝐧
45,#2GYY989GU,あ|Nouggetシ🦋,0xffa8e132,28000075,1253,46,VV eSport
46,#L99892JJ,要|мeɢα♕❤️‍🔥,0xfff05637,28000349,1253,47,BC*|Family*
47,#90R2J0YG0,pozithrt 가ㅢㅡ,0xffffce89,28000150,1253,48,whys in life 😕
48,#PLYC08QLG,꧁『𝑨𝒍𝒑𝒉𝒂』꧂,0xffcb5aff,28000347,1253,49,RwTH |club 🌘
49,#22VUV8VJ9,ˢᴸᴳ᭄Nสt๏x,0xffcb5aff,28000139,1253,50,YT : ELCANGRI
50,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,1253,51,
51,#9VRG9V0VL,Wyzø🥥テルアキ。,0xff1ba5f5,28000243,1252,52,TL|Team Luzou
52,#82VQ9LQYL,ZY|Kai,0xffffffff,28000323,1252,53,𝐂𝐡𝐞𝐞𝐫 𝐮𝐩
53,#29UYQ90J9,ℂℝ| 𝑩rownies🪐,0xffff9727,28000000,1252,54,Illuminate ✨
54,#2GPV0LRQC,TTeJIbMeIIIka,0xffff8afb,28000347,1252,55,Quant ESports🐾
55,#QPJ2VG8C8,Dragon 🐊,0xff1ba5f5,28000014,1252,56,Real Ones
56,#L2U9P2CRC,𝐽𝑢𝑠𝑡 𝑐ℎ𝑖,0xffffffff,28000014,1252,57,خليها على الله
57,#2LL8JYYVJ,алхимик38,0xffff9727,28000160,1252,58,анскиллы
58,#20U8J0QLQ,Damy❤Kitty,0xffa2e3fe,28000135,1252,59,apuki55club
59,#9UG08PQUY,xSkywalker🦋ま,0xff1ba5f5,28000135,1252,60,Quant ESports🐾
60,#8VJ8GJR2,Nova💔Winkiii,0xffa8e132,28000148,1252,61,Quant ESports🐾
61,#LU9PVCP08,沙皇|MaXoU❤️🔥,0xffcb5aff,28000138,1252,62,La Piraterie🏴‍
