,tag,name,nameColor,icon,trophies,rank,club
0,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1499,1,Eclipse 🌖
1,#LJR00R2CP,⚓️ 湊あくあ『すぅ〜…』💕,0xffffffff,28000002,1499,2,
2,#YP8P0VUJR,гуд ты тут,0xffffffff,28000254,1499,3,I Feel Like God
3,#8VQ08LVLU,❤️🌑SHIVAM🌕💛,0xffa8e132,28000003,1439,4,DEMONS PARADISE
4,#8G29G92,MyS|Beast❤️Devi,0xff4ddba2,28000067,1399,5,I Feel Like God
5,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1349,6,<c0>ＬＯＮＥＬＹ★</c>
6,#L899RJLYQ,TML | Ondy 猴,0xffff9727,28000215,1346,7,no invite!!!😡
7,#9UY8JYGU2,SNICKERS,0xffcb5aff,28000265,1327,8,anomaly
8,#VYGVV08Q,🍅domates,0xffffffff,28000261,1303,9,
9,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1302,10,Fenernazçe 💙💛
10,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1301,11,Eclipse 🌖
11,#LCCU9J2C,﷽ʆοʀɢɛ⅂Ο⅂❦ֆօʟօ,0xffcb5aff,28000014,1299,12,Showdown💔Kings
12,#99VU82CJ9,ɢᴏ sʟᴇᴇᴘ ⁿᵒᵒᵇ☜︎,0xffff9727,28000014,1299,13,🌊Niv🌋
13,#28QV8YJRP,༄Zeή͢͢͢yc♛,0xffff8afb,28000321,1287,14,AFGMela
14,#QL9G8JR8C,KY,0xfff9c908,28000267,1261,15,<c5>ぽんみちょった</c>
15,#GVLJQ282,코우💛Rose,0xffffce89,28000068,1255,16,
16,#8GPG9V0GU,Sunex玄,0xffffffff,28000125,1254,17,TT: niiil_06
17,#9GRP8LR09,sad💔kekcik,0xffa8e132,28000011,1254,18,
18,#GRU992LGV,³Xmæster's❦,0xffff9727,28000020,1253,19,
19,#QUUGLJGQC,ᴡɪɴᴄʜᴇsᴛᴇʀ♡,0xffcb5aff,28000014,1253,20,Lost Hell
20,#LRLQPU09,Quantic 🌵,0xffa8e132,28000284,1253,21,LA Global
21,#9GJPJUQGJ,Xorox❤️‍🩹Byrox,0xffcb5aff,28000273,1253,22,Tribe Turkey
22,#P9YCRRRVL,Zelephh,0xff1ba5f5,28000123,1252,23,Brawl Kings
