,tag,name,nameColor,icon,trophies,rank,club
0,#2UYJV98J2,all 1500🏆,0xffffffff,28000000,1499,1,
1,#QGC9JGLVY,〆𝓝𝓾𝓫𝓪𝔁🎈,0xffff9727,28000343,1355,2,TikTok : nubaxx
2,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1302,3,Fenernazçe 💙💛
3,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1302,4,Eclipse 🌖
4,#PQ09LC889,sinaayy🤍kアナー,0xffff8afb,28000196,1301,5,luv sinayy.🤍🪽
5,#VYGVV08Q,🍅domates,0xffffffff,28000261,1301,6,
6,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1300,7,<c0>ＬＯＮＥＬＹ★</c>
7,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1300,8,Eclipse 🌖
8,#82YJJYLUC,IL | STAMEʕ¨ʔ,0xffffffff,28000000,1299,9,
9,#PP9CYV8GG,4K VINI,0xfff05637,28000213,1299,10,Amazones1
10,#Y0GLYCYVY,Maho❤️🔥,0xff1ba5f5,28000129,1299,11,<c0>ＬＯＮＥＬＹ★</c>
11,#2C9PLLUG8,Efecan|Apple♎🖤,0xffff8afb,28000321,1269,12,<c0>ＬＯＮＥＬＹ★</c>
12,#8R8V9V8JG,REX kinako💫🧨,0xffff8afb,28000340,1264,13,REX💫
13,#2G2VVUR80,〆𝓢𝓲𝓷𝓼𝓽𝓻🎈,0xffffffff,28000139,1263,14,Family 69 💯🦾
14,#UY280J89,𝐒𝐞𝐧𝐲❃,0xffffce89,28000020,1257,15,<c5>ぽんみちょった</c>
15,#L9RRP8QQP,pro players,0xff1ba5f5,28000221,1254,16,あてぃしのこと好きすぎ―！❤️
16,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,1254,17,
17,#290LJC89U,L1S|Unique❦,0xffa2e3fe,28000035,1253,18,Night Stars
18,#889VRC0QJ,🦅|Matheo>.<,0xffffffff,28000197,1253,19,
19,#YYGYYUJJP,볼트❦ⁿᵃᵐᵉ,0xffff8afb,28000065,1253,20,Illusion Gaming
20,#88RRUQ08P,ㄞМаттео🖤,0xffff9727,28000333,1253,21,We❤️‍🩹Showdown
21,#9CG8LJU8,『ᴵ ᵃᵐⱧ₳₥Ⱬ₳🎭🥀』,0xffcb5aff,28000293,1253,22,Tribe Turkey
22,#2YYL89J8G,psychc🦈,0xffffffff,28000003,1253,23,🌴|<c3>HM</c>
23,#2ULUP8VG9,ぜ|КеКzzz🌖,0xffff9727,28000003,1253,24,ᴅᴀɪʟʏ
24,#88U89YY,Neavy♡,0xffcb5aff,28000224,1253,25,🧀MUSSARELOS✨
25,#PL92YG8R,Եρ ՐɿՇk☆*❥⃝*,0xff4ddba2,28000341,1253,26,★₮ĦɆ ₱Ⱡ₳¥ɆɌ$2 ★
26,#2GP8RRLUJ,𝑹𝒆𝒎𝒐𝒎𝒆𝒏☃,0xff1ba5f5,28000339,1253,27,めろんぱん食堂
27,#22VUV8VJ9,ˢᴸᴳ᭄Nสt๏x,0xffcb5aff,28000139,1253,28,YT : ELCANGRI
28,#PC92L9PYU,Jad'll kill u🖤,0xffcb5aff,28000094,1253,29,
29,#9GJPJUQGJ,Xorox❤️‍🩹Byrox,0xffcb5aff,28000273,1253,30,Tribe Turkey
30,#9YC0GRR00,♚Charlot•oreee♚,0xff4ddba2,28000018,1253,31,_/ ✴︎FEL✴︎ \_
31,#8R29PY9RJ,Darkez🤍Audrey,0xff1ba5f5,28000207,1252,32,Ghost Team👻☔
32,#8PJ8Y8Y,uncivil :p,0xff1ba5f5,28000322,1252,33,Elite Saiyan🔱
33,#9P080U9L,riptideyls🔪,0xff1ba5f5,28000244,1252,34,Illusion Gaming
34,#8R99PJ890,xSkylasz•,0xffff9727,28000321,1252,35,Vitality
35,#L82U9CVPQ,ᴼᵖɳe̷żu̷ҟσ🥀×᷼×,0xffff9727,28000213,1251,36,🧀MUSSARELOS✨
36,#PL09VC89J,xMehmet🤍,0xffcb5aff,28000125,1251,37,LA Global
37,#80GPQ2RGP,薙| Juice🧃,0xff4ddba2,28000337,1251,38,Tribe Turkey
38,#20CJVQQYU,[₮₱] ₱ɆⱠ₳Ɖ₳Ø,0xffcb5aff,28000291,1251,39,★the Players★
39,#RY0GVQ2U,Daisy❦ⁿᵃᵐᵉ,0xff1ba5f5,28000347,1251,40,Illusion Gaming
40,#P9YPY9U8J,MeTa | duo♡van,0xff4ddba2,28000262,1251,41,TyM`eSports
41,#82JGY0UC0,_D e n,0xffcb5aff,28000244,1251,42,Импрессив
42,#2LY99YGP8,HJK┃エネ↯,0xffcb5aff,28000338,1251,43,<c2>エホヤキム</c>
43,#9JPJQGCU2,Agent｜takayuki,0xffffffff,28000183,1251,44,DEEMO
44,#8LLJ92VQ,あ| 𝓐𝓱𝓶𝓮𝓓🥀,0xff1ba5f5,28000349,1251,45,OG Mute
45,#P99QGPLU2,Davex,0xffffce89,28000129,1251,46,Brawl King's
46,#8PUPC92Q,Naruto 愛 💛,0xffffffff,28000203,1251,47,ShockTeamツ
47,#8CUGG9CG2,GreamReaper,0xffffffff,28000150,1251,48,Anteiku☕
48,#82GC0CU8,XP|beko🦊,0xffff9727,28000223,1251,49,
49,#YGQYGCR,Portox😡,0xff1ba5f5,28000191,1251,50,Blue Label
50,#90R2J0YG0,pozithrt 가ㅢㅡ,0xffffce89,28000150,1251,51,whys in life 😕
51,#V2CLUQY2,PrJ|HeyBrother,0xffcb5aff,28000305,1251,52,Ultra Showdown
52,#RUGUJPR8,☠ĆØΜβΔŦ€ŇŦ€☠,0xff4ddba2,28000253,1250,53,★the Players★
53,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1250,54,help ranks
54,#89VL8Y90G,BG|Mozart🖤🔥,0xff1ba5f5,28000233,1250,55,LA Global
55,#PQ28JP0P,亲Jσтα,0xffff9727,28000175,1250,56,7 Dwarves
56,#289QGVYRQ,TyM|Ârda🦁,0xffff9727,28000014,1250,57,TyM`eSports
57,#8GPG9V0GU,Sunex玄,0xffffffff,28000125,1250,58,TT: niiil_06
58,#8Q2VLQ2V2,あ|Ąก𝕥๏กї๏🥀🧸,0xfff9c908,28000199,1250,59,TOXIC HEROES
59,#LRLQPU09,Quantic 🌵,0xffa8e132,28000284,1250,60,LA Global
60,#28YCQ9809,why so clown?🤡,0xffffffff,28000330,1250,61,Tribe Turkey
61,#2VQYL99JL,NA|Diego 🖤,0xffffffff,28000014,1250,62,HeadShoterZ💣
62,#82LRGLQ02,あ| 𝓕𝓪𝓱𝓪𝓓🥀,0xff1ba5f5,28000283,1250,63,OG Mute
63,#Y9R9JPVPU,Xelium A🩸,0xffffffff,28000029,1250,64,
64,#PYPQUG80,Zava💞Sunfote,0xffff9727,28000195,1250,65,Showdown💔Kings
65,#8Y8JUJ2JV,THF|Mystic,0xffcb5aff,28000014,1249,66,KiwiKings
66,#PGY9ULY,PollitoMan,0xffffffff,28000348,1249,67,7 Dwarves
67,#JPGRR9UV,Bowserr🥷被,0xff1ba5f5,28000206,1249,68,Brawl King's
68,#YYPLCCJ0C,괜찮아🩶Tulip,0xff1ba5f5,28000348,1249,69,CROWND
69,#2RUY28L20,ゼ ReyLzKaa 🖤,0xffffffff,28000085,1249,70,Coming 🔜 50K🤠
70,#89JJV992Y,ZL|caldera,0xfff9775d,28000040,1249,71,めろんぱん食堂
71,#PJ9JCYLCQ,猿|Epic🐒,0xff1ba5f5,28000069,1249,72,Ex0tic-E-Sport
72,#28YCUGPJC,Niki♡JoJo,0xffff8afb,28000044,1249,73,Showdown💔Kings
73,#Y0VPJ89Q,Ｓㄚ 么 乙 ツ,0xffffce89,28000237,1249,74,Quant ESports🐾
74,#Y0JLQVQQ,THF|Lark,0xff1ba5f5,28000347,1249,75,Kiwithatgame
75,#VPGGUU9U,|🌬ŦƤ⋆SsnıɔıuıΛ,0xff1ba5f5,28000243,1249,76,★the Players★
76,#8CVCJVVV9,Եթ Շαɱเℓα ☆*❥⃝*,0xffff9727,28000302,1249,77,★the Players★
77,#GCVPVRQY,MyS|Goman,0xff4ddba2,28000137,1249,78,Tribe Turkey
78,#LVVCQJR8Y,MyS l boosty,0xffff8afb,28000301,1249,79,
79,#80PJ08QR,🦥Landin Cider,0xffffffff,28000281,1249,80,🦥🦥🦥🦥🦥
80,#20YJ9PLLV,ま|Shadows • 💫,0xffffffff,28000041,1249,81,what happened
81,#VUQV0ULV,𝓚𝔂𝔀𝔂,0xffcb5aff,28000031,1249,82,Beyond Fresh
82,#28GR908QJ,P4S|MasTeR,0xffff9727,28000014,1249,83,P4SSANGERS
83,#8GJY9G8UQ,Lollo ヤー🥱.,0xffff9727,28000237,1249,84,Celestyn
84,#GPG8P9V8,psotn1k,0xffff9727,28000272,1249,85,<c7>P</c>halanx
85,#PUUYYQPG,★彡ShaKa🌹頹,0xff1ba5f5,28000238,1249,86,🧀MUSSARELOS✨
86,#98QJC2YPU,LUCİ😈,0xffcb5aff,28000194,1249,87,Tribe Turkey
87,#P8RQ90UY9,FMG | Vitorᴷⁱⁿᴳ,0xffffce89,28000349,1249,88,Ex0tic-E-Sport
88,#L8UPY2RCL,rr,0xfff9775d,28000050,1249,89,Z드래곤볼Z
89,#Y99G8VPL0,BIG | ARTIN🦁,0xff1ba5f5,28000199,1249,90,YT | Nigena
90,#9YCUUVVPU,_Prôsty❦.,0xfff9c908,28000176,1249,91,Tribe Turkey
91,#CG8R0JJC,⛩️ivͥaͣnͫ 🎋,0xffcb5aff,28000330,1249,92,Blue Star 💙
92,#2UCC8202,guti 💙,0xff1ba5f5,28000101,1249,93,Emi's bar 🍻
93,#P8U8JQLG,感|WarMan⚔️,0xff1ba5f5,28000148,1249,94,OG Mute
94,#P22J8JP8,ZETA | BADBOY,0xffff9727,28000284,1249,95,No Mercy
95,#2LR22JC9V,𝑻𝒐𝒃𝒊😮‍💨❤️,0xffa2e3fe,28000272,1249,96,BMW M5 F90.COMP
96,#20VVC8LU2,Cryzz❦︎,0xffffffff,28000108,1249,97,
97,#8LQ9JR82,Code: Eqwaak,0xfff9c908,28000004,1249,98,A Few Good Men
98,#2J82LJJG2,Pika,0xffff9727,28000242,1249,99,BC*|Family*
99,#LRYCL0QV,Baby Kyric,0xfff9c908,28000303,1249,100,7 Dwarves
100,#2LJ9QCCL,tedd💞💞,0xffffffff,28000112,1249,101,
