,tag,name,nameColor,icon,trophies,rank,club
0,#2Q9PYVQLP,HelloWorld,0xffff8afb,28000096,1499,1,
1,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1437,2,help ranks
2,#8V92UYCJ,Lukii,0xffa8e132,28000259,1404,3,A Few Good Men
3,#9LY9P90VG,Ommek 🩵,0xff1ba5f5,28000281,1401,4,<c5>Dogs</c>
4,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1401,5,Fenernazçe 💙💛
5,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1401,6,Eclipse 🌖
6,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1400,7,Eclipse 🌖
7,#9PCRGLVCG,ITR | Բค乃ɿคՈ,0xfff9c908,28000194,1399,8,LA Global
8,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1399,9,Follow?
9,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,1395,10,
10,#2V02VPY82,IL | STAMEʕ¨ʔ,0xffffffff,28000000,1392,11,Illusion Gaming
11,#L8L9RCVGC,え ︎︎,0xff4ddba2,28000263,1349,12,クラブリーグがんばろ〜
12,#2C9PLLUG8,Efecan|Apple♎🖤,0xffff8afb,28000321,1309,13,<c0>ＬＯＮＥＬＹ★</c>
13,#8PJRRG2C,SK|GuilleVGX,0xffa8e132,28000099,1307,14,CONEXIÓN
14,#9CL9UL9P,Mechhα 🧸,0xffffffff,28000339,1305,15,🧀MUSSARELOS 3✨
15,#9JPJQGCU2,Agent｜takayuki,0xffffffff,28000183,1304,16,DEEMO
16,#8RQGU0Y9J,◦♡°Mιℓкѕнαкє°♡◦,0xfff9c908,28000169,1302,17,Wasted🥱
17,#8VQ08LVLU,❤️🌑SHIVAM🌕💛,0xffa8e132,28000003,1301,18,DEMONS PARADISE
18,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1301,19,<c0>ＬＯＮＥＬＹ★</c>
19,#VYGVV08Q,🍅domates,0xffffffff,28000261,1300,20,
20,#RLCLGP9J,𝐕𝐚𝐧𝐢੯‧̀͡⬮💚,0xffa8e132,28000244,1299,21,レインボーの風船
21,#8UL0U08V,winq ☃️🤍,0xffff8afb,28000175,1299,22,Havoc Echo
22,#9G89LGUJP,CELAVIE,0xffff8afb,28000303,1263,23,Easy Ltda
23,#20RQ80PJ0,Aͥleͣxͫ シ,0xffff8afb,28000348,1261,24,LA Global
24,#8CCYJY2QL,🍋 .*゜LEMO🍋 .*,0xffffffff,28000021,1258,25,<c5>ぽんみちょった</c>
25,#Y8208Q0C8,"KT|chich6,13💜",0xffffffff,28000014,1258,26,やっちゃうよー
26,#PYVRGPY9J,伯方のねこよ,0xffffce89,28000194,1257,27,ねこのともだち
27,#YJCG8UPC,𝐏𝐚𝐮𝐥♕︎ᵗᵐ,0xff1ba5f5,28000194,1257,28,BC*|Family*
28,#2PUGC89JG,Giaan🐝,0xffa8e132,28000350,1255,29,Wasted🥱
29,#90R9Q2UP,@stardragonOP,0xffff9727,28000209,1255,30,SpenLC Youtube
