,tag,name,nameColor,icon,trophies,rank,club
0,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1499,1,Eclipse 🌖
1,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1377,2,Eclipse 🌖
2,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1299,3,Follow?
3,#Y0GLYCYVY,Maho❤️🔥,0xff1ba5f5,28000129,1299,4,<c0>ＬＯＮＥＬＹ★</c>
4,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1287,5,Fenernazçe 💙💛
5,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1254,6,<c0>ＬＯＮＥＬＹ★</c>
6,#GGCPV9J9L,★฿uͥrgͣeͫr★z|🍔,0xffffffff,28000092,1252,7,Sneax💞Short🐍
7,#Q0VP0JP8,玄Ghost🎴,0xffa8e132,28000167,1252,8,Dr eSports
8,#U0UQUVGU,Crux✨,0xff1ba5f5,28000300,1252,9,Meow
9,#9GJPJUQGJ,Xorox❤️‍🩹Byrox,0xffcb5aff,28000273,1252,10,Tribe Turkey
10,#YVQR8VUP9,Lunax🌙,0xfff9c908,28000259,1251,11,
11,#PYPQUG80,Zava💞Sunfote,0xffff9727,28000195,1251,12,Showdown💔Kings
12,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1251,13,help ranks
13,#CP0YYG,Frayerok,0xffcb5aff,28000349,1251,14,
14,#QRUQQLV0,Code: Nukleo,0xffa8e132,28000186,1251,15,LA Instinct
15,#9UG08PQUY,xSkywalker🦋ま,0xff1ba5f5,28000135,1250,16,Quant ESports🐾
16,#8PJRRG2C,SK|GuilleVGX,0xffa8e132,28000099,1250,17,CONEXIÓN
17,#VYGVV08Q,🍅domates,0xffffffff,28000261,1250,18,
18,#9LY0YG9QP,を|Sed🍀,0xffa8e132,28000197,1250,19,DragonArmy
19,#QUYCVC2,STMN | sans,0xffa8e132,28000136,1250,20,STMN Esports
20,#J9QCJLU0,RX|Enzo💮,0xffff8afb,28000321,1250,21,Ex0tic-E-Sport
21,#QR2GC8V,BKB|❄IC£CRØW❄,0xfff9c908,28000348,1250,22,Tribe Turkey
22,#29VGU29RQ,CLR | Kezucha🍀,0xff4ddba2,28000352,1250,23,めろんぱん食堂
23,#YQUQUUG,Ferlol,0xff1ba5f5,28000294,1249,24,minuta:3
24,#URVJVRRQ,愛野美奈子💛✨,0xffff8afb,28000018,1249,25,してたんぽ
25,#82PQUPGU0,Ryohei🐬,0xff1ba5f5,28000240,1249,26,数え役満🀄️
26,#YGQYGCR,Portox😡,0xff1ba5f5,28000191,1249,27,Blue Label
27,#89QY9P0L0,Luckz を',0xffffffff,28000095,1249,28,Sala
28,#2JCURGC2C,Sin ヤギ,0xffffffff,28000339,1249,29,
29,#8CC9QUR,FMG|Kaioneᶜᵒˡᵗ,0xffffce89,28000139,1249,30,ZETA|DIVISION'S
30,#8C29Q0RYR,Arin the bot,0xff1ba5f5,28000115,1249,31,octos
31,#QGLCPJ2J,Ansel,0xff1ba5f5,28000014,1249,32,CHEESEFOREVAR
32,#2VV02GQ2C,RNT | Prime,0xff1ba5f5,28000044,1249,33,Imperial
33,#P8U8JQLG,感|WarMan⚔️,0xff1ba5f5,28000148,1249,34,OG Mute
34,#20VVC8LU2,Cryzz❦︎,0xffffffff,28000108,1249,35,
35,#8LQ9JR82,Code: Eqwaak,0xfff9c908,28000004,1249,36,A Few Good Men
36,#8GUPLYY,FG | Jene,0xffff8afb,28000135,1249,37,clover
