,tag,name,nameColor,icon,trophies,rank,club
0,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1401,1,Fenernazçe 💙💛
1,#20L88L2J,FUT | LeNain,0xffff8afb,28000321,1349,2,A Few Good Men
2,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1324,3,Eclipse 🌖
3,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1302,4,Eclipse 🌖
4,#8LQ9JR82,Code: Eqwaak,0xfff9c908,28000004,1299,5,A Few Good Men
5,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1299,6,Follow?
6,#P8GGRVCL,MiroshkaClass ❤,0xfff05637,28000068,1299,7,Brawl Birds🐤⚔️
7,#CPYUR8QR,KD|Buff♡,0xfff9c908,28000132,1254,8,Quant ESports🐾
8,#PUJ8JCU2P,ѕυηѕє∂なさた🥷🤍,0xffff9727,28000337,1253,9,NA|Legends❤️‍🩹
9,#JPGRR9UV,Bowserr🥷被,0xff1ba5f5,28000206,1252,10,Brawl King's
10,#9QCJPL20,Golden Kawaii🌕,0xffffce89,28000045,1252,11,Eclipse 🌖
11,#8GYJGVYR,thicc❤️basta,0xffff9727,28000233,1252,12,TheBrawlingKiwi
12,#290LJC89U,L1S|Unique❦,0xffa2e3fe,28000035,1251,13,Night Stars
13,#RUGUJPR8,☠ĆØΜβΔŦ€ŇŦ€☠,0xff4ddba2,28000253,1251,14,★the Players★
14,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1251,15,help ranks
15,#99JQ9PQP,Artem4ic🤍W,0xff4ddba2,28000018,1251,16,
16,#9UG08PQUY,xSkywalker🦋ま,0xff1ba5f5,28000135,1251,17,Quant ESports🐾
17,#8PJRRG2C,SK|GuilleVGX,0xffa8e132,28000099,1251,18,CONEXIÓN
18,#YGQYGCR,Portox😡,0xff1ba5f5,28000191,1251,19,Blue Label
19,#8LQQCCPRG,MyS|Efim👾,0xffa8e132,28000101,1251,20,Quant ESports🐾
20,#GRLUYG0R,NiceShøt 🌓,0xffcb5aff,28000347,1251,21,Ex0tic-E-Sport
21,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,1251,22,
22,#QR2GC8V,BKB|❄IC£CRØW❄,0xfff9c908,28000348,1251,23,Tribe Turkey
23,#VYGVV08Q,🍅domates,0xffffffff,28000261,1251,24,
24,#8089VYY,•Kāfāøtıs⁴🍣,0xffcb5aff,28000201,1251,25,GoatLife
25,#LG2RY8GP,Cyclxne,0xff1ba5f5,28000349,1250,26,Brawl King's
26,#YRURQRPUR,Skibidi Chipz,0xff1ba5f5,28000018,1250,27,Talents
27,#P9YPY9U8J,MeTa | duo♡van,0xff4ddba2,28000262,1250,28,TyM`eSports
28,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1250,29,<c0>ＬＯＮＥＬＹ★</c>
29,#PYPQUG80,Zava💞Sunfote,0xffff9727,28000195,1250,30,Showdown💔Kings
30,#202RGUPUG,☆FrankensteIn☆❤,0xffcb5aff,28000170,1249,31,Quant ESports🐾
31,#8Y082R2GG,추카|RapZ ✶,0xffff9727,28000211,1249,32,Beyond Swift
32,#YY9PPLQL9,Yume𓅦,0xff4ddba2,28000149,1249,33,Cipher Pol
33,#20YJ9PLLV,ま|Shadows • 💫,0xffffffff,28000041,1249,34,what happened
34,#22LCG2RLJ,ZT|Yősuki̸❦,0xff1ba5f5,28000349,1249,35,weird gamers
35,#8QJ0YUV8Q,千 | Kai,0xffa8e132,28000018,1249,36,Beyond Swift
36,#22Q0CCRYP,Carry,0xffa8e132,28000024,1249,37,<c5>Just Us</c>
37,#CG8R0JJC,⛩️ivͥaͣnͫ 🎋,0xffcb5aff,28000330,1249,38,Blue Star 💙
38,#V9QPG880,陰|Adriano ☪️,0xfff05637,28000065,1249,39,FWs Club 🌮
39,#C2GPV0V,王 | Potassium,0xffff9727,28000348,1249,40,Beyond Swift
40,#2CUYQ8RQC,🥷🏿,0xffffffff,28000272,1249,41,
41,#YRJUL0GG,BOH|Wolf❤️Diego,0xff4ddba2,28000349,1249,42,Unión Soviética
42,#99LLQYY9,Joeh,0xfff9c908,28000335,1249,43,👋 🤷‍♂️
43,#9L09YYQ8L,⛩️Panda G.m⛩️,0xffcb5aff,28000330,1245,44,HolyGuns
44,#RRQQJPG2,Rabbithop,0xff1ba5f5,28000349,1245,45,we love rabbits
45,#QPJ2VG8C8,Dragon 🐊,0xff1ba5f5,28000014,1237,46,Real Ones
46,#2P088J29C,Matt,0xffff8afb,28000333,1237,47,<c5>Just Us</c>
47,#QRUQQLV0,Code: Nukleo,0xffa8e132,28000186,1215,48,LA Instinct
48,#9L9P2PLY0,佐切「静かに、、激しく、、」,0xffffffff,28000303,1208,49,🌺🥀🌸🌼🌷
49,#22GURLG00,NoRvie 〆,0xffff8afb,28000054,1205,50,
50,#82LRGLQ02,あ| 𝓕𝓪𝓱𝓪𝓓🥀,0xff1ba5f5,28000283,1204,51,OG Mute
51,#P99QGPLU2,Davex,0xffffce89,28000129,1203,52,Brawl King's
52,#CGQCYJGY,TTV | SnakeThug,0xfff9c908,28000341,1203,53,Deadly Vipers🐍
53,#JV2L02VV,SíJaauaq,0xffff8afb,28000303,1203,54,
54,#PR9U2JL,Juan Carlos,0xffffffff,28000119,1201,55,Humble Grinders
55,#2J2PJ0UV,ikarosita,0xffa8e132,28000136,1201,56,Humble Grinders
56,#8R99PJ890,xSkylasz•,0xffff9727,28000321,1201,57,Vitality
57,#9L0UQRPJJ,İRONMAN,0xffcb5aff,28000314,1201,58,₮Ɽ₩`eSports
58,#G99CYGL,𝒁𝒂𝒊𝒌𝒐❄️,0xff4ddba2,28000194,1200,59,ChillOG
59,#90V9VYJ8C,しょうけい,0xfff05637,28000242,1200,60,なかよし部
60,#2CRRRRYJR,моё,0xfff9c908,28000213,1200,61,✌️✌️✌️
61,#YQUQUUG,Ferlol,0xff1ba5f5,28000294,1199,62,minuta:3
62,#UGLLP99J,ЯvG★PuucKs,0xffffffff,28000125,1199,63,Revenge Gaming
63,#GRC9RRJR,TQ | Javi,0xfff9c908,28000137,1199,64,A Few Good Men
64,#9J2JLUR8G,Aspect 🃏,0xffffffff,28000304,1199,65,7 Dwarves
65,#2Y92C2Q8V,NOMAD|かーず。❄❄,0xfff9c908,28000119,1199,66,
66,#QJ0PRJCU,retired getsent,0xff4ddba2,28000010,1199,67,Beyond Swift
67,#GRVL8ULV,陰|SuperLab ☯︎,0xff1ba5f5,28000141,1199,68,7 Dwarves
68,#URV8JPY,ormy🎄,0xffffffff,28000176,1199,69,Havoc Echo
69,#JGCCGY80,prostislavv,0xffff9727,28000042,1199,70,BOBR gaming
70,#2CY898QJ0,єηισ ƒαιχα⁷ 🥋,0xffcb5aff,28000224,1199,71,Candangos do BR
71,#8QVGJQGGC,ᴀsᴛʀᴏ >.< 🖤,0xffff9727,28000272,1199,72,Kings United II
72,#8GUPLYY,FG | Jene,0xffff8afb,28000135,1199,73,clover
73,#PJ9882U,Egnity|Ama🥀,0xffcb5aff,28000023,1199,74,ゆかいな仲間たち
74,#29L028GQL,Djahsta,0xffff9727,28000306,1183,75,BC*|Family*
75,#YLV8CL0R,Astaaaa❤️‍🔥😈,0xff4ddba2,28000347,1164,76,Tribe Turkey
76,#8URCLRY8,球隊|RoUND🌠,0xfff9c908,28000061,1164,77,My social media
77,#2Y2Y99GQR,VizeZ,0xffffffff,28000230,1164,78,Ex0tic-E-Sport
78,#CPPV2PQG,MeliodasBot🐐,0xffa8e132,28000006,1157,79,No Mercy
79,#PC9LPPYV,Nico❤️Heys,0xff1ba5f5,28000196,1157,80,No Mercy
80,#98LYLJGGP,Mägooz ❦,0xffff9727,28000206,1154,81,Kings United
81,#989GVG0UR,陰|₦Ї₦ℑ₳™👑,0xffa8e132,28000305,1154,82,Good Players 💫
82,#2VG02RU0,ThorN3X,0xffcb5aff,28000018,1153,83,Brawl King's
83,#GU898VQ,Levi,0xffcb5aff,28000014,1153,84,Brawl King's
84,#PQPR2GQGJ,MatCha✈️,0xffcb5aff,28000014,1153,85,HK瘋
85,#JGUYRYQ,Nathan🩵,0xffff8afb,28000041,1153,86,NA Friends
86,#989L0928Q,L1S|Sufiyan❦,0xff1ba5f5,28000033,1152,87,IMMORTAL SOULS
87,#802VG829,LuRkz🩵Sq,0xffff8afb,28000014,1151,88,Demise 🥀
88,#8Q80P982R,𝐍𝐓|𝐀𝐚𝐫𝐮,0xffffce89,28000303,1149,89,✌️✌️✌️
89,#8PP8UGCL0,♠️💜Emerson💜♠️,0xffa8e132,28000333,1149,90,WOLFMX
90,#CJVR0P8,Matt🃏,0xffcb5aff,28000349,1149,91,Eternal Eclipse
91,#G92Y9JL00,Arrow☆verse支,0xffcb5aff,28000349,1149,92,Talents
92,#CJP08CU0,Uriel,0xffffffff,28000135,1149,93,Brawl King's
93,#CP99QPCQ,Joe🗿,0xffffffff,28000243,1149,94,
94,#98PUCCR2Q,Lenz🤍,0xfff9c908,28000095,1149,95,on the grind
95,#Y9LYC98PG,LMD🍋Aimer,0xffffffff,28000265,1149,96,たつきすねげ
96,#28PP0C82J,YAIⓂMA_Return❕,0xffcb5aff,28000164,1149,97,<c1>BBOBBY</c>
97,#20VVJRU8V,❦𝙾𝚞𝚝.𝚓𝚁❦,0xffcb5aff,28000010,1149,98,Swift<c5>NA</c>
98,#CG0YQP2C,Bavioツんﾌﾒ,0xffffffff,28000014,1149,99,Arab Empire
99,#9VU9R2LY,Terry!,0xffffffff,28000081,1142,100,✌️✌️✌️
100,#89JJV992Y,ZL|caldera,0xfff9775d,28000040,1138,101,めろんぱん食堂
101,#90RQYP98U,♡•bestie•♡🧸,0xffa2e3fe,28000221,1138,102,7 Dwarves
102,#2UYJV98J2,all 1500🏆,0xffffffff,28000000,1136,103,
103,#QUYR9Q22,bacon🖤rev,0xffff9727,28000216,1130,104,Eternal Esports
104,#2R8UYJYPC,Twinkle🪄︎︎れお,0xff1ba5f5,28000006,1125,105,fake ring…♡
105,#VPGGUU9U,|🌬ŦƤ⋆SsnıɔıuıΛ,0xff1ba5f5,28000243,1124,106,★the Players★
106,#8CRC9QUY9,팀원 버스타는Daye🤱,0xfff9c908,28000124,1120,107,<c1>BBOBBY</c>
107,#220PGLU02,家|𝑴𝒆𝒎𝒆𝒏ϟ,0xffa8e132,28000163,1115,108,You and me 💜
108,#28CVQGURJ,kxrtofvl,0xffffffff,28000061,1115,109,UNDERDOG 🇵🇱
109,#2RQGVLRVG,₹GuilleX,0xffff8afb,28000036,1114,110,No Mercy
110,#29UGLJV2G,Lёvi,0xfff9c908,28000244,1114,111,✌️✌️✌️
111,#8LC808G,Tuyu,0xff1ba5f5,28000349,1112,112,@Tuyu_Official
112,#PGY9ULY,PollitoMan,0xffffffff,28000348,1111,113,7 Dwarves
113,#20CQLYP2C,TBEjason,0xffff8afb,28000336,1109,114,Brawl King's
114,#2P2URUV8G,Foncho,0xffcb5aff,28000209,1106,115,Dragon Chileno
115,#28LYUL8JP,𝙲𝚘𝚍𝚎ˢˣ❥𝙹en,0xffcb5aff,28000337,1105,116,🧀MUSSARELOS✨
116,#209G0UUGY,Ylli🐬,0xffff8afb,28000321,1105,117,Tribe Gaming NA
117,#8YPU2Q9CP,valott🃏,0xfff9c908,28000023,1105,118,Venus
118,#Q0VP0JP8,玄Ghost🎴,0xffa8e132,28000167,1104,119,Dr eSports
119,#8YQV9UPRL,AvalSElguu🌫️,0xffffffff,28000331,1104,120,MEGATROLL
120,#8UGJ82UL2,AoC|Alex🌷,0xff4ddba2,28000310,1104,121,octos
121,#2RL8LGV9Q,🐼iBearQu❦︎,0xfff05637,28000352,1104,122,High Quality
122,#289YVRL0Y,ж Mєℓєє ж,0xff1ba5f5,28000004,1104,123,B T H Alfa
123,#8UYQRLQQV,Cwowお,0xffa8e132,28000331,1104,124,InTeamRasur
124,#9P2CUYJ8P,Scared,0xff4ddba2,28000167,1104,125,
125,#GRCYVRJG,Edgar🤍æ,0xffff9727,28000176,1104,126,7 Dwarves
126,#8Q2JCGP00,きゃんでぃ,0xff1ba5f5,28000014,1104,127,キングダム乱
127,#80UQP9UYR,え𝚟𝚎𝚗𝚘𝚡ツ,0xffffffff,28000139,1104,128,No Mercy
128,#2L80JP00L,Hillen,0xffff8afb,28000335,1104,129,Ex0tic-E-Sport
129,#8GGQC0UP,SHW|Tattier,0xff1ba5f5,28000138,1104,130,MegaPigEnjoyers
130,#Y22RU8YQ2,Seis,0xffcb5aff,28000159,1104,131,Brawl King's
131,#88RGGCVQJ,My heart in AUS,0xff4ddba2,28000092,1103,132,ハナクソタケシ
132,#20CJVQQYU,[₮₱] ₱ɆⱠ₳Ɖ₳Ø,0xffcb5aff,28000291,1103,133,★the Players★
133,#9VP2R0P9,ToxicZan,0xff1ba5f5,28000352,1103,134,Real Ones
134,#PRP9UGU9Q,ZL|Chaser!,0xffcb5aff,28000297,1103,135,✌️✌️✌️
135,#8GJY9G8UQ,Lollo ヤー🥱.,0xffff9727,28000237,1103,136,Celestyn
136,#GJ9PLGPL,ReSn|Snake🐍,0xff4ddba2,28000101,1103,137,Lose?
137,#JR8JG82C,chewiee🀄,0xff1ba5f5,28000018,1103,138,octos
138,#2GRJ0Q9UC,DEW│Luismen🤍,0xff1ba5f5,28000125,1103,139,めろんぱん食堂
139,#LLQ8GY8,𝐓𝐡𝐨𝐧𝐲会,0xfff9c908,28000334,1103,140,BC*|Family*
140,#LQJC9QL2,HJK┃アチャ,0xffffffff,28000000,1102,141,豚骨ラーメンファンキー
141,#RRVVPG2Y,Brosta卡拉,0xff1ba5f5,28000206,1102,142,vMoove
142,#2JGVVPY,Nobody 🕊,0xffff8afb,28000006,1102,143,NA Friends
143,#PQJVG9LG2,REX Kai💫🥀,0xff1ba5f5,28000110,1102,144,REX💫
