,tag,name,nameColor,icon,trophies,rank,club
0,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1471,1,Eclipse 🌖
1,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1402,2,Fenernazçe 💙💛
2,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1401,3,Eclipse 🌖
3,#P2Y20V9VR,фанат blamix`a❤,0xffff8afb,28000028,1399,4,пирожки мирошки
4,#P2U2GRQLG,野なKira 🎈,0xfff05637,28000138,1302,5,Showdown💔Kings
5,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1301,6,<c0>ＬＯＮＥＬＹ★</c>
6,#LULRJJ2,❡ℍ𝕒𝕠ℚ𝕚𝕒𝕟☾,0xff1ba5f5,28000348,1299,7,<c7>T0</c>
7,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1299,8,Follow?
8,#P0Y22LUL2,DDS☔DLP☔,0xffffffff,28000321,1270,9,Wilf Squash
9,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1258,10,help ranks
10,#9P8VY09RL,Kɪɴᴏᴍᴀɴ🧸,0xff1ba5f5,28000261,1254,11,Showdown💔Kings
11,#90Q09Q8RR,『ツ ☂︎Maxibs🐣,0xfff9c908,28000199,1254,12,🧀MUSSARELOS 2✨
12,#9Q28YUQP9,Yoxxx ❤️🔥,0xffcb5aff,28000003,1254,13,
13,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,1254,14,
14,#GCVPVRQY,MyS|Goman,0xff4ddba2,28000137,1253,15,Tribe Turkey
15,#2ULG8UCL2,ghoul milkaaa💘,0xffffffff,28000137,1253,16,Lost Hell
16,#PYPQUG80,Zava💞Sunfote,0xffff9727,28000195,1253,17,Showdown💔Kings
17,#8UGJ82UL2,AoC|Alex🌷,0xff4ddba2,28000310,1252,18,octos
18,#J8UR8002,SKC | Prozy,0xffa8e132,28000029,1252,19,Emi's bar 🍻
19,#CPYUR8QR,KD|Buff♡,0xfff9c908,28000132,1252,20,Quant ESports🐾
20,#VLR9PP0Q,XZak⛄️✨,0xffcb5aff,28000200,1252,21,B^C🌳
21,#JV2L02VV,SíJaauaq,0xffff8afb,28000303,1252,22,
22,#Y22RU8YQ2,Seis,0xffcb5aff,28000159,1252,23,Brawl King's
