,tag,name,nameColor,icon,trophies,rank,club
0,#P8GGRVCL,MiroshkaClass ❤,0xfff05637,28000068,1459,1,Brawl Birds🐤⚔️
1,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1402,2,Eclipse 🌖
2,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1401,3,Eclipse 🌖
3,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1400,4,Fenernazçe 💙💛
4,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1400,5,Follow?
5,#20L88L2J,FUT | LeNain,0xffff8afb,28000321,1399,6,A Few Good Men
6,#PQJCVQ8,TRB | Cori,0xffcb5aff,28000213,1349,7,Cori’s Crew
7,#VYGVV08Q,🍅domates,0xffffffff,28000261,1301,8,
8,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1300,9,<c0>ＬＯＮＥＬＹ★</c>
9,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1299,10,help ranks
10,#8U0CQY0LY,ʏʙ ッ,0xffff9727,28000212,1261,11,WOLFMX
11,#2J2P9YGLC,relts YT,0xff1ba5f5,28000056,1254,12,PIKACHU⚡
12,#2C9PLLUG8,Efecan|Apple♎🖤,0xffff8afb,28000321,1254,13,<c0>ＬＯＮＥＬＹ★</c>
13,#GLUPGRVUP,Kotuk🐱,0xffff8afb,28000299,1254,14,Masterpiece❤‍🩹
14,#2R9JUJ8JC,MYS|Spin🤍,0xffffce89,28000308,1254,15,Iᴷⁱˡˡᵧₒᵤツ
15,#9PGYVLY9,M.P.Gamer,0xffff8afb,28000342,1253,16,Amore💘EU
16,#PPVQ9YPV,愛~ConradZ⛯,0xff4ddba2,28000294,1253,17,Spike lovers 💚
17,#802VG829,LuRkz🩵Sq,0xffff8afb,28000014,1252,18,Demise 🥀
18,#RRJ8Y00,Fraax🐝,0xffcb5aff,28000347,1252,19,Wasted🥱
19,#P99QGPLU2,Davex,0xffffce89,28000129,1252,20,Brawl King's
20,#8PJRRG2C,SK|GuilleVGX,0xffa8e132,28000099,1252,21,CONEXIÓN
21,#PR0JGVR0Y,RZM|LEGEND리즈갓,0xff4ddba2,28000291,1252,22,Dizzy💫😵‍💫
22,#PYPQUG80,Zava💞Sunfote,0xffff9727,28000195,1252,23,Showdown💔Kings
23,#Y0GLYCYVY,Maho❤️🔥,0xff1ba5f5,28000129,1252,24,<c0>ＬＯＮＥＬＹ★</c>
24,#QG990QQJ,MyS|Donatik,0xfff05637,28000322,1252,25,LA Global
25,#RUGUJPR8,☠ĆØΜβΔŦ€ŇŦ€☠,0xff4ddba2,28000253,1251,26,★the Players★
26,#9G0CJPJPY,Taha♛,0xffcb5aff,28000170,1251,27,GOOD BYE TAHA
27,#89JJV992Y,ZL|caldera,0xfff9775d,28000040,1251,28,めろんぱん食堂
28,#20CJVQQYU,[₮₱] ₱ɆⱠ₳Ɖ₳Ø,0xffcb5aff,28000291,1251,29,★the Players★
29,#289QGVYRQ,TyM|Ârda🦁,0xffff9727,28000014,1251,30,TyM`eSports
30,#PYUJGV290,🪃在profikk🏔️,0xffcb5aff,28000207,1251,31,Ladder Warriors
31,#C2CULQP0,❤️‍🔥Mazoex♛,0xff1ba5f5,28000314,1251,32,VV eSport
32,#8CUGG9CG2,GreamReaper,0xffffffff,28000150,1251,33,Anteiku☕
33,#82GC0CU8,XP|beko🦊,0xffff9727,28000223,1251,34,
34,#8JLRVYRU,- NOZÉ -,0xffa8e132,28000194,1251,35,★the Players★
35,#YGQYGCR,Portox😡,0xff1ba5f5,28000191,1251,36,Blue Label
36,#2LJ9QCCL,tedd💞💞,0xffffffff,28000112,1251,37,
37,#PC9LPPYV,Nico❤️Heys,0xff1ba5f5,28000196,1251,38,No Mercy
38,#8R99PJ890,xSkylasz•,0xffff9727,28000321,1251,39,Vitality
39,#2Y2Y99GQR,VizeZ,0xffffffff,28000230,1251,40,Ex0tic-E-Sport
40,#PCQP2LY0V,€nub¥guga₩,0xffffffff,28000000,1251,41,PusH ReVeRsO 🥵
41,#8JV08U8GR,NightMare❤️‍🔥,0xffcb5aff,28000280,1250,42,NHY E-SporTS
42,#QUYCVC2,STMN | sans,0xffa8e132,28000136,1250,43,STMN Esports
43,#LUGQ9UPC,guesti,0xfff9775d,28000018,1250,44,<c5>Just Us</c>
44,#CGQCYJGY,TTV | SnakeThug,0xfff9c908,28000341,1250,45,Deadly Vipers🐍
45,#LP9Q8GVLY,·̩͙꒰ঌ うぃに ໒꒱·̩͙,0xff1ba5f5,28000175,1250,46,ワンダーランド
46,#JV2L02VV,SíJaauaq,0xffff8afb,28000303,1250,47,
47,#9L0UQRPJJ,İRONMAN,0xffcb5aff,28000314,1250,48,₮Ɽ₩`eSports
48,#82LRGLQ02,あ| 𝓕𝓪𝓱𝓪𝓓🥀,0xff1ba5f5,28000283,1250,49,OG Mute
49,#2CRRRRYJR,моё,0xfff9c908,28000213,1250,50,✌️✌️✌️
50,#22LQGCYUP,Pumm,0xffffffff,28000118,1249,51,Quinx Academy
51,#R9G9YJYJ,園Ecsed🍃,0xffffffff,28000323,1249,52,DulcedeLeche
52,#9VV90ULQU,Gatinho,0xffff9727,28000184,1249,53,Kings United
53,#202RGUPUG,☆FrankensteIn☆❤,0xffcb5aff,28000170,1249,54,Quant ESports🐾
54,#809ULJU2,KLIMtm,0xffffffff,28000151,1249,55,take a break.
55,#VPGGUU9U,|🌬ŦƤ⋆SsnıɔıuıΛ,0xff1ba5f5,28000243,1249,56,★the Players★
56,#VCPJQQ,Jealous🤍Y,0xffffce89,28000196,1249,57,люблю даню<3💓
57,#LUJYJUR0L,〇〇マン2号,0xffa2e3fe,28000241,1249,58,Excellent🏆
58,#G9C9VJ2GL,Vá♡neèk🪐,0xffff8afb,28000303,1249,59,<c0>PWNZ</c>
