,tag,name,nameColor,icon,trophies,rank,club
0,#2UU2V2L0G,æncore💘,0xff1ba5f5,28000000,1459,1,Revaible 💗
1,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1341,2,Eclipse 🌖
2,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1301,3,<c0>ＬＯＮＥＬＹ★</c>
3,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1300,4,Fenernazçe 💙💛
4,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1300,5,Eclipse 🌖
5,#VYGVV08Q,🍅domates,0xffffffff,28000261,1300,6,
6,#Y9R9JPVPU,Xelium A🩸,0xffffffff,28000029,1254,7,
7,#GJV90V22Q,киска эль примо,0xffffffff,28000229,1252,8,
8,#GRU992LGV,³Xmæster's❦,0xffff9727,28000020,1252,9,
9,#29UGLJV2G,Lёvi,0xfff9c908,28000244,1252,10,✌️✌️✌️
10,#8PJRRG2C,SK|GuilleVGX,0xffa8e132,28000099,1252,11,CONEXIÓN
11,#GUQJ9QLV2,ダーリンhold.🤍,0xffffffff,28000031,1252,12,ニースwonderful 🎀
12,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,1252,13,
13,#9U0G8JPU2,mir,0xfff9775d,28000232,1252,14,Talents
14,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1251,15,help ranks
15,#P99QGPLU2,Davex,0xffffce89,28000129,1251,16,Brawl King's
16,#2C9PLLUG8,Efecan|Apple♎🖤,0xffff8afb,28000321,1251,17,<c0>ＬＯＮＥＬＹ★</c>
17,#8R99PJ890,xSkylasz•,0xffff9727,28000321,1251,18,Vitality
18,#PYPQUG80,Zava💞Sunfote,0xffff9727,28000195,1251,19,Showdown💔Kings
19,#9LY0YG9QP,を|Sed🍀,0xffa8e132,28000197,1250,20,DragonArmy
20,#RVLQ0VUR,风暴|kerem🎃,0xffff9727,28000257,1250,21,ᴅᴀɪʟʏ
21,#9L09YYQ8L,⛩️Panda G.m⛩️,0xffcb5aff,28000330,1250,22,HolyGuns
22,#QUYCVC2,STMN | sans,0xffa8e132,28000136,1250,23,STMN Esports
23,#20VVC8LU2,Cryzz❦︎,0xffffffff,28000108,1250,24,
24,#2CUYQ8RQC,🥷🏿,0xffffffff,28000272,1250,25,
25,#2J2PJ0UV,ikarosita,0xffa8e132,28000136,1249,26,Humble Grinders
26,#URVJVRRQ,愛野美奈子💛✨,0xffff8afb,28000018,1249,27,してたんぽ
27,#YRURQRPUR,Skibidi Chipz,0xff1ba5f5,28000018,1249,28,Talents
