,tag,name,nameColor,icon,trophies,rank,club
0,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1502,1,Eclipse 🌖
1,#20L88L2J,FUT | LeNain,0xffff8afb,28000321,1502,2,A Few Good Men
2,#99PGGLL8J,🎋TT|Fresh⛓️,0xfff05637,28000018,1500,3,TT-freshmanchik
3,#89UPQJJVV,+BraboX 🎩,0xffa8e132,28000236,1499,4,Ghost Team👻☔
4,#GU898VQ,Levi,0xffcb5aff,28000014,1499,5,Brawl King's
5,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1499,6,Eclipse 🌖
6,#PPG8PC8C0,Crazy|КоhаКч🌈,0xffffffff,28000196,1453,7,Crazy op🫠
7,#8QJ0YUV8Q,千 | Kai,0xffa8e132,28000018,1449,8,Beyond Swift
8,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1401,9,Fenernazçe 💙💛
9,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1361,10,<c0>ＬＯＮＥＬＹ★</c>
10,#LGR9V0UL,はるめろでぃ💍,0xffa2e3fe,28000196,1349,11,ぽこ様を守り隊
11,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,1346,12,
12,#2C9PLLUG8,Efecan|Apple♎🖤,0xffff8afb,28000321,1316,13,<c0>ＬＯＮＥＬＹ★</c>
13,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1306,14,Follow?
14,#GCQVYGJU,Netlook#1,0xffff8afb,28000349,1305,15,Las Diablitas🧘
15,#VYGVV08Q,🍅domates,0xffffffff,28000261,1303,16,
16,#GL8G898VC,~ahmaa💘,0xff1ba5f5,28000000,1302,17,I love you so🤍
17,#GRLUYG0R,NiceShøt 🌓,0xffcb5aff,28000347,1302,18,Ex0tic-E-Sport
18,#QRUQQLV0,Code: Nukleo,0xffa8e132,28000186,1301,19,LA Instinct
19,#LPGYQ9CCV,Йeo:)🩵,0xff1ba5f5,28000134,1300,20,レインボーの風船
20,#GG9GC002,DE |MASTER,0xff1ba5f5,28000225,1300,21,Türk Milleti
21,#L8UPY2RCL,rr,0xfff9775d,28000050,1299,22,Z드래곤볼Z
22,#82RGU8PR,TTM | Maury,0xff4ddba2,28000140,1299,23,A Few Good Men
23,#PUJ8JCU2P,ѕυηѕє∂なさた🥷🤍,0xffff9727,28000337,1299,24,NA|Legends❤️‍🩹
24,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1299,25,help ranks
25,#8LQ9JR82,Code: Eqwaak,0xfff9c908,28000004,1299,26,A Few Good Men
