,tag,name,nameColor,icon,trophies,rank,club
0,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1401,1,Eclipse 🌖
1,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1399,2,Fenernazçe 💙💛
2,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1356,3,Eclipse 🌖
3,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1308,4,Follow?
4,#PP8GYPRGP,WhyTrttt?,0xffffffff,28000212,1253,5,
5,#9GJPJUQGJ,Xorox❤️‍🩹Byrox,0xffcb5aff,28000273,1253,6,Tribe Turkey
6,#Y02L2GGC,Weeeeisit🍒,0xffff8afb,28000073,1252,7,Showdown💔Kings
7,#PLUGLRG28,4SV_MaSTeP,0xffffffff,28000233,1252,8,Quant ESports🐾
8,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,1252,9,
9,#VYGVV08Q,🍅domates,0xffffffff,28000261,1252,10,
10,#29UGLJV2G,Lёvi,0xfff9c908,28000244,1251,11,✌️✌️✌️
11,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1251,12,<c0>ＬＯＮＥＬＹ★</c>
12,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1250,13,help ranks
13,#GCVPVRQY,MyS|Goman,0xff4ddba2,28000137,1250,14,Tribe Turkey
14,#P9YPY9U8J,MeTa | duo♡van,0xff4ddba2,28000262,1250,15,TyM`eSports
15,#2CUYQ8RQC,🥷🏿,0xffffffff,28000272,1250,16,
16,#202RGUPUG,☆FrankensteIn☆❤,0xffcb5aff,28000170,1249,17,Quant ESports🐾
17,#20YJ9PLLV,ま|Shadows • 💫,0xffffffff,28000041,1249,18,what happened
18,#2UGV0ULQC,MONSTER,0xfff9c908,28000187,1249,19,Жосткие профи
19,#Y0GLYCYVY,Maho❤️🔥,0xff1ba5f5,28000129,1249,20,<c0>ＬＯＮＥＬＹ★</c>
20,#GLYU9P8UJ,болдстеп🤍,0xffff9727,28000254,1249,21,Paranoid Tales
21,#8QJ0YUV8Q,千 | Kai,0xffa8e132,28000018,1243,22,Beyond Swift
22,#2082JRYUV,GooD•G,0xffcb5aff,28000033,1237,23,<c5>Just Us</c>
23,#JPGRR9UV,Bowserr🥷被,0xff1ba5f5,28000206,1212,24,Brawl King's
24,#8PJRRG2C,SK|GuilleVGX,0xffa8e132,28000099,1209,25,CONEXIÓN
25,#CPPV2PQG,MeliodasBot🐐,0xffa8e132,28000006,1203,26,No Mercy
26,#GVQUYG90,Shattered ⟡,0xffffffff,28000000,1203,27,7 Dwarves
27,#PPU998208,TT:krasnikov753,0xfff9c908,28000228,1203,28,🥀 ПИПЕСЯНЫ 🥀
28,#QRUQQLV0,Code: Nukleo,0xffa8e132,28000186,1203,29,LA Instinct
29,#QR2GC8V,BKB|❄IC£CRØW❄,0xfff9c908,28000348,1203,30,Tribe Turkey
30,#YRURQRPUR,Skibidi Chipz,0xff1ba5f5,28000018,1201,31,Talents
31,#8GUPLYY,FG | Jene,0xffff8afb,28000135,1201,32,clover
32,#2PLVJ0GLV,Sniper🐙,0xffff9727,28000244,1200,33,Brawl Kings
33,#CGQCYJGY,TTV | SnakeThug,0xfff9c908,28000341,1200,34,Deadly Vipers🐍
34,#8LQ9JR82,Code: Eqwaak,0xfff9c908,28000004,1200,35,A Few Good Men
35,#8R99PJ890,xSkylasz•,0xffff9727,28000321,1200,36,Vitality
36,#PYPQUG80,Zava💞Sunfote,0xffff9727,28000195,1200,37,Showdown💔Kings
37,#28CVQGURJ,kxrtofvl,0xffffffff,28000061,1200,38,UNDERDOG 🇵🇱
38,#QJ0PRJCU,retired getsent,0xff4ddba2,28000010,1199,39,Beyond Swift
39,#JGCCGY80,prostislavv,0xffff9727,28000042,1199,40,BOBR gaming
40,#LQVY9UPY,Neetn玄,0xff4ddba2,28000259,1199,41,RealDutch
41,#28C8RQQJ2,を|Wolf🍃,0xffffffff,28000256,1199,42,
42,#8LC808G,Tuyu,0xff1ba5f5,28000349,1199,43,@Tuyu_Official
43,#GYYYP8P9U,бист|Kristina ♡,0xffffffff,28000210,1199,44,
44,#99YL0PV9V,𝐍𝐓|𝐋𝐮𝐢𝐬𝐮,0xffffce89,28000349,1199,45,✌️✌️✌️
45,#P99QGPLU2,Davex,0xffffce89,28000129,1175,46,Brawl King's
46,#PGG82Q0PQ,🌀WH|potefura👑,0xff4ddba2,28000114,1172,47,av
47,#YGQYGCR,Portox😡,0xff1ba5f5,28000191,1167,48,Blue Label
48,#88RGGCVQJ,My heart in AUS,0xff4ddba2,28000092,1161,49,ハナクソタケシ
49,#9VU9R2LY,Terry!,0xffffffff,28000081,1157,50,✌️✌️✌️
50,#8GVRY2Y0C,Dep100r,0xff1ba5f5,28000347,1154,51,Revaible 💗
51,#PGY9ULY,PollitoMan,0xffffffff,28000348,1153,52,7 Dwarves
52,#9J2JLUR8G,Aspect 🃏,0xffffffff,28000304,1153,53,7 Dwarves
53,#YQ9JVYV,ToniMxf.💘,0xffcb5aff,28000272,1152,54,ChillOG
54,#99JQ9PQP,Artem4ic🤍W,0xff4ddba2,28000018,1150,55,
55,#C8PLP8VQ,Zaikuu ☘️,0xff4ddba2,28000000,1149,56,EternityCry ✨
56,#82GPP9LQ,BC*| Tobi🍉,0xff1ba5f5,28000303,1149,57,BC*|Family*
57,#8JV08U8GR,NightMare❤️‍🔥,0xffcb5aff,28000280,1149,58,NHY E-SporTS
58,#PGC2J208Q,кадеїн🎱,0xffff8afb,28000198,1149,59,гордый муслянд
59,#2Y92C2Q8V,NOMAD|かーず。❄❄,0xfff9c908,28000119,1149,60,
60,#2LL8JYYVJ,алхимик38,0xffff9727,28000160,1149,61,анскиллы
61,#29L028GQL,Djahsta,0xffff9727,28000306,1149,62,BC*|Family*
62,#8J29RU8G2,るじゃお,0xffffffff,28000000,1149,63,Venus
63,#JGGCYJ2J,🩵🪼Jellyfish🫧,0xff1ba5f5,28000275,1149,64,𝓀𝒾𝓁𝓁ℯ𝓇
64,#LRYCL0QV,Baby Kyric,0xfff9c908,28000303,1149,65,7 Dwarves
65,#PLQ0QRVQL,FMG | Flashᴷⁱⁿᴳ,0xffffffff,28000139,1149,66,ZETA|DIVISION'S
66,#JGUYRYQ,Nathan🩵,0xffff8afb,28000041,1149,67,NA Friends
67,#YPP02G9L,Mxrf 🐝,0xff1ba5f5,28000291,1149,68,Beyond Washed
68,#2UYJV98J2,all 1500🏆,0xffffffff,28000000,1148,69,
69,#VGLY2G88,はRyuji🍢,0xffffce89,28000247,1144,70,
70,#89JJV992Y,ZL|caldera,0xfff9775d,28000040,1141,71,めろんぱん食堂
71,#8URCLRY8,球隊|RoUND🌠,0xfff9c908,28000061,1135,72,My social media
72,#9PY0GPL9,L↯MP_인규☃️,0xff1ba5f5,28000326,1132,73,Illusion Gaming
73,#QUYCVC2,STMN | sans,0xffa8e132,28000136,1131,74,STMN Esports
74,#PQ09LC889,sinaayy🤍kアナー,0xffff8afb,28000196,1126,75,luv sinayy.🤍🪽
75,#20P2GP99,Ducky🐝,0xffa8e132,28000136,1124,76,NA Friends
76,#90RQYP98U,♡•bestie•♡🧸,0xffa2e3fe,28000221,1120,77,7 Dwarves
77,#9GJLVLYYU,Sad💔HOBi,0xfff05637,28000332,1119,78,destroyers🦇
78,#8VRPJPLU2,Moon🤍アーセン,0xffffffff,28000000,1118,79,devxssted19うぇっ
79,#Y9LYC98PG,LMD🍋Aimer,0xffffffff,28000265,1113,80,たつきすねげ
80,#V2Q080UU,Valembeau💜,0xffcb5aff,28000035,1112,81,A Few Clown Men
81,#PC9LPPYV,Nico❤️Heys,0xff1ba5f5,28000196,1111,82,No Mercy
82,#2CRRRRYJR,моё,0xfff9c908,28000213,1110,83,✌️✌️✌️
83,#YLV8CL0R,Astaaaa❤️‍🔥😈,0xff4ddba2,28000347,1106,84,Tribe Turkey
84,#2L80JP00L,Hillen,0xffff8afb,28000335,1106,85,Ex0tic-E-Sport
85,#CPYUR8QR,KD|Buff♡,0xfff9c908,28000132,1105,86,Quant ESports🐾
86,#9UG08PQUY,xSkywalker🦋ま,0xff1ba5f5,28000135,1105,87,Quant ESports🐾
87,#JV2L02VV,SíJaauaq,0xffff8afb,28000303,1105,88,
88,#9Y0CJJV8P,DimbaZz💞Tyeli,0xffff9727,28000123,1105,89,Home Of Esports
89,#989L0928Q,L1S|Sufiyan❦,0xff1ba5f5,28000033,1104,90,IMMORTAL SOULS
90,#CLCPQ2R,Agûstin ᴹᴰᴮ,0xffffffff,28000349,1104,91,Elite Saiyan🔱
91,#RRVVPG2Y,Brosta卡拉,0xff1ba5f5,28000206,1104,92,vMoove
92,#8YQV9UPRL,AvalSElguu🌫️,0xffffffff,28000331,1104,93,MEGATROLL
93,#2P022YC0U,bat9 ваня,0xffffffff,28000058,1104,94,Quant ESports🐾
94,#802VG829,LuRkz🩵Sq,0xffff8afb,28000014,1104,95,Demise 🥀
95,#J9V89VU0,Dαvi🎲,0xffcb5aff,28000335,1104,96,BC*|Family*
96,#GU898VQ,Levi,0xffcb5aff,28000014,1104,97,Brawl King's
97,#2VV02GQ2C,RNT | Prime,0xff1ba5f5,28000044,1104,98,Imperial
98,#2P2URUV8G,Foncho,0xffcb5aff,28000209,1104,99,Dragon Chileno
99,#8R08UP2G8,🐐Goated♑️,0xffff9727,28000261,1104,100,WOLFMX
100,#PQPR2GQGJ,MatCha✈️,0xffcb5aff,28000014,1104,101,HK瘋
101,#220PGLU02,家|𝑴𝒆𝒎𝒆𝒏ϟ,0xffa8e132,28000163,1104,102,You and me 💜
102,#280RJ92JC,ExP |BloocK,0xfff9c908,28000242,1104,103,CONEXIÓN
103,#9YUJP2QGP,FC | Reverse🌑,0xffff9727,28000341,1104,104,Fora da Curva®
104,#9LV0Q00YV,영원한감동,0xff4ddba2,28000082,1103,105,새싹
105,#8Y98Q8U,CR | Sitetampo,0xffff8afb,28000014,1103,106,A Few Good Men
106,#RUVRV8VG,Wriska❦windead,0xfff9775d,28000090,1103,107,Miracle
107,#22Q0J0P2P,LUCKRASS,0xffa8e132,28000210,1103,108,BC*|Family*
108,#R2R2JV9C,S4W|Aste❤️‍🔥,0xffff8afb,28000214,1103,109,Spain4Win
109,#YQLY9CYVY,nath,0xff1ba5f5,28000228,1103,110,vMoove
110,#9P2CUYJ8P,Scared,0xff4ddba2,28000167,1103,111,
111,#2P088J29C,Matt,0xffff8afb,28000333,1103,112,<c5>Just Us</c>
112,#CJP08CU0,Uriel,0xffffffff,28000135,1103,113,Brawl King's
113,#QRU0L0U,🐬ꜱᴏᴋʀᴀᴍ 🜲,0xff1ba5f5,28000201,1103,114,CONEXIÓN
114,#QJULVGU,QLS | Edinho,0xff1ba5f5,28000194,1103,115,Ghost Team👻☔
115,#29CVP0V9U,Almighty Push💐,0xffcb5aff,28000335,1103,116,Beyond Champs
116,#UVVULJUQ,AG |Luis Miguel,0xfff05637,28000290,1103,117,LitheX🐢
117,#QR90UY9L,Lipe❤️Pandora,0xffff9727,28000203,1103,118,Revenge Gaming
118,#2RJ0UJCU0,FMG|LuisOMGᴷⁱⁿᴳ,0xfff9c908,28000139,1103,119,ZETA|DIVISION'S
119,#PR9U2JL,Juan Carlos,0xffffffff,28000119,1102,120,Humble Grinders
120,#9VP2R0P9,ToxicZan,0xff1ba5f5,28000352,1102,121,Real Ones
121,#80G89U99R,Chibro,0xffcb5aff,28000018,1102,122,ETERNAL FLAME
122,#2RQGVLRVG,₹GuilleX,0xffff8afb,28000036,1102,123,No Mercy
123,#2GPV0LRQC,TTeJIbMeIIIka,0xffff8afb,28000347,1102,124,Quant ESports🐾
124,#G99CYGL,𝒁𝒂𝒊𝒌𝒐❄️,0xff4ddba2,28000194,1102,125,ChillOG
125,#2JGVVPY,Nobody 🕊,0xffff8afb,28000006,1102,126,NA Friends
126,#9LUVCLPCL,ソローcrístxxl🩸,0xffffffff,28000150,1102,127,
127,#90V9VYJ8C,しょうけい,0xfff05637,28000242,1102,128,なかよし部
128,#PUYRY99J,SEA|kumachi♪god,0xfff05637,28000294,1102,129,gloria🎈
129,#2PJJQV92,V3|Flamen🤍,0xffffce89,28000230,1102,130,CONEXIÓN
130,#GJ9PLGPL,ReSn|Snake🐍,0xff4ddba2,28000101,1102,131,Lose?
131,#YVG2LJG,SN|scattered,0xff1ba5f5,28000285,1102,132,Talents
132,#LUP0QRC8,L1S|D4NTE❦,0xffff9727,28000129,1102,133,Mini Me’s
133,#PQJLQJJGC,Leon,0xffcb5aff,28000196,1101,134,BC*|Family*
134,#2J2PJ0UV,ikarosita,0xffa8e132,28000136,1101,135,Humble Grinders
135,#PYGR8CPJ2,〆ϻɪs͢τɪӄ🩸,0xfff9c908,28000018,1101,136,Spain4Win
136,#209G0UUGY,Ylli🐬,0xffff8afb,28000321,1101,137,Tribe Gaming NA
137,#L8UPY2RCL,rr,0xfff9775d,28000050,1101,138,Z드래곤볼Z
138,#GRCYVRJG,Edgar🤍æ,0xffff9727,28000176,1101,139,7 Dwarves
139,#2GP8GJUQ2,TNT|Silver 🍂,0xff1ba5f5,28000129,1101,140,Arab Empire
140,#8LQQCCPRG,MyS|Efim👾,0xffa8e132,28000101,1101,141,Quant ESports🐾
141,#989GJRYLR,Indù🐝,0xffcb5aff,28000349,1101,142,Wasted🥱
142,#PQ28JP0P,亲Jσтα,0xffff9727,28000175,1100,143,7 Dwarves
