,tag,name,nameColor,icon,trophies,rank,club
0,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1504,1,Fenernazçe 💙💛
1,#20L88L2J,FUT | LeNain,0xffff8afb,28000321,1499,2,A Few Good Men
2,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1499,3,Eclipse 🌖
3,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1401,4,Eclipse 🌖
4,#2UYJV98J2,all 1500🏆,0xffffffff,28000000,1349,5,
5,#89UPQJJVV,+BraboX 🎩,0xffa8e132,28000236,1299,6,Ghost Team👻☔
6,#PLUGLRG28,4SV_MaSTeP,0xffffffff,28000233,1283,7,Quant ESports🐾
7,#8UGPGPP89,FMG | Higasᴷⁱⁿᴳ,0xfff9c908,28000139,1258,8,ZETA|DIVISION'S
8,#JQ8L0YYL,RNG | Cauebr,0xfff9c908,28000314,1258,9,Ghost Team👻☔
9,#2GPV0LRQC,TTeJIbMeIIIka,0xffff8afb,28000347,1254,10,Quant ESports🐾
10,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1254,11,Follow?
11,#P0L99Y092,🎆NINJAGAMER🎆,0xffa2e3fe,28000263,1253,12,OverPowers
12,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1252,13,help ranks
13,#802VG829,LuRkz🩵Sq,0xffff8afb,28000014,1252,14,Demise 🥀
14,#P8RQ90UY9,FMG | Vitorᴷⁱⁿᴳ,0xffffce89,28000349,1252,15,Ex0tic-E-Sport
15,#82PQUPGU0,Ryohei🐬,0xff1ba5f5,28000240,1252,16,数え役満🀄️
16,#29UGLJV2G,Lёvi,0xfff9c908,28000244,1252,17,✌️✌️✌️
17,#8R99PJ890,xSkylasz•,0xffff9727,28000321,1252,18,Vitality
18,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,1252,19,
19,#PYPQUG80,Zava💞Sunfote,0xffff9727,28000195,1252,20,Showdown💔Kings
20,#2VQ2L8P0,crawfy,0xffffce89,28000336,1251,21,Kiwithatgame
21,#P9YPY9U8J,MeTa | duo♡van,0xff4ddba2,28000262,1251,22,TyM`eSports
22,#80PC2QJCR,❥Hazzēиs✧,0xff1ba5f5,28000348,1251,23,7 Dwarves
23,#2YYL89J8G,psychc🦈,0xffffffff,28000003,1251,24,🌴|<c3>HM</c>
24,#QRUQQLV0,Code: Nukleo,0xffa8e132,28000186,1251,25,LA Instinct
25,#JV2L02VV,SíJaauaq,0xffff8afb,28000303,1251,26,
26,#QR2GC8V,BKB|❄IC£CRØW❄,0xfff9c908,28000348,1251,27,Tribe Turkey
27,#VYGVV08Q,🍅domates,0xffffffff,28000261,1251,28,
28,#Y0VPJ89Q,Ｓㄚ 么 乙 ツ,0xffffce89,28000237,1250,29,Quant ESports🐾
29,#PP8GYPRGP,WhyTrttt?,0xffffffff,28000212,1250,30,
30,#8Y082R2GG,추카|RapZ ✶,0xffff9727,28000211,1250,31,Beyond Swift
31,#20CJVQQYU,[₮₱] ₱ɆⱠ₳Ɖ₳Ø,0xffcb5aff,28000291,1250,32,★the Players★
32,#8LLJ92VQ,あ| 𝓐𝓱𝓶𝓮𝓓🥀,0xff1ba5f5,28000349,1250,33,OG Mute
33,#QUYCVC2,STMN | sans,0xffa8e132,28000136,1250,34,STMN Esports
34,#RRQQJPG2,Rabbithop,0xff1ba5f5,28000349,1250,35,we love rabbits
35,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1250,36,<c0>ＬＯＮＥＬＹ★</c>
36,#82LRGLQ02,あ| 𝓕𝓪𝓱𝓪𝓓🥀,0xff1ba5f5,28000283,1250,37,OG Mute
37,#2RJ0UJCU0,FMG|LuisOMGᴷⁱⁿᴳ,0xfff9c908,28000139,1250,38,ZETA|DIVISION'S
38,#JPGRR9UV,Bowserr🥷被,0xff1ba5f5,28000206,1249,39,Brawl King's
39,#8R2V0P0,Lukie,0xffffffff,28000348,1249,40,STMN Esports
40,#2J2PJ0UV,ikarosita,0xffa8e132,28000136,1249,41,Humble Grinders
41,#8CVCJVVV9,Եթ Շαɱเℓα ☆*❥⃝*,0xffff9727,28000302,1249,42,★the Players★
42,#98VG9809Q,𝐏ʀαᴅ❥𝐍ᴅ,0xffffffff,28000241,1249,43,Mini Me’s
43,#8JV08U8GR,NightMare❤️‍🔥,0xffcb5aff,28000280,1249,44,NHY E-SporTS
44,#LVVCQJR8Y,MyS l boosty,0xffff8afb,28000301,1249,45,
