,tag,name,nameColor,icon,trophies,rank,club
0,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1499,1,Eclipse 🌖
1,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1399,2,Fenernazçe 💙💛
2,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1332,3,Eclipse 🌖
3,#VYGVV08Q,🍅domates,0xffffffff,28000261,1311,4,
4,#PRQGVULVQ,iAlmaaaazik🥺,0xffffffff,28000135,1303,5,KingdomRush
5,#8PJRRG2C,SK|GuilleVGX,0xffa8e132,28000099,1302,6,CONEXIÓN
6,#2098RP8RJ,crayola,0xffff8afb,28000224,1300,7,amphibianman
7,#8QJ0YUV8Q,千 | Kai,0xffa8e132,28000018,1299,8,Beyond Swift
8,#G82ULC9UY,It’s Mistik?🖤,0xffffffff,28000347,1263,9,Lose?
9,#8R002P0JP,Kitt,0xff1ba5f5,28000201,1259,10,Real Ones
10,#CJP08CU0,Uriel,0xffffffff,28000135,1258,11,Brawl King's
11,#QJULVGU,QLS | Edinho,0xff1ba5f5,28000194,1255,12,Ghost Team👻☔
12,#P0GCYJY20,ＮＴ| ᴹᵃʲᵒʳ❃,0xffcb5aff,28000198,1254,13,HolyPower
13,#Y29V28JYJ,ナイフを持った天使,0xfff9c908,28000014,1253,14,Brawl King's
14,#LRLQPU09,Quantic 🌵,0xffa8e132,28000284,1253,15,LA Global
15,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1253,16,<c0>ＬＯＮＥＬＹ★</c>
16,#2UJQQ0YL,TOC,0xfff9c908,28000212,1252,17,anyway🤷🏻‍♂️
17,#2G0RRLU2R,Shu²³,0xffffce89,28000244,1252,18,Magicians
18,#P99QGPLU2,Davex,0xffffce89,28000129,1252,19,Brawl King's
19,#28UUY2PRQ,MSP | Rémyoupi,0xfff9c908,28000056,1252,20,MSP TEAM
20,#29UGLJV2G,Lёvi,0xfff9c908,28000244,1252,21,✌️✌️✌️
21,#8Q0RCVRVJ,샤논,0xffffffff,28000210,1252,22,Magicians
22,#GCQVYGJU,Netlook#1,0xffff8afb,28000349,1252,23,Las Diablitas🧘
23,#20G029UJU,食べ様まで❣️,0xff1ba5f5,28000018,1252,24,Lose?
24,#QR2GC8V,BKB|❄IC£CRØW❄,0xfff9c908,28000348,1252,25,Tribe Turkey
