,tag,name,nameColor,icon,trophies,rank,club
0,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1501,1,Eclipse 🌖
1,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1501,2,Eclipse 🌖
2,#9QVYUJQ,JoKi,0xffffffff,28000010,1405,3,
3,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1402,4,Fenernazçe 💙💛
4,#P2V2GGLJY,NM | Quinx™♊,0xffff8afb,28000111,1402,5,Quinx Academy
5,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1399,6,Follow?
6,#9L98GJQGC,SakuraBlossom🌺,0xffcb5aff,28000118,1349,7,
7,#9UJU9P8RQ,Rub4ik🎩,0xfff05637,28000086,1349,8,
8,#22LQGCYUP,Pumm,0xffffffff,28000118,1325,9,Quinx Academy
9,#JJ09PC0P,AoC|vegeta🌷,0xffa8e132,28000115,1302,10,octos
10,#2LJ9QCCL,tedd💞💞,0xffffffff,28000112,1299,11,
11,#9YCV8GPR,Sad💔Smool,0xffffffff,28000010,1272,12,night-city|🌌
12,#YJCYQV82,He can’t 🥶,0xffffffff,28000230,1262,13,TrustGod
13,#YQLY9CYVY,nath,0xff1ba5f5,28000228,1260,14,vMoove
14,#PPJV9G2QJ,ss_ejaf,0xffa8e132,28000301,1259,15,X6
15,#20RQ80PJ0,Aͥleͣxͫ シ,0xffff8afb,28000348,1256,16,LA Global
16,#8G0YUG08L,iKêst🐳,0xff1ba5f5,28000300,1255,17,
17,#PRUCG288Y,•☆Fynn冬,0xffff8afb,28000317,1254,18,BC*|Family*
18,#2GPV0LRQC,TTeJIbMeIIIka,0xffff8afb,28000347,1254,19,Quant ESports🐾
19,#8VJ8GJR2,Nova💔Winkiii,0xffa8e132,28000148,1254,20,Quant ESports🐾
20,#9GVGY29QC,Human核能,0xff1ba5f5,28000272,1254,21,Tribe Turkey
21,#Q9JGYQJP,Stompn,0xff1ba5f5,28000205,1254,22,The Tugnut
22,#9LUVCLPCL,ソローcrístxxl🩸,0xffffffff,28000150,1254,23,
23,#C2CULQP0,❤️‍🔥Mazoex♛,0xff1ba5f5,28000314,1253,24,VV eSport
24,#88RRUQ08P,ㄞМаттео🖤,0xffff9727,28000333,1253,25,We❤️‍🩹Showdown
25,#9QG89UV0Y,『𝕽𝖆𝖚𝖑❦︎』,0xffcb5aff,28000014,1253,26,TT: niiil_06
26,#QRUQQLV0,Code: Nukleo,0xffa8e132,28000186,1253,27,LA Instinct
27,#22C0GV9CR,NoCrow,0xff1ba5f5,28000207,1253,28,HeroWarriorsTR
28,#VYGVV08Q,🍅domates,0xffffffff,28000261,1253,29,
29,#QG990QQJ,MyS|Donatik,0xfff05637,28000322,1253,30,LA Global
30,#Q9YC0J0G9,Rusya🤍Bloodyハニ,0xfff9c908,28000004,1252,31,KingdomRush
31,#28UURPLGU,DL|ℬℯ𝓃𝒹𝓎🀄,0xffff8afb,28000349,1252,32,DrachenLegion
32,#89JUJUVYL,𝓓𝓸𝓻𝓪👻🐉,0xfff9c908,28000020,1252,33,❅︎Merryの家𓍄𓂃𓈒
33,#2GYY989GU,あ|Nouggetシ🦋,0xffa8e132,28000075,1252,34,VV eSport
34,#PJGC2GUG9,愛へ吸いますbesovv🦋,0xffffce89,28000118,1252,35,
35,#P8GP9V9G,XP|Ankara🖤,0xfff05637,28000118,1252,36,PUBLO
36,#U92CLQ0Q,麗ⁱᵗᵃᶜʰⁱ ᵍᵒᵈ🌀,0xfff9c908,28000130,1252,37,
37,#URYL2JU2,ᶜᵗ|♡︎20/04♡︎シ︎,0xffa8e132,28000179,1252,38,Nҽɯ Sƚαɠҽ🎖️
38,#8R99PJ890,xSkylasz•,0xffff9727,28000321,1252,39,Vitality
39,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1252,40,<c0>ＬＯＮＥＬＹ★</c>
40,#9GJPJUQGJ,Xorox❤️‍🩹Byrox,0xffcb5aff,28000273,1252,41,Tribe Turkey
41,#GJV90V22Q,киска эль примо,0xffffffff,28000229,1251,42,
42,#8JV08U8GR,NightMare❤️‍🔥,0xffcb5aff,28000280,1251,43,NHY E-SporTS
43,#PY9982U8P,➪Nil⁰² 🍓,0xfff9775d,28000200,1251,44,TT: niiil_06
44,#2RQGVLRVG,₹GuilleX,0xffff8afb,28000036,1251,45,No Mercy
45,#YRURQRPUR,Skibidi Chipz,0xff1ba5f5,28000018,1251,46,Talents
46,#RVLQ0VUR,风暴|kerem🎃,0xffff9727,28000257,1251,47,ᴅᴀɪʟʏ
47,#CY9CQY2V,Mm2552,0xfff9c908,28000170,1251,48,<c5>OG Mute</c>
