,tag,name,nameColor,icon,trophies,rank,club
0,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1500,1,Eclipse 🌖
1,#2YRC2V2U,✞blamix✞,0xffff8afb,28000023,1450,2,💥{SHOW|DOWN}💥
2,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1401,3,Fenernazçe 💙💛
3,#YP802RY8G,佥 Áℓєẋ ❤️‍🩹,0xffff8afb,28000336,1352,4,GTP Esports
4,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1300,5,Eclipse 🌖
5,#VYGVV08Q,🍅domates,0xffffffff,28000261,1300,6,
6,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1299,7,Follow?
7,#PUJ8JCU2P,ѕυηѕє∂なさた🥷🤍,0xffff9727,28000337,1263,8,NA|Legends❤️‍🩹
8,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1261,9,help ranks
9,#28YCUGPJC,Niki♡JoJo,0xffff8afb,28000044,1258,10,Showdown💔Kings
10,#8LQQCCPRG,MyS|Efim👾,0xffa8e132,28000101,1254,11,Quant ESports🐾
11,#9QC02VJV8,nyx1k?🤍ニックス,0xffffffff,28000137,1253,12,Lost Hell
12,#22LJJCJ2G,Ferhât🦁,0xffff8afb,28000150,1253,13,BS|KoalisyoN
13,#8G0P89RL9,Dragos🐙,0xffcb5aff,28000138,1253,14,Mizmiripsis🛐
14,#UCY90J0J,라무🩵Basil,0xff1ba5f5,28000151,1252,15,Memento Mori
15,#PPUPGRC98,Theo 最高の,0xffffffff,28000175,1252,16,Pitagyro
16,#82LRGLQ02,あ| 𝓕𝓪𝓱𝓪𝓓🥀,0xff1ba5f5,28000283,1252,17,OG Mute
17,#2LC9RU2UG,ƇЄƊƦƖƇ🍁,0xffff9727,28000124,1251,18,+12 yaş sew
18,#RVLQ0VUR,风暴|kerem🎃,0xffff9727,28000257,1251,19,ᴅᴀɪʟʏ
19,#C2CULQP0,❤️‍🔥Mazoex♛,0xff1ba5f5,28000314,1251,20,VV eSport
20,#2UJQQ0YL,TOC,0xfff9c908,28000212,1251,21,anyway🤷🏻‍♂️
21,#8PJRRG2C,SK|GuilleVGX,0xffa8e132,28000099,1251,22,CONEXIÓN
22,#8R99PJ890,xSkylasz•,0xffff9727,28000321,1251,23,Vitality
23,#8GV2CP2J8,☔ZORLU☔,0xffcb5aff,28000003,1251,24,<c0>ＬＯＮＥＬＹ★</c>
24,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,1251,25,
25,#PYPQUG80,Zava💞Sunfote,0xffff9727,28000195,1251,26,Showdown💔Kings
26,#Y0GLYCYVY,Maho❤️🔥,0xff1ba5f5,28000129,1251,27,<c0>ＬＯＮＥＬＹ★</c>
27,#9LY0YG9QP,を|Sed🍀,0xffa8e132,28000197,1250,28,DragonArmy
28,#89VL8Y90G,BG|Mozart🖤🔥,0xff1ba5f5,28000233,1250,29,LA Global
29,#2LY99YGP8,HJK┃エネ↯,0xffcb5aff,28000338,1250,30,<c2>エホヤキム</c>
30,#98QJC2YPU,LUCİ😈,0xffcb5aff,28000194,1250,31,Tribe Turkey
31,#9CG8LJU8,『ᴵ ᵃᵐⱧ₳₥Ⱬ₳🎭🥀』,0xffcb5aff,28000293,1250,32,Tribe Turkey
32,#YGQYGCR,Portox😡,0xff1ba5f5,28000191,1250,33,Blue Label
33,#20VVC8LU2,Cryzz❦︎,0xffffffff,28000108,1250,34,
