,tag,name,nameColor,icon,trophies,rank,club
0,#VL0GPPJV,Physic Gear 5,0xfff9c908,28000014,1499,1,Eclipse 🌖
1,#G0LYU9JY,YNS|CAmPErr🌃,0xffa8e132,28000262,1449,2,<c0>PWNZ</c>
2,#VLQPVPY,Naz❤️Hyra,0xffff8afb,28000303,1406,3,Fenernazçe 💙💛
3,#20L88L2J,FUT | LeNain,0xffff8afb,28000321,1399,4,A Few Good Men
4,#2PGGR8Y9P,Asuna Yuuki,0xff1ba5f5,28000201,1399,5,Follow?
5,#LRYCL0QV,Baby Kyric,0xfff9c908,28000303,1349,6,7 Dwarves
6,#P9UVCQ2U2,Amazing,0xffff8afb,28000337,1338,7,help ranks
7,#VYGVV08Q,🍅domates,0xffffffff,28000261,1276,8,
8,#8LJR900GU,Murât♛,0xffcb5aff,28000191,1252,9,ᴅᴀɪʟʏ
9,#90R9Q2UP,@stardragonOP,0xffff9727,28000209,1252,10,SpenLC Youtube
10,#2CRRRRYJR,моё,0xfff9c908,28000213,1252,11,✌️✌️✌️
11,#2082JRYUV,GooD•G,0xffcb5aff,28000033,1251,12,<c5>Just Us</c>
12,#99UJVQV08,Yunus❤️🔥,0xff1ba5f5,28000175,1251,13,
13,#JQVQYVY,Code: VTzim 🌑,0xffff8afb,28000339,1250,14,Eclipse 🌖
14,#PYPQUG80,Zava💞Sunfote,0xffff9727,28000195,1250,15,Showdown💔Kings
15,#9QLL2UYPR,❄️Pika❄️,0xff1ba5f5,28000010,1249,16,Real Ones
16,#9UG08PQUY,xSkywalker🦋ま,0xff1ba5f5,28000135,1249,17,Quant ESports🐾
17,#20P2GP99,Ducky🐝,0xffa8e132,28000136,1249,18,NA Friends
18,#QLCJGQUP,BOH|Diego💚Wolf,0xff4ddba2,28000320,1249,19,7 Dwarves
19,#9L09YYQ8L,⛩️Panda G.m⛩️,0xffcb5aff,28000330,1245,20,HolyGuns
20,#8UGJ82UL2,AoC|Alex🌷,0xff4ddba2,28000310,1225,21,octos
21,#2JY2GQC0L,кruсtaлuк🤍1500,0xffffffff,28000210,1223,22,destroyers🦇
22,#2UJQQ0YL,TOC,0xfff9c908,28000212,1208,23,anyway🤷🏻‍♂️
23,#2GCCGQ2Q,Shine,0xffcb5aff,28000020,1203,24,Havoc Echo
24,#P99QGPLU2,Davex,0xffffce89,28000129,1203,25,Brawl King's
25,#8PJRRG2C,SK|GuilleVGX,0xffa8e132,28000099,1203,26,CONEXIÓN
26,#QRUQQLV0,Code: Nukleo,0xffa8e132,28000186,1203,27,LA Instinct
27,#CGQCYJGY,TTV | SnakeThug,0xfff9c908,28000341,1203,28,Deadly Vipers🐍
28,#JV2L02VV,SíJaauaq,0xffff8afb,28000303,1203,29,
29,#2UYJV98J2,all 1500🏆,0xffffffff,28000000,1203,30,
30,#P9YPY9U8J,MeTa | duo♡van,0xff4ddba2,28000262,1200,31,TyM`eSports
31,#2LC9RU2UG,ƇЄƊƦƖƇ🍁,0xffff9727,28000124,1199,32,+12 yaş sew
32,#2P022YC0U,bat9 ваня,0xffffffff,28000058,1199,33,Quant ESports🐾
33,#J8URCRCJ,vxdka :p,0xffff9727,28000095,1199,34,No Mercy
34,#QJ0PRJCU,retired getsent,0xff4ddba2,28000010,1199,35,Beyond Swift
35,#8PQYUJ29G,𝚏𝚒𝚗𝚎𝚜𝚝❦︎,0xfff9c908,28000132,1199,36,Хижина Снайпов
36,#Y2QGGY29,Born to Live♡,0xffffffff,28000254,1199,37,LaWs Controll
37,#GRVL8ULV,陰|SuperLab ☯︎,0xff1ba5f5,28000141,1199,38,7 Dwarves
38,#29V0GUG8,BATATINHA,0xff1ba5f5,28000156,1199,39,
39,#2CY898QJ0,єηισ ƒαιχα⁷ 🥋,0xffcb5aff,28000224,1199,40,Candangos do BR
40,#2PVCG892,Chicken🖤Axe,0xffff9727,28000098,1199,41,ChasmacGaming
41,#PLJR9VLR8,Arnast,0xffff8afb,28000164,1199,42,
42,#PLQ0QRVQL,FMG | Flashᴷⁱⁿᴳ,0xffffffff,28000139,1199,43,ZETA|DIVISION'S
43,#JR8JG82C,chewiee🀄,0xff1ba5f5,28000018,1193,44,octos
44,#8LQ9JR82,Code: Eqwaak,0xfff9c908,28000004,1188,45,A Few Good Men
45,#9VU9R2LY,Terry!,0xffffffff,28000081,1178,46,✌️✌️✌️
46,#2UGV0ULQC,MONSTER,0xfff9c908,28000187,1178,47,Жосткие профи
47,#2LJ2JJY0Y,Ye,0xffffffff,28000207,1175,48,Havoc Echo
48,#82PQUPGU0,Ryohei🐬,0xff1ba5f5,28000240,1172,49,数え役満🀄️
49,#JGCCGY80,prostislavv,0xffff9727,28000042,1167,50,BOBR gaming
50,#8Y2Y0GYYG,与田祐希𓃵,0xfff9c908,28000240,1164,51,Cipher Pol
51,#8ULJJPYG2,Âtahan🖤Ubéyd,0xffffffff,28000333,1160,52,
52,#8Y98Q8U,CR | Sitetampo,0xffff8afb,28000014,1159,53,A Few Good Men
53,#PC9LPPYV,Nico❤️Heys,0xff1ba5f5,28000196,1158,54,No Mercy
54,#YGQYGCR,Portox😡,0xff1ba5f5,28000191,1157,55,Blue Label
55,#QPJ2VG8C8,Dragon 🐊,0xff1ba5f5,28000014,1153,56,Real Ones
56,#JPJ2Q09L,MyS|JeTeNebel✈️,0xffffffff,28000208,1153,57,Brawl Birds🐤⚔️
57,#QRU0L0U,🐬ꜱᴏᴋʀᴀᴍ 🜲,0xff1ba5f5,28000201,1153,58,CONEXIÓN
58,#92VJ8VQUP,🔥an_hayp🔥,0xfff05637,28000047,1151,59,
59,#8R99PJ890,xSkylasz•,0xffff9727,28000321,1150,60,Vitality
60,#Y0VPJ89Q,Ｓㄚ 么 乙 ツ,0xffffce89,28000237,1149,61,Quant ESports🐾
61,#RU9YPQQY,Mecha,0xffcb5aff,28000324,1149,62,
62,#PUGLR8J2C,🌈RainBow🌈,0xffcb5aff,28000165,1149,63,Импрессив
63,#LV2R8QJQ,oti is cool,0xffcb5aff,28000021,1149,64,
64,#YPP02G9L,Mxrf 🐝,0xff1ba5f5,28000291,1149,65,Beyond Washed
65,#29L028GQL,Djahsta,0xffff9727,28000306,1148,66,BC*|Family*
66,#2CUYQ8RQC,🥷🏿,0xffffffff,28000272,1145,67,
67,#ULGLR9LV,Nubz ❤️‍🔥,0xffffffff,28000138,1144,68,Beyond Kratos
68,#QUYCVC2,STMN | sans,0xffa8e132,28000136,1142,69,STMN Esports
69,#RRVVPG2Y,Brosta卡拉,0xff1ba5f5,28000206,1136,70,vMoove
70,#8YPU2Q9CP,valott🃏,0xfff9c908,28000023,1120,71,Venus
71,#89JJV992Y,ZL|caldera,0xfff9775d,28000040,1119,72,めろんぱん食堂
72,#8LC808G,Tuyu,0xff1ba5f5,28000349,1119,73,@Tuyu_Official
73,#2P088J29C,Matt,0xffff8afb,28000333,1116,74,<c5>Just Us</c>
74,#PRP9UGU9Q,ZL|Chaser!,0xffcb5aff,28000297,1113,75,✌️✌️✌️
75,#QR90UY9L,Lipe❤️Pandora,0xffff9727,28000203,1111,76,Revenge Gaming
76,#P9YCRRRVL,Zelephh,0xff1ba5f5,28000123,1109,77,Brawl Kings
77,#QLVP829R,Gas,0xff1ba5f5,28000122,1108,78,A Few Good Men
78,#28CVQGURJ,kxrtofvl,0xffffffff,28000061,1108,79,UNDERDOG 🇵🇱
79,#R2LR2QLG,NOUN | Mohtep,0xffffffff,28000243,1105,80,A Few Good Men
80,#2UQRYJUUR,샤단니,0xff4ddba2,28000175,1105,81,ANG
81,#989L0928Q,L1S|Sufiyan❦,0xff1ba5f5,28000033,1104,82,IMMORTAL SOULS
82,#PGY9ULY,PollitoMan,0xffffffff,28000348,1104,83,7 Dwarves
83,#VYU8V8VV,Jorgemdz💛,0xfff9c908,28000014,1104,84,AFGM GENESIS
84,#9VP2R0P9,ToxicZan,0xff1ba5f5,28000352,1104,85,Real Ones
85,#8UYQRLQQV,Cwowお,0xffa8e132,28000331,1104,86,InTeamRasur
86,#R2R2JV9C,S4W|Aste❤️‍🔥,0xffff8afb,28000214,1104,87,Spain4Win
87,#9P2CUYJ8P,Scared,0xff4ddba2,28000167,1104,88,
88,#299PPJ22L,[MMA]nagibatori,0xffa2e3fe,28000235,1104,89,Showdown💔Kings
89,#GJ9PLGPL,ReSn|Snake🐍,0xff4ddba2,28000101,1104,90,Lose?
90,#2LQVQG9Q9,iWiked 🖤 Grifo,0xffcb5aff,28000335,1104,91,Havoc Echo
91,#PVPCUQV90,1v3 | 7ō|_t 👑,0xff4ddba2,28000136,1104,92,Blazing Light⚡️
92,#GRLUYG0R,NiceShøt 🌓,0xffcb5aff,28000347,1104,93,Ex0tic-E-Sport
93,#QR2GC8V,BKB|❄IC£CRØW❄,0xfff9c908,28000348,1104,94,Tribe Turkey
94,#88RGGCVQJ,My heart in AUS,0xff4ddba2,28000092,1103,95,ハナクソタケシ
